date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,45,16,0.00,M,M
2000-01-02,33,9,0.00,M,M
2000-01-03,29,12,0.00,M,M
2000-01-04,15,-9,0.00,M,M
2000-01-05,26,6,0.00,M,M
2000-01-06,35,11,0.00,M,M
2000-01-07,30,0,0.00,M,M
2000-01-08,38,22,0.00,M,M
2000-01-09,43,23,0.00,M,M
2000-01-10,40,18,0.00,M,M
2000-01-11,34,-1,0.01,M,M
2000-01-12,11,4,0.01,0.1,M
2000-01-13,11,-1,0.00,M,M
2000-01-14,16,4,0.00,M,M
2000-01-15,33,9,0.00,M,M
2000-01-16,21,-6,0.00,M,M
2000-01-17,26,5,0.00,M,M
2000-01-18,31,3,0.00,M,M
2000-01-19,28,7,0.00,M,M
2000-01-20,14,-6,0.00,M,M
2000-01-21,16,-4,0.00,M,M
2000-01-22,23,7,0.00,M,M
2000-01-23,22,3,0.00,M,M
2000-01-24,17,3,0.00,M,M
2000-01-25,23,3,0.00,M,M
2000-01-26,22,1,0.00,M,M
2000-01-27,23,7,0.00,M,M
2000-01-28,27,16,0.00,M,M
2000-01-29,28,8,0.00,M,M
2000-01-30,26,7,0.00,M,M
2000-01-31,25,8,0.00,M,M
2000-02-01,28,17,0.00,M,M
2000-02-02,37,17,0.00,M,M
2000-02-03,49,21,0.00,M,M
2000-02-04,31,13,0.00,M,M
2000-02-05,36,16,0.00,M,M
2000-02-06,38,21,0.00,M,M
2000-02-07,43,6,0.00,M,M
2000-02-08,46,17,0.00,M,M
2000-02-09,58,23,0.00,M,M
2000-02-10,31,7,0.00,1.0,M
2000-02-11,12,-8,0.00,M,M
2000-02-12,23,8,0.20,2.0,M
2000-02-13,23,-8,0.00,M,M
2000-02-14,22,3,0.00,M,M
2000-02-15,26,12,0.00,M,M
2000-02-16,21,8,0.00,M,M
2000-02-17,28,13,0.02,2.0,M
2000-02-18,29,10,0.00,M,M
2000-02-19,25,5,0.00,M,M
2000-02-20,28,14,0.00,M,M
2000-02-21,43,28,0.00,M,M
2000-02-22,M,M,M,M,M
2000-02-23,59,32,0.00,M,M
2000-02-24,46,36,0.04,M,M
2000-02-25,49,42,0.00,M,M
2000-02-26,51,32,0.20,M,M
2000-02-27,42,24,0.00,M,M
2000-02-28,51,36,0.00,M,M
2000-02-29,54,30,0.00,M,M
2000-03-01,50,24,0.00,M,M
2000-03-02,50,26,0.00,M,M
2000-03-03,51,26,0.00,M,M
2000-03-04,65,29,0.00,M,M
2000-03-05,65,29,0.00,M,M
2000-03-06,74,44,0.00,M,M
2000-03-07,69,35,0.00,M,M
2000-03-08,64,32,0.60,M,M
2000-03-09,37,9,0.00,M,M
2000-03-10,26,11,0.00,M,M
2000-03-11,37,18,0.00,M,M
2000-03-12,36,18,0.10,2.0,M
2000-03-13,34,15,0.00,M,M
2000-03-14,40,22,0.00,M,M
2000-03-15,47,18,0.00,M,M
2000-03-16,28,12,0.00,M,M
2000-03-17,36,21,0.00,M,M
2000-03-18,47,31,0.00,M,M
