date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-03,M,M,0.00,M,M
2000-01-04,M,M,M,M,M
2000-01-05,M,M,M,M,M
2000-01-06,M,M,M,M,M
2000-01-07,M,M,M,M,M
2000-01-08,M,M,M,M,M
2000-01-09,M,M,M,M,M
2000-01-10,M,M,M,M,M
2000-01-11,M,M,0.00,M,M
2000-01-12,M,M,M,M,M
2000-01-13,M,M,M,M,M
2000-01-14,M,M,M,M,M
2000-01-15,M,M,M,M,M
2000-01-16,M,M,M,M,M
2000-01-17,M,M,M,M,M
2000-01-18,M,M,M,M,M
2000-01-19,M,M,M,M,M
2000-01-20,M,M,M,M,M
2000-01-21,M,M,M,M,M
2000-01-22,M,M,M,M,M
2000-01-23,M,M,M,M,M
2000-01-24,M,M,M,M,M
2000-01-25,M,M,M,M,M
2000-01-26,M,M,M,M,M
2000-01-27,M,M,M,M,M
2000-01-28,M,M,M,M,M
2000-01-29,M,M,M,M,M
2000-01-30,M,M,M,M,M
2000-01-31,M,M,0.00,M,1
2000-02-01,M,M,M,M,M
2000-02-02,M,M,M,M,M
2000-02-03,M,M,M,M,M
2000-02-04,M,M,M,M,M
2000-02-05,M,M,M,M,M
2000-02-06,M,M,M,M,M
2000-02-07,M,M,M,M,M
2000-02-08,M,M,0.00,M,M
2000-02-09,M,M,M,M,M
2000-02-10,M,M,M,M,M
2000-02-11,M,M,0.00,M,T
2000-02-12,M,M,M,M,M
2000-02-13,M,M,M,M,M
2000-02-14,M,M,0.00,M,M
2000-02-15,M,M,M,M,M
2000-02-16,M,M,M,M,M
2000-02-17,M,M,M,M,M
2000-02-18,M,M,0.00,M,T
2000-02-19,M,M,M,M,M
2000-02-20,M,M,M,M,M
2000-02-21,M,M,M,M,M
2000-02-22,M,M,M,M,M
2000-02-23,M,M,M,M,M
2000-02-24,M,M,0.25,M,M
2000-02-25,M,M,M,M,M
2000-02-26,M,M,M,M,M
2000-02-27,M,M,M,M,M
2000-02-28,M,M,M,M,M
2000-02-29,M,M,0.00,M,M
2000-03-01,M,M,M,M,M
