date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2012-10-01,45,28,T,0.0,0
2012-10-02,39,30,0.00,0.0,0
2012-10-03,43,34,0.22,0.0,0
2012-10-04,45,36,0.25,0.0,0
2012-10-05,46,39,0.71,0.0,0
2012-10-06,45,45,2.30,0.0,0
2012-10-07,46,43,0.59,0.0,0
2012-10-08,48,41,0.17,0.0,0
2012-10-09,48,41,0.00,0.0,0
2012-10-10,48,36,0.00,0.0,0
2012-10-11,48,37,0.01,0.0,0
2012-10-12,43,34,0.00,0.0,0
2012-10-13,36,30,0.02,0.2,0
2012-10-14,43,30,0.04,0.0,0
2012-10-15,41,34,0.25,0.0,0
2012-10-16,39,32,0.13,0.0,0
2012-10-17,41,30,0.04,0.0,0
2012-10-18,43,34,0.00,0.0,0
2012-10-19,45,36,0.00,0.0,0
2012-10-20,37,36,0.00,0.0,0
2012-10-21,37,30,0.00,0.0,0
2012-10-22,36,25,0.00,0.0,0
2012-10-23,37,25,0.00,0.0,0
2012-10-24,39,28,0.00,0.0,0
2012-10-25,34,27,0.00,0.0,0
2012-10-26,34,18,0.00,0.0,0
2012-10-27,39,19,0.00,0.0,0
2012-10-28,39,23,0.00,0.0,0
2012-10-29,34,21,0.00,0.0,0
2012-10-30,36,21,0.00,0.0,0
2012-10-31,34,27,0.00,0.0,0
2014-03-16,29,15,0.00,0.0,40
2014-03-17,28,23,0.08,2.5,42
2014-03-18,31,23,0.05,3.0,M
2014-03-19,41,23,0.00,0.0,M
2014-03-20,41,27,0.00,0.0,M
2014-03-21,35,20,0.00,0.0,M
2014-03-22,35,26,0.00,0.0,M
2014-03-23,37,25,0.00,0.0,M
2014-03-24,37,26,0.00,0.0,M
2014-03-25,42,28,0.00,0.0,M
2014-03-26,41,21,0.00,0.0,M
2014-03-27,39,17,0.00,0.0,M
2014-03-28,39,16,0.00,0.0,M
2014-03-29,37,19,0.00,0.0,M
2014-03-30,39,19,0.00,0.0,M
2014-03-31,42,21,0.00,0.0,M
2014-04-01,41,19,0.00,0.0,M
2014-04-10,47,18,0.00,0.0,M
2014-04-12,40,19,0.00,0.0,M
2014-04-13,40,30,0.00,0.0,M
2014-04-14,36,30,M,T,M
2014-04-15,45,31,T,T,M
2014-04-16,44,34,T,0.0,M
2014-04-17,48,30,0.00,0.0,M
