date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1902-08-01,69,43,M,M,M
1902-08-02,78,41,M,M,M
1902-08-03,74,51,M,M,M
1902-08-04,73,32,M,M,M
1902-08-05,68,40,M,M,M
1902-08-06,60,32,M,M,M
1902-08-07,60,48,M,M,M
1902-08-08,68,34,M,M,M
1902-08-09,62,33,0.04,M,M
1902-08-10,63,36,M,M,M
1902-08-11,64,35,M,M,M
1902-08-12,63,33,M,M,M
1902-08-13,75,33,0.10,M,M
1902-08-14,50,30,0.25,M,M
1902-08-15,53,30,M,M,M
1902-08-16,53,33,M,M,M
1902-08-17,54,30,0.02,M,M
1902-08-18,54,31,0.06,M,M
1902-08-19,58,30,M,M,M
1902-08-20,58,28,0.80,M,M
1902-08-21,42,26,M,M,M
1902-08-22,41,29,M,M,M
1902-08-23,47,28,M,M,M
1902-08-24,60,30,M,M,M
1902-08-25,40,M,M,M,M
1902-08-26,58,38,0.16,M,M
1902-08-27,56,36,M,M,M
1902-08-28,54,34,M,M,M
1902-08-29,50,32,M,M,M
1902-08-30,51,31,M,M,M
1902-09-01,65,40,M,M,M
1902-09-02,60,40,M,M,M
1902-09-03,58,38,M,M,M
1902-09-04,54,39,M,M,M
1902-09-05,61,42,M,M,M
1902-09-06,60,41,M,M,M
1902-09-07,57,40,M,M,M
1902-09-08,53,40,M,M,M
1902-09-09,48,32,M,M,M
1902-09-10,62,32,M,M,M
1902-09-11,50,39,M,M,M
1902-09-12,48,31,M,M,M
1902-09-13,44,39,M,M,M
1902-09-14,53,35,M,M,M
1902-09-15,54,52,M,M,M
1902-09-16,54,30,M,M,M
1902-09-17,48,30,M,M,M
1902-09-18,58,28,M,M,M
1902-09-19,42,24,M,M,M
1902-09-20,41,25,M,M,M
1902-09-21,47,27,M,M,M
1902-09-22,42,24,M,M,M
1902-09-23,38,31,M,M,M
1902-09-24,37,30,M,M,M
1902-09-25,39,32,M,M,M
1902-09-26,38,29,M,M,M
1902-09-27,39,30,M,M,M
1902-09-28,40,31,M,M,M
1902-09-29,36,29,M,M,M
1902-09-30,39,31,M,M,M
1902-10-01,38,30,M,M,M
1902-10-02,40,29,M,M,M
