date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-05-01,51,39,0.15,0.0,0
2000-05-02,57,39,0.01,0.0,0
2000-05-03,56,39,0.00,0.0,0
2000-05-04,56,37,0.02,0.0,0
2000-05-05,56,38,0.00,0.0,0
2000-05-06,59,38,0.00,0.0,0
2000-05-07,58,43,0.00,0.0,0
2000-05-08,62,34,0.00,0.0,0
2000-05-09,65,34,0.00,0.0,0
2000-05-10,65,37,0.00,0.0,0
2000-05-11,64,37,0.00,0.0,0
2000-05-12,64,40,0.00,0.0,0
2000-05-13,58,45,0.00,0.0,0
2000-05-14,49,44,0.00,0.0,0
2000-05-15,53,42,0.01,0.0,0
2000-05-16,53,40,0.09,0.0,0
2000-05-17,52,41,0.02,0.0,0
2000-05-18,57,44,0.03,0.0,0
2000-05-19,51,42,0.03,0.0,0
2000-05-20,54,41,0.05,0.0,0
2000-05-21,46,36,0.01,0.0,0
2000-05-22,52,39,0.36,0.0,0
2000-05-23,51,42,0.10,0.0,0
2000-05-24,52,40,0.00,0.0,0
2000-05-25,55,35,0.00,0.0,0
2000-05-26,62,39,0.24,0.0,0
2000-05-27,M,43,0.00,0.0,0
2000-05-28,66,43,0.00,0.0,0
2000-05-29,M,42,0.30,0.0,0
2000-05-30,64,41,0.07,0.0,0
2000-05-31,64,37,0.00,0.0,0
2000-06-01,68,41,0.00,0.0,0
2000-06-02,66,41,0.00,0.0,0
2000-06-03,69,43,0.00,0.0,0
2000-06-04,76,M,0.00,0.0,0
2000-06-05,74,47,0.00,0.0,0
2000-06-06,57,50,0.03,0.0,0
2000-06-07,52,50,0.00,0.0,0
2000-06-08,62,47,0.08,0.0,0
2000-06-09,M,44,0.00,0.0,0
2000-06-10,M,M,S,0.0,0
2000-06-11,64,M,0.09A,0.0,0
2000-06-12,69,46,0.00,0.0,0
2000-06-13,61,48,0.00,0.0,0
2000-06-14,58,50,0.00,0.0,0
2000-06-15,63,48,0.00,0.0,0
2000-06-16,50,49,0.00,0.0,0
2000-06-17,58,44,0.74,0.0,0
2000-06-18,59,47,0.00,0.0,0
2000-06-19,59,47,0.00,0.0,0
2000-06-20,M,47,0.00,0.0,0
2000-06-21,53,46,0.00,0.0,0
2000-06-22,60,45,0.00,0.0,0
2000-06-23,71,40,0.00,0.0,0
2000-06-24,68,44,0.00,0.0,0
2000-06-25,67,48,0.00,0.0,0
2000-06-26,71,53,0.00,0.0,0
2000-06-27,69,53,0.00,0.0,0
2000-06-28,69,54,0.00,0.0,0
2000-06-29,62,49,0.36,0.0,0
2000-06-30,50,47,0.00,0.0,0
2000-07-01,59,43,1.39,0.0,0
2000-07-02,60,48,0.00,0.0,0
2000-07-03,68,50,0.00,0.0,0
2000-07-04,70,47,0.00,0.0,0
2000-07-05,68,49,0.00,0.0,0
2000-07-06,64,53,0.00,0.0,0
2000-07-07,64,52,0.00,0.0,0
2000-07-08,72,46,0.00,0.0,0
2000-07-09,67,51,0.00,0.0,0
2000-07-10,67,54,0.00,0.0,0
2000-07-11,57,52,0.00,0.0,0
2000-07-12,66,52,0.01,0.0,0
2000-07-13,66,47,0.00,0.0,0
2000-07-14,61,47,0.00,0.0,0
2000-07-15,60,53,0.00,0.0,0
2000-07-16,62,52,0.00,0.0,0
2000-07-17,59,53,0.22,0.0,0
2000-07-18,66,53,0.00,0.0,0
2000-07-19,M,51,0.11,M,0
2000-07-20,64,M,0.00,0.0,0
2000-07-21,56,50,0.32,0.0,0
2000-07-22,56,M,0.30,0.0,0
2000-07-23,59,53,0.24,0.0,0
2000-07-24,60,50,0.16,0.0,0
2000-07-25,63,46,0.26,0.0,0
2000-07-26,60,48,0.01,0.0,0
2000-07-27,62,50,0.08,0.0,0
2000-07-28,61,51,0.11,0.0,0
2000-07-29,65,52,0.03,0.0,0
2000-07-30,63,50,0.00,0.0,0
2000-07-31,64,51,0.03,0.0,0
2000-08-01,64,49,0.21,0.0,0
2000-08-02,67,43,0.00,0.0,0
2000-08-03,65,47,0.00,0.0,0
2000-08-04,60,54,0.00,0.0,0
2000-08-05,67,55,0.00,0.0,0
2000-08-06,59,54,0.00,0.0,0
2000-08-07,66,49,0.00,0.0,0
2000-08-08,59,47,0.00,0.0,0
2000-08-09,73,47,0.05,0.0,0
2000-08-10,74,49,0.00,0.0,0
2000-08-11,67,45,0.00,0.0,0
2000-08-12,65,46,0.00,0.0,0
2000-08-13,63,50,0.00,0.0,0
2000-08-14,56,54,0.00,0.0,0
