date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-12-01,16,-2,0.00,0.0,0
2001-12-02,15,-3,0.04,1.1,1
2001-12-03,24,15,0.18,6.1,4
2001-12-04,25,17,0.17,4.2,7
2001-12-05,22,20,0.11,2.9,8
2001-12-06,36,20,0.13,2.2,7
2001-12-07,44,33,1.22,T,1
2001-12-08,40,29,0.26,2.1,4
2001-12-09,35,30,0.49,2.9,5
2001-12-10,33,32,0.17,1.7,5
2001-12-11,32,32,0.30,1.4,6
2001-12-12,33,31,0.17,0.6,6
2001-12-13,32,28,0.16,3.1,8
2001-12-14,28,19,0.01,0.4,8
2001-12-15,28,6,T,T,8
2001-12-16,15,1,0.01,0.3,8
2001-12-17,19,8,0.02,1.1,8
2001-12-18,19,6,0.04,1.9,9
2001-12-19,30,12,0.05,1.5,10
2001-12-20,34,27,0.13,2.3,12
2001-12-21,37,32,0.09,1.4,9
2001-12-22,38,32,0.14,0.1,9
2001-12-23,45,33,0.78,0.0,6
2001-12-24,47,38,0.48,0.0,3
2001-12-25,45,31,0.05,0.0,1
2001-12-26,32,27,0.00,0.0,1
2001-12-27,41,31,0.04,0.0,1
2001-12-28,36,35,0.11,0.0,T
2001-12-29,35,29,T,0.0,T
2001-12-30,32,25,0.00,0.0,T
2001-12-31,31,21,0.00,0.0,T
2002-01-01,31,22,0.08,0.6,T
2002-01-02,32,30,0.01,0.0,T
2002-01-03,32,32,0.02,0.0,T
2002-01-04,35,27,0.00,0.0,T
2002-01-05,44,28,0.06,0.0,T
2002-01-06,47,35,0.45,0.0,0
2002-01-07,39,34,0.29,0.0,0
2002-01-08,44,33,0.22,0.0,0
2002-01-09,46,33,0.74,0.0,0
2002-01-10,43,32,0.19,0.0,0
2002-01-11,46,29,0.01,0.0,0
2002-01-12,36,29,0.07,0.0,0
2002-01-13,37,28,0.17,T,0
2002-01-14,36,32,0.08,0.0,0
2002-01-15,35,33,0.55,0.0,0
2002-01-16,35,27,0.14,0.0,0
2002-01-17,33,32,0.12,0.1,0
2002-01-18,33,32,0.51,0.3,T
2002-01-19,35,32,0.20,T,T
2002-01-20,32,24,0.00,0.0,0
2002-01-21,25,7,0.00,0.0,0
2002-01-22,19,4,0.01,0.2,0
2002-01-23,32,18,0.44,10.0,8
2002-01-24,28,19,0.13,2.7,10
2002-01-25,22,-3,0.00,0.0,10
2002-01-26,17,-7,0.00,0.0,10
2002-01-27,17,-11,0.05,0.6,9
2002-01-28,24,11,0.38,5.0,9
2002-01-29,32,23,0.15,1.2,9
2002-01-30,38,31,0.03,T,7
2002-01-31,37,31,T,T,7
2002-02-01,40,22,T,T,7
2002-02-02,33,30,0.68,11.4,17
2002-02-03,36,30,T,T,14
2002-02-04,36,31,0.10,0.0,14
2002-02-05,35,29,0.04,T,14
2002-02-06,38,17,0.02,1.5,13
2002-02-07,33,6,0.00,0.0,13
2002-02-08,25,1,0.00,0.0,13
2002-02-09,41,18,0.29,0.8,11
2002-02-10,40,32,0.66,0.0,8
2002-02-11,39,31,0.70,0.0,7
2002-02-12,39,30,0.92,0.3,6
2002-02-13,38,29,0.12,2.5,7
2002-02-14,37,32,0.96,1.1,5
2002-02-15,42,36,1.61,1.0,4
2002-02-16,37,29,0.38,1.1,5
2002-02-17,33,27,0.07,0.8,6
2002-02-18,34,27,0.13,1.7,7
2002-02-19,35,28,0.20,3.2,9
2002-02-20,36,29,0.16,3.0,10
2002-02-21,39,17,0.20,2.9,13
2002-02-22,32,8,0.00,0.0,13
2002-02-23,31,2,0.00,0.0,12
2002-02-24,32,1,0.00,0.0,11
2002-02-25,33,20,0.51,8.0,17
2002-02-26,37,20,0.19,0.4,15
2002-02-27,38,32,0.09,0.2,13
2002-09-01,56,42,0.45,0.0,0
2002-09-02,64,38,T,0.0,0
2002-09-03,70,42,0.00,0.0,0
2002-09-04,67,36,0.00,0.0,0
2002-09-05,65,43,0.00,0.0,0
2002-09-06,62,44,0.93,0.0,0
2002-09-07,50,45,0.89,0.0,0
2002-09-08,55,45,0.38,0.0,0
2002-09-09,58,45,0.02,0.0,0
2002-09-10,50,44,0.59,0.0,0
2002-09-11,53,44,0.19,0.0,0
2002-09-12,56,40,0.10,0.0,0
2002-09-13,59,35,0.00,0.0,0
2002-09-14,56,34,0.37,0.0,0
2002-09-15,55,43,0.21,0.0,0
2002-09-16,50,44,0.36,0.0,0
2002-09-17,50,43,0.84,0.0,0
2002-09-18,49,43,1.07,0.0,0
2002-09-19,53,43,0.45,0.0,0
2002-09-20,50,44,0.19,0.0,0
2002-09-21,57,37,0.72,0.0,0
2002-09-22,49,35,T,0.0,0
2002-09-23,49,44,0.11,0.0,0
2002-09-24,55,50,T,0.0,0
2002-09-25,M,45,0.35,0.0,0
2002-09-26,53,45,0.16,0.0,0
