date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2019-11-09,M,M,1.03,0.0,0
2019-11-10,52,43,0.43,0.0,0
2019-11-11,51,42,0.22,0.0,0
2019-11-12,50,46,1.36,0.0,0
2019-11-13,50,47,0.22,0.0,0
2019-11-14,51,46,2.15,0.0,0
2019-11-15,49,45,0.19,0.0,0
2019-11-16,49,45,1.63,0.0,0
2019-11-17,52,47,1.68,0.0,0
2019-11-18,49,41,0.08,0.0,0
2019-11-19,47,37,0.12,0.0,0
2019-11-20,44,39,0.06,0.0,0
2019-11-21,47,42,0.03,0.0,0
2019-11-22,49,42,1.52,0.0,0
2019-11-23,50,44,0.31,0.0,0
2019-11-24,50,38,0.27,0.0,0
2019-11-25,43,32,0.17,0.0,0
2019-11-26,40,30,0.00,0.0,0
2019-11-27,40,30,0.00,0.0,0
2019-11-28,36,28,0.00,0.0,0
2019-11-29,35,29,0.00,0.0,0
2019-11-30,37,29,0.00,0.0,0
2019-12-01,36,33,0.06,0.0,0
2019-12-02,45,35,1.65,0.0,0
2019-12-03,45,34,0.24,T,T
2019-12-04,40,32,0.21,0.0,0
2019-12-05,40,32,0.03,0.0,0
2019-12-06,37,28,0.00,0.0,0
2019-12-07,37,28,0.00,0.0,0
2019-12-08,37,30,0.02,T,0
2019-12-09,38,31,0.00,0.0,0
2019-12-10,49,35,0.05,0.0,0
2019-12-11,47,42,0.35,0.0,0
2019-12-12,47,40,0.18,0.0,0
2019-12-13,43,38,0.30,0.0,0
2019-12-14,43,35,1.12,0.0,0
2019-12-15,43,31,0.01,0.0,0
2019-12-16,43,31,0.72,0.0,0
2019-12-17,43,31,2.49,T,T
2019-12-18,44,39,0.57,0.0,0
2019-12-19,42,37,1.13,0.0,0
2019-12-20,43,37,0.60,0.0,0
2019-12-21,43,39,0.41,0.0,0
2019-12-22,44,36,0.53,0.0,0
2019-12-23,44,35,0.38,0.0,0
2019-12-24,40,34,1.64,0.0,0
2019-12-25,40,34,0.02,0.0,0
2019-12-26,42,38,0.61,0.0,0
2019-12-27,43,33,0.16,0.0,0
2019-12-28,49,38,2.15,0.0,0
2019-12-29,45,38,0.30,0.0,0
2019-12-30,47,42,1.19,0.0,0
2019-12-31,47,42,0.66,0.0,0
2020-01-01,46,37,0.26,0.0,0
2020-01-02,46,28,0.02,T,0
2020-01-03,46,28,0.05,0.2,T
2020-01-04,M,M,S,M,M
2020-01-05,37,31,0.76A,2.5,3
2020-01-06,35,29,0.13,1.6,2
2020-01-07,35,25,0.00,0.0,1
2020-01-08,32,26,0.08,1.0,1
2020-01-09,33,29,0.04,1.0,1
2020-01-10,37,32,0.30,2.1,4
2020-01-11,35,24,0.15,1.3,5
2020-01-12,24,14,0.00,0.0,5
2020-01-13,17,11,0.00,0.0,2
2020-01-14,20,11,0.00,0.0,2
2020-01-15,18,12,0.00,0.0,2
2020-01-16,19,12,0.00,0.0,2
2020-01-17,21,16,0.00,0.0,2
2020-01-18,29,21,0.03,0.3,3
2020-01-19,41,27,S,M,M
2020-01-20,43,27,0.64A,0.0,0
2020-01-21,45,38,0.03,0.0,0
2020-01-22,44,40,0.04,0.0,0
2020-01-23,44,40,0.71,0.0,0
2020-01-24,44,42,2.02,0.0,0
2020-01-25,44,36,0.70,0.0,0
2020-01-26,49,42,0.25,0.0,0
2020-01-27,45,34,1.10,0.0,0
2020-01-28,41,33,0.09,0.0,0
2020-01-29,44,37,1.38,0.0,0
2020-01-30,44,35,S,M,M
2020-01-31,45,32,1.61A,0.5,1
2020-02-01,35,27,0.31,0.3,0
2020-02-02,33,25,0.02,0.3,1
2020-02-03,37,27,0.11,0.9,2
2020-02-04,42,32,1.30,0.0,0
2020-02-05,43,40,0.64,0.0,0
2020-02-06,44,35,0.02,0.0,0
2020-02-07,39,31,0.01,0.0,0
2020-02-08,40,31,0.00,0.0,0
2020-02-09,42,31,0.07,0.0,0
2020-02-10,43,39,0.06,0.0,0
2020-02-11,42,34,0.46,0.0,0
2020-02-12,43,35,0.13,0.0,0
2020-02-13,38,32,1.98,0.0,0
2020-02-14,39,33,0.05,0.0,0
2020-02-15,41,34,0.49,0.0,0
2020-02-16,42,31,0.25,0.5,1
2020-02-17,41,32,0.01,0.0,0
2020-02-18,44,35,0.01,0.0,0
2020-02-19,44,36,0.21,0.0,0
2020-02-20,38,31,0.54,0.0,0
2020-02-21,41,35,1.03,0.0,0
2020-02-22,42,32,0.45,0.0,0
2020-02-23,43,35,0.01,0.0,0
2020-02-24,42,27,0.03,T,T
2020-02-25,41,31,0.69,0.0,0
2020-02-26,43,39,0.67,0.0,0
2020-02-27,48,41,0.66,0.0,0
2020-02-28,45,34,0.45,0.0,0
2020-02-29,43,34,0.01,0.0,0
2020-03-01,45,34,0.38,T,0
2020-03-02,45,34,0.66,0.0,0
2020-03-03,39,35,0.66,0.0,0
2020-03-04,38,30,0.14,T,0
2020-03-05,39,33,1.29,T,0
2020-03-06,38,30,0.10,T,0
2020-03-07,43,27,0.00,0.0,0
2020-03-08,42,26,0.00,0.0,0
2020-03-09,42,31,0.16,0.0,0
2020-03-10,41,32,1.52,T,0
2020-03-11,45,31,0.01,0.0,0
2020-03-12,40,31,0.00,0.0,0
2020-03-13,43,27,0.00,0.0,0
2020-03-14,37,25,0.00,0.0,0
2020-03-15,44,30,0.00,0.0,0
2020-03-16,46,29,0.00,0.0,0
2020-03-17,47,29,0.00,0.0,0
2020-03-18,49,32,0.00,0.0,0
2020-03-19,44,36,0.00,0.0,0
2020-03-20,54,33,0.00,0.0,0
2020-03-21,49,35,0.00,0.0,0
2020-03-22,46,33,1.04,T,0
2020-03-23,43,33,0.50,T,0
2020-03-24,49,32,0.01,0.0,0
2020-03-25,47,30,0.00,0.0,0
2020-03-26,48,36,0.81,0.0,0
2020-03-27,43,40,0.22,0.0,0
2020-03-28,46,36,0.31,0.0,0
2020-03-29,41,35,0.64,0.0,0
2020-03-30,42,37,0.38,0.0,0
2020-03-31,43,33,0.02,0.0,0
2020-04-01,43,25,0.00,0.0,0
2020-04-02,43,28,0.00,0.0,0
2020-04-03,44,27,0.00,0.0,0
2020-04-04,40,27,0.00,0.0,0
2020-04-05,45,30,0.00,0.0,0
2020-04-06,49,35,0.00,0.0,0
2020-04-07,48,32,0.01,0.0,0
2020-04-08,46,36,0.02,0.0,0
2020-04-09,43,36,1.44,0.0,0
2020-04-10,48,30,0.01,0.0,0
2020-04-11,50,32,0.00,0.0,0
2020-04-12,53,35,0.00,0.0,0
2020-04-13,55,37,0.00,0.0,0
