date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1967-02-01,31,28,0.25,2.0,26
1967-02-02,36,29,0.51,0.0,22
1967-02-03,39,34,0.21,0.0,20
1967-02-04,41,33,0.10,0.0,16
1967-02-05,37,32,0.05,0.0,14
1967-02-06,42,33,0.52,0.0,8
1967-02-07,44,33,1.10,0.0,3
1967-02-08,39,33,0.33,0.0,2
1967-02-09,36,30,0.12,0.0,0
1967-02-10,37,30,0.71,0.3,T
1967-02-11,35,29,0.92,1.0,1
1967-02-12,35,24,T,0.0,1
1967-02-13,34,23,0.34,5.0,6
1967-02-14,36,29,T,1.0,7
1967-02-15,34,19,T,0.5,8
1967-02-16,28,19,0.04,1.5,9
1967-02-19,36,30,0.36,1.0,5
1967-02-20,42,25,0.00,0.0,5
1967-02-21,39,25,0.12,0.0,3
1967-02-22,38,29,1.02,2.0,5
1967-02-23,36,31,0.44,2.5,8
1967-02-24,38,31,0.50,2.3,10
1967-02-25,36,31,0.60,1.0,11
1967-02-26,39,33,0.78,0.0,9
1967-02-27,41,M,1.19,0.0,4
1967-02-28,38,32,0.73,0.0,3
1967-03-01,39,31,0.04,0.0,3
1967-03-02,39,32,0.05,0.0,M
1967-03-03,42,35,0.14,0.0,M
1967-03-04,43,33,0.11,0.0,M
1967-03-05,40,30,0.01,0.0,M
1967-03-06,39,32,1.05,T,M
1967-03-07,37,32,1.36,T,1
1967-03-08,45,29,0.07,0.0,0
1967-03-09,37,22,0.00,0.0,0
1967-03-10,34,24,0.00,0.0,0
1967-03-11,37,19,0.00,0.0,0
1967-03-12,38,25,0.00,0.0,0
1967-03-13,32,20,0.00,0.0,0
1967-03-14,34,21,0.00,0.0,0
1967-03-15,37,23,0.00,0.0,0
1967-03-16,38,26,0.00,0.0,0
1967-03-17,36,25,0.00,0.0,0
1967-03-18,40,29,T,T,0
1967-03-19,44,30,0.00,0.0,0
1967-03-20,40,25,0.00,0.0,0
1967-03-21,39,20,T,T,0
1967-03-22,38,24,0.00,0.0,0
1967-03-23,28,13,0.00,0.0,0
1967-03-24,25,11,0.00,0.0,0
1967-03-25,27,14,0.00,0.0,0
1967-03-26,29,18,0.03,1.2,1
1967-03-27,32,25,0.15,1.3,3
1967-03-28,42,28,0.06,1.4,1
1967-03-29,44,24,0.00,0.0,0
1967-03-30,45,23,0.00,0.0,0
1967-03-31,46,32,0.12,0.0,0
1967-04-01,43,36,0.25,0.0,0
1967-04-02,37,33,0.78,T,0
1967-04-03,47,33,T,0.0,0
1967-04-04,47,32,0.00,0.0,0
1967-04-05,42,35,0.09,0.0,0
1967-04-06,41,33,0.19,T,0
1967-04-07,41,33,0.49,T,0
1967-04-08,42,32,0.02,0.0,0
1967-04-09,46,31,0.13,T,0
1967-04-10,43,32,0.67,2.7,3
1967-04-11,38,32,0.74,2.5,3
1967-04-12,46,26,T,T,0
1967-04-13,49,26,0.00,0.0,0
1967-04-14,35,32,0.18,0.8,1
1967-04-15,47,32,0.00,0.0,0
1967-04-16,46,28,0.00,0.0,0
1967-04-17,52,31,0.00,0.0,0
