date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-09-07,58,48,M,0.0,0
2002-09-08,53,49,M,0.0,0
2002-09-09,59,48,M,0.0,0
2002-09-10,51,47,M,0.0,0
2002-09-11,59,47,0.23,0.0,0
2002-09-12,54,47,0.05,0.0,0
2002-09-13,55,41,0.00,0.0,0
2002-09-14,52,43,0.00,0.0,0
2002-09-19,57,46,0.08,0.0,0
2002-09-21,52,47,1.51,0.0,0
2002-09-22,55,46,1.55,0.0,0
2002-09-23,49,47,0.13,0.0,0
2002-09-24,57,45,T,0.0,0
2002-09-25,53,45,T,0.0,0
2002-09-26,51,46,0.15,0.0,0
2002-09-27,54,47,0.35,0.0,0
2002-09-30,53,38,T,M,M
2002-10-01,47,43,0.20,0.0,0
2002-10-02,52,42,0.45,0.0,0
2002-10-03,51,42,T,0.0,0
2002-10-04,53,44,0.08,0.0,0
2002-10-05,47,45,0.05,0.0,0
2002-10-06,54,45,0.85,0.0,0
2002-10-07,55,50,T,0.0,0
2002-10-08,54,47,0.13,0.0,0
2002-10-09,53,42,0.07,0.0,0
2002-10-10,49,36,T,0.0,0
2002-10-11,46,37,0.00,0.0,0
2002-10-12,48,41,0.00,0.0,0
2002-10-13,48,43,0.41,0.0,0
2002-10-14,48,43,T,0.0,0
2002-10-15,50,47,0.08,0.0,0
2002-10-16,53,47,0.07,0.0,0
2002-10-17,55,49,0.01,0.0,0
2002-10-18,52,43,0.01,0.0,0
2002-10-19,52,45,0.17,0.0,0
2002-10-20,55,45,0.61,0.0,0
2002-10-21,56,45,0.17,0.0,0
2002-10-22,55,49,0.80,0.0,0
2002-10-23,51,46,T,0.0,0
2002-10-24,48,43,0.00,0.0,0
2002-10-25,48,41,0.00,0.0,0
2002-10-26,50,46,0.00,0.0,0
2002-10-27,50,43,1.07,0.0,0
2002-10-28,47,36,0.03,0.0,0
2002-10-29,44,38,T,0.0,0
2002-10-30,48,36,0.00,0.0,0
2002-10-31,46,33,0.00,0.0,0
2002-11-01,42,35,0.00,0.0,0
2002-11-02,42,34,0.00,0.0,0
2002-11-03,40,36,0.00,0.0,0
2002-11-04,46,36,T,0.0,0
2002-11-05,50,44,0.36,0.0,0
2002-11-06,51,46,0.21,0.0,0
2002-11-07,53,42,0.02,0.0,0
2002-11-08,53,41,0.01,0.0,0
2002-11-09,50,41,0.00,0.0,0
2002-11-10,50,41,T,0.0,0
2002-11-11,48,43,0.00,0.0,0
2002-11-12,48,43,0.48,0.0,0
2002-11-13,50,44,0.81,0.0,0
2002-11-14,48,42,0.98,0.0,0
2002-11-15,44,42,0.59,0.0,0
2002-11-16,47,40,T,0.0,0
2002-11-21,49,38,0.87,0.0,0
2002-11-22,48,38,T,0.0,0
2002-11-23,42,38,0.00,0.0,0
2002-11-24,45,41,0.00,0.0,0
2002-11-25,48,42,0.11,0.0,0
2002-11-26,49,44,2.57,0.0,0
2002-11-27,50,41,0.54,0.0,0
2002-11-28,49,40,0.44,0.0,0
2002-11-29,49,40,0.03,0.0,0
2002-11-30,52,42,0.01,0.0,0
2002-12-01,48,37,0.17,0.0,0
2002-12-02,39,37,T,0.0,0
2002-12-03,42,35,0.00,0.0,0
2002-12-04,42,33,0.00,0.0,0
2002-12-05,42,31,0.00,0.0,0
2002-12-06,37,34,0.00,0.0,0
2002-12-07,44,35,0.38,0.0,0
2002-12-08,48,44,0.26,0.0,0
2002-12-09,50,46,0.75,0.0,0
2002-12-10,48,44,0.39,0.0,0
2002-12-11,46,39,0.43,0.0,0
2002-12-12,50,40,0.82,0.0,0
2002-12-13,49,34,0.85,0.0,0
2002-12-14,49,34,0.11,0.0,0
2002-12-15,46,41,0.15,0.0,0
2002-12-16,47,37,0.34,0.0,0
2002-12-17,43,36,0.21,0.0,0
2002-12-18,39,33,0.07,0.0,0
2002-12-20,37,30,0.00,0.0,0
2002-12-21,35,29,0.00,0.0,0
2002-12-22,41,30,0.02,0.0,0
2002-12-23,43,36,1.84,0.0,0
2002-12-24,47,37,1.05,0.0,0
2002-12-25,42,35,0.30,0.0,0
2002-12-26,40,32,0.08,0.0,0
2002-12-27,36,31,0.10,T,T
2002-12-28,36,31,0.67,3.0,3
2002-12-29,36,27,0.29,1.4,4
2002-12-30,36,27,0.07,0.0,2
2002-12-31,40,27,0.26,0.0,T
2003-01-01,44,38,0.82,0.0,0
2003-01-02,44,40,0.34,0.0,0
2003-01-03,45,37,0.04,0.0,0
2003-01-04,50,40,0.56,0.0,0
2003-01-05,52,39,0.41,0.0,0
2003-01-06,52,39,2.67,0.0,0
2003-01-07,50,36,0.36,0.0,0
2003-01-08,42,31,0.06,0.0,0
2003-01-09,42,31,0.00,0.0,0
2003-01-10,39,33,0.00,0.0,0
2003-01-11,39,33,0.02,0.0,0
2003-01-12,40,33,0.02,0.0,0
2003-01-13,39,33,T,0.0,0
2003-01-14,39,31,0.00,0.0,0
2003-01-15,42,33,0.04,0.0,0
2003-01-16,42,40,0.18,0.0,0
2003-01-17,45,40,1.13,0.0,0
2003-01-18,47,39,0.07,0.0,0
2003-01-19,46,40,0.10,0.0,0
2003-01-20,46,37,0.14,0.0,0
2003-01-21,42,35,T,0.0,0
2003-01-22,39,31,0.00,0.0,0
2003-01-23,39,28,0.03,0.2,0
2003-01-24,31,27,0.28,2.8,3
2003-01-27,43,36,0.25,0.0,T
2003-01-28,44,33,0.07,0.0,0
2003-01-29,M,M,0.05,0.0,0
2003-01-30,M,M,0.19,0.0,0
2003-01-31,45,33,T,0.0,0
2003-02-01,41,30,T,0.0,0
2003-02-02,42,30,0.05,0.0,0
2003-02-03,44,37,0.35,0.0,0
2003-02-04,47,40,T,0.0,0
2003-02-05,45,38,T,0.0,0
2003-02-06,43,33,0.00,0.0,0
2003-02-09,39,33,0.03,0.0,0
2003-02-10,M,M,T,0.0,0
2003-02-11,M,M,0.02,0.0,0
2003-02-12,39,32,0.04,0.0,0
2003-02-13,M,M,0.00,0.0,0
2003-02-14,38,31,T,0.0,0
2003-02-15,42,36,0.00,0.0,0
2003-02-16,43,38,0.04,0.0,0
2003-02-17,43,36,0.23,0.0,0
2003-02-18,43,35,0.04,0.0,0
2003-02-19,42,36,0.98,0.0,0
2003-02-22,35,26,0.00,0.0,0
2003-02-23,30,25,0.00,0.0,0
2003-02-24,34,25,T,T,T
2003-02-25,36,25,0.28,T,0
2003-02-26,38,32,0.28,0.0,0
2003-02-27,37,31,0.25,0.0,0
2003-03-03,44,38,0.00,0.0,0
2003-03-04,40,39,T,0.0,0
2003-03-05,44,36,T,T,0
2003-03-06,42,26,0.00,0.0,0
2003-03-07,M,M,0.00,0.0,0
2003-03-08,22,13,0.00,0.0,0
2003-03-14,M,M,0.34,0.0,5
2003-03-15,44,35,0.03,0.0,1
2003-03-16,52,31,0.16,0.0,T
2003-03-20,M,M,0.35,0.0,T
2003-03-21,43,36,0.19,0.0,0
2003-03-22,41,36,0.25,0.0,0
2003-03-23,44,32,0.07,T,T
2003-03-26,46,39,0.04,0.0,0
2003-03-27,44,36,0.02,0.0,0
2003-03-29,43,38,0.90,0.0,0
2003-03-30,46,42,1.10,0.0,0
2003-03-31,43,32,0.02,T,T
2003-04-02,40,30,0.00,0.0,0
2003-04-03,39,26,0.00,0.0,0
2003-04-04,41,28,0.00,0.0,0
2003-04-05,40,33,0.00,0.0,0
2003-04-09,45,31,0.15,0.0,0
2003-04-10,46,39,0.03,0.0,0
2003-04-11,48,41,0.01,0.0,0
2003-04-12,48,34,0.07,0.0,0
2003-04-13,53,40,0.00,0.0,0
2003-04-14,55,35,0.00,0.0,0
2003-04-15,52,41,0.07,0.0,0
2003-04-16,49,34,0.01,0.0,0
2003-04-17,44,35,0.19,0.0,0
2003-04-18,47,34,0.04,0.0,0
2003-04-19,44,37,0.34,0.0,0
2003-04-20,46,35,0.17,0.0,0
2003-04-21,50,36,T,0.0,0
