date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1982-12-01,64,51,0.49,0.0,0
1982-12-02,64,53,T,0.0,0
1982-12-03,61,52,0.00,0.0,0
1982-12-04,63,58,T,0.0,0
1982-12-05,78,57,0.00,0.0,0
1982-12-06,76,56,0.78,0.0,0
1982-12-07,71,47,0.00,0.0,0
1982-12-08,55,32,0.00,0.0,0
1982-12-09,56,34,0.00,0.0,0
1982-12-10,50,23,0.00,0.0,0
1982-12-11,45,36,0.48,0.0,0
1982-12-12,41,27,0.75,M,M
1982-12-13,33,18,0.00,M,M
1982-12-14,32,15,0.00,0.0,M
1982-12-15,51,29,0.00,0.0,M
1982-12-16,65,M,0.13,0.0,0
1982-12-17,68,36,0.36,0.0,0
1982-12-18,46,27,0.00,0.0,0
1982-12-19,43,21,0.00,0.0,0
1982-12-20,42,32,0.00,0.0,0
1982-12-21,45,27,0.00,0.0,0
1982-12-22,43,22,0.00,0.0,0
1982-12-23,43,26,0.00,0.0,0
1982-12-24,47,35,0.00,0.0,0
1982-12-25,68,M,0.00,0.0,0
1982-12-26,75,58,0.00,0.0,0
1982-12-27,77,50,0.00,0.0,0
1982-12-28,69,49,0.00,0.0,0
1982-12-29,71,M,0.16,0.0,0
1982-12-30,64,39,0.25,0.0,0
1982-12-31,47,37,0.00,0.0,0
1983-01-01,45,34,0.00,0.0,0
1983-01-02,46,38,0.00,0.0,0
1983-01-03,45,34,0.40,0.0,0
1983-01-04,46,26,0.00,0.0,0
1983-01-05,44,31,0.31,0.0,0
1983-01-06,46,31,0.00,0.0,0
1983-01-07,56,33,0.00,0.0,0
1983-01-08,63,30,0.00,0.0,0
1983-01-09,52,31,0.00,0.0,0
1983-01-10,53,M,0.11,0.0,0
1983-01-11,58,46,0.07,0.0,0
1983-01-12,48,34,0.00,0.0,0
1983-01-13,46,17,0.00,0.0,0
1983-01-14,42,20,0.00,0.0,0
1983-01-15,50,31,0.30,0.0,0
1983-01-16,43,27,0.00,0.0,0
1983-01-17,44,18,0.00,0.0,0
1983-01-18,45,20,0.00,0.0,0
1983-01-19,35,11,0.00,0.0,0
1983-01-20,33,16,0.00,0.0,0
1983-01-21,40,23,0.00,0.0,0
1983-01-22,47,M,0.20,0.0,0
1983-01-23,47,37,0.33,0.0,0
1983-01-24,43,36,T,0.0,0
1983-01-25,52,35,0.00,0.0,0
1983-01-26,54,25,0.00,0.0,0
1983-01-27,49,31,T,0.0,0
1983-01-28,46,34,0.20,0.0,0
1983-01-29,43,26,0.00,0.0,0
1983-01-30,53,29,0.00,0.0,0
1983-01-31,58,31,0.00,0.0,0
1983-02-01,60,32,0.00,M,M
1983-02-02,48,37,0.11,M,M
1983-02-03,64,M,0.42,M,M
1983-02-04,57,32,0.00,M,M
1983-02-05,45,24,0.00,M,M
1983-02-06,43,29,0.00,M,M
1983-02-07,35,31,0.71,M,M
1983-02-08,49,27,0.00,M,M
1983-02-09,48,20,0.00,M,M
1983-02-10,45,27,0.00,M,M
1983-02-11,39,29,1.33,M,M
1983-02-12,M,20,0.00,M,M
1983-02-13,41,25,0.00,M,M
1983-02-14,38,32,0.47,M,M
1983-02-15,43,28,0.00,M,M
1983-02-16,58,31,0.00,M,M
1983-02-17,59,40,0.25,M,M
1983-02-18,50,37,0.00,M,M
1983-02-19,54,28,0.00,M,M
1983-02-20,58,26,0.00,M,M
1983-02-21,55,27,0.00,M,M
1983-02-22,65,29,0.00,M,M
1983-02-23,69,M,0.14,M,M
1983-02-24,53,30,0.00,M,M
1983-02-25,51,37,0.10,M,M
1983-02-26,43,28,0.00,M,M
1983-02-27,52,27,0.00,M,M
1983-02-28,52,27,0.00,M,0
1983-03-01,55,45,0.65,0.0,0
1983-03-02,51,45,0.50,0.0,0
1983-03-03,68,35,0.00,0.0,0
1983-03-04,71,41,0.00,0.0,0
1983-03-05,80,47,0.00,0.0,0
1983-03-06,77,47,0.00,0.0,0
1983-03-07,67,61,0.63,0.0,0
1983-03-08,71,58,0.29,0.0,0
1983-03-09,60,45,0.00,0.0,0
1983-03-10,50,45,T,0.0,0
1983-03-11,57,43,T,0.0,0
1983-03-12,48,41,0.00,0.0,0
1983-03-13,64,27,0.00,0.0,0
1983-03-14,66,30,0.00,0.0,0
1983-03-15,71,41,0.00,0.0,0
1983-03-16,80,44,0.00,0.0,0
1983-03-17,53,43,0.00,0.0,0
1983-03-18,59,48,0.63,0.0,0
1983-03-19,66,52,0.20,0.0,0
1983-03-20,68,38,0.00,0.0,0
1983-03-21,72,M,0.17,0.0,0
1983-03-22,73,39,0.11,0.0,0
1983-03-23,53,27,0.00,0.0,0
1983-03-24,56,31,0.00,0.0,0
1983-03-25,44,33,0.00,0.0,0
1983-03-26,48,23,0.00,0.0,0
1983-03-27,57,38,T,0.0,0
