date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2012-08-01,73,M,M,0.0,0
2012-08-02,83,53,0.47,0.0,0
2012-08-03,76,59,T,0.0,0
2012-08-04,85,65,0.00,0.0,0
2012-08-05,90,64,0.00,0.0,0
2012-08-06,72,48,0.00,0.0,0
2012-08-07,79,56,0.00,0.0,0
2012-08-08,80,51,0.00,0.0,0
2012-08-09,75,51,0.12,0.0,0
2012-08-10,67,56,T,0.0,0
2012-08-11,66,57,0.05,0.0,0
2012-08-12,72,52,0.00,0.0,0
2012-08-13,75,52,0.00,0.0,0
2012-08-14,71,53,0.05,0.0,0
2012-08-15,78,53,0.00,0.0,0
2012-08-16,79,53,0.00,0.0,0
2012-08-17,68,54,0.17,0.0,0
2012-08-18,68,42,0.00,0.0,0
2012-08-19,73,42,0.13,0.0,0
2012-08-20,70,41,0.01,0.0,0
2012-08-21,67,41,0.00,0.0,0
2012-08-22,76,46,0.00,0.0,0
2012-08-23,80,51,0.00,0.0,0
2012-08-24,86,52,0.00,0.0,0
2012-08-25,86,62,0.00,0.0,0
2012-08-26,90,64,0.00,0.0,0
2012-08-27,88,65,0.24,0.0,0
2012-08-28,80,52,0.00,0.0,0
2012-08-29,75,46,0.00,0.0,0
2012-08-30,81,46,0.00,0.0,0
2012-08-31,86,57,0.00,0.0,0
2012-09-01,83,48,0.00,0.0,0
2012-09-02,85,48,0.00,0.0,0
2012-09-03,82,56,0.00,0.0,0
2012-09-04,86,56,0.77,0.0,0
2012-09-05,82,60,0.02,0.0,0
2012-09-06,81,52,0.00,0.0,0
2012-09-07,77,52,0.00,0.0,0
2012-09-08,65,49,0.68,0.0,0
2012-09-09,61,45,0.18,0.0,0
2012-09-10,66,40,T,0.0,0
2012-09-11,72,40,0.00,0.0,0
2012-09-12,78,51,0.00,0.0,0
2012-09-13,83,56,0.00,0.0,0
2012-09-14,62,42,0.06,0.0,0
2012-09-15,66,39,0.03,0.0,0
2012-09-16,70,39,0.00,0.0,0
2012-09-17,76,50,0.00,0.0,0
2012-09-18,73,46,0.76,0.0,0
2012-09-19,53,37,0.18,T,0
2012-09-20,59,36,0.15,0.0,0
2012-09-21,62,39,0.08,0.0,0
2012-09-22,62,38,0.50,0.0,0
2012-09-23,53,35,0.35,T,0
2012-09-24,51,32,0.02,0.0,0
2012-09-25,60,35,0.00,0.0,0
2012-09-26,69,35,0.00,0.0,0
2012-09-27,58,34,0.00,0.0,0
2012-09-28,60,31,0.00,0.0,0
2012-09-29,65,31,0.00,0.0,0
2012-09-30,65,35,0.00,0.0,0
2012-10-01,63,31,0.00,0.0,0
2012-10-02,63,31,0.00,0.0,0
2012-10-03,68,39,0.00,0.0,0
2012-10-04,63,42,0.36,0.0,0
2012-10-05,70,40,0.01,0.0,0
2012-10-06,53,37,0.01,0.0,0
2012-10-07,46,33,0.30,T,0
2012-10-08,44,28,0.00,0.0,0
2012-10-09,55,28,0.00,0.0,0
2012-10-10,59,35,0.38,0.0,0
2012-10-11,42,29,0.10,T,0
2012-10-12,44,28,0.30,T,0
2012-10-13,46,27,0.04,0.0,0
2012-10-14,53,35,1.07,0.0,0
2012-10-15,62,41,1.37,0.0,0
2012-10-16,43,29,0.20,0.0,0
2012-10-17,56,31,0.00,0.0,0
2012-10-18,71,47,0.02,0.0,0
2012-10-19,55,42,0.21,0.0,0
2012-10-20,49,38,0.03,0.0,0
2012-10-21,55,34,0.00,0.0,0
2012-10-22,59,35,0.00,0.0,0
2012-10-23,68,43,0.49,0.0,0
2012-10-24,56,51,0.00,0.0,0
2012-10-25,64,52,0.00,0.0,0
2012-10-26,76,38,0.52,0.0,0
2012-10-27,47,30,0.00,0.0,0
2012-10-28,43,28,0.00,0.0,0
2012-10-29,45,28,0.00,0.0,0
2012-10-30,42,32,0.00,0.0,0
2012-10-31,36,33,0.25,T,0
2012-11-01,37,33,0.23,0.0,0
2012-11-02,41,31,0.08,0.2,T
2012-11-03,37,27,0.09,0.2,T
2012-11-04,35,27,T,T,0
2012-11-05,40,29,0.00,0.0,0
2012-11-06,34,21,0.00,0.0,0
2012-11-07,36,29,T,T,0
2012-11-08,44,26,0.00,0.0,0
2012-11-09,42,33,0.00,0.0,0
2012-11-10,44,36,0.05,0.0,0
2012-11-11,60,41,T,0.0,0
2012-11-12,65,37,0.08,0.0,0
2012-11-13,37,23,0.18,1.4,1
2012-11-14,35,22,0.00,0.0,0
2012-11-15,38,23,0.00,0.0,0
2012-11-16,47,25,0.00,0.0,0
2012-11-17,44,25,0.00,0.0,0
2012-11-18,50,30,0.00,0.0,0
2012-11-19,53,30,0.00,0.0,0
2012-11-20,51,30,0.01,0.0,0
2012-11-21,46,39,T,0.0,0
2012-11-22,53,43,0.00,0.0,0
2012-11-23,62,31,0.00,0.0,0
2012-11-24,33,25,0.09,0.6,1
2012-11-25,28,23,0.11,1.6,3
2012-11-26,30,24,T,T,2
2012-11-27,29,21,0.03,0.2,2
2012-11-28,32,21,0.01,0.2,2
2012-11-29,30,17,T,T,2
2012-11-30,40,25,0.00,0.0,1
2012-12-01,31,27,0.00,0.0,1
2012-12-02,49,30,0.37,0.0,0
2012-12-03,46,37,0.00,0.0,0
2012-12-04,60,39,0.13,0.0,0
2012-12-05,46,26,0.01,0.2,T
2012-12-06,30,13,0.00,0.0,T
2012-12-07,38,28,0.00,0.0,0
2012-12-08,39,27,0.01,0.1,T
2012-12-09,34,22,0.00,0.0,0
2012-12-10,29,23,0.28,3.2,3
2012-12-11,27,16,T,0.1,3
2012-12-12,30,17,0.07,1.4,3
2012-12-13,36,18,0.00,0.0,2
2012-12-14,44,21,0.00,0.0,1
2012-12-15,37,23,0.00,0.0,1
2012-12-16,39,32,0.22,T,T
2012-12-17,42,34,0.10,T,T
2012-12-18,37,27,0.03,0.2,T
2012-12-19,38,26,T,T,T
2012-12-20,37,27,0.22,2.4,2
2012-12-21,33,25,1.17,3.2,7
2012-12-22,27,24,T,T,7
2012-12-23,29,20,0.00,0.0,7
2012-12-24,26,19,T,T,7
2012-12-25,24,17,0.21,1.1,8
2012-12-26,26,20,T,T,8
2012-12-27,25,14,T,0.1,8
2012-12-28,26,13,T,T,8
2012-12-29,28,16,0.01,0.1,8
2012-12-30,24,19,0.02,1.0,9
2012-12-31,29,17,T,T,9
2013-01-01,29,14,0.01,1.0,9
2013-01-02,22,15,T,T,8
2013-01-03,22,17,0.01,0.4,8
2013-01-04,25,20,T,T,8
2013-01-05,25,13,0.00,0.0,8
2013-01-06,34,14,0.01,T,7
2013-01-07,30,19,0.02,0.3,7
2013-01-08,40,24,0.00,0.0,7
2013-01-09,39,24,0.00,0.0,6
2013-01-10,39,18,0.00,0.0,6
2013-01-11,41,19,0.41,0.0,6
2013-01-12,45,35,0.00,0.0,1
2013-01-13,52,27,0.33,0.0,T
2013-01-14,28,15,0.05,0.6,1
2013-01-15,22,7,T,0.2,1
2013-01-16,25,7,T,T,1
2013-01-17,27,13,0.15,2.5,3
2013-01-18,16,-3,0.02,0.8,4
2013-01-19,36,-3,T,T,2
2013-01-20,37,11,0.18,1.2,2
2013-01-21,13,4,0.03,0.8,3
2013-01-22,12,-7,0.06,1.0,4
2013-01-23,5,-5,0.03,0.7,4
2013-01-24,12,-8,0.13,2.2,6
2013-01-25,12,-8,0.02,0.2,6
2013-01-26,17,9,0.06,1.2,7
2013-01-27,26,10,T,0.2,6
2013-01-28,28,20,0.53,3.0,10
2013-01-29,33,28,0.20,0.0,8
