date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-07-01,63,51,0.00,0.0,0
2009-07-02,67,53,0.03,0.0,0
2009-07-03,65,54,0.01,0.0,0
2009-07-04,64,47,0.00,0.0,0
2009-07-05,72,50,0.00,0.0,0
2009-07-06,76,49,0.00,0.0,0
2009-07-07,66,49,0.21,0.0,0
2009-07-08,65,49,0.00,0.0,0
2009-07-09,70,49,0.00,0.0,0
2009-07-10,79,59,0.00,0.0,0
2009-07-11,85,63,0.57,0.0,0
2009-07-12,75,51,0.00,0.0,0
2009-07-13,70,52,0.00,0.0,0
2009-07-14,73,48,0.00,0.0,0
2009-07-15,71,51,0.00,0.0,0
2009-07-16,78,57,0.05,0.0,0
2009-07-17,M,M,0.04,M,0
2009-07-18,62,51,0.04,0.0,0
2009-07-19,69,51,0.00,0.0,0
2009-07-20,66,48,0.00,0.0,0
2009-07-21,72,48,0.00,0.0,0
2009-07-22,80,59,0.00,0.0,0
2009-07-23,72,59,0.22,0.0,0
2009-07-24,63,59,1.00,0.0,0
2009-07-25,73,61,0.32,0.0,0
2009-07-26,73,56,1.20,0.0,0
2009-07-27,67,60,0.11,0.0,0
2009-07-28,81,58,0.02,0.0,0
2009-07-29,75,56,0.00,0.0,0
2009-07-30,76,56,0.00,0.0,0
2009-07-31,81,56,0.66,0.0,0
2009-08-01,69,56,0.00,0.0,0
2009-08-02,74,55,0.64,0.0,0
2009-08-03,72,58,0.17,0.0,0
2009-08-04,77,58,0.04,0.0,0
2009-08-05,70,52,0.00,0.0,0
2009-08-06,70,49,0.00,0.0,0
2009-08-07,72,49,0.00,0.0,0
2009-08-08,69,54,0.00,0.0,0
2009-08-09,70,60,1.47,0.0,0
2009-08-10,85,64,0.22,0.0,0
2009-08-11,85,60,0.02,0.0,0
2009-08-12,71,55,0.00,0.0,0
2009-08-13,75,59,0.00,0.0,0
2009-08-14,85,59,0.00,0.0,0
2009-08-15,86,65,1.68,0.0,0
2009-08-16,M,M,M,M,M
2009-08-17,M,M,0.24,0.0,0
2009-08-18,82,65,0.68,0.0,0
2009-08-19,79,54,0.00,0.0,0
2009-08-20,77,57,0.53,0.0,0
2009-08-21,73,60,0.17,0.0,0
2009-08-22,71,54,0.10,0.0,0
2009-08-23,66,54,0.03,0.0,0
2009-08-24,62,49,0.00,0.0,0
2009-08-25,74,49,0.00,0.0,0
2009-08-26,M,M,M,M,M
2009-08-27,M,M,M,M,M
2009-08-28,M,M,M,M,M
2009-08-29,M,M,0.41,0.0,0
2009-08-30,57,51,0.45,0.0,0
2009-08-31,63,44,0.00,0.0,0
2009-09-01,63,47,0.00,0.0,0
2009-09-02,73,47,0.00,0.0,0
2009-09-03,73,50,0.00,0.0,0
2009-09-04,73,55,0.00,0.0,0
2009-09-05,74,54,0.00,0.0,0
2009-09-06,76,56,0.00,0.0,0
2009-09-07,72,50,0.00,0.0,0
2009-09-08,73,51,0.00,0.0,0
2009-09-09,72,52,0.00,0.0,0
2009-09-10,75,54,0.00,0.0,0
2009-09-11,76,52,0.00,0.0,0
2009-09-12,74,45,0.00,0.0,0
2009-09-13,72,58,0.00,0.0,0
2009-09-14,69,56,0.00,0.0,0
2009-09-15,73,56,0.00,0.0,0
2009-09-16,69,56,0.00,0.0,0
2009-09-17,63,39,0.00,0.0,0
2009-09-18,68,40,0.00,0.0,0
2009-09-19,62,32,0.00,0.0,0
2009-09-20,71,38,0.00,0.0,0
2009-09-21,71,38,0.11,0.0,0
2009-09-22,71,47,0.36,0.0,0
2009-09-23,78,53,0.04,0.0,0
2009-09-24,72,47,0.01,0.0,0
2009-09-25,70,47,0.00,0.0,0
2009-09-26,58,49,0.00,0.0,0
2009-09-27,66,49,0.01,0.0,0
2009-09-28,72,51,0.38,0.0,0
2009-09-29,61,51,0.40,0.0,0
2009-09-30,51,41,0.02,0.0,0
2009-10-01,52,33,0.00,0.0,0
2009-10-02,50,32,0.00,0.0,0
2009-10-03,51,43,0.59,0.0,0
2009-10-04,56,44,0.10,0.0,0
2009-10-05,56,45,0.13,0.0,0
2009-10-06,M,M,M,0.0,0
2009-10-07,51,44,0.73A,0.0,0
2009-10-08,51,40,0.00,0.0,0
2009-10-09,61,43,0.00,0.0,0
2009-10-10,50,35,0.00,0.0,0
2009-10-11,52,27,0.00,0.0,0
2009-10-12,47,31,0.00,0.0,0
2009-10-13,46,33,1.50,0.0,0
2009-10-14,46,30,0.10,0.0,0
2009-10-15,45,29,0.00,0.0,0
2009-10-16,44,33,0.04,0.0,0
2009-10-17,42,29,0.00,0.0,0
2009-10-18,44,29,0.00,0.0,0
2009-10-19,52,29,0.00,0.0,0
2009-10-20,63,29,0.00,0.0,0
2009-10-21,63,29,0.00,0.0,0
2009-10-22,46,40,0.74,0.0,0
2009-10-23,41,38,0.05,0.0,0
2009-10-24,51,41,0.86,0.0,0
2009-10-25,46,34,0.03,0.0,0
2009-10-26,46,35,0.00,0.0,0
2009-10-27,50,35,0.62,0.0,0
2009-10-28,49,37,0.00,0.0,0
2009-10-29,49,39,0.00,0.0,0
2009-10-30,50,45,0.26,0.0,0
2009-10-31,66,48,0.42,0.0,0
2009-11-01,48,33,0.20,0.0,0
2009-11-02,45,33,0.02,0.0,0
2009-11-03,43,35,0.06,0.0,0
2009-11-04,44,33,0.01,0.0,0
2009-11-05,46,33,0.02,0.0,0
2009-11-06,43,26,0.00,0.0,0
2009-11-07,62,31,0.00,0.0,0
2009-11-08,49,31,0.00,0.0,0
2009-11-09,58,39,0.00,0.0,0
2009-11-10,59,34,0.00,0.0,0
2009-11-11,49,25,0.00,0.0,0
2009-11-12,54,25,0.00,0.0,0
2009-11-13,54,25,0.00,0.0,0
2009-11-14,54,35,0.00,0.0,0
2009-11-15,63,42,0.00,0.0,0
2009-11-16,45,29,0.00,0.0,0
2009-11-17,46,29,0.00,0.0,0
2009-11-18,45,30,0.00,0.0,0
2009-11-19,50,34,0.00,0.0,0
2009-11-20,49,37,0.02,0.0,0
2009-11-21,50,34,0.01,0.0,0
2009-11-22,50,34,0.00,0.0,0
2009-11-23,48,39,0.00,0.0,0
2009-11-24,45,43,0.00,0.0,0
2009-11-25,48,43,0.12,0.0,0
2009-11-26,51,43,0.18,0.0,0
2009-11-27,45,32,0.51,0.0,0
2009-11-28,45,33,0.00,0.0,0
2009-11-29,45,33,0.01,0.0,0
2009-11-30,45,30,0.06,0.0,0
2009-12-01,42,31,0.09,0.0,0
2009-12-02,42,31,0.00,0.0,0
2009-12-03,44,31,0.10,1.0,1
2009-12-04,31,23,0.06,0.6,1
2009-12-05,29,22,0.00,0.0,1
2009-12-06,28,22,0.02,0.1,1
2009-12-07,31,19,0.00,0.0,1
2009-12-08,30,15,0.10,1.6,2
2009-12-09,33,15,0.49,2.6,5
2009-12-10,31,16,0.40,2.4,8
2009-12-11,21,11,0.30,6.0,13
2009-12-12,16,8,0.06,1.2,12
2009-12-13,31,9,0.06,0.9,11
2009-12-14,32,17,0.00,0.0,8
2009-12-15,31,21,0.17,2.0,10
2009-12-16,23,13,T,T,10
2009-12-17,21,16,T,T,10
2009-12-18,25,12,T,T,9
2009-12-19,31,12,0.00,0.0,8
2009-12-20,32,19,0.04,T,8
2009-12-21,25,10,0.01,T,8
2009-12-22,25,10,1.20,1.2,8
2009-12-23,25,13,0.00,0.0,8
2009-12-24,26,21,0.00,0.0,7
2009-12-25,35,26,0.01,T,7
2009-12-26,38,32,0.38,T,3
2009-12-27,34,24,T,T,3
2009-12-28,34,23,0.01,0.7,4
2009-12-29,29,9,T,0.5,4
2009-12-30,23,10,T,T,4
2009-12-31,27,14,0.02,0.2,4
2010-01-01,31,14,1.80,3.9,7
2010-01-02,15,-0,0.15,1.6,6
2010-01-03,9,-0,0.05,1.6,6
2010-01-04,18,9,0.05,1.5,6
2010-01-05,21,16,T,1.0,7
2010-01-06,22,17,T,T,6
