date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1963-11-01,64,19,0.00,M,M
1963-11-02,55,36,0.00,M,M
1963-11-03,57,31,0.00,M,M
1963-11-04,53,37,0.15,M,M
1963-11-05,46,30,T,M,M
1963-11-06,53,36,0.06,M,M
1963-11-07,47,20,0.00,M,M
1963-11-08,51,37,0.21,M,M
1963-11-09,57,38,0.21,M,M
1963-11-10,55,32,0.00,M,M
1963-11-11,45,29,0.00,M,M
1963-11-12,49,32,0.00,M,M
1963-11-13,60,32,T,M,M
1963-11-14,67,44,T,M,M
1963-11-15,58,31,0.12,M,M
1963-11-16,M,M,0.00,M,M
1963-11-17,47,21,0.00,M,M
1963-11-18,51,28,0.00,M,M
1963-11-19,48,33,0.00,M,M
1963-11-20,40,33,0.14,M,M
1963-11-21,38,15,0.00,M,M
1963-11-22,38,26,T,M,M
1963-11-23,47,32,0.14,M,M
1963-11-24,48,33,0.13,M,M
1963-11-25,50,24,0.00,M,M
1963-11-26,37,25,0.00,M,M
1963-11-27,46,30,0.00,M,M
1963-11-28,39,14,0.00,M,M
1963-11-29,33,15,0.00,M,M
1963-11-30,30,22,0.00,M,M
1963-12-01,35,14,0.00,M,M
1963-12-02,27,21,0.00,M,M
1963-12-03,26,21,0.00,M,M
1963-12-04,25,21,0.00,M,M
1963-12-05,24,22,0.00,M,M
1963-12-06,43,22,T,M,M
1963-12-07,40,14,0.00,M,M
1963-12-08,40,20,0.00,M,M
1963-12-09,M,M,M,M,M
1963-12-10,M,M,M,M,M
1963-12-11,M,M,0.00,M,M
1963-12-12,M,M,0.00,M,M
1963-12-13,M,M,0.00,M,M
1963-12-14,M,M,0.00,M,M
1963-12-15,M,M,0.00,M,M
1963-12-16,38,25,0.00,M,M
1963-12-17,50,24,0.00,M,M
1963-12-18,35,20,0.00,M,M
1963-12-19,38,19,0.00,M,M
1963-12-20,42,28,0.12,M,M
1963-12-21,40,16,0.00,M,M
1963-12-22,36,19,0.00,M,M
1963-12-23,25,20,0.00,M,M
1963-12-24,24,18,0.00,M,M
1963-12-25,46,21,0.00,M,M
1963-12-26,35,18,0.15,M,M
1963-12-27,35,27,0.00,M,M
1963-12-28,36,27,0.20,M,M
1963-12-29,35,22,0.00,M,M
1963-12-30,31,26,T,M,M
1963-12-31,30,25,0.00,M,M
1964-01-01,36,23,0.00,M,0
1964-01-02,45,27,0.09,M,0
1964-01-03,41,19,0.00,M,0
1964-01-04,37,20,0.00,M,0
1964-01-05,38,16,0.00,M,0
1964-01-06,40,22,0.05,M,0
1964-01-07,40,22,0.20,M,0
1964-01-08,31,12,0.00,M,0
1964-01-09,34,12,0.00,M,0
1964-01-10,34,8,0.00,M,0
1964-01-11,35,4,0.00,M,0
1964-01-12,30,3,0.00,M,0
1964-01-13,19,-3,0.00,M,0
1964-01-14,26,11,0.11,M,3
1964-01-15,30,-4,0.00,M,M
1964-01-16,41,9,0.10,M,M
1964-01-17,40,13,T,M,M
1964-01-18,40,24,T,M,M
1964-01-19,42,20,0.08,M,M
1964-01-20,45,34,0.08,M,M
1964-01-21,37,26,0.35,M,3
1964-01-22,35,22,0.00,M,M
1964-01-23,34,12,T,M,M
1964-01-24,32,9,0.17,M,M
1964-01-25,40,31,T,M,M
1964-01-26,47,29,0.00,M,M
1964-01-27,40,27,0.00,M,M
1964-01-28,32,23,0.00,M,M
1964-01-29,33,22,T,M,M
1964-01-30,41,12,0.00,M,M
1964-01-31,32,20,0.00,M,M
1964-02-01,41,23,0.00,0.0,0
1964-02-02,40,15,0.00,0.0,0
1964-02-03,41,17,0.00,0.0,0
1964-02-04,33,18,0.00,0.0,0
1964-02-05,32,14,0.00,0.0,0
1964-02-06,37,9,0.00,0.0,0
1964-02-07,44,19,0.00,0.0,0
1964-02-08,45,19,0.00,0.0,0
1964-02-09,48,21,0.00,0.0,0
1964-02-10,47,21,0.00,0.0,0
1964-02-11,36,27,T,T,T
1964-02-12,35,14,0.00,0.0,0
1964-02-13,37,16,0.05,T,T
1964-02-14,36,19,0.00,0.0,0
1964-02-15,38,24,0.08,1.5,2
1964-02-16,36,18,0.00,0.0,0
1964-02-17,44,33,0.00,0.0,0
1964-02-18,50,24,0.00,0.0,0
1964-02-19,45,20,0.00,0.0,0
