date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1988-12-01,M,M,0.00,0.0,0
1988-12-02,M,M,0.00,0.0,M
1988-12-03,M,M,0.00,0.0,M
1988-12-04,51,19,0.00,0.0,M
1988-12-05,53,16,0.00,0.0,M
1988-12-06,62,14,0.00,0.0,M
1988-12-07,48,18,0.05,0.5,1
1988-12-08,27,1,0.05,1.0,2
1988-12-09,26,-0,0.00,M,1
1988-12-10,44,15,0.00,M,1
1988-12-11,38,20,T,T,T
1988-12-12,36,16,0.00,M,T
1988-12-13,52,28,0.00,M,T
1988-12-14,64,32,0.00,M,T
1988-12-15,33,12,0.15,3.0,3
1988-12-16,16,1,0.00,M,3
1988-12-17,35,9,0.00,M,2
1988-12-18,46,19,0.00,M,1
1988-12-19,53,32,T,T,T
1988-12-20,55,20,0.00,M,T
1988-12-21,38,21,0.00,M,T
1988-12-22,46,25,0.00,M,T
1988-12-23,37,15,0.00,M,T
1988-12-24,36,11,0.00,M,T
1988-12-25,33,12,0.00,M,M
1988-12-26,40,11,0.00,M,M
1988-12-27,25,-3,0.00,M,M
1988-12-28,26,1,0.00,M,M
1988-12-29,33,6,0.00,M,M
1988-12-30,37,8,0.00,M,M
1988-12-31,45,9,0.00,M,M
1989-01-01,50,9,0.00,0.0,0
1989-01-02,45,13,0.00,0.0,0
1989-01-03,54,12,0.00,0.0,0
1989-01-04,57,17,0.00,0.0,0
1989-01-05,60,31,0.09,2.0,2
1989-01-06,48,27,0.00,0.0,T
1989-01-07,50,10,0.00,0.0,T
1989-01-08,25,1,0.00,0.0,0
1989-01-09,30,6,0.00,0.0,0
1989-01-10,45,21,0.00,0.0,0
1989-01-11,53,21,0.00,0.0,0
1989-01-12,24,1,0.03,T,T
1989-01-13,28,1,0.00,0.0,0
1989-01-14,37,11,0.00,0.0,0
1989-01-15,41,5,0.00,0.0,0
1989-01-16,33,6,0.00,0.0,0
1989-01-17,50,18,0.00,0.0,0
1989-01-18,54,14,0.00,0.0,0
1989-01-19,54,19,0.00,0.0,0
1989-01-20,48,20,0.00,0.0,0
1989-01-21,55,25,0.00,0.0,0
1989-01-22,57,22,0.00,0.0,0
1989-01-23,61,17,0.00,0.0,0
1989-01-24,54,19,0.00,0.0,0
1989-01-25,24,19,0.10,1.0,1
1989-01-26,27,5,0.02,0.3,T
1989-01-27,45,9,0.00,0.0,T
1989-01-28,55,26,0.00,0.0,T
1989-01-29,27,19,0.25,2.5,3
1989-01-30,42,22,0.00,0.0,1
1989-01-31,61,32,0.00,0.0,T
1989-02-01,68,4,0.00,0.0,0
1989-02-02,23,-8,0.00,0.0,0
1989-02-03,-2,-20,0.00,0.0,0
1989-02-04,-8,-19,T,T,T
1989-02-05,-12,-18,0.05,1.0,1
1989-02-06,-1,-18,0.00,0.0,1
1989-02-07,9,-5,0.00,0.0,1
1989-02-08,26,-13,0.00,0.0,T
1989-02-09,19,-5,0.00,0.0,T
1989-02-10,48,2,0.00,0.0,T
1989-02-11,54,26,0.00,0.0,T
1989-02-12,45,21,0.00,0.0,0
1989-02-13,43,12,0.00,0.0,0
1989-02-14,31,12,0.00,0.0,0
1989-02-15,31,3,0.00,0.0,0
1989-02-16,36,4,0.00,0.0,0
1989-02-17,45,12,0.00,0.0,0
1989-02-18,22,14,0.00,0.0,0
1989-02-19,43,20,0.00,0.0,0
1989-02-20,42,20,0.00,0.0,0
1989-02-21,34,22,T,T,T
1989-02-22,42,17,0.00,0.0,0
1989-02-23,44,21,0.00,0.0,0
1989-02-24,63,23,0.00,0.0,0
1989-02-25,65,36,0.00,0.0,0
