date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2003-12-17,44,19,0.00,M,M
2003-12-18,55,30,1.25,M,M
2003-12-19,38,23,0.00,M,M
2003-12-20,37,22,0.00,M,M
2003-12-21,38,17,0.00,M,M
2003-12-22,33,16,0.00,M,M
2003-12-23,51,27,0.00,M,M
2003-12-24,54,40,T,M,M
2003-12-25,58,45,1.04,M,M
2003-12-26,46,29,T,M,M
2003-12-27,46,29,0.00,M,M
2003-12-28,50,23,0.00,M,M
2003-12-29,52,22,0.00,M,M
2003-12-30,56,27,0.00,M,M
2003-12-31,51,35,T,M,M
2004-01-01,51,31,0.00,M,M
2004-01-02,51,24,M,1.8,M
2004-01-03,35,28,0.20,2.0,1
2004-01-04,M,M,M,M,M
2004-01-05,M,M,M,M,M
2004-01-06,M,M,M,M,M
2004-01-07,M,M,M,M,M
2004-01-08,M,M,M,M,M
2004-01-09,M,M,M,M,M
2004-01-10,M,M,M,M,M
2004-01-11,M,M,M,M,M
2004-01-12,M,M,M,M,M
2004-01-13,M,M,M,M,M
2004-01-14,M,M,M,M,M
2004-01-15,M,M,M,M,M
2004-01-16,M,M,M,M,M
2004-01-17,M,M,M,M,M
2004-01-18,M,M,M,M,M
2004-01-19,M,M,3.60,3.6,4
2004-01-20,25,11,0.00,M,M
2004-01-21,23,9,0.00,M,M
2004-01-22,27,4,0.00,M,M
2004-01-23,32,4,0.00,M,M
2004-01-24,20,1,0.00,M,M
2004-01-25,17,-2,0.00,M,M
2004-01-26,15,-3,0.00,M,M
2004-01-27,21,5,0.00,M,M
2004-01-28,24,12,7.50,7.1,M
2004-01-29,27,13,2.40,M,2
2004-01-30,27,7,0.00,M,M
2004-01-31,24,7,0.00,M,M
2004-02-01,25,10,0.00,M,M
2004-02-02,32,10,0.00,M,M
2004-02-03,40,13,0.00,M,M
2004-02-04,47,25,0.75,M,M
2004-02-05,43,19,0.00,M,M
2004-02-06,43,18,0.10,0.1,5
2004-02-07,33,25,1.10,M,M
2004-02-08,39,12,T,M,M
2004-02-09,26,12,0.00,M,M
2004-02-10,39,15,0.00,M,M
2004-02-11,46,28,0.00,M,M
2004-02-12,46,13,0.00,M,M
2004-02-13,35,13,0.00,M,M
2004-02-14,40,25,0.00,M,M
2004-02-15,40,20,0.00,M,M
2004-02-16,23,1,0.00,M,M
2004-02-17,29,1,0.00,M,M
2004-02-18,32,10,T,M,M
2004-02-19,35,22,T,M,M
2004-02-20,41,19,0.00,M,M
2004-02-21,38,19,T,M,M
2004-02-22,41,29,0.30,M,M
2004-02-23,40,25,0.00,M,M
2004-02-24,43,21,0.00,M,M
2004-02-25,36,19,0.00,M,M
2004-02-26,40,18,0.00,M,M
2004-02-27,43,20,0.00,M,M
2004-02-28,M,M,M,M,M
2004-02-29,54,27,0.00,M,M
2004-03-01,51,29,0.00,M,M
2004-03-02,59,32,0.00,M,M
2004-03-03,62,38,0.00,M,M
2004-03-04,51,32,T,M,M
2004-03-05,47,31,0.15,M,M
2004-03-06,48,35,0.48,M,M
2004-03-07,55,31,T,M,M
2004-03-08,47,31,0.16,M,M
2004-03-09,33,25,1.50,M,M
2004-03-10,33,23,T,M,M
2004-03-11,41,27,0.00,M,M
2004-03-12,51,29,0.00,M,M
2004-03-13,44,26,0.00,M,M
2004-03-14,40,17,0.00,M,M
2004-03-15,41,19,0.00,M,M
2004-03-16,53,25,0.00,M,M
2004-03-17,38,24,0.40,4.0,M
