date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-07-27,81,66,0.00,M,M
1999-07-28,87,61,0.00,M,M
1999-07-29,83,56,0.00,M,M
1999-07-30,82,69,0.00,M,M
1999-07-31,81,69,0.00,M,M
1999-08-01,87,73,T,M,M
1999-08-02,85,65,0.00,M,M
1999-08-03,80,60,0.00,M,M
1999-08-04,79,57,0.00,M,M
1999-08-05,79,58,0.01,M,M
1999-08-06,82,59,0.00,M,M
1999-08-07,80,60,0.00,M,M
1999-08-08,79,63,1.19,M,M
1999-08-09,77,59,0.00,M,M
1999-08-10,73,50,0.00,M,M
1999-08-11,73,63,0.68,M,M
1999-08-12,83,67,T,M,M
1999-08-13,78,68,T,M,M
1999-08-14,79,69,0.32,M,M
1999-08-15,71,65,0.07,M,M
1999-08-16,76,60,0.00,M,M
1999-08-17,79,67,0.00,M,M
1999-08-18,86,69,0.00,M,M
1999-08-19,78,56,0.00,M,M
1999-08-20,72,53,0.17,M,M
1999-08-21,66,58,T,M,M
1999-08-22,69,59,T,M,M
1999-08-23,79,58,0.00,M,M
1999-08-24,84,56,0.01,M,M
1999-08-25,79,57,0.00,M,M
1999-08-26,74,62,0.34,M,M
1999-08-27,77,68,0.19,M,M
1999-08-28,81,70,0.00,M,M
1999-08-29,84,63,0.00,M,M
1999-08-30,70,54,0.00,M,M
1999-08-31,75,52,0.00,M,M
1999-09-01,77,50,0.00,M,M
1999-09-02,81,49,0.00,M,M
1999-09-03,78,53,0.01,M,M
1999-09-04,80,63,0.01,M,M
1999-09-05,80,64,0.00,M,M
1999-09-06,78,71,0.14,M,M
1999-09-07,79,71,0.00,M,M
1999-09-08,75,70,0.58,M,M
1999-09-09,77,71,0.01,M,M
1999-09-10,73,66,2.43,M,M
1999-09-11,79,57,0.01,M,M
1999-09-12,77,53,0.01,M,M
1999-09-13,72,52,0.00,M,M
1999-09-14,73,63,0.11,M,M
1999-09-15,76,64,1.06,M,M
1999-09-16,75,65,T,M,M
1999-09-17,66,56,T,M,M
1999-09-18,73,49,0.00,M,M
1999-09-19,71,45,0.00,M,M
1999-09-20,70,49,0.00,M,M
1999-09-21,69,59,0.00,M,M
1999-09-22,64,51,0.01,M,M
1999-09-23,70,48,0.00,M,M
1999-09-24,73,61,0.00,M,M
1999-09-25,73,53,0.01,M,M
1999-09-26,67,47,0.00,M,M
1999-09-27,67,46,0.00,M,M
1999-09-28,68,51,0.01,M,M
1999-09-29,69,58,0.00,M,M
1999-09-30,72,48,0.00,M,M
1999-10-01,66,42,0.00,M,M
1999-10-02,67,46,0.00,M,M
1999-10-03,74,57,0.00,M,M
1999-10-04,69,44,0.14,M,M
1999-10-05,50,43,0.16,M,M
1999-10-06,62,38,0.00,M,M
1999-10-07,53,32,0.00,M,M
1999-10-08,61,30,0.00,M,M
1999-10-09,66,56,T,M,M
1999-10-10,65,54,0.60,M,M
1999-10-11,68,48,0.00,M,M
1999-10-12,62,42,0.00,M,M
1999-10-13,68,42,0.53,M,M
1999-10-14,65,37,0.52,M,M
1999-10-15,55,30,0.00,M,M
1999-10-16,67,37,0.00,M,M
1999-10-17,67,49,0.36,M,M
1999-10-18,63,41,0.94,M,M
1999-10-19,53,33,0.00,M,M
1999-10-20,57,49,0.90,M,M
1999-10-21,59,38,0.00,M,M
1999-10-22,60,36,0.00,M,M
1999-10-23,57,46,0.19,M,M
1999-10-24,58,40,0.00,M,M
1999-10-25,55,37,0.00,M,M
1999-10-26,64,37,0.00,M,M
1999-10-27,63,39,0.00,M,M
1999-10-28,54,36,0.00,M,M
1999-10-29,62,45,0.00,M,M
1999-10-30,61,43,0.00,M,M
1999-10-31,64,56,0.00,M,M
1999-11-01,65,42,0.00,M,M
1999-11-02,66,41,0.53,M,M
1999-11-03,64,43,0.73,M,M
1999-11-04,51,46,0.00,M,M
1999-11-05,59,44,0.00,M,M
1999-11-06,65,49,0.00,M,M
1999-11-07,48,34,0.00,M,M
1999-11-08,43,27,0.00,M,M
1999-11-09,58,27,0.00,M,M
1999-11-10,68,56,0.01,M,M
1999-11-11,60,28,0.05,M,M
1999-11-12,50,28,0.02,M,M
1999-11-13,57,35,T,M,M
1999-11-14,57,32,0.01,M,M
1999-11-15,45,35,0.00,M,M
1999-11-16,40,30,0.00,M,M
1999-11-17,42,30,0.00,M,M
1999-11-18,48,27,0.00,M,M
1999-11-19,57,33,0.00,M,M
1999-11-20,61,38,0.13,M,M
1999-11-21,60,42,T,M,M
1999-11-22,53,44,0.02,M,M
1999-11-23,61,50,0.02,M,M
1999-11-24,59,53,0.06,M,M
1999-11-25,57,47,0.12,M,M
1999-11-26,62,47,0.01,M,M
1999-11-27,61,38,0.33,M,M
1999-11-28,50,32,0.00,M,M
1999-11-29,47,31,T,M,M
1999-11-30,39,27,0.00,M,M
1999-12-01,M,M,M,M,M
1999-12-02,51,25,0.00,M,M
1999-12-03,53,36,0.00,M,M
1999-12-04,64,42,T,M,M
1999-12-05,62,36,0.00,M,M
1999-12-06,61,58,1.08,M,M
1999-12-07,61,41,1.01,M,M
1999-12-08,55,36,0.00,M,M
1999-12-09,50,29,0.00,M,M
1999-12-10,59,31,0.02,M,M
1999-12-11,49,36,0.00,M,M
1999-12-12,50,32,0.00,M,M
1999-12-13,54,31,0.12,M,M
1999-12-14,48,43,0.49,M,M
1999-12-15,52,46,0.04,M,M
1999-12-16,56,42,0.01,M,M
1999-12-17,46,38,0.00,M,M
1999-12-18,44,32,0.00,M,M
1999-12-19,43,32,0.00,M,M
1999-12-20,64,34,0.06,M,M
1999-12-21,M,M,0.02,M,M
1999-12-22,M,M,0.00,M,M
1999-12-23,39,18,0.00,M,M
1999-12-24,31,18,T,M,M
1999-12-25,25,11,0.00,M,M
1999-12-26,40,14,0.00,M,M
1999-12-27,34,27,0.00,M,M
1999-12-28,27,17,0.00,M,M
1999-12-29,36,23,0.00,M,M
1999-12-30,45,31,0.00,M,M
1999-12-31,38,20,T,M,M
