date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-03-08,M,M,0.00,M,M
2000-03-09,M,M,M,M,M
2000-03-10,61,18,0.11,0.0,7
2000-03-11,30,18,0.00,0.0,7
2000-03-12,32,25,0.80,4.5,10
2000-03-13,36,14,0.04,0.2,10
2000-03-14,28,10,0.00,0.0,9
2000-03-15,41,23,0.00,0.0,9
2000-03-16,48,34,0.00,0.0,9
2000-03-17,53,20,0.50,4.0,12
2000-03-18,25,4,0.00,0.0,12
2000-03-19,35,9,0.00,0.0,12
2000-03-20,42,20,0.00,0.0,12
2000-03-21,49,23,0.00,0.0,8
2000-03-22,51,30,0.00,0.0,7
2000-03-23,54,29,0.00,0.0,7
2000-03-24,56,34,0.00,0.0,5
2000-03-25,53,26,0.00,0.0,4
2000-03-26,52,30,0.13,0.0,3
2000-03-27,48,26,0.00,0.0,3
2000-03-28,51,33,0.22,0.0,2
2000-03-29,50,30,0.57,0.0,0
2000-03-30,42,32,0.05,0.6,T
2000-03-31,40,27,0.07,0.5,T
2000-04-01,44,26,0.00,0.0,0
2000-04-02,55,M,0.00,0.0,0
2000-04-03,51,39,0.39,0.0,0
2000-04-04,45,39,1.14,0.0,0
2000-04-05,54,31,0.10,0.0,0
2000-04-06,39,25,0.01,1.0,1
2000-04-07,42,30,0.03,0.0,M
2000-04-08,50,35,0.27,0.0,M
2000-04-09,69,31,0.31,0.0,0
2000-04-10,33,22,0.83,4.5,5
2000-04-11,41,23,0.00,0.0,3
2000-04-12,43,27,0.40,4.5,5
2000-04-13,35,16,0.00,0.0,4
2000-04-14,41,21,0.00,0.0,2
2000-04-15,55,27,0.00,0.0,0
2000-04-16,72,47,0.00,0.0,0
2000-04-17,55,27,0.00,0.0,0
2000-04-18,44,29,0.00,0.0,0
2000-04-19,44,32,0.01,0.0,0
2000-04-20,46,33,0.02,0.0,0
2000-04-21,57,39,0.15,0.0,0
2000-04-22,40,32,0.55,1.0,1
2000-04-23,39,33,0.41,0.0,0
2000-04-24,40,31,0.25,2.0,2
2000-04-25,41,28,0.20,0.0,0
2000-04-26,50,30,0.00,0.0,0
2000-04-27,42,32,0.35,2.3,2
2000-04-28,40,32,0.02,0.0,0
2000-04-29,53,31,0.00,0.0,0
2000-04-30,67,33,0.00,0.0,0
2000-05-01,49,29,0.00,0.0,0
2000-05-02,57,34,0.25,0.0,0
2000-05-03,53,30,0.00,0.0,0
2000-05-04,66,38,0.00,0.0,0
2000-05-05,74,48,0.32,0.0,0
2000-05-06,71,54,0.00,0.0,0
2000-05-07,69,49,0.20,0.0,0
2000-05-08,82,53,0.10,0.0,0
2000-05-09,74,60,0.67,0.0,0
