date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2002-02-14,22,3,0.00,0.0,1
2002-02-15,36,18,0.00,0.0,0
2002-02-16,M,M,M,M,M
2002-02-17,M,M,M,M,M
2002-02-18,M,M,M,M,M
2002-02-19,49,3,0.00,0.0,2
2002-02-20,48,22,0.00,0.0,2
2002-02-21,53,36,0.22,0.0,0
2002-02-22,50,31,0.18,1.0,1
2002-02-23,50,22,0.00,0.0,0
2002-02-24,37,13,0.00,0.0,0
2002-02-25,M,M,M,M,M
2002-02-26,54,20,0.00,0.0,0
2002-02-27,58,31,0.20,0.5,1
2002-02-28,35,11,0.00,T,1
2002-03-01,34,7,0.00,0.0,1
2002-03-02,34,15,0.00,0.0,0
2002-03-03,M,M,0.40,0.0,0
2002-03-04,60,22,0.09,0.0,0
2002-03-05,26,11,T,T,0
2002-03-06,28,15,0.02,T,0
2002-03-07,39,26,0.03,0.0,0
2002-03-08,37,28,0.07,0.1,1
2002-03-09,57,35,0.00,0.0,0
2002-03-10,62,28,0.60,0.0,0
2002-03-11,33,16,0.04,2.0,3
2002-03-12,36,16,0.01,T,1
2002-03-13,40,24,0.02,0.0,0
2002-03-14,47,36,0.02,0.0,0
2002-03-15,52,28,0.00,0.0,0
2002-03-16,57,37,0.12,0.0,0
2002-03-17,40,14,T,0.0,0
2002-03-18,42,27,0.03,0.5,0
2002-03-19,33,29,0.07,T,1
2002-03-20,39,30,0.00,0.0,0
2002-03-21,34,16,0.28,3.0,3
2002-03-22,41,4,0.10,0.5,3
2002-03-23,41,6,0.05,0.0,0
2002-03-24,34,16,0.01,0.0,0
2002-03-25,37,12,0.05,2.0,2
2002-03-26,38,23,0.00,0.0,1
2002-03-27,40,29,1.73,0.5,3
2002-03-28,40,25,0.00,0.0,2
2002-03-29,48,23,0.00,0.0,0
2002-03-30,M,M,M,M,M
2002-03-31,M,M,M,M,M
2002-04-01,60,20,0.26,0.0,0
2002-04-02,42,30,0.03,0.0,0
2002-04-03,52,32,0.01,0.0,0
2002-04-04,M,M,M,M,M
2002-04-05,M,M,M,M,M
2002-04-06,M,M,M,M,M
2002-04-07,M,M,M,M,M
2002-04-08,40,33,0.00,0.0,0
2002-04-09,57,36,0.00,0.0,0
2002-04-10,66,39,0.26,0.0,0
2002-04-11,54,28,0.00,0.0,0
2002-04-12,53,31,0.00,0.0,0
2002-04-13,68,53,0.00,0.0,0
2002-04-14,62,48,0.55,0.0,0
2002-04-15,68,49,1.27,0.0,0
2002-04-16,70,50,0.00,0.0,0
2002-04-17,83,57,T,0.0,0
2002-04-18,84,65,0.00,0.0,0
2002-04-19,M,M,M,M,M
2002-04-20,M,M,M,M,M
2002-04-21,M,M,M,M,M
2002-04-22,58,24,0.00,0.0,0
2002-04-23,M,M,M,M,M
2002-04-24,44,26,0.00,0.0,0
2002-04-25,58,29,0.00,0.0,0
2002-04-26,58,31,0.41,T,T
2002-04-27,M,M,M,M,M
2002-04-28,M,M,M,M,M
2002-04-29,40,34,0.37,0.0,0
2002-04-30,38,31,0.13,T,0
2002-05-01,48,25,0.30,0.0,0
2002-05-02,52,30,0.10,0.0,0
2002-05-03,51,37,0.42,0.0,0
2002-05-04,62,28,0.00,0.0,0
2002-05-05,66,19,0.00,0.0,0
2002-05-06,74,45,0.00,0.0,0
2002-05-07,68,37,0.00,0.0,0
2002-05-08,69,45,0.13,0.0,0
2002-05-09,54,49,0.25,0.0,0
2002-05-10,64,39,0.00,0.0,0
2002-05-11,66,38,0.00,0.0,0
2002-05-12,M,M,M,0.0,0
2002-05-13,59,40,0.61,0.0,0
2002-05-14,44,36,1.19,0.0,0
2002-05-15,48,33,0.48,0.0,0
2002-05-16,58,37,0.02,0.0,0
2002-05-17,72,31,0.58,0.0,0
2002-05-18,60,33,0.00,2.0,2
2002-05-19,41,29,0.00,0.0,0
2002-05-20,60,24,0.02,0.0,0
2002-05-21,48,31,0.01,0.0,0
2002-05-22,M,31,0.15,0.0,0
2002-05-23,61,41,0.00,0.0,0
2002-05-24,71,48,0.00,0.0,0
2002-05-25,72,32,0.05,0.0,0
2002-05-26,68,46,0.00,0.0,0
2002-05-27,66,34,0.00,0.0,0
2002-05-28,77,54,0.00,0.0,0
2002-05-29,81,50,0.00,0.0,0
2002-05-30,72,63,0.07,0.0,0
2002-05-31,76,64,0.05,0.0,0
2002-06-01,78,45,1.00,0.0,0
2002-06-02,M,M,M,0.0,0
2002-06-03,78,34,0.15,0.0,0
2002-06-04,64,32,0.00,0.0,0
2002-06-05,71,54,0.22,0.0,0
2002-06-06,80,54,1.06,0.0,0
2002-06-07,60,48,0.03,0.0,0
2002-06-08,70,40,0.00,0.0,0
2002-06-09,72,61,0.01,0.0,0
2002-06-10,79,45,T,0.0,0
2002-06-11,70,44,T,0.0,0
2002-06-12,M,M,M,0.0,0
2002-06-13,82,45,1.77,0.0,0
2002-06-14,74,48,0.01,0.0,0
2002-06-15,66,52,0.10,0.0,0
2002-06-16,M,45,0.27,0.0,0
2002-06-17,66,45,0.33,0.0,0
2002-06-18,66,51,0.00,0.0,0
2002-06-19,72,43,0.00,0.0,0
2002-06-20,77,46,0.00,0.0,0
2002-06-21,83,55,0.00,0.0,0
2002-06-22,84,64,0.00,0.0,0
2002-06-23,83,61,0.26,0.0,0
2002-06-24,82,62,0.02,0.0,0
2002-06-25,78,40,T,0.0,0
2002-06-26,80,63,0.00,0.0,0
2002-06-27,80,68,0.83,0.0,0
2002-06-28,80,65,0.20,0.0,0
2002-06-29,78,51,0.02,0.0,0
2002-06-30,80,51,0.00,0.0,0
2002-07-01,82,64,0.00,0.0,0
2002-07-02,82,67,0.00,0.0,0
2002-07-03,81,67,0.00,0.0,0
2002-07-04,81,66,0.00,0.0,0
2002-07-05,91,48,0.00,0.0,0
2002-07-06,84,49,0.01,0.0,0
2002-07-07,78,44,0.10,0.0,0
