date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1986-10-01,73,57,0.25,0.0,0
1986-10-02,69,46,0.05,0.0,0
1986-10-03,62,42,0.15,0.0,0
1986-10-04,58,43,0.35,0.0,0
1986-10-05,M,41,0.30,0.0,0
1986-10-06,49,37,0.20,0.0,0
1986-10-07,M,32,0.15,0.0,0
1986-10-08,M,M,0.00,0.0,0
1986-10-09,67,49,T,0.0,0
1986-10-10,49,26,0.00,0.0,0
1986-10-11,47,20,0.00,0.0,0
1986-10-12,54,26,0.00,0.0,0
1986-10-13,60,34,0.05,0.0,0
1986-10-14,57,46,0.15,0.0,0
1986-10-15,61,44,0.35,0.0,0
1986-10-16,50,40,0.00,0.0,0
1986-10-17,49,30,0.00,0.0,0
1986-10-18,52,28,0.00,0.0,0
1986-10-19,50,26,0.00,0.0,0
1986-10-20,62,31,0.00,0.0,0
1986-10-21,64,33,0.00,0.0,0
1986-10-22,64,36,0.05,0.0,0
1986-10-23,64,39,0.00,0.0,0
1986-10-24,62,31,0.10,0.0,0
1986-10-25,44,21,0.00,0.0,0
1986-10-26,55,27,0.00,0.0,0
1986-10-27,52,M,0.30,0.0,0
1986-10-28,47,43,0.10,0.0,0
1986-10-29,50,37,T,0.0,0
1986-10-30,64,40,0.10,0.0,0
1986-10-31,40,21,0.00,0.0,0
1986-11-01,48,28,0.00,0.0,0
1986-11-02,59,28,0.10,0.0,0
1986-11-03,59,23,T,0.0,0
1986-11-04,44,30,T,0.0,0
1986-11-05,42,15,0.00,0.0,0
1986-11-06,34,15,T,T,0
1986-11-07,37,32,0.20,0.0,0
1986-11-08,53,33,T,0.0,0
1986-11-09,52,M,0.40,0.0,0
1986-11-10,58,33,0.05,0.0,0
1986-11-11,41,22,0.00,0.0,0
1986-11-12,32,28,S,0.5,0
1986-11-13,40,24,0.10A,1.0,M
1986-11-14,26,9,0.00,0.0,M
1986-11-15,30,12,0.00,0.0,M
1986-11-16,36,31,0.00,0.0,0
1986-11-17,39,32,S,0.1,0
1986-11-18,45,32,0.10A,0.0,0
1986-11-19,35,21,0.00,0.0,0
1986-11-20,25,8,0.00,0.0,0
1986-11-21,29,14,S,11.0,11
1986-11-22,29,14,M,M,11
1986-11-23,29,13,M,M,11
1986-11-24,40,M,0.80A,6.0,M
1986-11-25,46,28,S,5.0,M
1986-11-26,39,16,M,0.0,M
1986-11-27,M,M,M,0.0,M
1986-11-28,38,19,1.20A,0.0,M
1986-11-29,47,25,0.00,0.0,M
1986-11-30,40,15,T,T,2
1986-12-01,20,7,M,M,0
1986-12-02,M,M,M,0.0,M
1986-12-03,40,7,M,M,0
1986-12-04,43,32,M,M,M
1986-12-05,34,27,M,0.0,1
1986-12-06,32,9,M,0.0,M
1986-12-07,36,5,M,1.0,1
1986-12-08,34,2,M,4.0,5
1986-12-09,13,-5,M,M,4
1986-12-10,36,14,M,0.7,5
1986-12-11,39,18,M,M,5
1986-12-12,28,15,M,M,4
1986-12-13,33,2,M,1.0,4
1986-12-14,33,-10,M,M,4
1986-12-15,33,M,M,M,4
1986-12-16,32,24,M,M,1
1986-12-17,32,20,M,1.3,5
1986-12-18,32,23,M,M,1
1986-12-19,M,M,M,3.0,7
1986-12-20,M,M,M,T,7
1986-12-21,M,M,M,T,7
1986-12-22,M,M,M,M,7
1986-12-23,M,M,M,M,6
1986-12-24,M,M,M,M,6
1986-12-25,M,M,M,M,6
1986-12-26,M,M,M,M,5
1986-12-27,M,M,M,M,5
1986-12-28,M,M,M,M,5
1986-12-29,M,M,M,M,5
1986-12-30,M,M,M,M,4
1986-12-31,32,22,M,M,4
1987-01-01,M,M,0.00,0.0,M
1987-01-02,26,3,0.00,0.0,M
1987-01-03,29,17,0.40,7.0,11
1987-01-04,19,-0,T,T,11
1987-01-05,28,2,0.00,0.0,10
1987-01-06,26,6,0.00,0.0,10
1987-01-07,30,M,0.00,0.0,10
1987-01-08,32,14,0.20,4.0,13
1987-01-09,23,7,M,1.0,13
1987-01-10,28,18,T,T,13
1987-01-11,29,18,0.50,7.0,19
1987-01-12,M,22,0.20,3.0,22
1987-01-13,26,24,0.05,2.0,24
1987-01-14,26,7,M,1.0,22
1987-01-15,39,11,T,0.0,21
1987-01-16,40,11,0.00,0.0,19
1987-01-17,19,-17,0.00,0.0,19
1987-01-18,14,-15,0.00,0.0,19
