date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1954-11-11,54,6,M,M,M
1954-11-12,36,M,M,M,M
1954-11-13,30,2,M,M,M
1954-11-14,31,M,M,M,M
1954-11-15,27,1,M,M,M
1954-11-16,38,M,M,M,M
1954-11-17,47,28,M,M,M
1954-11-18,46,27,0.20,M,M
1954-11-19,51,32,0.10,M,M
1954-11-20,52,43,0.32,M,M
1954-11-21,51,21,1.00,M,M
1954-11-22,22,15,0.80,M,M
1954-11-23,23,15,0.00,0.0,2
1954-11-24,24,20,0.00,0.2,2
1954-11-25,28,19,0.30,M,6
1954-11-26,30,21,0.10,M,7
1954-11-27,M,18,0.00,0.0,7
1954-11-28,M,20,0.18,1.5,8
1954-11-29,M,26,0.10,0.0,M
1954-11-30,M,20,0.38,0.0,M
1954-12-01,M,6,0.20,1.0,15
1954-12-02,M,4,0.03,1.5,15
1954-12-03,M,M,0.00,0.0,15
1954-12-04,M,2,0.00,0.0,15
1954-12-05,M,-0,0.20,2.0,15
1954-12-06,M,-6,0.00,0.0,15
1954-12-07,M,-2,0.04,1.5,15
1954-12-08,M,2,0.20,M,30
1954-12-09,M,12,0.00,0.0,M
1954-12-10,M,18,0.24,2.0,21
1954-12-11,M,5,0.02,1.0,M
1954-12-12,M,9,0.00,0.0,M
1954-12-13,M,8,0.00,0.0,M
1954-12-14,M,11,0.00,0.0,M
1954-12-15,M,16,0.32,1.5,21
1954-12-16,34,6,0.15,M,M
1954-12-17,M,M,S,M,M
1954-12-18,M,12,0.65A,0.0,M
1954-12-19,M,15,0.16,1.0,24
1954-12-20,M,7,0.00,0.0,M
1954-12-21,M,6,0.15,M,24
1954-12-22,M,-5,0.31,0.5,24
1954-12-23,M,-3,0.18,1.8,24
1954-12-24,M,-3,0.00,0.0,M
1954-12-25,M,-3,0.25,M,M
1954-12-26,M,3,0.00,M,M
1954-12-27,M,12,0.00,0.0,M
1954-12-28,M,25,0.10,M,36
1954-12-29,M,-7,0.73,M,30
1954-12-30,M,-11,S,M,M
1954-12-31,26,11,0.90A,0.0,M
1955-01-01,27,15,0.00,0.0,M
1955-01-02,28,16,0.37,4.0,36
1955-01-03,M,4,0.15,0.0,36
1955-01-04,22,4,0.15,0.0,36
1955-01-05,25,3,0.00,0.0,36
1955-01-06,24,8,0.17,1.0,M
1955-01-07,M,-12,0.21,M,M
1955-01-08,18,-2,0.00,0.0,40
1955-01-09,25,-8,0.00,0.0,40
1955-01-10,20,5,0.00,0.0,40
1955-01-11,22,-0,0.00,0.0,40
1955-01-12,14,5,0.00,0.0,40
1955-01-13,18,-2,0.00,0.0,40
1955-01-14,2,-10,0.00,0.0,40
1955-01-15,21,-2,0.00,0.0,40
1955-01-16,20,-3,0.21,6.0,36
1955-01-17,10,-8,0.00,0.0,36
1955-01-18,5,-10,S,0.0,36
1955-01-19,26,-0,M,0.0,36
1955-01-20,5,-10,0.17A,0.0,M
1955-01-21,M,-11,0.00,M,M
1955-01-22,17,6,0.07,1.5,42
1955-01-23,17,3,0.06,1.0,42
1955-01-24,20,4,0.10,1.5,42
1955-01-25,M,5,0.00,0.0,42
1955-01-26,16,8,0.03,1.0,42
1955-01-27,15,-9,0.05,0.0,42
1955-01-28,17,-19,0.00,0.0,42
1955-01-29,10,-22,0.00,0.0,42
1955-01-30,5,-19,T,T,42
1955-01-31,-2,-21,0.00,0.0,42
1955-02-01,M,-14,M,0.5,42
1955-02-02,11,-11,0.00,0.0,42
1955-02-03,-1,-20,0.00,0.0,42
1955-02-04,13,-5,0.00,0.0,M
1955-02-05,25,-11,0.00,0.0,42
1955-02-06,31,M,0.15,1.0,M
1955-02-07,34,12,0.50,M,M
1955-02-08,22,-2,0.00,0.0,48
1955-02-09,21,-0,0.00,0.0,48
1955-02-10,33,12,0.00,0.0,48
1955-02-11,37,14,0.38,4.0,48
1955-02-12,20,-12,0.20,2.0,50
1955-02-13,3,-14,0.00,0.0,50
1955-02-14,8,M,0.00,0.0,50
1955-02-15,20,3,0.20,2.0,50
1955-02-16,22,8,0.10,2.0,50
1955-02-17,22,M,0.11,2.0,M
1955-02-18,28,14,0.05,1.0,50
1955-02-19,32,10,0.00,0.0,M
1955-02-20,40,26,0.00,0.0,M
1955-02-21,45,28,0.00,0.0,M
1955-02-22,47,24,0.22,T,42
1955-02-23,37,8,0.35,2.0,40
1955-02-24,30,-15,0.02,0.0,40
1955-02-25,21,-5,0.02,0.0,40
1955-02-26,M,M,0.00,0.0,M
1955-02-27,29,22,0.15,M,40
1955-02-28,27,23,0.06,M,42
1955-03-01,33,22,0.49,2.0,M
1955-03-02,37,17,0.10,1.0,48
1955-03-03,23,-15,0.00,0.0,48
1955-03-04,22,M,0.00,0.0,M
1955-03-05,M,M,0.00,0.0,M
1955-03-06,30,M,0.21,2.0,52
1955-03-07,18,-5,0.00,0.0,52
1955-03-08,8,-10,0.10,0.0,M
1955-03-09,27,2,0.11,1.0,52
1955-03-10,38,22,0.00,0.0,48
1955-03-11,44,M,0.87,0.0,M
1955-03-12,34,14,0.00,0.0,M
1955-03-13,28,5,0.00,0.0,M
1955-03-14,30,M,0.20,1.7,M
1955-03-15,35,M,0.00,0.0,M
1955-03-16,M,3,0.60,2.5,M
1955-03-17,14,M,0.01,0.3,M
1955-03-18,M,M,0.00,0.0,M
1955-03-19,20,-0,0.00,0.0,M
1955-03-20,29,-15,0.00,0.0,M
1955-03-21,26,M,0.03,0.1,M
1955-03-22,22,11,0.35,1.5,M
1955-03-23,M,13,0.30,3.0,M
1955-03-24,37,-4,0.05,1.0,66
1955-03-25,32,M,0.00,0.0,66
1955-03-26,25,M,0.01,2.0,66
1955-03-27,M,M,0.30,4.0,M
1955-03-28,28,M,0.10,2.0,68
1955-03-29,30,5,0.00,0.0,M
1955-03-30,28,18,0.00,0.0,M
1955-03-31,35,20,0.00,0.0,M
1955-04-01,35,24,0.00,0.0,M
1955-04-02,31,28,0.00,0.0,M
1955-04-03,M,M,0.05,0.8,66
1955-04-04,38,M,0.00,0.0,66
1955-04-05,43,22,0.00,0.0,M
1955-04-06,42,M,0.00,0.0,M
1955-04-07,36,17,0.34,0.0,M
1955-04-08,28,M,0.11,2.0,66
1955-04-09,36,M,0.00,0.0,M
1955-04-10,47,M,0.00,0.0,M
1955-04-11,45,M,0.00,0.0,M
1955-04-12,38,M,0.00,0.0,M
1955-04-13,36,M,0.05,0.0,M
1955-04-14,50,M,0.00,0.0,M
1955-04-15,50,M,0.40,0.0,M
1955-04-16,46,32,0.00,0.0,M
1955-04-17,34,M,0.04,0.0,M
1955-04-18,53,18,0.00,0.0,M
1955-04-19,55,M,0.09,0.0,M
1955-04-20,46,33,0.00,0.0,M
1955-04-21,40,M,0.00,0.0,M
1955-04-22,54,38,0.00,0.0,24
1955-04-23,50,35,0.00,0.0,M
1955-04-24,M,M,0.00,0.0,M
