date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-10-01,63,36,0.75,0.0,0
1999-10-02,68,33,0.00,0.0,0
1999-10-03,64,33,0.07,0.0,0
1999-10-04,61,35,0.17,0.0,0
1999-10-05,41,35,0.29,0.0,0
1999-10-06,45,33,0.00,0.0,0
1999-10-07,50,33,0.02,0.0,0
1999-10-08,44,24,0.00,0.0,0
1999-10-09,58,28,0.11,0.0,0
1999-10-10,67,35,0.00,0.0,0
1999-10-11,59,37,0.09,0.0,0
1999-10-12,62,30,0.00,0.0,0
1999-10-13,55,30,0.03,0.0,0
1999-10-14,65,40,0.31,0.0,0
1999-10-15,43,26,0.15,0.0,0
1999-10-16,52,29,0.00,0.0,0
1999-10-17,69,30,0.00,0.0,0
1999-10-18,61,43,0.10,0.0,0
1999-10-19,45,23,0.00,0.0,0
1999-10-20,47,22,0.05,0.0,0
1999-10-21,45,35,0.13,0.0,0
1999-10-22,54,28,0.00,0.0,0
1999-10-23,52,45,0.22,0.0,0
1999-10-24,46,39,0.88,0.0,0
1999-10-25,46,30,0.00,0.0,0
1999-10-26,41,27,0.00,0.0,0
1999-10-27,60,26,0.00,0.0,0
1999-10-28,42,20,0.00,0.0,0
1999-10-29,51,20,0.00,0.0,0
1999-10-30,58,28,0.00,0.0,0
1999-10-31,59,30,0.00,0.0,0
1999-11-01,67,30,T,0.0,0
1999-11-02,64,30,0.00,0.0,0
1999-11-03,65,33,0.21,0.0,0
1999-11-04,66,37,T,0.0,0
1999-11-05,44,23,T,0.0,0
1999-11-06,58,23,0.00,0.0,0
1999-11-07,50,30,T,T,T
1999-11-08,38,24,0.01,T,T
1999-11-09,36,23,0.00,0.0,0
1999-11-10,57,31,0.00,0.0,0
1999-11-11,59,25,0.12,0.0,0
1999-11-12,33,17,0.00,0.0,0
1999-11-13,39,20,0.08,1.0,1
1999-11-14,43,34,0.00,0.0,0
1999-11-15,44,33,0.30,0.5,T
1999-11-16,34,28,0.05,2.0,2
1999-11-17,32,24,0.03,1.0,3
1999-11-18,32,20,0.02,0.5,3
1999-11-19,40,26,0.00,0.0,1
1999-11-20,51,28,0.00,0.0,T
1999-11-21,50,28,0.12,0.0,0
1999-11-22,50,34,T,0.0,0
1999-11-23,60,44,0.00,0.0,0
1999-11-24,62,42,0.01,0.0,0
1999-11-25,M,M,M,M,M
1999-11-26,M,M,M,M,M
1999-11-27,M,M,M,M,M
1999-11-28,M,M,M,M,M
1999-11-29,M,28,1.68,T,T
1999-11-30,36,24,0.02,0.2,T
1999-12-01,29,12,T,T,T
1999-12-02,27,12,0.00,0.0,T
1999-12-03,36,13,0.00,0.0,T
1999-12-04,40,32,0.11,0.0,0
1999-12-05,40,34,T,0.0,0
1999-12-06,54,34,T,0.0,0
1999-12-07,48,39,0.04,0.0,0
1999-12-08,39,30,T,0.0,0
1999-12-09,M,20,0.00,0.0,0
1999-12-10,37,20,0.00,0.0,0
1999-12-11,43,25,0.22,3.0,3
1999-12-12,30,25,0.07,1.0,4
1999-12-13,30,28,0.00,0.0,3
1999-12-14,35,30,T,0.0,2
1999-12-15,36,30,0.09,1.5,3
1999-12-16,38,32,0.03,0.0,1
1999-12-17,41,32,0.09,T,T
1999-12-18,33,16,0.03,T,T
1999-12-19,27,3,0.00,0.0,T
1999-12-20,26,3,0.00,0.0,T
1999-12-21,36,9,S,M,T
1999-12-22,32,25,M,M,M
1999-12-23,29,14,M,M,M
1999-12-24,M,M,M,M,M
1999-12-25,25,1,M,M,M
1999-12-26,26,7,M,M,M
1999-12-27,M,M,M,M,M
1999-12-28,30,-1,M,M,M
1999-12-29,M,M,M,M,M
1999-12-30,M,M,M,M,M
1999-12-31,M,M,0.44A,M,M
2000-01-01,36,3,0.11,0.0,0
2000-01-02,M,M,0.26,M,M
2000-01-03,49,20,0.56,0.0,M
2000-01-04,46,32,0.17,0.0,M
2000-01-05,45,19,0.01,0.0,T
2000-01-06,22,7,0.00,0.0,T
2000-01-07,31,12,0.00,0.0,T
2000-01-08,36,19,0.07,0.2,T
2000-01-09,33,25,0.00,0.0,T
2000-01-10,41,29,0.00,0.0,T
2000-01-11,41,34,1.05,3.0,1
2000-01-12,44,30,0.17,0.2,1
2000-01-13,30,15,T,T,1
2000-01-14,18,-1,0.00,0.0,T
2000-01-15,7,-5,0.00,0.0,T
2000-01-16,18,-5,T,T,1
2000-01-17,27,-9,0.15,3.0,4
2000-01-18,-4,-19,0.00,0.0,4
2000-01-19,6,-19,0.00,0.0,4
2000-01-20,11,-16,0.00,0.0,4
2000-01-21,18,-3,0.04,0.5,4
2000-01-22,7,-5,0.01,T,4
2000-01-23,5,-18,0.00,T,4
2000-01-24,19,-18,0.00,T,4
2000-01-25,31,6,T,T,3
2000-01-26,22,11,0.73,7.0,10
2000-01-27,23,4,0.03,1.0,10
2000-01-28,8,-2,T,0.1,10
2000-01-29,6,-12,T,T,10
2000-01-30,24,-10,0.00,0.0,9
2000-01-31,30,-5,0.22,6.0,15
2000-02-01,34,25,0.03,1.0,15
2000-02-02,35,8,T,T,15
2000-02-03,12,-13,0.00,0.0,13
2000-02-04,21,-14,0.00,0.0,13
2000-02-05,28,-15,0.00,0.0,12
2000-02-06,29,-9,0.05,0.7,13
2000-02-07,28,-2,0.00,0.0,12
2000-02-08,32,-13,0.04,0.5,13
2000-02-09,25,-13,0.00,0.0,12
2000-02-10,M,M,0.00,0.0,11
2000-02-11,37,20,0.11,1.8,13
2000-02-12,35,-5,0.06,0.5,13
2000-02-13,22,-12,0.00,0.0,13
2000-02-14,30,-5,0.33,3.5,16
2000-02-15,32,17,0.45,2.0,17
2000-02-16,30,6,T,T,17
2000-02-17,31,6,0.05,0.5,17
2000-02-18,16,-10,0.00,0.0,17
2000-02-19,18,-2,0.50,8.1,24
2000-02-20,34,15,0.01,0.6,23
2000-02-21,34,2,T,T,22
2000-02-22,32,2,0.00,0.0,21
2000-02-23,48,11,0.00,0.0,19
2000-02-24,48,28,0.00,0.0,15
2000-02-25,43,34,0.36,0.0,13
2000-02-26,37,33,0.34,T,12
2000-02-27,39,33,0.00,0.0,11
2000-02-28,59,36,0.33,0.0,8
2000-02-29,42,29,0.07,T,8
2000-03-01,35,17,0.00,0.0,8
2000-03-02,45,19,0.01,0.0,7
2000-03-03,43,29,0.01,T,6
2000-03-04,35,22,T,T,6
2000-03-05,40,27,T,T,6
2000-03-06,41,24,0.02,T,6
2000-03-07,37,18,0.00,0.0,6
2000-03-08,48,25,0.00,0.0,6
2000-03-09,58,27,0.00,0.0,5
