date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,18,0,T,T,8
2000-01-02,33,16,0.00,0.0,7
2000-01-03,36,24,0.30,0.0,5
2000-01-04,43,27,0.57,2.0,6
2000-01-05,39,15,0.41,0.1,6
2000-01-06,19,0,T,0.1,6
2000-01-07,23,4,0.00,0.0,5
2000-01-08,29,12,0.15,2.7,7
2000-01-09,M,M,M,M,M
2000-01-10,M,M,M,M,M
2000-01-11,38,32,0.66,3.0,8
2000-01-12,M,M,M,M,M
2000-01-13,M,M,M,M,M
2000-01-14,11,-10,0.01,0.2,9
2000-01-15,0,-18,0.01,0.1,9
2000-01-16,11,-15,0.18,3.4,11
2000-01-17,20,-13,0.34,8.4,16
2000-01-18,M,M,M,M,M
2000-01-19,6,-22,T,T,15
2000-01-20,14,-17,0.00,0.0,14
2000-01-21,13,-6,0.05,0.9,15
2000-01-22,2,-14,0.05,0.7,14
2000-01-23,0,-20,T,T,14
2000-01-24,12,-18,0.00,0.0,14
2000-01-25,32,6,T,T,13
2000-01-26,20,12,0.70,8.9,22
2000-01-27,21,-1,0.11,2.1,22
2000-01-28,5,-6,0.01,0.2,21
2000-01-29,4,-9,0.01,0.5,20
2000-01-30,23,-8,0.00,0.0,20
2000-01-31,35,17,0.29,5.6,24
2000-02-01,31,21,0.23,7.2,30
2000-02-02,29,2,0.06,2.3,30
2000-02-03,M,M,M,M,M
2000-02-04,23,-10,0.00,0.0,26
2000-02-05,29,-7,0.00,0.0,25
2000-02-06,23,3,0.17,4.3,28
2000-02-07,22,1,0.01,0.2,25
2000-02-08,26,-14,0.12,3.5,27
2000-02-09,19,-12,0.00,0.0,25
2000-02-10,29,7,0.03,0.3,24
2000-02-11,31,7,0.35,5.1,28
2000-02-12,31,-7,0.10,1.8,29
2000-02-13,21,-8,0.00,0.0,27
2000-02-14,24,2,0.33,3.6,30
2000-02-15,33,15,0.77,4.0,33
2000-02-16,32,6,0.09,1.4,34
2000-02-17,27,3,0.30,5.4,37
2000-02-18,M,M,M,M,M
2000-02-19,17,-4,0.34,5.4,39
2000-02-20,34,13,0.01,0.1,37
2000-02-21,31,2,0.05,2.0,37
2000-02-22,28,5,0.02,0.8,36
2000-02-23,40,16,0.00,0.0,33
2000-02-24,42,32,T,0.0,30
2000-02-25,42,34,0.06,0.0,28
2000-02-26,36,28,0.01,0.0,26
2000-02-27,39,30,T,0.0,25
2000-02-28,55,38,0.14,0.0,21
2000-02-29,40,25,0.28,0.2,20
2000-03-01,36,18,T,T,19
2000-03-02,42,19,0.05,0.3,19
2000-03-03,41,25,0.07,1.0,19
2000-03-04,M,M,M,M,M
2000-03-05,M,M,M,M,M
2000-03-06,M,M,M,M,M
2000-03-07,M,M,M,M,M
2000-03-08,47,17,0.00,0.0,18
2000-03-09,52,31,0.00,0.0,17
2000-03-10,55,14,0.06,0.1,16
2000-03-11,30,15,T,T,16
2000-03-12,31,25,0.65,3.7,19
2000-03-13,35,12,0.04,0.2,19
2000-03-14,29,5,0.03,0.6,19
2000-03-15,35,14,0.01,0.2,19
2000-03-16,M,M,M,M,M
2000-03-17,M,M,M,M,M
2000-03-18,M,M,M,M,M
2000-03-19,M,M,M,M,M
2000-03-20,M,M,M,M,M
2000-03-21,M,M,M,M,M
2000-03-22,56,25,0.00,0.0,17
2000-03-23,57,28,0.00,0.0,16
2000-03-24,58,30,0.00,0.0,14
2000-03-25,52,25,0.00,0.0,13
2000-03-26,M,M,M,M,M
2000-03-27,M,M,M,M,M
2000-03-28,M,M,M,M,M
2000-03-29,M,M,M,M,M
2000-03-30,M,M,M,M,M
2000-03-31,39,29,0.06,0.7,6
2000-04-01,M,M,M,M,M
2000-04-02,M,M,M,M,M
2000-04-03,M,M,M,M,M
2000-04-04,42,35,0.96,8.0,1
2000-04-05,48,33,0.40,T,T
2000-04-06,36,24,0.03,0.4,T
2000-04-07,35,25,0.19,1.5,1
2000-04-08,M,M,M,M,M
2000-04-09,62,31,0.30,0.0,T
2000-04-10,32,21,M,8.4,8
2000-04-11,41,22,0.04,0.8,2
2000-04-12,40,28,0.47,5.9,8
2000-04-13,32,16,0.02,0.4,7
2000-04-14,43,19,0.00,0.0,3
2000-04-15,55,20,0.00,0.0,1
2000-04-16,73,43,T,0.0,T
2000-04-17,48,20,0.00,0.0,T
2000-04-18,44,25,M,0.0,T
2000-04-19,53,29,M,0.0,T
2000-04-20,47,34,M,0.0,0
2000-04-21,57,41,M,0.0,0
2000-04-22,42,32,1.33,1.4,1
2000-04-23,38,32,0.37,T,T
2000-04-24,42,31,M,1.3,1
2000-04-25,38,28,0.07,0.2,0
2000-04-26,49,27,0.00,0.0,0
