date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2018-08-30,M,M,0.57,0.0,0
2018-08-31,M,M,T,0.0,0
2018-09-01,M,M,T,0.0,0
2018-09-02,M,M,0.00,0.0,0
2018-09-03,M,M,0.02,0.0,0
2018-09-04,M,M,T,0.0,0
2018-09-05,M,M,0.00,0.0,0
2018-09-06,M,M,0.03,0.0,0
2018-09-07,M,M,0.02,0.0,0
2018-09-08,M,M,0.00,0.0,0
2018-09-09,M,M,0.00,0.0,0
2018-09-10,M,M,0.00,0.0,0
2018-09-11,M,M,0.77,0.0,0
2018-09-12,M,M,0.06,0.0,0
2018-09-13,M,M,0.00,0.0,0
2018-09-14,M,M,0.00,0.0,0
2018-09-15,M,M,0.00,0.0,0
2018-09-16,M,M,0.00,0.0,0
2018-09-17,M,M,0.00,0.0,0
2018-09-18,M,M,0.00,0.0,0
2018-09-19,M,M,0.00,0.0,0
2018-09-20,M,M,0.00,0.0,0
2018-09-21,M,M,0.20,0.0,0
2018-09-22,M,M,0.13,0.0,0
2018-09-23,M,M,0.00,0.0,0
2018-09-24,M,M,0.00,0.0,0
2018-09-25,M,M,0.06,0.0,0
2018-09-26,M,M,0.37,0.0,0
2018-09-27,M,M,1.28,0.0,0
2018-09-28,M,M,0.18,0.0,0
2018-09-29,M,M,T,0.0,0
2018-09-30,M,M,T,0.0,0
2018-10-01,M,M,0.20,0.0,0
2018-10-02,M,M,0.41,0.0,0
2018-10-03,M,M,0.27,0.0,0
2018-10-04,M,M,0.01,0.0,0
2018-10-05,M,M,0.15,0.0,0
2018-10-06,M,M,0.00,0.0,0
2018-10-07,M,M,0.55,0.0,0
2018-10-08,M,M,0.24,0.0,0
2018-10-09,M,M,0.01,0.0,0
2018-10-10,M,M,T,0.0,0
2018-10-11,M,M,0.28,0.0,0
2018-10-12,M,M,1.58,0.0,0
2018-10-13,M,M,0.02,0.0,0
2018-10-14,M,M,0.03,0.0,0
2018-10-15,M,M,0.00,0.0,0
2018-10-16,M,M,0.08,0.0,0
2018-10-17,M,M,0.03,0.0,0
2018-10-18,M,M,0.12,0.0,0
2018-10-19,M,M,0.00,0.0,0
2018-10-20,M,M,0.00,0.0,0
2018-10-21,M,M,0.00,0.0,0
2018-10-22,M,M,0.00,0.0,0
2018-10-23,M,M,0.00,0.0,0
2018-10-24,M,M,0.18,0.0,0
2018-10-25,M,M,T,0.0,0
2018-10-26,M,M,0.00,0.0,0
2018-10-27,M,M,0.00,0.0,0
2018-10-28,M,M,1.06,0.8,1
2018-10-29,M,M,0.06,0.0,0
2018-10-30,M,M,0.16,0.0,0
2018-10-31,M,M,0.00,0.0,0
2018-11-01,M,M,0.04,0.0,0
2018-11-02,M,M,0.98,0.0,0
