date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2023-12-08,M,M,0.03,0.5,M
2023-12-09,M,M,0.00,0.0,0
2023-12-10,M,M,0.17,0.0,0
2023-12-11,M,M,0.12,0.0,0
2023-12-12,M,M,0.03,T,0
2023-12-13,M,M,0.02,0.0,0
2023-12-14,M,M,T,0.0,0
2023-12-15,M,M,0.00,0.0,0
2023-12-16,M,M,0.00,0.0,0
2023-12-17,M,M,0.00,0.0,0
2023-12-18,M,M,1.34,0.0,0
2023-12-19,M,M,0.61,1.9,2
2023-12-20,M,M,0.05,1.2,3
2023-12-21,M,M,0.00,0.0,T
2023-12-22,M,M,0.00,0.0,T
2023-12-23,M,M,0.00,0.0,T
2023-12-24,M,M,0.19,0.0,T
2023-12-25,M,M,0.02,0.0,0
2023-12-26,M,M,0.00,0.0,0
2023-12-27,M,M,0.07,0.0,0
2023-12-28,M,M,0.49,0.0,0
2023-12-29,M,M,0.09,0.0,0
2023-12-30,M,M,0.29,T,0
2023-12-31,M,M,M,M,M
2024-01-01,M,M,0.00,0.0,0
2024-01-02,M,M,0.00,0.0,0
2024-01-03,M,M,T,0.0,0
2024-01-04,M,M,0.04,0.4,T
2024-01-05,M,M,0.02,0.2,1
2024-01-06,M,M,0.00,0.0,T
2024-01-07,M,M,0.21,3.1,3
2024-01-08,M,M,0.10,1.1,4
2024-01-09,M,M,0.00,0.0,4
2024-01-10,M,M,0.79,0.0,0
2024-01-11,M,M,0.02,0.0,0
2024-01-12,M,M,0.15,1.7,2
2024-01-13,M,M,0.29,0.0,2
2024-01-14,M,M,0.22,3.8,6
2024-01-15,M,M,0.11,6.8,14
2024-01-16,M,M,0.08,7.8,18
2024-01-17,M,M,0.08,1.6,16
2024-01-18,M,M,0.01,0.3,8
2024-01-19,M,M,0.03,0.7,8
2024-01-20,M,M,0.00,0.0,6
2024-01-21,M,M,T,T,6
2024-01-22,M,M,0.00,0.0,4
2024-01-23,M,M,0.01,0.2,4
2024-01-24,M,M,0.22,5.6,7
2024-01-25,M,M,0.39,0.0,6
2024-01-26,M,M,0.47,0.0,4
2024-01-27,M,M,0.03,0.0,3
2024-01-28,M,M,0.00,0.0,2
2024-01-29,M,M,0.00,0.0,2
2024-01-30,M,M,0.00,0.0,2
2024-01-31,M,M,0.00,0.0,2
2024-02-01,M,M,0.01,0.0,1
2024-02-02,M,M,0.00,0.0,T
2024-02-03,M,M,0.00,0.0,T
2024-02-04,M,M,0.00,0.0,T
2024-02-05,M,M,0.00,0.0,T
2024-02-06,M,M,0.00,0.0,T
2024-02-07,M,M,0.00,0.0,T
2024-02-08,M,M,0.00,0.0,T
2024-02-09,M,M,0.01,0.0,0
2024-02-10,M,M,0.05,0.0,0
2024-02-11,M,M,M,0.0,0
2024-02-12,M,M,M,0.0,0
2024-02-13,M,M,M,M,M
2024-02-14,M,M,M,M,M
2024-02-15,M,M,0.00,0.0,M
2024-02-16,M,M,M,M,M
2024-02-17,M,M,M,M,M
2024-02-18,M,M,M,M,M
2024-02-19,M,M,M,M,M
2024-02-20,M,M,0.00,0.0,M
2024-02-21,M,M,0.00,0.0,M
2024-02-22,M,M,0.00,0.0,M
2024-02-23,M,M,0.00,0.0,0
2024-02-24,M,M,0.00,0.0,0
2024-02-25,M,M,0.00,0.0,0
2024-02-26,M,M,0.00,0.0,0
2024-02-27,M,M,0.00,0.0,0
2024-02-28,M,M,0.00,0.0,0
2024-02-29,M,M,M,0.0,0
2024-03-01,M,M,0.00,0.0,0
2024-03-02,M,M,0.00,0.0,0
2024-03-03,M,M,M,0.0,0
2024-03-04,M,M,0.00,0.0,0
2024-03-05,M,M,0.00,0.0,0
2024-03-06,M,M,M,0.0,0
2024-03-07,M,M,0.03,0.0,0
2024-03-08,M,M,0.00,0.0,0
2024-03-09,M,M,0.00,0.0,0
2024-03-10,M,M,1.21,0.0,0
2024-03-11,M,M,0.06,T,T
2024-03-12,M,M,0.00,0.0,0
2024-03-13,M,M,0.00,0.0,0
2024-03-14,M,M,0.00,0.0,0
2024-03-15,M,M,0.42,0.0,0
2024-03-16,M,M,0.01,0.0,0
2024-03-17,M,M,0.21,0.0,0
2024-03-18,M,M,T,T,T
