date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2019-05-27,M,M,0.00,0.0,0
2019-05-28,M,M,0.07,0.0,0
2019-05-29,M,M,0.26,0.0,0
2019-05-30,M,M,0.01,0.0,0
2019-05-31,M,M,T,0.0,0
2019-06-01,M,M,0.03,0.0,0
2019-06-02,M,M,0.16,0.0,0
2019-06-03,M,M,0.49,0.0,0
2019-06-04,M,M,0.00,0.0,0
2019-06-05,M,M,0.20,0.0,0
2019-06-06,M,M,0.65,0.0,0
2019-06-07,M,M,0.00,0.0,0
2019-06-08,M,M,0.00,0.0,0
2019-06-09,M,M,0.00,0.0,0
2019-06-10,M,M,0.00,0.0,0
2019-06-11,M,M,0.88,0.0,0
2019-06-12,M,M,0.01,0.0,0
2019-06-13,M,M,0.00,0.0,0
2019-06-14,M,M,0.61,0.0,0
2019-06-15,M,M,0.03,0.0,0
2019-06-16,M,M,0.05,0.0,0
2019-06-17,M,M,0.01,0.0,0
2019-06-18,M,M,0.00,0.0,0
2019-06-19,M,M,0.00,0.0,0
2019-06-20,M,M,0.00,0.0,0
2019-06-21,M,M,3.09,0.0,0
2019-06-22,M,M,0.01,0.0,0
2019-06-23,M,M,0.00,0.0,0
2019-06-24,M,M,0.00,0.0,0
2019-06-25,M,M,0.16,0.0,0
2019-06-26,M,M,0.36,0.0,0
2019-06-27,M,M,0.00,0.0,0
2019-06-28,M,M,0.00,0.0,0
2019-06-29,M,M,0.01,0.0,0
2019-06-30,M,M,0.00,0.0,0
2019-07-01,M,M,0.00,0.0,0
2019-07-02,M,M,0.01,0.0,0
2019-07-03,M,M,0.05,0.0,0
2019-07-04,M,M,0.00,0.0,0
2019-07-05,M,M,0.05,0.0,0
2019-07-06,M,M,0.03,0.0,0
2019-07-07,M,M,0.02,0.0,0
2019-07-08,M,M,0.00,0.0,0
2019-07-09,M,M,0.00,0.0,0
2019-07-10,M,M,0.00,0.0,0
2019-07-11,M,M,0.00,0.0,0
2019-07-12,M,M,0.50,0.0,0
2019-07-13,M,M,0.00,0.0,0
2019-07-14,M,M,0.00,0.0,0
2019-07-15,M,M,0.00,0.0,0
2019-07-16,M,M,0.03,0.0,0
2019-07-17,M,M,0.56,0.0,0
2019-07-18,M,M,1.78,0.0,0
2019-07-19,M,M,0.00,0.0,0
2019-07-20,M,M,0.00,0.0,0
2019-07-21,M,M,T,0.0,0
