date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2011-06-22,83,67,0.00,M,M
2011-06-23,82,65,0.91,M,M
2011-06-24,73,63,0.74,M,M
2011-06-25,73,60,0.09,M,M
2011-06-26,69,61,0.00,M,M
2011-06-27,79,54,0.00,M,M
2011-06-28,78,70,0.19,M,M
2011-06-29,75,58,0.00,M,M
2011-06-30,73,57,0.00,M,M
2011-07-01,76,55,0.00,M,M
2011-07-02,85,59,0.00,M,M
2011-07-03,84,66,0.00,M,M
2011-07-04,81,59,0.00,M,M
2011-07-05,81,57,0.00,M,M
2011-07-06,84,60,0.00,M,M
2011-07-07,79,60,0.00,M,M
2011-07-08,78,60,0.00,M,M
2011-07-09,79,60,0.00,M,M
2011-07-10,86,64,0.00,M,M
2011-07-11,88,67,0.00,M,M
2011-07-12,86,73,0.00,M,M
2011-07-13,82,66,T,M,M
2011-07-14,79,56,0.00,M,M
2011-07-15,82,65,0.00,M,M
2011-07-16,85,64,0.00,M,M
2011-07-17,85,65,0.00,M,M
2011-07-18,86,72,0.00,M,M
2011-07-19,86,72,0.00,M,M
2011-07-20,87,68,0.00,M,M
2011-07-21,92,77,0.00,M,M
2011-07-22,92,73,0.00,M,M
2011-07-23,90,73,0.00,M,M
2011-07-24,86,72,0.33,M,M
2011-07-25,85,71,0.06,M,M
2011-07-26,82,65,0.00,M,M
2011-07-27,80,58,0.00,M,M
2011-07-28,82,71,0.00,M,M
2011-07-29,80,64,0.78,M,M
2011-07-30,82,69,0.00,M,M
2011-07-31,83,74,0.00,M,M
2011-08-01,83,74,0.00,M,M
2011-08-02,85,61,0.00,M,M
2011-08-03,85,75,0.19,M,M
2011-08-04,81,76,0.00,M,M
2011-08-05,83,59,0.00,M,M
2011-08-06,84,53,0.10,M,M
2011-08-07,84,69,0.09,M,M
2011-08-08,81,68,0.00,M,M
2011-08-09,80,66,1.25,M,M
2011-08-10,73,68,0.00,M,M
2011-08-11,73,64,0.00,M,M
2011-08-12,75,62,0.00,M,M
2011-08-13,78,63,0.00,M,M
2011-08-14,77,64,0.17,M,M
2011-08-15,74,63,0.00,M,M
2011-08-16,76,61,0.25,M,M
2011-08-17,80,64,0.00,M,M
2011-08-18,78,65,0.00,M,M
2011-08-19,80,64,0.00,M,M
2011-08-20,80,64,0.00,M,M
2011-08-21,78,66,M,M,M
2011-08-22,73,60,M,M,M
2011-08-23,73,58,0.00,M,M
2011-08-24,82,66,0.00,M,M
2011-08-25,82,66,1.28,M,M
2011-08-26,73,65,0.00,M,M
2011-08-27,75,58,0.00,M,M
2011-08-28,75,64,0.00,M,M
2011-08-29,73,53,0.00,M,M
2011-08-30,76,59,0.00,M,M
2011-08-31,80,60,0.00,M,M
2011-09-01,85,66,0.01,M,M
2011-09-02,89,69,0.00,M,M
2011-09-03,89,73,0.00,M,M
2011-09-04,87,69,M,M,M
2011-09-05,80,62,M,M,M
2011-09-06,65,56,0.05,M,M
2011-09-07,64,57,0.06,M,M
2011-09-08,74,63,0.00,M,M
2011-09-09,73,63,0.08,M,M
2011-09-10,70,60,0.07,M,M
2011-09-11,72,63,0.00,M,M
2011-09-12,75,64,0.00,M,M
2011-09-13,82,66,0.00,M,M
2011-09-14,84,54,0.00,M,M
2011-09-15,64,48,0.84,M,M
2011-09-16,64,48,0.00,M,M
2011-09-17,69,51,0.00,M,M
2011-09-18,71,50,0.00,M,M
2011-09-19,71,59,T,M,M
2011-09-20,67,60,0.26,M,M
2011-09-21,77,56,0.00,M,M
2011-09-22,74,55,0.61,M,M
2011-09-23,72,63,0.20,M,M
2011-09-24,66,54,0.55,M,M
2011-09-25,80,55,0.00,M,M
2011-09-26,83,53,0.00,M,M
2011-09-27,82,62,0.08,M,M
2011-09-28,72,56,0.03,M,M
2011-09-29,69,54,0.02,M,M
2011-09-30,64,54,0.00,M,M
2011-10-01,62,46,0.26,M,M
2011-10-02,50,41,0.73,M,M
2011-10-03,61,42,0.61,M,M
2011-10-04,62,53,0.35,M,M
2011-10-05,65,48,0.00,M,M
2011-10-06,66,45,0.00,M,M
2011-10-07,70,44,0.00,M,M
2011-10-08,74,39,0.00,M,M
2011-10-09,76,52,0.00,M,M
2011-10-10,74,54,0.00,M,M
2011-10-11,76,53,0.00,M,M
2011-10-12,71,58,0.06,M,M
2011-10-13,71,57,0.22,M,M
2011-10-14,66,54,0.33,M,M
2011-10-15,56,44,1.18,M,M
2011-10-16,55,48,0.28,M,M
2011-10-17,56,47,0.17,M,M
2011-10-18,60,45,0.00,M,M
2011-10-19,62,47,0.10,M,M
2011-10-20,68,48,0.29,M,M
2011-10-21,48,44,0.47,M,M
2011-10-22,50,44,0.00,M,M
2011-10-23,58,41,0.00,M,M
2011-10-24,57,54,0.05,M,M
2011-10-25,58,38,T,M,M
2011-10-26,59,47,0.12,M,M
2011-10-27,59,36,0.51,M,M
2011-10-28,48,30,0.00,M,M
2011-10-29,49,37,0.03,M,M
2011-10-30,49,27,0.00,M,M
2011-10-31,54,36,0.00,M,M
2011-11-01,55,40,0.00,M,M
2011-11-02,67,38,0.00,M,M
2011-11-03,68,52,0.00,M,M
2011-11-04,58,38,0.00,M,M
2011-11-05,49,24,0.00,M,M
2011-11-06,64,35,0.00,M,M
2011-11-07,65,49,0.00,M,M
2011-11-08,72,52,0.00,M,M
2011-11-09,67,46,0.00,M,M
2011-11-10,67,40,0.07,M,M
2011-11-11,44,32,0.00,M,M
2011-11-12,58,37,0.48,T,M
2011-11-13,62,51,0.00,M,M
2011-11-14,62,58,0.14,M,M
2011-11-15,62,49,1.10,M,M
2011-11-16,55,47,0.00,M,M
2011-11-17,51,27,0.03,T,M
2011-11-18,43,30,0.11,M,M
2011-11-19,54,38,0.00,M,M
2011-11-20,60,47,0.02,M,M
2011-11-21,51,35,0.00,M,M
2011-11-22,42,26,T,M,M
2011-11-23,43,37,1.11,M,M
2011-11-24,47,38,0.00,M,M
2011-11-25,62,40,0.00,M,M
2011-11-26,59,49,0.00,M,M
2011-11-27,59,54,0.08,M,M
2011-11-28,57,41,0.54,M,M
2011-11-29,48,43,0.50,M,M
2011-11-30,48,35,0.12,M,M
2011-12-01,43,32,0.00,M,M
2011-12-02,39,29,0.07,M,M
2011-12-03,46,27,0.00,M,M
2011-12-04,59,35,0.00,M,M
2011-12-05,60,46,0.26,M,M
2011-12-06,51,37,0.81,M,M
2011-12-07,40,33,0.25,M,M
2011-12-08,39,32,0.00,M,M
2011-12-09,39,32,T,T,M
2011-12-10,38,24,0.03,1.0,M
2011-12-11,37,21,0.00,M,M
2011-12-12,39,28,0.00,M,M
2011-12-13,44,24,0.00,M,M
2011-12-14,44,33,0.05,M,M
2011-12-15,59,33,0.55,M,M
2011-12-16,53,33,0.06,M,M
2011-12-17,36,25,0.04,1.0,T
2011-12-18,32,23,0.00,M,M
2011-12-19,46,32,0.00,M,M
2011-12-20,45,32,0.06,M,M
2011-12-21,59,38,0.48,M,M
2011-12-22,58,41,0.18,M,M
2011-12-23,42,25,0.00,M,M
2011-12-24,34,22,M,M,M
2011-12-25,45,28,M,M,M
2011-12-26,40,34,M,M,M
2011-12-27,41,32,M,M,M
2011-12-28,36,22,M,M,M
2011-12-29,36,19,M,M,M
2011-12-30,46,27,M,M,M
2011-12-31,45,38,M,M,M
2012-01-01,49,38,M,0.0,0
2012-01-02,43,28,M,3.0,3
2012-01-03,28,10,T,T,1
2012-01-04,30,8,0.00,0.0,0
2012-01-05,35,28,0.00,0.0,0
2012-01-06,52,30,0.00,0.0,0
2012-01-07,52,39,0.00,0.0,0
2012-01-08,39,31,0.00,0.0,0
2012-01-09,43,25,0.00,0.0,0
2012-01-10,42,37,0.00,0.0,0
2012-01-11,49,29,0.00,0.0,0
2012-01-12,46,39,0.35,0.0,0
2012-01-13,44,17,0.16,4.0,2
2012-01-14,24,19,0.00,0.0,2
2012-01-15,23,3,0.17,5.0,7
2012-01-16,40,6,0.00,0.0,M
2012-01-17,55,39,0.60,0.0,M
2012-01-18,56,22,T,T,T
2012-01-19,29,17,T,T,T
2012-01-20,29,16,T,T,T
2012-01-21,26,16,0.00,0.0,0
2012-01-22,37,16,0.00,0.0,0
2012-01-23,49,32,0.40,0.0,0
2012-01-24,49,32,T,T,T
2012-01-25,34,31,0.00,0.0,0
2012-01-26,39,31,0.10,0.0,0
2012-01-27,47,32,0.81,0.0,0
2012-01-28,35,30,0.02,0.0,0
2012-01-29,37,28,0.08,2.0,2
2012-01-30,37,24,0.00,0.0,1
2012-01-31,56,29,0.00,0.0,0
2012-02-01,55,39,0.15,0.0,M
2012-02-02,47,32,T,T,T
2012-02-03,37,30,0.00,0.0,M
