date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2020-01-24,M,M,0.00,0.0,M
2020-01-25,M,M,M,M,M
2020-01-26,M,M,M,M,M
2020-01-27,M,M,M,M,M
2020-01-28,M,M,M,M,M
2020-01-29,M,M,0.01,T,6
2020-01-30,M,M,0.00,0.0,6
2020-01-31,M,M,0.00,0.0,6
2020-02-01,M,M,0.01,0.1,6
2020-02-02,M,M,0.10,1.0,7
2020-02-03,M,M,0.85,1.1,6
2020-02-04,M,M,0.00,0.0,4
2020-02-05,M,M,0.35,0.0,4
2020-02-06,M,M,0.25,3.5,8
2020-02-07,M,M,0.40,0.1,6
2020-02-08,M,M,0.41,7.0,14
2020-02-09,M,M,0.14,1.2,14
2020-02-10,M,M,0.15,1.0,11
2020-02-11,M,M,0.01,T,7
2020-02-12,M,M,0.01,0.1,7
2020-02-13,M,M,0.40,2.0,9
2020-02-14,M,M,0.45,4.5,11
2020-02-15,M,M,0.00,0.0,11
2020-02-16,M,M,0.01,T,10
2020-02-17,M,M,0.01,T,10
2020-02-18,M,M,0.50,1.0,11
2020-02-19,M,M,0.25,1.0,11
2020-02-20,M,M,0.01,0.5,11
2020-02-21,M,M,0.31,1.2,13
2020-02-22,M,M,0.01,T,12
2020-02-23,M,M,0.00,0.0,10
2020-02-24,M,M,0.00,0.0,8
2020-02-25,M,M,0.01,T,6
2020-02-26,M,M,0.05,0.5,6
2020-02-27,M,M,1.20,4.0,8
2020-02-28,M,M,1.30,8.0,11
2020-02-29,M,M,0.41,13.0,19
2020-03-01,M,M,0.02,0.6,16
2020-03-02,M,M,0.13,0.0,10
2020-03-03,M,M,0.18,0.0,8
2020-03-04,M,M,0.22,T,8
2020-03-05,M,M,0.05,T,8
2020-03-06,M,M,0.00,0.0,7
2020-03-07,M,M,0.08,1.4,7
2020-03-08,M,M,0.00,0.0,7
2020-03-09,M,M,0.00,0.0,5
2020-03-10,M,M,0.01,0.0,1
2020-03-11,M,M,0.35,0.0,0
2020-03-12,M,M,0.00,0.0,0
2020-03-13,M,M,0.10,0.0,0
2020-03-14,M,M,0.15,0.0,0
2020-03-15,M,M,0.00,0.0,0
2020-03-16,M,M,0.00,0.0,0
2020-03-17,M,M,0.01,T,0
2020-03-18,M,M,0.02,0.0,0
2020-03-19,M,M,0.40,0.0,0
2020-03-20,M,M,0.60,0.0,0
2020-03-21,M,M,0.35,0.0,0
2020-03-22,M,M,0.00,0.0,0
2020-03-23,M,M,0.03,0.5,1
2020-03-24,M,M,0.30,0.7,1
2020-03-25,M,M,0.00,T,0
2020-03-26,M,M,0.01,0.0,0
2020-03-27,M,M,0.01,0.0,0
2020-03-28,M,M,0.00,0.0,0
2020-03-29,M,M,1.00,0.0,0
2020-03-30,M,M,0.45,0.0,0
2020-03-31,M,M,0.20,0.0,0
2020-04-01,M,M,0.01,0.0,0
2020-04-02,M,M,0.00,0.0,0
2020-04-03,M,M,0.00,0.0,0
2020-04-04,M,M,0.25,0.0,0
2020-04-05,M,M,0.01,0.0,0
2020-04-06,M,M,0.00,0.0,0
2020-04-07,M,M,0.00,0.0,0
2020-04-08,M,M,0.40,0.0,0
2020-04-09,M,M,0.10,0.0,0
2020-04-10,M,M,0.35,2.0,2
2020-04-11,M,M,0.30,2.0,2
2020-04-12,M,M,0.00,0.0,0
2020-04-13,M,M,0.15,0.0,0
2020-04-14,M,M,0.50,0.0,0
2020-04-15,M,M,0.10,0.5,0
2020-04-16,M,M,0.50,3.5,3
2020-04-17,M,M,0.30,2.0,2
2020-04-18,M,M,0.35,2.5,2
2020-04-19,M,M,0.00,0.0,0
2020-04-20,M,M,0.15,0.0,0
2020-04-21,M,M,0.15,0.0,0
2020-04-22,M,M,0.27,1.2,1
2020-04-23,M,M,0.02,T,0
2020-04-24,M,M,0.10,0.0,0
2020-04-25,M,M,0.00,0.0,0
2020-04-26,M,M,0.18,0.0,0
2020-04-27,M,M,0.82,0.0,0
2020-04-28,M,M,0.01,0.0,0
2020-04-29,M,M,0.03,0.0,0
2020-04-30,M,M,0.00,0.0,0
2020-05-01,M,M,0.80,0.0,0
2020-05-02,M,M,0.02,0.0,0
2020-05-03,M,M,0.01,0.0,0
2020-05-04,M,M,0.00,0.0,0
2020-05-05,M,M,0.10,0.0,0
2020-05-06,M,M,0.00,0.0,0
2020-05-07,M,M,0.01,0.0,0
2020-05-08,M,M,0.02,0.0,0
2020-05-09,M,M,0.50,0.5,1
2020-05-10,M,M,0.17,1.0,1
2020-05-11,M,M,0.10,0.0,0
2020-05-12,M,M,0.40,T,0
2020-05-13,M,M,0.20,0.8,0
2020-05-14,M,M,0.00,0.0,0
2020-05-15,M,M,0.20,0.0,0
2020-05-16,M,M,0.80,0.0,0
2020-05-17,M,M,0.00,0.0,0
2020-05-18,M,M,0.82,0.0,0
2020-05-19,M,M,0.13,0.0,0
2020-05-20,M,M,0.00,0.0,0
2020-05-21,M,M,0.00,0.0,0
2020-05-22,M,M,0.00,0.0,0
2020-05-23,M,M,0.83,0.0,0
2020-05-24,M,M,0.02,0.0,0
2020-05-25,M,M,0.00,0.0,0
2020-05-26,M,M,0.00,0.0,0
2020-05-27,M,M,0.00,0.0,0
2020-05-28,M,M,0.00,0.0,0
2020-05-29,M,M,0.06,0.0,0
2020-05-30,M,M,1.50,0.0,0
2020-05-31,M,M,0.00,0.0,0
2020-06-01,M,M,0.00,0.0,0
2020-06-02,M,M,0.00,0.0,0
2020-06-03,M,M,0.10,0.0,0
2020-06-04,M,M,0.40,0.0,0
2020-06-05,M,M,0.00,0.0,0
2020-06-06,M,M,0.00,0.0,0
2020-06-07,M,M,0.00,0.0,0
2020-06-08,M,M,0.00,0.0,0
2020-06-09,M,M,0.00,0.0,0
2020-06-10,M,M,0.00,0.0,0
2020-06-11,M,M,0.20,0.0,0
2020-06-12,M,M,0.00,0.0,0
2020-06-13,M,M,0.00,0.0,0
2020-06-14,M,M,0.00,0.0,0
2020-06-15,M,M,0.00,0.0,0
2020-06-16,M,M,0.00,0.0,0
2020-06-17,M,M,0.00,0.0,0
2020-06-18,M,M,0.00,0.0,0
2020-06-19,M,M,0.00,0.0,0
2020-06-20,M,M,0.00,0.0,0
2020-06-21,M,M,0.00,0.0,0
2020-06-22,M,M,0.25,0.0,0
2020-06-23,M,M,0.20,0.0,0
2020-06-24,M,M,0.22,0.0,0
2020-06-25,M,M,0.00,0.0,0
2020-06-26,M,M,0.00,0.0,0
2020-06-27,M,M,0.54,0.0,0
2020-06-28,M,M,0.13,0.0,0
2020-06-29,M,M,0.00,0.0,0
2020-06-30,M,M,0.00,0.0,0
2020-07-01,M,M,0.00,0.0,0
2020-07-02,M,M,0.00,0.0,0
2020-07-03,M,M,0.00,0.0,0
2020-07-04,M,M,0.00,0.0,0
2020-07-05,M,M,0.00,0.0,0
2020-07-06,M,M,0.00,0.0,0
2020-07-07,M,M,0.00,0.0,0
2020-07-08,M,M,0.00,0.0,0
2020-07-09,M,M,0.00,0.0,0
2020-07-10,M,M,0.00,0.0,0
2020-07-11,M,M,0.00,0.0,0
2020-07-12,M,M,1.53,0.0,0
2020-07-13,M,M,0.00,0.0,0
2020-07-14,M,M,0.10,0.0,0
2020-07-15,M,M,0.00,0.0,0
2020-07-16,M,M,0.00,0.0,0
2020-07-17,M,M,0.70,0.0,0
2020-07-18,M,M,0.00,0.0,0
2020-07-19,M,M,0.00,0.0,0
2020-07-20,M,M,0.37,0.0,0
2020-07-21,M,M,0.00,0.0,0
2020-07-22,M,M,0.00,0.0,0
2020-07-23,M,M,0.30,0.0,0
2020-07-24,M,M,0.06,0.0,0
2020-07-25,M,M,0.00,0.0,0
2020-07-26,M,M,0.00,0.0,0
2020-07-27,M,M,0.00,0.0,0
2020-07-28,M,M,1.10,0.0,0
2020-07-29,M,M,0.00,0.0,0
2020-07-30,M,M,0.36,0.0,0
2020-07-31,M,M,0.00,0.0,0
2020-08-01,M,M,0.00,0.0,0
2020-08-02,M,M,0.15,0.0,0
2020-08-03,M,M,0.12,0.0,0
2020-08-04,M,M,1.95,0.0,0
2020-08-05,M,M,0.13,0.0,0
2020-08-06,M,M,0.00,0.0,0
2020-08-07,M,M,0.00,0.0,0
2020-08-08,M,M,0.00,0.0,0
2020-08-09,M,M,0.00,0.0,0
2020-08-10,M,M,0.00,0.0,0
2020-08-11,M,M,0.00,0.0,0
2020-08-12,M,M,0.00,0.0,0
2020-08-13,M,M,0.00,0.0,0
2020-08-14,M,M,0.00,0.0,0
2020-08-15,M,M,0.00,0.0,0
2020-08-16,M,M,0.02,0.0,0
2020-08-17,M,M,0.32,0.0,0
2020-08-18,M,M,0.03,0.0,0
2020-08-19,M,M,0.03,0.0,0
2020-08-20,M,M,0.00,0.0,0
2020-08-21,M,M,0.00,0.0,0
2020-08-22,M,M,0.00,0.0,0
2020-08-23,M,M,0.00,0.0,0
2020-08-24,M,M,0.00,0.0,0
2020-08-25,M,M,0.30,0.0,0
2020-08-26,M,M,0.00,0.0,0
2020-08-27,M,M,0.30,0.0,0
2020-08-28,M,M,0.67,0.0,0
2020-08-29,M,M,0.02,0.0,0
2020-08-30,M,M,0.17,0.0,0
2020-08-31,M,M,0.00,0.0,0
2020-09-01,M,M,0.00,0.0,0
2020-09-02,M,M,0.00,0.0,0
2020-09-03,M,M,0.18,0.0,0
2020-09-04,M,M,0.10,0.0,0
2020-09-05,M,M,0.03,0.0,0
2020-09-06,M,M,0.12,0.0,0
2020-09-07,M,M,0.03,0.0,0
2020-09-08,M,M,0.12,0.0,0
2020-09-09,M,M,0.00,0.0,0
2020-09-10,M,M,0.00,0.0,0
2020-09-11,M,M,0.01,0.0,0
2020-09-12,M,M,0.02,0.0,0
2020-09-13,M,M,0.05,0.0,0
2020-09-14,M,M,0.40,0.0,0
2020-09-15,M,M,0.00,0.0,0
2020-09-16,M,M,0.00,0.0,0
2020-09-17,M,M,0.00,0.0,0
2020-09-18,M,M,0.00,0.0,0
2020-09-19,M,M,0.00,0.0,0
2020-09-20,M,M,0.00,0.0,0
2020-09-21,M,M,0.00,0.0,0
2020-09-22,M,M,0.00,0.0,0
2020-09-23,M,M,0.00,0.0,0
2020-09-24,M,M,0.00,0.0,0
2020-09-25,M,M,0.00,0.0,0
2020-09-26,M,M,0.00,0.0,0
2020-09-27,M,M,0.00,0.0,0
2020-09-28,M,M,0.00,0.0,0
2020-09-29,M,M,0.41,0.0,0
2020-09-30,M,M,0.70,0.0,0
2020-10-01,M,M,0.40,0.0,0
2020-10-02,M,M,0.10,0.0,0
2020-10-03,M,M,0.12,0.0,0
2020-10-04,M,M,0.10,0.0,0
2020-10-05,M,M,0.02,0.0,0
2020-10-06,M,M,0.00,0.0,0
2020-10-07,M,M,0.00,0.0,0
2020-10-08,M,M,0.32,0.0,0
2020-10-09,M,M,0.02,0.0,0
2020-10-10,M,M,0.00,0.0,0
2020-10-11,M,M,0.12,0.0,0
2020-10-12,M,M,0.00,0.0,0
2020-10-13,M,M,0.35,0.0,0
2020-10-14,M,M,0.03,0.0,0
2020-10-15,M,M,0.00,0.0,0
2020-10-16,M,M,0.35,0.0,0
