date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-02-19,46,24,M,M,M
1998-02-20,51,19,M,M,M
1998-02-21,53,24,M,M,M
1998-02-22,49,28,M,M,M
1998-02-23,47,24,M,M,M
1998-02-24,39,20,M,M,M
1998-02-25,32,24,M,M,M
1998-02-26,24,18,M,M,M
1998-02-27,20,16,M,M,M
1998-02-28,20,16,M,M,M
1998-03-01,18,14,M,M,M
1998-03-02,15,-6,M,M,M
1998-03-03,17,7,M,M,M
1998-03-04,11,9,M,M,M
1998-03-05,12,-2,M,M,M
1998-03-06,17,6,M,M,M
1998-03-07,16,-12,M,M,M
1998-03-08,16,-15,M,M,M
1998-03-09,8,-10,M,M,M
1998-03-10,2,-23,M,M,M
1998-03-11,17,-26,M,M,M
1998-03-12,35,9,M,M,M
1998-03-13,28,11,M,M,M
1998-03-14,22,11,M,M,M
1998-03-15,27,19,M,M,M
1998-03-16,33,17,M,M,M
1998-03-17,33,30,M,M,M
1998-03-18,30,27,M,M,M
1998-03-19,32,20,M,M,M
1998-03-20,39,11,M,M,M
1998-03-21,38,15,M,M,M
1998-03-22,34,29,M,M,M
1998-03-23,34,27,M,M,M
1998-03-24,55,31,M,M,M
1998-03-25,54,32,M,M,M
1998-03-26,M,M,M,M,M
1998-03-27,51,30,M,M,M
1998-03-28,45,29,M,M,M
1998-03-29,34,28,M,M,M
1998-03-30,40,15,M,M,M
1998-03-31,49,25,M,M,M
1998-04-01,55,27,0.00,M,M
1998-04-02,57,30,0.00,M,M
1998-04-03,59,29,0.00,M,M
1998-04-04,59,30,0.02,M,M
1998-04-05,52,31,0.14,M,M
1998-04-06,43,36,0.11,M,M
1998-04-07,38,32,0.00,M,M
1998-04-08,46,31,0.00,M,M
1998-04-09,57,29,T,M,M
1998-04-10,63,28,0.00,M,M
1998-04-11,74,34,0.00,M,M
1998-04-12,58,35,T,M,M
1998-04-13,54,26,0.00,M,M
1998-04-14,50,24,0.00,M,M
1998-04-15,47,24,0.00,M,M
1998-04-16,53,21,0.08,M,M
1998-04-17,47,31,0.07,M,M
