date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1953-11-01,M,M,0.00,0.0,0
1953-11-02,M,M,0.00,0.0,0
1953-11-03,M,M,0.00,0.0,0
1953-11-04,M,M,0.00,0.0,0
1953-11-05,M,M,0.00,0.0,0
1953-11-06,M,M,0.00,0.0,0
1953-11-07,M,M,0.00,0.0,0
1953-11-08,M,M,0.00,0.0,0
1953-11-09,M,M,0.00,0.0,0
1953-11-10,M,M,0.00,0.0,0
1953-11-11,M,M,0.00,0.0,0
1953-11-12,M,M,0.00,0.0,0
1953-11-13,M,M,0.00,0.0,0
1953-11-14,M,M,0.00,0.0,0
1953-11-15,M,M,0.00,0.0,0
1953-11-16,M,M,0.00,0.0,0
1953-11-17,M,M,0.01,0.0,0
1953-11-18,M,M,0.00,0.0,0
1953-11-19,M,M,0.00,0.0,0
1953-11-20,M,M,0.00,0.0,0
1953-11-21,M,M,0.01,0.0,0
1953-11-22,M,M,0.00,0.0,0
1953-11-23,M,M,0.00,0.0,0
1953-11-24,M,M,0.00,0.0,0
1953-11-25,M,M,0.00,0.0,0
1953-11-26,M,M,0.00,0.0,0
1953-11-27,M,M,0.00,0.0,0
1953-11-28,M,M,0.00,0.0,0
1953-11-29,M,M,0.00,0.0,0
1953-11-30,M,M,0.00,0.0,0
1953-12-01,M,M,T,0.0,0
1953-12-02,M,M,0.03,0.0,0
1953-12-03,M,M,0.00,0.0,0
1953-12-04,M,M,T,0.0,0
1953-12-05,M,M,0.00,0.0,0
1953-12-06,M,M,0.00,0.0,0
1953-12-07,M,M,0.00,0.0,0
1953-12-08,M,M,0.00,0.0,0
1953-12-09,M,M,0.00,0.0,0
1953-12-10,M,M,0.00,0.0,0
1953-12-11,M,M,0.00,0.0,0
1953-12-12,M,M,0.00,0.0,0
1953-12-13,M,M,0.01,0.0,0
1953-12-14,M,M,0.00,0.0,0
1953-12-15,M,M,0.00,0.0,0
1953-12-16,M,M,0.00,0.0,0
1953-12-17,M,M,0.00,0.0,0
1953-12-18,M,M,0.00,0.0,0
1953-12-19,M,M,0.00,0.0,0
1953-12-20,M,M,0.08,T,0
1953-12-21,M,M,0.00,0.0,0
1953-12-22,M,M,0.00,0.0,0
1953-12-23,M,M,0.00,0.0,0
1953-12-24,M,M,0.00,0.0,0
1953-12-25,M,M,0.00,0.0,0
1953-12-26,M,M,T,T,0
1953-12-27,M,M,0.00,0.0,0
1953-12-28,M,M,T,0.0,0
1953-12-29,M,M,0.00,0.0,0
1953-12-30,M,M,0.00,0.0,0
1953-12-31,M,M,T,0.0,0
1954-01-01,M,M,0.00,0.0,0
1954-01-02,M,M,0.00,0.0,0
1954-01-03,M,M,0.00,0.0,0
1954-01-04,M,M,0.00,0.0,0
1954-01-05,M,M,0.00,0.0,0
1954-01-06,M,M,0.00,0.0,0
1954-01-07,M,M,0.00,0.0,0
1954-01-08,M,M,T,T,T
1954-01-09,M,M,0.00,0.0,0
1954-01-10,M,M,0.00,0.0,0
1954-01-11,M,M,0.00,0.0,0
1954-01-12,M,M,0.00,0.0,0
1954-01-13,M,M,0.00,0.0,0
1954-01-14,M,M,0.04,0.5,1
1954-01-15,M,M,0.00,0.0,M
1954-01-16,M,M,0.21,5.0,5
1954-01-17,M,M,0.02,T,T
1954-01-18,M,M,T,T,T
1954-01-19,M,M,0.05,1.0,1
1954-01-20,M,M,T,T,T
1954-01-21,M,M,0.00,0.0,0
1954-01-22,M,M,0.00,0.0,0
1954-01-23,M,M,0.12,2.0,2
1954-01-24,M,M,T,T,T
1954-01-25,M,M,0.00,0.0,0
1954-01-26,M,M,0.00,0.0,0
1954-01-27,M,M,0.00,0.0,0
1954-01-28,M,M,0.00,0.0,0
1954-01-29,M,M,0.00,0.0,0
1954-01-30,M,M,0.00,0.0,0
1954-01-31,M,M,0.00,0.0,0
1954-02-01,M,M,0.00,0.0,0
