date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-01-24,64,30,0.17,0.0,0
2009-01-25,56,42,0.12,0.0,0
2009-01-26,49,41,0.00,M,M
2009-01-27,43,35,0.06,0.0,0
2009-01-28,56,39,0.03,0.0,0
2009-01-29,66,41,0.03,0.0,0
2009-01-30,55,36,0.00,0.0,0
2009-01-31,55,29,0.00,0.0,0
2009-02-01,55,29,0.00,0.0,0
2009-02-02,55,36,0.00,0.0,0
2009-02-03,57,32,0.16,0.0,0
2009-02-04,50,19,0.00,0.0,0
2009-02-05,37,16,0.00,0.0,0
2009-02-06,40,16,0.00,0.0,0
2009-02-07,61,16,0.00,0.0,0
2009-02-08,68,41,0.00,0.0,0
2009-02-09,73,43,0.00,0.0,0
2009-02-10,72,43,0.00,0.0,0
2009-02-11,72,45,0.00,0.0,0
2009-02-12,75,53,0.10,0.0,0
2009-02-13,69,39,0.00,0.0,0
2009-02-14,73,39,0.15,0.0,0
2009-02-15,53,41,0.23,0.0,0
2009-02-16,58,39,0.16,0.0,0
2009-02-17,58,29,0.00,0.0,0
2009-02-18,54,29,0.12,0.0,0
2009-02-19,63,44,1.11,0.0,0
2009-02-20,52,28,0.00,0.0,0
2009-02-21,49,25,0.00,0.0,0
2009-02-22,58,27,0.00,0.0,0
2009-02-23,53,27,0.00,0.0,0
2009-02-24,50,27,0.00,0.0,0
2009-02-25,51,27,0.00,0.0,0
2009-02-26,60,25,0.00,0.0,0
2009-02-27,68,46,0.00,0.0,0
2009-02-28,68,38,1.30,0.0,0
2009-03-01,63,39,0.98,0.0,0
2009-03-02,40,32,0.85,M,M
2009-03-03,46,23,0.00,0.0,0
2009-03-04,43,24,0.00,0.0,0
2009-03-05,53,27,0.00,0.0,0
2009-03-06,63,30,0.00,0.0,0
2009-03-07,72,31,0.00,0.0,0
2009-03-08,78,53,0.00,0.0,0
2009-03-09,78,53,0.00,0.0,0
2009-03-10,82,58,0.00,0.0,0
2009-03-11,80,57,0.00,0.0,0
2009-03-12,85,56,0.00,0.0,0
2009-03-13,70,52,0.00,0.0,0
2009-03-14,52,40,0.01,0.0,0
2009-03-15,45,39,0.20,0.0,0
