date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-07-01,98,76,M,M,M
1996-07-02,100,79,M,M,M
1996-07-03,98,77,M,M,M
1996-07-04,91,67,M,M,M
1996-07-05,77,68,M,M,M
1996-07-06,85,69,M,M,M
1996-07-07,90,71,M,M,M
1996-07-08,M,M,M,M,M
1996-07-09,88,73,M,M,M
1996-07-10,91,73,M,M,M
1996-07-11,M,M,M,M,M
1996-07-12,84,70,M,M,M
1996-07-13,91,71,M,M,M
1996-07-14,90,72,M,M,M
1996-07-15,88,71,M,M,M
1996-07-16,87,72,M,M,M
1996-07-17,91,73,M,M,M
1996-07-18,92,72,M,M,M
1996-07-19,94,77,M,M,M
1996-07-20,92,75,M,M,M
1996-07-21,92,74,M,M,M
1996-07-22,93,74,M,M,M
1996-07-23,94,75,M,M,M
1996-07-24,92,74,M,M,M
1996-07-25,82,72,M,M,M
1996-07-26,88,70,M,M,M
1996-07-27,87,72,M,M,M
1996-07-28,86,73,M,M,M
1996-07-29,92,72,M,M,M
1996-07-30,94,73,M,M,M
1996-07-31,94,73,M,M,M
1996-08-01,83,71,M,M,M
1996-08-02,88,73,M,M,M
1996-08-03,87,72,M,M,M
1996-08-04,91,74,M,M,M
1996-08-05,89,72,M,M,M
1996-08-06,90,72,M,M,M
1996-08-07,90,72,M,M,M
1996-08-08,87,71,M,M,M
1996-08-09,78,72,M,M,M
1996-08-10,87,73,M,M,M
1996-08-11,83,73,M,M,M
1996-08-12,84,73,M,M,M
1996-08-13,85,70,M,M,M
1996-08-14,83,67,M,M,M
1996-08-15,87,68,M,M,M
1996-08-16,89,68,M,M,M
1996-08-17,90,71,M,M,M
1996-08-18,89,M,M,M,M
1996-08-19,88,M,M,M,M
1996-08-20,90,71,M,M,M
1996-08-21,89,70,M,M,M
1996-08-22,89,68,M,M,M
1996-08-23,88,71,M,M,M
1996-08-24,89,69,M,M,M
1996-08-25,85,69,M,M,M
1996-08-26,87,70,M,M,M
1996-08-27,88,71,M,M,M
1996-08-28,85,71,M,M,M
1996-08-29,86,70,M,M,M
1996-08-30,85,70,M,M,M
1996-08-31,84,72,M,M,M
1996-09-01,79,69,M,M,M
1996-09-02,79,69,M,M,M
1996-09-03,86,69,M,M,M
1996-09-04,88,71,M,M,M
1996-09-05,80,72,M,M,M
1996-09-06,91,71,M,M,M
1996-09-07,88,73,M,M,M
1996-09-08,90,71,M,M,M
1996-09-09,92,72,M,M,M
1996-09-10,87,70,M,M,M
1996-09-11,84,69,M,M,M
1996-09-12,85,67,M,M,M
1996-09-13,84,65,M,M,M
1996-09-14,81,57,M,M,M
1996-09-15,83,57,M,M,M
1996-09-16,83,67,M,M,M
1996-09-17,87,70,M,M,M
1996-09-18,80,62,M,M,M
1996-09-19,78,56,M,M,M
1996-09-20,80,57,M,M,M
1996-09-21,79,63,M,M,M
1996-09-22,81,65,M,M,M
1996-09-23,87,62,M,M,M
1996-09-24,88,62,M,M,M
1996-09-25,88,66,M,M,M
1996-09-26,86,65,M,M,M
1996-09-27,87,69,M,M,M
1996-09-28,85,68,M,M,M
1996-09-29,70,63,M,M,M
1996-09-30,64,59,M,M,M
1996-10-01,66,59,M,M,M
1996-10-02,69,63,M,M,M
1996-10-03,82,65,M,M,M
1996-10-04,71,53,M,M,M
1996-10-05,67,48,M,M,M
1996-10-06,65,56,M,M,M
1996-10-07,60,54,M,M,M
1996-10-08,73,58,M,M,M
1996-10-09,75,56,M,M,M
1996-10-10,70,48,M,M,M
1996-10-11,68,47,M,M,M
1996-10-12,70,48,M,M,M
1996-10-13,72,46,M,M,M
1996-10-14,79,49,M,M,M
1996-10-15,81,52,M,M,M
1996-10-16,80,56,M,M,M
1996-10-17,80,62,M,M,M
1996-10-18,78,50,M,M,M
1996-10-19,64,42,M,M,M
1996-10-20,68,41,M,M,M
1996-10-21,76,47,M,M,M
1996-10-22,80,51,M,M,M
1996-10-23,71,55,M,M,M
1996-10-24,74,48,M,M,M
1996-10-25,77,48,M,M,M
1996-10-26,77,59,M,M,M
1996-10-27,71,61,M,M,M
1996-10-28,84,58,M,M,M
1996-10-29,83,65,M,M,M
1996-10-30,79,65,M,M,M
1996-10-31,79,53,M,M,M
1996-11-01,78,56,M,M,M
1996-11-02,68,43,M,M,M
1996-11-03,56,34,M,M,M
1996-11-04,64,37,M,M,M
1996-11-05,67,52,M,M,M
1996-11-06,76,51,M,M,M
1996-11-07,78,63,M,M,M
1996-11-08,71,46,M,M,M
1996-11-09,53,38,M,M,M
1996-11-10,54,35,M,M,M
1996-11-11,53,30,M,M,M
1996-11-12,53,34,M,M,M
1996-11-13,58,34,M,M,M
1996-11-14,66,43,M,M,M
1996-11-15,51,36,M,M,M
1996-11-16,55,35,M,M,M
1996-11-17,60,41,M,M,M
1996-11-18,63,47,M,M,M
1996-11-19,64,51,M,M,M
1996-11-20,65,43,M,M,M
1996-11-21,68,50,M,M,M
1996-11-22,57,42,M,M,M
1996-11-23,54,33,M,M,M
1996-11-24,64,38,M,M,M
1996-11-25,70,48,M,M,M
1996-11-26,61,36,M,M,M
1996-11-27,56,25,M,M,M
1996-11-28,54,35,M,M,M
1996-11-29,50,33,M,M,M
1996-11-30,66,46,M,M,M
1996-12-01,66,53,M,M,M
1996-12-02,60,44,M,M,M
1996-12-03,62,38,M,M,M
1996-12-04,58,39,M,M,M
1996-12-05,56,45,M,M,M
1996-12-06,65,45,M,M,M
1996-12-07,73,50,M,M,M
1996-12-08,56,39,M,M,M
1996-12-09,51,36,M,M,M
1996-12-10,65,31,M,M,M
1996-12-11,69,49,M,M,M
1996-12-12,74,56,M,M,M
1996-12-13,69,50,M,M,M
1996-12-14,62,40,M,M,M
1996-12-15,59,40,M,M,M
1996-12-16,58,37,M,M,M
1996-12-17,64,45,M,M,M
1996-12-18,47,38,M,M,M
1996-12-19,38,24,M,M,M
1996-12-20,40,19,M,M,M
1996-12-21,46,22,M,M,M
1996-12-22,54,29,M,M,M
1996-12-23,68,36,M,M,M
1996-12-24,73,44,M,M,M
1996-12-25,54,30,M,M,M
1996-12-26,44,35,M,M,M
1996-12-27,53,41,M,M,M
1996-12-28,68,53,M,M,M
1996-12-29,M,M,M,M,M
1996-12-30,M,M,M,M,M
1996-12-31,78,60,M,M,M
1997-01-01,65,50,M,M,M
1997-01-02,66,50,M,M,M
1997-01-03,73,57,M,M,M
1997-01-04,72,59,M,M,M
1997-01-05,68,56,M,M,M
1997-01-06,60,52,M,M,M
1997-01-07,53,44,M,M,M
1997-01-08,44,34,M,M,M
1997-01-09,44,36,M,M,M
1997-01-10,50,34,M,M,M
1997-01-11,48,25,M,M,M
1997-01-12,48,28,M,M,M
1997-01-13,50,29,M,M,M
1997-01-14,52,30,M,M,M
1997-01-15,60,34,M,M,M
1997-01-16,58,32,M,M,M
1997-01-17,37,21,M,M,M
1997-01-18,39,21,M,M,M
1997-01-19,45,29,M,M,M
1997-01-20,61,32,M,M,M
1997-01-21,68,40,M,M,M
1997-01-22,72,46,M,M,M
1997-01-23,71,56,M,M,M
1997-01-24,71,53,M,M,M
1997-01-25,67,43,M,M,M
1997-01-26,57,32,M,M,M
1997-01-27,67,43,M,M,M
1997-01-28,66,54,M,M,M
1997-01-29,57,38,M,M,M
1997-01-30,43,37,M,M,M
1997-01-31,58,34,M,M,M
1997-02-01,68,44,M,M,M
1997-02-02,68,44,M,M,M
1997-02-03,71,50,M,M,M
1997-02-04,68,57,M,M,M
1997-02-05,71,48,M,M,M
1997-02-06,57,40,M,M,M
1997-02-07,63,42,M,M,M
1997-02-08,56,44,M,M,M
1997-02-09,48,42,M,M,M
1997-02-10,45,40,M,M,M
1997-02-11,51,35,M,M,M
1997-02-12,50,29,M,M,M
1997-02-13,45,36,M,M,M
1997-02-14,42,35,M,M,M
1997-02-15,60,41,M,M,M
1997-02-16,60,32,M,M,M
1997-02-17,65,38,M,M,M
1997-02-18,69,40,M,M,M
1997-02-19,75,46,M,M,M
1997-02-20,75,54,M,M,M
1997-02-21,79,60,M,M,M
1997-02-22,69,47,M,M,M
1997-02-23,56,36,M,M,M
1997-02-24,59,39,M,M,M
1997-02-25,59,47,M,M,M
1997-02-26,65,48,M,M,M
1997-02-27,81,55,M,M,M
1997-02-28,76,63,M,M,M
1997-03-01,85,62,M,M,M
1997-03-02,83,64,M,M,M
1997-03-03,85,64,M,M,M
1997-03-04,80,54,M,M,M
1997-03-05,83,54,M,M,M
1997-03-06,66,48,M,M,M
1997-03-07,68,39,M,M,M
1997-03-08,74,45,M,M,M
1997-03-09,77,52,M,M,M
1997-03-10,79,57,M,M,M
1997-03-11,82,62,M,M,M
1997-03-12,76,52,M,M,M
1997-03-13,74,56,M,M,M
1997-03-14,75,62,M,M,M
1997-03-15,63,46,M,M,M
1997-03-16,59,38,M,M,M
1997-03-17,68,41,M,M,M
1997-03-18,77,53,M,M,M
1997-03-19,72,57,M,M,M
1997-03-20,70,51,M,M,M
1997-03-21,69,56,M,M,M
1997-03-22,84,57,M,M,M
1997-03-23,70,48,M,M,M
1997-03-24,71,50,M,M,M
1997-03-25,73,54,M,M,M
1997-03-26,74,58,M,M,M
1997-03-27,75,47,M,M,M
1997-03-28,77,51,M,M,M
1997-03-29,86,67,M,M,M
1997-03-30,83,58,M,M,M
1997-03-31,64,49,M,M,M
1997-04-01,69,41,M,M,M
1997-04-02,70,49,M,M,M
1997-04-03,77,44,M,M,M
1997-04-04,80,52,M,M,M
1997-04-05,82,56,M,M,M
1997-04-06,80,60,M,M,M
1997-04-07,77,56,M,M,M
1997-04-08,70,46,M,M,M
1997-04-09,73,54,M,M,M
1997-04-10,64,42,M,M,M
1997-04-11,72,45,M,M,M
1997-04-12,76,62,M,M,M
1997-04-13,71,53,M,M,M
1997-04-14,59,42,M,M,M
1997-04-15,71,46,M,M,M
1997-04-16,74,49,M,M,M
1997-04-17,69,48,M,M,M
1997-04-18,65,36,M,M,M
1997-04-19,79,47,M,M,M
1997-04-20,74,56,M,M,M
1997-04-21,82,55,M,M,M
1997-04-22,80,60,M,M,M
1997-04-23,M,M,M,M,M
1997-04-24,69,46,M,M,M
1997-04-25,72,48,M,M,M
1997-04-26,64,52,M,M,M
1997-04-27,63,53,M,M,M
1997-04-28,78,57,M,M,M
1997-04-29,69,58,M,M,M
1997-04-30,79,55,M,M,M
1997-05-01,80,59,M,M,M
1997-05-02,83,52,M,M,M
1997-05-03,72,61,M,M,M
1997-05-04,71,51,M,M,M
1997-05-05,74,49,M,M,M
1997-05-06,81,54,M,M,M
1997-05-07,76,58,M,M,M
1997-05-08,83,55,M,M,M
1997-05-09,83,63,M,M,M
1997-05-10,73,52,M,M,M
1997-05-11,75,51,M,M,M
1997-05-12,74,55,M,M,M
1997-05-13,78,56,M,M,M
1997-05-14,83,51,M,M,M
1997-05-15,84,64,M,M,M
1997-05-16,77,53,M,M,M
1997-05-17,83,55,M,M,M
1997-05-18,91,59,M,M,M
1997-05-19,91,66,M,M,M
1997-05-20,87,72,M,M,M
1997-05-21,77,67,M,M,M
1997-05-22,82,59,M,M,M
1997-05-23,84,63,M,M,M
1997-05-24,79,65,M,M,M
1997-05-25,82,67,M,M,M
1997-05-26,89,70,M,M,M
1997-05-27,77,63,M,M,M
1997-05-28,66,56,M,M,M
1997-05-29,76,59,M,M,M
1997-05-30,82,64,M,M,M
1997-05-31,85,67,M,M,M
1997-06-01,80,67,M,M,M
1997-06-02,82,63,M,M,M
1997-06-03,80,60,M,M,M
1997-06-04,67,60,M,M,M
1997-06-05,72,58,M,M,M
1997-06-06,64,56,M,M,M
1997-06-07,67,58,M,M,M
1997-06-08,76,59,M,M,M
1997-06-09,79,60,M,M,M
1997-06-10,84,60,M,M,M
1997-06-11,79,69,M,M,M
1997-06-12,84,69,M,M,M
1997-06-13,92,68,M,M,M
1997-06-14,M,M,M,M,M
1997-06-15,85,68,M,M,M
1997-06-16,84,68,M,M,M
1997-06-17,89,71,M,M,M
1997-06-18,87,71,M,M,M
1997-06-19,89,71,M,M,M
1997-06-20,91,72,M,M,M
1997-06-21,M,M,M,M,M
1997-06-22,87,70,M,M,M
1997-06-23,91,72,M,M,M
1997-06-24,91,72,M,M,M
1997-06-25,92,73,M,M,M
1997-06-26,91,72,M,M,M
1997-06-27,87,71,M,M,M
1997-06-28,84,72,M,M,M
1997-06-29,85,71,M,M,M
1997-06-30,89,72,M,M,M
1997-07-01,88,72,M,M,M
1997-07-02,M,M,M,M,M
1997-07-03,99,74,M,M,M
1997-07-04,101,76,M,M,M
1997-07-05,97,74,M,M,M
1997-07-06,94,70,M,M,M
1997-07-07,87,71,M,M,M
1997-07-08,90,70,M,M,M
1997-07-09,92,68,M,M,M
1997-07-10,92,70,M,M,M
1997-07-11,86,73,M,M,M
1997-07-12,90,70,M,M,M
1997-07-13,91,71,M,M,M
1997-07-14,95,74,M,M,M
1997-07-15,91,74,M,M,M
1997-07-16,95,69,M,M,M
1997-07-17,89,69,M,M,M
1997-07-18,92,71,M,M,M
1997-07-19,93,73,M,M,M
1997-07-20,92,73,M,M,M
1997-07-21,93,73,M,M,M
1997-07-22,94,75,M,M,M
1997-07-23,90,73,M,M,M
1997-07-24,89,72,M,M,M
1997-07-25,92,72,M,M,M
1997-07-26,90,73,M,M,M
1997-07-27,91,73,M,M,M
1997-07-28,94,71,M,M,M
1997-07-29,94,74,M,M,M
1997-07-30,86,66,M,M,M
1997-07-31,M,M,M,M,M
1997-08-01,M,M,M,M,M
1997-08-02,86,66,M,M,M
1997-08-03,89,71,M,M,M
1997-08-04,89,73,M,M,M
1997-08-05,91,71,M,M,M
