date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2011-07-01,77,52,T,M,M
2011-07-02,77,56,0.00,0.0,0
2011-07-03,68,58,T,0.0,0
2011-07-04,75,60,T,0.0,0
2011-07-05,88,60,0.01,0.0,0
2011-07-06,79,57,0.02,0.0,0
2011-07-07,82,59,T,0.0,0
2011-07-08,75,53,0.00,0.0,0
2011-07-09,77,57,1.25,0.0,0
2011-07-10,83,54,0.00,0.0,0
2011-07-11,77,62,T,0.0,0
2011-07-12,80,64,0.45,0.0,0
2011-07-13,81,62,T,0.0,0
2011-07-14,77,55,0.00,0.0,0
2011-07-15,82,49,0.00,0.0,0
2011-07-16,87,56,0.00,0.0,0
2011-07-17,89,60,0.00,0.0,0
2011-07-18,85,65,0.00,0.0,0
2011-07-19,86,63,0.00,0.0,0
2011-07-20,80,55,0.00,0.0,0
2011-07-21,83,64,0.07,0.0,0
2011-07-22,95,69,0.00,0.0,0
2011-07-23,88,68,0.01,0.0,0
2011-07-24,80,57,0.00,0.0,0
2011-07-25,77,53,0.00,0.0,0
2011-07-26,70,58,0.17,0.0,0
2011-07-27,79,60,0.02,0.0,0
2011-07-28,76,59,0.00,0.0,0
2011-07-29,71,59,0.05,0.0,0
2011-07-30,82,63,0.27,0.0,0
2011-07-31,84,56,0.00,0.0,0
2011-08-01,78,56,0.08,0.0,0
2011-08-02,69,59,1.12,0.0,0
2011-08-03,77,56,T,0.0,0
2011-08-04,75,60,0.21,0.0,0
2011-08-05,76,57,0.00,0.0,0
2011-08-06,77,56,T,0.0,0
2011-08-07,68,63,1.21,0.0,0
2011-08-08,81,62,0.03,0.0,0
2011-08-09,79,57,0.00,0.0,0
2011-08-10,62,57,0.32,0.0,0
2011-08-11,68,59,0.01,0.0,0
2011-08-12,77,56,0.00,0.0,0
2011-08-13,80,55,0.00,0.0,0
2011-08-14,75,58,0.00,0.0,0
2011-08-15,74,61,0.53,0.0,0
2011-08-16,66,59,0.48,0.0,0
2011-08-17,79,55,0.00,0.0,0
2011-08-18,77,55,T,0.0,0
2011-08-19,78,60,0.00,0.0,0
2011-08-20,77,62,T,0.0,0
2011-08-21,74,63,0.46,0.0,0
2011-08-22,77,54,0.73,0.0,0
2011-08-23,72,51,0.01,0.0,0
2011-08-24,73,53,0.00,0.0,0
2011-08-25,73,62,0.35,0.0,0
2011-08-26,81,61,0.01,0.0,0
2011-08-27,72,56,T,0.0,0
2011-08-28,73,64,1.60,0.0,0
2011-08-29,77,56,0.02,0.0,0
2011-08-30,76,51,0.00,0.0,0
2011-08-31,77,53,0.00,0.0,0
2011-09-01,76,51,0.00,0.0,0
2011-09-02,73,49,0.00,0.0,0
2011-09-03,70,52,0.00,0.0,0
2011-09-04,76,57,0.00,0.0,0
2011-09-05,75,63,0.21,0.0,0
2011-09-06,71,59,0.07,0.0,0
2011-09-07,60,55,0.20,0.0,0
2011-09-08,66,55,0.04,0.0,0
2011-09-09,77,56,0.01,0.0,0
2011-09-10,68,47,0.00,0.0,0
2011-09-11,66,39,0.00,0.0,0
2011-09-12,79,52,0.00,0.0,0
2011-09-13,69,55,T,0.0,0
2011-09-14,77,60,0.00,0.0,0
2011-09-15,64,52,0.20,0.0,0
2011-09-16,62,41,0.06,0.0,0
2011-09-17,65,39,0.00,0.0,0
2011-09-18,68,39,0.00,0.0,0
2011-09-19,68,45,0.00,0.0,0
2011-09-20,61,44,T,0.0,0
2011-09-21,72,49,0.00,0.0,0
2011-09-22,64,57,0.35,0.0,0
2011-09-23,74,61,0.02,0.0,0
2011-09-24,70,61,0.69,0.0,0
2011-09-25,82,61,0.01,0.0,0
2011-09-26,80,58,0.00,0.0,0
2011-09-27,77,51,0.00,0.0,0
2011-09-28,66,47,0.00,0.0,0
2011-09-29,65,49,0.38,0.0,0
2011-09-30,68,56,0.00,0.0,0
2011-10-01,64,52,0.34,0.0,0
2011-10-02,58,52,0.83,0.0,0
2011-10-03,63,54,0.04,0.0,0
2011-10-04,58,51,0.45,0.0,0
2011-10-05,57,37,0.07,0.0,0
2011-10-06,51,32,0.00,0.0,0
2011-10-07,55,29,0.00,0.0,0
2011-10-08,78,43,0.00,0.0,0
2011-10-09,83,50,0.00,0.0,0
2011-10-10,77,48,0.00,0.0,0
2011-10-11,62,40,0.00,0.0,0
2011-10-12,58,38,0.00,0.0,0
2011-10-13,59,48,0.54,0.0,0
2011-10-14,64,58,0.63,0.0,0
2011-10-15,63,54,0.08,0.0,0
2011-10-16,62,47,0.00,0.0,0
2011-10-17,61,47,0.14,0.0,0
2011-10-18,62,45,0.00,0.0,0
2011-10-19,55,43,0.39,0.0,0
2011-10-20,61,51,0.78,0.0,0
2011-10-21,62,44,0.00,0.0,0
2011-10-22,57,42,T,0.0,0
2011-10-23,58,40,0.00,0.0,0
2011-10-24,57,41,0.00,0.0,0
2011-10-25,57,43,0.24,0.0,0
2011-10-26,54,37,0.00,0.0,0
2011-10-27,43,37,0.01,0.0,0
2011-10-28,47,28,0.00,0.0,0
2011-10-29,44,26,0.22,0.8,1
2011-10-30,39,30,0.72,1.7,2
2011-10-31,49,28,0.00,0.0,1
2011-11-01,51,29,0.00,0.0,T
2011-11-02,52,27,0.00,0.0,T
2011-11-03,57,36,0.00,0.0,0
2011-11-04,48,33,0.03,T,0
2011-11-05,45,28,0.00,0.0,0
2011-11-06,55,26,0.00,0.0,0
2011-11-07,54,26,0.00,0.0,0
2011-11-08,63,37,0.00,0.0,0
2011-11-09,60,37,0.00,0.0,0
2011-11-10,58,49,0.41,0.0,0
2011-11-11,56,35,0.58,0.0,0
2011-11-12,45,32,0.00,0.0,0
2011-11-13,53,31,0.00,0.0,0
2011-11-14,57,51,0.00,0.0,0
2011-11-15,60,38,0.04,0.0,0
2011-11-16,57,33,0.38,0.0,0
2011-11-17,50,34,0.04,T,0
2011-11-18,43,28,0.01,T,0
2011-11-19,48,28,0.00,0.0,0
2011-11-20,55,43,T,0.0,0
2011-11-21,43,22,0.00,0.0,0
2011-11-22,42,18,0.00,0.0,0
2011-11-23,32,24,1.10,9.9,10
2011-11-24,35,20,0.00,0.0,9
2011-11-25,48,25,0.00,0.0,6
2011-11-26,50,31,0.00,0.0,5
2011-11-27,49,31,T,0.0,2
2011-11-28,57,40,T,0.0,0
2011-11-29,54,38,0.00,0.0,0
2011-11-30,60,37,0.35,0.0,0
2011-12-01,45,27,0.00,0.0,0
2011-12-02,39,24,0.19,0.1,T
2011-12-03,38,26,0.00,0.0,0
2011-12-04,48,26,0.00,0.0,0
2011-12-05,53,42,0.00,0.0,0
2011-12-06,54,40,0.63,0.0,0
2011-12-07,40,38,0.68,0.0,0
2011-12-08,38,27,0.81,0.9,1
2011-12-09,45,28,0.00,0.0,T
2011-12-10,43,22,T,0.0,0
2011-12-11,33,19,0.00,0.0,0
2011-12-12,48,24,0.00,0.0,0
2011-12-13,42,25,0.00,0.0,0
2011-12-14,37,24,0.00,0.0,0
2011-12-15,49,25,0.62,0.0,0
2011-12-16,49,28,T,0.0,0
2011-12-17,30,19,T,T,T
2011-12-18,20,7,0.00,0.0,0
2011-12-19,39,5,0.00,0.0,0
2011-12-20,37,12,0.00,0.0,0
2011-12-21,47,8,0.64,0.2,0
2011-12-22,47,29,0.00,0.0,0
2011-12-23,34,24,0.34,4.0,3
2011-12-24,24,2,0.00,0.0,3
2011-12-25,33,-1,0.29,3.4,6
2011-12-26,32,16,0.00,0.0,6
2011-12-27,44,11,0.09,0.0,3
2011-12-28,50,20,0.66,0.0,0
2011-12-29,26,15,0.00,0.0,0
2011-12-30,30,11,T,T,0
2011-12-31,45,29,0.54,0.0,0
2012-01-01,43,31,0.00,0.0,0
2012-01-02,47,29,0.15,T,0
2012-01-03,29,8,0.00,0.0,0
2012-01-04,19,4,0.00,0.0,0
2012-01-05,33,15,0.00,0.0,0
2012-01-06,29,13,0.05,0.3,T
2012-01-07,36,26,T,T,0
2012-01-08,39,25,0.00,0.0,0
2012-01-09,30,13,0.00,0.0,0
2012-01-10,38,19,0.05,0.2,0
2012-01-11,25,11,0.00,0.0,0
2012-01-12,32,17,0.66,5.4,5
2012-01-13,45,26,0.10,T,4
2012-01-14,30,3,T,T,4
2012-01-15,11,-5,0.00,0.0,4
2012-01-16,34,-0,0.00,0.0,4
2012-01-17,40,29,0.23,0.1,3
2012-01-18,43,13,T,0.0,3
2012-01-19,20,3,0.00,0.0,2
2012-01-20,32,6,0.22,3.7,6
2012-01-21,13,2,0.01,0.5,5
2012-01-22,24,-4,0.00,0.0,5
2012-01-23,44,6,0.10,T,3
2012-01-24,48,35,0.37,0.0,T
2012-01-25,39,26,0.00,0.0,T
2012-01-26,35,22,0.00,0.0,T
2012-01-27,40,27,1.32,3.3,1
2012-01-28,37,28,0.00,0.0,1
2012-01-29,39,28,0.00,0.0,1
2012-01-30,34,14,T,0.1,1
2012-01-31,26,12,0.06,1.0,2
2012-02-01,34,25,0.08,T,1
2012-02-02,25,19,T,T,1
2012-02-03,29,12,0.00,0.0,1
2012-02-04,31,15,0.00,0.0,1
2012-02-05,28,5,0.00,0.0,1
2012-02-06,45,15,0.00,0.0,1
2012-02-07,41,18,0.00,0.0,1
2012-02-08,32,9,0.00,0.0,1
2012-02-09,40,18,0.00,0.0,1
2012-02-10,43,14,0.00,0.0,1
2012-02-11,33,14,0.16,1.8,3
2012-02-12,20,-0,0.00,0.0,2
2012-02-13,28,-1,0.00,0.0,2
2012-02-14,39,9,0.00,0.0,2
2012-02-15,40,25,0.00,0.0,1
2012-02-16,45,28,0.00,0.0,1
2012-02-17,40,32,0.18,0.0,1
2012-02-18,42,26,T,T,T
2012-02-19,39,23,0.00,0.0,T
2012-02-20,33,17,0.00,0.0,T
2012-02-21,36,13,0.01,T,T
2012-02-22,45,30,0.05,0.1,T
2012-02-23,42,30,0.40,0.0,T
2012-02-24,40,27,0.36,0.4,T
2012-02-25,40,29,0.57,0.3,T
2012-02-26,34,19,0.00,0.0,T
2012-02-27,31,12,0.14,0.5,1
2012-02-28,31,16,0.00,0.0,T
2012-02-29,35,9,0.00,0.0,T
2012-03-01,24,16,0.40,6.7,6
2012-03-02,33,10,T,T,5
2012-03-03,39,26,0.76,0.5,3
2012-03-04,40,24,0.00,0.0,2
2012-03-05,29,14,0.03,1.1,3
2012-03-06,33,10,0.00,0.0,2
2012-03-07,46,15,0.00,0.0,1
2012-03-08,55,32,0.00,0.0,T
2012-03-09,51,25,0.30,0.0,0
2012-03-10,38,21,0.00,0.0,0
2012-03-11,45,23,0.00,0.0,0
2012-03-12,62,29,0.00,0.0,0
2012-03-13,51,36,0.07,0.0,0
2012-03-14,36,31,0.02,0.2,T
2012-03-15,36,29,0.01,0.1,0
2012-03-16,34,30,0.17,T,0
2012-03-17,57,33,0.00,0.0,0
2012-03-18,52,33,T,0.0,0
2012-03-19,66,36,0.00,0.0,0
2012-03-20,61,32,0.00,0.0,0
2012-03-21,80,37,0.00,0.0,0
2012-03-22,82,40,0.00,0.0,0
2012-03-23,65,40,0.00,0.0,0
