date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2010-07-09,86,66,0.00,M,M
2010-07-10,87,68,0.00,M,M
2010-07-11,78,68,0.20,M,M
2010-07-12,75,64,0.28,M,M
2010-07-13,86,66,T,M,M
2010-07-14,85,67,0.13,M,M
2010-07-15,78,65,0.02,M,M
2010-07-16,88,63,0.00,M,M
2010-07-17,86,65,0.00,M,M
2010-07-18,88,66,0.00,M,M
2010-07-19,85,62,0.00,M,M
2010-07-20,78,61,0.08,M,M
2010-07-21,79,59,0.00,M,M
2010-07-22,83,62,0.52,M,M
2010-07-23,79,58,0.01,M,M
2010-07-24,82,62,0.12,M,M
2010-07-25,69,62,0.05,M,M
2010-07-26,84,58,0.01,M,M
2010-07-27,73,55,T,M,M
2010-07-28,84,60,0.00,M,M
2010-07-29,87,64,0.03,M,M
2010-07-30,85,50,0.00,M,M
2010-07-31,76,53,0.00,M,M
2010-08-01,78,57,0.00,M,M
2010-08-02,78,55,0.00,M,M
2010-08-03,82,58,0.02,M,M
2010-08-04,78,61,0.33,M,M
2010-08-05,87,67,T,M,M
2010-08-06,86,66,0.00,M,M
2010-08-07,84,47,0.00,M,M
2010-08-08,73,50,0.00,M,M
2010-08-09,82,52,0.12,M,M
2010-08-10,83,61,0.04,M,M
2010-08-11,88,58,0.05,M,M
2010-08-12,82,52,0.00,M,M
2010-08-13,78,54,0.00,M,M
2010-08-14,82,55,0.00,M,M
2010-08-15,83,54,0.00,M,M
2010-08-16,82,57,0.03,M,M
2010-08-17,69,61,0.04,M,M
2010-08-18,85,59,0.00,M,M
2010-08-19,83,59,0.00,M,M
2010-08-20,85,59,0.01,M,M
2010-08-21,73,51,0.00,M,M
2010-08-22,80,53,0.00,M,M
2010-08-23,72,58,0.00,M,M
2010-08-24,75,54,0.00,M,M
2010-08-25,80,54,0.00,M,M
2010-08-26,68,56,0.80,M,M
2010-08-27,79,55,0.02,M,M
2010-08-28,75,52,0.00,M,M
2010-08-29,79,57,0.03,M,M
2010-08-30,92,62,0.00,M,M
2010-08-31,92,63,0.00,M,M
2010-09-01,96,64,0.00,0.0,0
2010-09-02,94,68,0.00,0.0,0
2010-09-03,93,68,0.03,0.0,0
2010-09-04,93,69,1.70,0.0,0
2010-09-05,79,54,1.37,0.0,0
2010-09-06,72,50,T,0.0,0
2010-09-07,73,52,0.03,0.0,0
2010-09-08,71,57,0.05,0.0,0
2010-09-09,76,54,0.01,0.0,0
2010-09-10,71,52,0.05,0.0,0
2010-09-11,60,48,0.01,0.0,0
2010-09-12,72,48,0.00,0.0,0
2010-09-13,65,45,0.00,0.0,0
2010-09-14,58,47,0.02,0.0,0
2010-09-15,68,50,0.05,0.0,0
2010-09-16,63,44,0.00,0.0,0
2010-09-17,65,47,0.75,0.0,0
2010-09-18,64,43,0.01,0.0,0
2010-09-19,69,44,0.00,0.0,0
2010-09-20,67,45,0.00,0.0,0
2010-09-21,67,43,0.00,0.0,0
2010-09-22,64,45,0.00,0.0,0
2010-09-23,77,50,0.00,0.0,0
2010-09-24,63,48,0.21,0.0,0
2010-09-25,59,48,0.55,0.0,0
2010-09-26,78,50,T,0.0,0
2010-09-27,53,48,0.00,0.0,0
2010-09-28,57,49,0.29,0.0,0
2010-09-29,74,57,0.18,0.0,0
2010-09-30,79,56,0.00,0.0,0
2010-10-01,73,56,0.04,0.0,0
2010-10-02,73,51,1.15,0.0,0
2010-10-03,60,37,0.00,0.0,0
2010-10-04,59,38,0.00,0.0,0
2010-10-05,60,41,0.00,0.0,0
2010-10-06,67,45,0.00,0.0,0
2010-10-07,59,48,0.54,0.0,0
2010-10-08,53,44,0.14,0.0,0
2010-10-09,62,40,0.00,0.0,0
2010-10-10,53,36,0.00,0.0,0
2010-10-11,62,38,0.00,0.0,0
2010-10-12,59,36,0.00,0.0,0
2010-10-13,59,36,0.00,0.0,0
2010-10-14,58,36,0.00,0.0,0
2010-10-15,58,36,0.54,0.0,0
2010-10-16,50,46,2.11,0.0,0
2010-10-17,49,40,0.31,0.0,0
2010-10-18,59,39,0.00,0.0,0
2010-10-19,51,33,0.00,0.0,0
2010-10-20,52,33,0.00,0.0,0
2010-10-21,60,37,0.00,0.0,0
2010-10-22,54,34,0.06,0.0,0
2010-10-23,47,33,0.00,0.0,0
2010-10-24,48,32,0.00,0.0,0
2010-10-25,48,34,0.09,0.0,0
2010-10-26,50,40,0.50,0.0,0
2010-10-27,61,48,0.05,0.0,0
2010-10-28,64,54,0.63,0.0,0
2010-10-29,69,39,0.00,0.0,0
2010-10-30,56,33,0.00,0.0,0
2010-10-31,43,32,0.24,1.0,1
2010-11-01,35,31,0.14,0.8,1
2010-11-02,46,31,0.00,0.0,T
2010-11-03,43,26,0.00,0.0,0
2010-11-04,48,27,0.00,0.0,0
2010-11-05,48,34,0.98,0.0,0
2010-11-06,60,36,0.20,0.0,0
2010-11-07,38,32,0.00,0.0,0
2010-11-08,41,36,1.78,0.0,0
2010-11-09,48,37,0.32,0.0,0
2010-11-10,49,35,0.10,0.0,0
2010-11-11,45,32,0.00,0.0,0
2010-11-12,49,32,0.00,0.0,0
2010-11-13,58,33,0.00,0.0,0
2010-11-14,63,33,0.00,0.0,0
2010-11-15,48,33,0.00,0.0,0
2010-11-16,47,36,0.05,0.0,0
2010-11-17,50,42,0.13,0.0,0
2010-11-18,55,41,1.22,0.0,0
2010-11-19,46,31,0.00,0.0,0
2010-11-20,39,24,0.00,0.0,0
2010-11-21,43,24,T,T,0
2010-11-22,33,24,T,T,T
2010-11-23,36,29,0.18,T,0
2010-11-24,40,34,0.14,0.0,0
2010-11-25,37,24,T,T,0
2010-11-26,35,23,T,T,T
2010-11-27,33,24,0.21,1.2,1
2010-11-28,37,18,0.04,0.9,2
2010-11-29,37,20,0.00,0.0,2
2010-11-30,41,25,0.00,0.0,2
2010-12-01,42,25,0.00,0.0,1
2010-12-02,47,35,0.78,0.0,0
2010-12-03,48,31,0.01,0.0,0
2010-12-04,40,34,0.54,0.0,0
2010-12-05,39,30,0.20,0.4,T
