date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-12-07,34,18,0.00,0.0,1
2009-12-08,31,16,0.00,0.0,1
2009-12-09,29,11,0.00,0.0,1
2009-12-10,36,12,0.80,8.0,8
2009-12-11,36,20,0.00,0.0,7
2009-12-12,23,10,0.00,0.0,5
2009-12-13,18,0,0.00,0.0,5
2009-12-14,32,0,0.23,3.0,7
2009-12-15,38,20,0.06,0.5,7
2009-12-16,38,15,0.08,0.5,8
2009-12-17,15,-4,0.00,0.0,7
2009-12-18,5,-5,0.00,0.0,7
2009-12-19,15,3,0.00,0.0,6
2009-12-20,21,0,0.00,0.0,6
2009-12-21,23,13,0.00,0.0,6
2009-12-22,21,16,0.00,0.0,6
2009-12-23,21,10,0.30,2.0,7
2009-12-24,33,11,0.24,3.0,11
2009-12-25,36,21,0.00,0.0,11
2009-12-26,28,21,T,T,11
2009-12-27,29,21,T,0.1,11
2009-12-28,44,21,0.78,0.0,6
2009-12-29,38,24,0.49,5.0,12
2009-12-30,24,0,T,T,6
2009-12-31,13,-5,0.00,0.0,7
2010-01-01,21,-2,0.16,2.0,8
2010-01-02,23,18,0.07,2.0,10
2010-01-03,34,19,0.77,7.0,15
2010-01-04,36,19,0.07,0.0,12
2010-01-05,38,25,T,T,11
2010-01-06,38,24,0.00,0.0,10
2010-01-07,30,24,0.00,0.0,10
2010-01-08,28,17,0.00,0.0,10
2010-01-09,25,17,0.00,0.0,10
2010-01-10,19,1,0.00,0.0,10
2010-01-11,19,1,0.00,0.0,10
2010-01-12,26,11,0.00,0.0,10
2010-01-13,16,3,0.00,0.0,10
2010-01-14,9,-5,0.00,0.0,10
2010-01-15,26,-6,0.00,0.0,10
2010-01-16,37,22,T,T,10
2010-01-17,38,7,0.00,0.0,10
2010-01-18,21,7,0.00,0.0,10
2010-01-19,27,19,0.04,0.5,10
2010-01-20,26,21,M,M,13
2010-01-21,30,6,M,M,14
2010-01-22,31,6,0.00,0.0,14
2010-01-23,31,-8,0.00,0.0,13
2010-01-24,29,-8,0.00,0.0,13
2010-01-25,35,11,T,0.0,13
2010-01-26,48,30,M,M,4
2010-01-27,38,31,0.03,0.5,3
2010-01-28,39,24,0.00,0.0,3
2010-01-29,34,10,0.10,1.0,4
2010-01-30,11,-1,0.00,0.0,4
2010-01-31,15,-1,0.00,0.0,4
2010-02-01,18,-1,T,T,4
2010-02-02,17,-2,0.00,0.0,4
2010-02-03,13,-9,0.00,0.0,4
2010-02-04,24,-9,0.00,0.0,3
2010-02-05,20,7,0.00,0.0,3
2010-02-06,19,-6,0.00,0.0,3
2010-02-07,20,1,0.00,0.0,3
2010-02-08,23,14,T,T,3
2010-02-09,28,18,M,M,3
2010-02-10,37,14,0.00,0.0,3
2010-02-11,34,14,0.00,0.0,2
2010-02-12,37,23,0.00,0.0,2
2010-02-13,36,20,0.00,0.0,2
2010-02-14,29,20,0.00,0.0,2
2010-02-15,31,23,T,T,2
2010-02-16,33,16,0.00,0.0,2
2010-02-17,39,16,0.00,0.0,2
2010-02-18,32,27,0.01,0.5,2
2010-02-19,40,28,0.00,0.0,2
2010-02-20,34,28,0.00,0.0,2
2010-02-21,40,27,0.00,0.0,2
2010-02-22,36,26,0.02,0.5,2
2010-02-23,41,28,T,T,0
2010-02-24,39,31,0.09,0.5,2
2010-02-25,36,30,M,M,1
2010-02-26,34,30,M,M,3
2010-02-27,35,32,0.49,1.5,4
2010-02-28,36,32,0.27,1.3,5
2010-03-01,39,32,0.16,0.5,5
