date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-04-13,50,30,0.00,0.0,0
2001-04-14,66,37,0.00,0.0,0
2001-04-15,67,41,0.00,0.0,0
2001-04-16,61,41,1.39,0.0,0
2001-04-17,48,30,0.21,0.0,0
2001-04-18,37,28,T,T,0
2001-04-19,44,26,T,T,0
2001-04-20,56,27,0.00,0.0,0
2001-04-21,53,35,0.22,0.0,0
2001-04-22,67,45,0.01,0.0,0
2001-04-23,77,53,T,0.0,0
2001-04-24,85,55,0.00,0.0,0
2001-04-25,70,37,0.00,0.0,0
2001-04-26,56,31,0.00,0.0,0
2001-04-27,64,33,0.00,0.0,M
2001-04-28,72,41,0.00,0.0,0
2001-04-29,61,30,0.00,0.0,0
2001-04-30,67,31,0.00,0.0,0
2001-05-01,79,38,0.00,0.0,0
2001-05-02,83,47,0.00,0.0,0
2001-05-03,82,53,0.00,0.0,0
2001-05-04,86,55,0.00,0.0,0
2001-05-05,88,58,0.00,0.0,0
2001-05-06,72,42,0.00,0.0,0
2001-05-07,68,41,0.00,0.0,0
2001-05-08,67,43,0.00,0.0,0
2001-05-09,67,46,0.17,0.0,0
2001-05-10,75,47,0.00,0.0,0
2001-05-11,79,47,0.00,0.0,0
2001-05-12,83,47,0.02,0.0,0
2001-05-13,65,42,0.04,0.0,0
2001-05-14,64,36,0.00,0.0,0
2001-05-15,62,36,T,0.0,0
2001-05-16,70,39,0.00,0.0,0
2001-05-17,71,42,T,0.0,0
2001-05-18,54,50,0.01,0.0,0
2001-05-19,71,52,0.01,0.0,0
2001-05-20,79,49,0.00,0.0,0
2001-05-21,69,53,0.09,0.0,0
2001-05-22,56,54,0.18,0.0,0
2001-05-23,66,47,0.79,0.0,0
2001-05-24,71,44,0.00,0.0,0
2001-05-25,73,48,0.00,0.0,0
2001-05-26,62,51,0.29,0.0,0
2001-05-27,70,47,0.92,0.0,0
2001-05-28,67,45,0.29,0.0,0
2001-05-29,65,48,0.00,0.0,0
2001-05-30,70,44,0.08,0.0,0
2001-05-31,63,39,0.00,0.0,0
2001-06-01,67,40,T,0.0,0
2001-06-02,56,42,1.02,0.0,0
2001-06-03,70,52,0.30,0.0,0
2001-06-04,60,50,0.02,0.0,0
2001-06-05,69,49,T,0.0,0
2001-06-06,75,54,0.00,0.0,0
2001-06-07,65,57,0.05,0.0,0
2001-06-08,75,52,0.00,0.0,0
2001-06-09,76,48,0.00,0.0,0
2001-06-10,76,49,0.00,0.0,0
2001-06-11,80,59,0.00,0.0,0
2001-06-12,80,59,0.00,0.0,0
2001-06-13,87,60,T,0.0,0
2001-06-14,87,62,0.00,0.0,0
2001-06-15,87,64,0.00,0.0,0
2001-06-16,80,65,0.00,0.0,0
2001-06-17,82,58,0.08,0.0,0
2001-06-18,82,56,0.00,0.0,0
2001-06-19,83,56,0.00,0.0,0
2001-06-20,89,60,0.00,0.0,0
2001-06-21,87,63,0.08,0.0,0
2001-06-22,M,M,M,0.0,0
2001-06-23,M,M,M,0.0,0
2001-06-24,M,M,M,0.0,0
2001-06-25,M,M,0.00,0.0,0
2001-06-26,M,M,0.00,0.0,0
2001-06-27,M,M,0.00,0.0,0
2001-06-28,M,M,0.00,0.0,0
2001-06-29,87,65,0.00,0.0,0
2001-06-30,88,M,0.00,0.0,0
2001-07-01,85,67,0.46,0.0,0
2001-07-02,83,46,0.46,0.0,0
2001-07-03,71,46,0.00,0.0,0
2001-07-04,77,51,0.01,0.0,0
2001-07-05,80,64,0.09,0.0,0
2001-07-06,79,50,0.19,0.0,0
2001-07-07,73,49,0.00,0.0,0
2001-07-08,80,50,0.37,0.0,0
2001-07-09,83,58,0.01,0.0,0
2001-07-10,85,62,0.00,0.0,0
2001-07-11,83,64,0.25,0.0,0
2001-07-12,75,55,0.00,0.0,0
2001-07-13,75,50,0.00,0.0,0
2001-07-14,74,55,0.00,0.0,0
2001-07-15,77,53,0.00,0.0,0
2001-07-16,80,58,0.00,0.0,0
2001-07-17,83,60,0.00,0.0,0
2001-07-18,86,62,T,0.0,0
2001-07-19,81,63,T,0.0,0
2001-07-20,81,58,0.00,0.0,0
2001-07-21,82,55,0.00,0.0,0
2001-07-22,82,55,0.00,0.0,0
2001-07-23,86,62,0.00,0.0,0
2001-07-24,91,62,0.00,0.0,0
2001-07-25,92,65,0.00,0.0,0
2001-07-26,89,70,0.36,0.0,0
2001-07-27,72,47,0.05,0.0,0
2001-07-28,74,51,0.00,0.0,0
2001-07-29,77,61,0.00,0.0,0
2001-07-30,63,60,0.02,0.0,0
2001-07-31,70,58,0.03,0.0,0
2001-08-01,81,59,0.00,0.0,0
2001-08-02,84,60,T,0.0,0
2001-08-03,87,61,0.00,0.0,0
2001-08-04,87,61,1.42,0.0,0
2001-08-05,83,65,0.46,0.0,0
2001-08-06,86,65,0.00,0.0,0
2001-08-07,90,66,0.00,0.0,0
2001-08-08,92,71,0.00,0.0,0
2001-08-09,93,75,0.00,0.0,0
2001-08-10,93,76,0.00,0.0,0
2001-08-11,79,66,0.55,0.0,0
2001-08-12,77,66,0.02,0.0,0
2001-08-13,88,64,0.00,0.0,0
2001-08-14,84,63,0.00,0.0,0
2001-08-15,80,53,0.00,0.0,0
2001-08-16,83,56,0.00,0.0,0
2001-08-17,84,60,0.70,0.0,0
2001-08-18,78,59,0.00,0.0,0
2001-08-19,79,57,0.00,0.0,0
2001-08-20,83,61,0.85,0.0,0
2001-08-21,75,62,0.00,0.0,0
2001-08-22,76,55,0.00,0.0,0
2001-08-23,79,55,0.05,0.0,0
2001-08-24,70,60,0.02,0.0,0
2001-08-25,79,54,0.00,0.0,0
2001-08-26,81,63,0.00,0.0,0
2001-08-27,83,63,0.10,0.0,0
2001-08-28,81,60,0.06,0.0,0
2001-08-29,83,55,0.05,0.0,0
2001-08-30,78,57,0.00,0.0,0
2001-08-31,85,59,0.00,0.0,0
2001-09-01,83,59,1.07,0.0,0
2001-09-02,72,45,0.00,0.0,0
2001-09-03,74,48,0.00,0.0,0
2001-09-04,82,49,0.00,0.0,0
2001-09-05,80,52,0.00,0.0,0
2001-09-06,80,47,0.00,0.0,0
2001-09-07,80,47,0.00,0.0,0
2001-09-08,85,52,0.00,0.0,0
2001-09-09,85,58,0.00,0.0,0
2001-09-10,83,57,0.00,0.0,0
2001-09-11,75,55,0.09,0.0,0
2001-09-12,76,48,0.00,0.0,0
2001-09-13,80,48,0.00,0.0,0
2001-09-14,82,50,0.15,0.0,0
2001-09-15,63,37,0.00,0.0,0
2001-09-16,64,37,0.00,0.0,0
2001-09-17,71,38,0.00,0.0,0
2001-09-18,76,41,0.00,0.0,0
2001-09-19,76,53,0.00,0.0,0
2001-09-20,76,53,0.05,0.0,0
2001-09-21,70,50,0.63,0.0,0
2001-09-22,76,51,0.01,0.0,0
2001-09-23,73,48,0.00,0.0,0
2001-09-24,75,53,0.00,0.0,0
2001-09-25,64,50,1.31,0.0,0
2001-09-26,56,44,0.00,0.0,0
2001-09-27,60,46,0.01,0.0,0
2001-09-28,56,44,0.09,0.0,0
2001-09-29,58,47,0.00,0.0,0
2001-09-30,64,37,0.00,0.0,0
2001-10-01,63,38,0.00,0.0,0
2001-10-02,68,38,0.00,0.0,0
2001-10-03,75,53,0.00,0.0,0
2001-10-04,79,55,0.00,0.0,0
2001-10-05,78,53,0.00,0.0,0
2001-10-06,77,44,0.00,0.0,0
2001-10-07,54,37,0.08,0.0,0
2001-10-08,50,28,0.00,0.0,0
2001-10-09,53,24,0.00,0.0,0
2001-10-10,61,24,0.00,0.0,0
2001-10-11,72,36,0.00,0.0,0
2001-10-12,76,39,0.00,0.0,0
2001-10-13,64,49,0.03,0.0,0
2001-10-14,78,60,0.00,0.0,0
2001-10-15,66,46,1.30,0.0,0
2001-10-16,63,35,0.00,0.0,0
2001-10-17,60,35,0.36,0.0,0
2001-10-18,46,32,T,0.0,0
2001-10-19,57,30,0.00,0.0,0
2001-10-20,68,32,0.00,0.0,0
2001-10-21,M,M,M,0.0,0
2001-10-22,M,M,M,0.0,0
2001-10-23,M,M,M,0.0,0
2001-10-24,M,M,0.28,0.0,0
2001-10-25,79,53,T,0.0,0
2001-10-26,60,41,0.00,0.0,0
2001-10-27,41,34,0.06,T,0
2001-10-28,45,36,0.00,0.0,0
2001-10-29,46,25,0.00,0.0,0
2001-10-30,61,28,0.00,0.0,0
2001-10-31,57,37,0.00,0.0,0
2001-11-01,59,36,0.00,0.0,0
2001-11-02,71,36,0.00,0.0,0
2001-11-03,71,48,0.07,0.0,0
2001-11-04,62,37,0.00,0.0,0
2001-11-05,64,36,0.00,0.0,0
2001-11-06,47,33,0.00,0.0,0
2001-11-07,51,43,0.00,0.0,0
2001-11-08,59,43,0.00,0.0,0
2001-11-09,68,38,0.02,0.0,0
2001-11-10,51,35,0.00,0.0,0
2001-11-11,63,39,0.00,0.0,0
2001-11-12,45,29,0.00,0.0,0
2001-11-13,47,24,0.00,0.0,0
2001-11-14,55,25,0.00,0.0,0
2001-11-15,64,27,0.00,0.0,0
2001-11-16,M,M,0.00,0.0,0
2001-11-17,67,33,0.00,0.0,0
2001-11-18,57,30,0.00,0.0,0
2001-11-19,62,29,0.00,0.0,0
2001-11-20,68,34,0.03,T,0
2001-11-21,41,23,T,T,0
2001-11-22,46,23,0.00,0.0,0
2001-11-23,56,28,0.00,0.0,0
2001-11-24,57,28,0.00,0.0,0
2001-11-25,60,32,0.16,0.0,0
2001-11-26,62,32,1.25,0.0,0
2001-11-27,57,36,0.00,0.0,0
2001-11-28,54,38,0.20,0.0,0
2001-11-29,54,45,0.49,0.0,0
2001-11-30,60,46,0.25,0.0,0
2001-12-01,64,47,0.20,0.0,0
2001-12-02,51,42,0.00,0.0,0
2001-12-03,52,28,0.00,0.0,0
2001-12-04,58,29,0.00,0.0,0
2001-12-05,67,42,0.01,0.0,0
2001-12-06,74,50,0.00,0.0,0
2001-12-07,61,49,0.02,0.0,0
2001-12-08,61,32,0.00,0.0,0
2001-12-09,40,32,0.55,0.1,0
2001-12-10,43,23,0.00,0.0,0
2001-12-11,43,23,0.00,0.0,0
2001-12-12,51,28,0.00,0.0,0
2001-12-13,46,28,0.14,0.0,0
2001-12-14,61,45,0.05,0.0,0
2001-12-15,59,36,0.16,0.0,0
2001-12-16,43,24,0.00,0.0,0
2001-12-17,38,29,0.22,0.0,0
2001-12-18,45,34,0.57,0.0,0
2001-12-19,42,35,0.03,0.0,0
2001-12-20,51,31,0.05,T,0
2001-12-21,35,29,T,T,0
2001-12-22,36,20,T,T,0
2001-12-23,40,19,0.00,0.0,0
2001-12-24,38,29,0.14,0.0,0
2001-12-25,34,20,T,T,0
2001-12-26,26,18,T,T,0
2001-12-27,30,19,0.01,0.1,T
2001-12-28,26,18,T,T,T
2001-12-29,30,21,0.03,1.5,2
2001-12-30,25,14,T,T,1
2001-12-31,18,14,0.00,0.0,1
2002-01-01,21,14,0.00,0.0,1
2002-01-02,25,14,0.00,0.0,T
2002-01-03,29,15,0.00,0.0,T
2002-01-04,31,17,0.00,0.0,T
2002-01-05,31,22,T,T,T
2002-01-06,44,26,0.00,0.0,T
2002-01-07,36,29,0.56,6.5,7
2002-01-08,33,20,T,0.1,7
2002-01-09,34,21,0.01,T,6
2002-01-10,48,34,0.00,0.0,1
2002-01-11,53,37,0.03,0.0,0
2002-01-12,38,30,T,0.0,0
2002-01-13,44,30,T,T,T
2002-01-14,38,26,T,T,0
2002-01-15,44,26,0.00,0.0,0
2002-01-16,38,30,T,T,T
2002-01-17,36,29,T,T,T
2002-01-18,39,23,0.00,0.0,0
2002-01-19,33,21,0.00,0.0,0
2002-01-20,27,21,0.09,1.2,1
2002-01-21,36,21,0.02,0.6,1
2002-01-22,39,25,T,T,T
2002-01-23,51,31,0.00,0.0,0
2002-01-24,56,35,0.05,0.0,0
2002-01-25,57,29,0.13,0.0,0
2002-01-26,44,25,0.00,0.0,0
2002-01-27,54,35,0.00,0.0,0
2002-01-28,64,38,0.00,0.0,0
2002-01-29,64,41,0.00,0.0,0
2002-01-30,65,51,0.06,0.0,0
2002-01-31,54,36,0.16,0.0,0
2002-02-01,45,36,0.03,0.0,0
2002-02-02,59,24,0.01,T,0
2002-02-03,38,20,0.00,0.0,0
2002-02-04,44,30,T,T,0
2002-02-05,32,11,0.06,0.5,T
2002-02-06,31,14,0.00,0.0,T
2002-02-07,39,25,0.00,0.0,0
2002-02-08,49,31,T,T,0
2002-02-09,53,26,0.00,0.0,0
2002-02-10,51,36,0.00,0.0,0
2002-02-11,46,24,0.61,T,T
2002-02-12,31,23,T,T,0
2002-02-13,47,27,T,T,T
2002-02-14,31,14,0.00,0.0,0
2002-02-15,44,14,0.00,0.0,0
2002-02-16,56,22,0.02,0.0,0
2002-02-17,48,28,T,T,T
2002-02-18,34,17,T,T,T
2002-02-19,41,16,0.00,0.0,0
2002-02-20,48,18,0.00,0.0,0
2002-02-21,56,38,0.03,0.0,0
2002-02-22,46,31,0.01,T,T
2002-02-23,37,25,T,T,0
2002-02-24,38,19,0.00,0.0,0
2002-02-25,53,25,0.00,0.0,0
2002-02-26,65,28,0.00,0.0,0
2002-02-27,45,20,0.18,0.0,0
2002-02-28,25,19,0.01,T,T
2002-03-01,29,20,0.00,0.0,0
