date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2005-03-01,29,22,0.33,4.0,11
2005-03-02,29,16,0.18,3.5,14
2005-03-03,22,9,0.06,1.5,15
2005-03-04,23,4,T,T,13
2005-03-05,27,3,0.00,0.0,13
2005-03-06,33,3,0.00,0.0,12
2005-03-07,37,19,0.00,0.0,11
2005-03-08,52,13,0.31,T,5
2005-03-09,14,6,0.02,0.5,6
2005-03-10,16,-1,0.03,0.8,6
2005-03-11,21,3,0.09,1.4,7
2005-03-12,30,8,0.11,1.5,8
2005-03-13,30,6,0.14,2.0,10
2005-03-14,28,-1,T,T,8
2005-03-15,26,-0,0.00,0.0,7
2005-03-16,31,9,T,T,7
2005-03-17,34,14,T,T,6
2005-03-18,41,15,0.00,0.0,5
2005-03-19,35,18,0.00,0.0,4
2005-03-20,45,25,T,0.0,3
2005-03-21,37,30,0.21,0.3,2
2005-03-22,32,21,0.00,0.0,2
2005-03-23,44,23,0.00,0.0,1
2005-03-24,32,26,0.53,3.5,4
2005-03-25,36,27,T,0.0,2
2005-03-26,39,25,0.00,0.0,2
2005-03-27,38,26,T,T,2
2005-03-28,37,32,0.38,0.0,T
2005-03-29,42,34,0.21,0.0,T
2005-03-30,46,26,0.00,0.0,0
2005-03-31,56,30,0.00,0.0,0
2005-04-01,56,39,0.05,0.0,0
2005-04-02,43,33,0.90,0.0,0
2005-04-03,34,28,0.31,2.8,2
2005-04-04,46,29,0.00,0.0,T
2005-04-05,64,25,0.00,0.0,0
2005-04-06,75,42,0.00,0.0,0
2005-04-07,69,45,0.05,0.0,0
2005-04-08,58,35,0.00,0.0,0
2005-04-09,62,29,0.00,0.0,0
2005-04-10,69,32,0.00,0.0,0
2005-04-11,57,31,0.00,0.0,0
2005-04-12,52,26,0.00,0.0,0
2005-04-13,55,22,0.00,0.0,0
2005-04-14,59,25,0.00,0.0,0
2005-04-15,58,32,0.00,0.0,0
2005-04-16,64,29,0.00,0.0,0
2005-04-17,69,31,0.00,0.0,0
2005-04-18,69,37,0.00,0.0,0
2005-04-19,77,39,0.00,0.0,0
2005-04-20,75,46,0.22,0.0,0
2005-04-21,54,35,0.00,0.0,0
2005-04-22,52,29,0.25,0.0,0
2005-04-23,58,36,0.40,0.0,0
2005-04-24,36,29,0.29,2.3,T
2005-04-25,39,29,0.10,1.0,0
2005-04-26,63,36,0.01,0.0,0
2005-04-27,54,42,0.04,0.0,0
2005-04-28,47,28,0.04,0.0,0
2005-04-29,49,26,T,0.0,0
2005-04-30,50,41,0.23,0.0,0
2005-05-01,50,32,0.12,0.0,0
2005-05-02,49,32,T,0.0,0
2005-05-03,42,29,0.11,T,0
2005-05-04,42,25,0.07,T,T
2005-05-05,45,26,0.00,0.0,0
2005-05-06,58,29,0.00,0.0,0
2005-05-07,60,31,0.00,0.0,0
2005-05-08,60,34,0.00,0.0,0
2005-05-09,64,34,0.00,0.0,0
2005-05-10,74,36,0.00,0.0,0
2005-05-11,81,53,0.00,0.0,0
2005-05-12,78,40,0.05,0.0,0
2005-05-13,54,29,0.00,0.0,0
2005-05-14,65,34,0.07,0.0,0
2005-05-15,70,46,0.16,0.0,0
2005-05-16,65,33,0.00,0.0,0
2005-05-17,49,27,T,0.0,0
2005-05-18,57,28,0.00,0.0,0
2005-05-19,62,30,0.00,0.0,0
2005-05-20,65,34,T,0.0,0
2005-05-21,60,36,0.01,0.0,0
2005-05-22,62,39,0.01,0.0,0
2005-05-23,62,35,0.00,0.0,0
2005-05-24,53,41,0.15,0.0,0
2005-05-25,52,42,0.19,0.0,0
2005-05-26,63,44,0.00,0.0,0
2005-05-27,70,41,0.00,0.0,0
2005-05-28,68,40,0.10,0.0,0
2005-05-29,57,38,0.31,0.0,0
2005-05-30,61,36,T,0.0,0
2005-05-31,61,37,0.46,0.0,0
2005-06-01,72,M,0.00,0.0,0
2005-06-02,73,46,0.00,0.0,0
2005-06-03,59,52,0.46,0.0,0
2005-06-04,66,56,0.01,0.0,0
2005-06-05,81,53,0.00,0.0,0
2005-06-06,77,59,0.62,0.0,0
2005-06-07,80,58,0.00,0.0,0
2005-06-08,83,54,0.00,0.0,0
2005-06-09,81,59,0.00,0.0,0
2005-06-10,81,65,0.12,0.0,0
2005-06-11,81,61,0.00,0.0,0
2005-06-12,81,64,0.00,0.0,0
2005-06-13,83,62,0.04,0.0,0
2005-06-14,83,60,0.22,0.0,0
2005-06-15,68,60,0.16,0.0,0
2005-06-16,61,49,0.15,0.0,0
2005-06-17,62,49,0.03,0.0,0
2005-06-18,61,45,0.13,0.0,0
2005-06-19,64,49,0.00,0.0,0
2005-06-20,71,46,0.00,0.0,0
2005-06-21,76,48,0.00,0.0,0
2005-06-22,71,47,T,0.0,0
2005-06-23,74,38,0.00,0.0,0
2005-06-24,81,47,0.00,0.0,0
2005-06-25,84,52,0.00,0.0,0
2005-06-26,86,60,0.00,0.0,0
2005-06-27,84,63,0.13,0.0,0
2005-06-28,85,62,0.86,0.0,0
2005-06-29,77,61,0.00,0.0,0
2005-06-30,84,60,0.00,0.0,0
2005-07-01,84,60,0.00,0.0,0
2005-07-02,77,50,0.24,0.0,0
2005-07-03,71,45,0.00,0.0,0
2005-07-04,75,53,0.00,0.0,0
2005-07-05,80,63,0.00,0.0,0
2005-07-06,78,62,1.12,0.0,0
2005-07-07,68,53,0.92,0.0,0
2005-07-08,73,56,0.06,0.0,0
2005-07-09,67,51,0.51,0.0,0
2005-07-10,74,49,0.02,0.0,0
2005-07-11,79,49,0.00,0.0,0
2005-07-12,83,52,0.00,0.0,0
2005-07-13,85,63,0.00,0.0,0
2005-07-14,84,61,1.26,0.0,0
2005-07-15,79,65,0.00,0.0,0
2005-07-16,78,68,0.00,0.0,0
2005-07-17,80,69,0.22,0.0,0
2005-07-18,80,69,0.02,0.0,0
2005-07-19,82,68,T,0.0,0
2005-07-20,81,54,T,0.0,0
2005-07-21,79,54,0.00,0.0,0
2005-07-22,80,57,0.01,0.0,0
2005-07-23,78,57,0.00,0.0,0
2005-07-24,76,49,0.00,0.0,0
2005-07-25,76,53,0.21,0.0,0
2005-07-26,84,55,0.00,0.0,0
2005-07-27,86,59,0.22,0.0,0
