date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-05-01,69,56,0.03,0.0,M
1998-05-02,M,M,0.55,0.0,0
1998-05-03,69,53,1.44,0.0,0
1998-05-04,70,52,0.08,0.0,0
1998-05-05,68,58,0.20,0.0,0
1998-05-06,66,56,2.53,0.0,0
1998-05-07,67,51,0.00,0.0,0
1998-05-08,72,53,0.37,0.0,0
1998-05-09,59,56,0.66,0.0,0
1998-05-10,69,56,0.03,0.0,0
1998-05-11,62,53,0.17,0.0,0
1998-05-12,58,51,1.40,0.0,0
1998-05-13,57,49,0.12,0.0,0
1998-05-14,69,42,0.00,0.0,0
1998-05-15,77,M,0.00,0.0,0
1998-05-16,84,57,0.00,0.0,0
1998-05-17,80,M,0.00,0.0,0
1998-05-18,74,55,0.00,0.0,0
1998-05-19,72,M,0.00,0.0,0
1998-05-20,89,69,0.00,0.0,0
1998-05-21,73,66,0.00,0.0,0
1998-05-22,80,53,0.00,0.0,0
1998-05-23,67,45,0.00,0.0,0
1998-05-24,71,48,0.00,0.0,0
1998-05-25,80,53,0.00,0.0,0
1998-05-26,80,53,0.00,0.0,0
1998-05-27,77,59,0.00,0.0,0
1998-05-28,82,58,0.00,0.0,0
1998-05-29,85,M,0.00,0.0,0
1998-05-30,89,63,0.30,0.0,0
1998-05-31,86,65,0.08,0.0,0
1998-06-01,M,M,M,M,M
1998-06-02,M,M,M,M,M
1998-06-03,M,M,M,M,M
1998-06-04,M,M,M,M,M
1998-06-05,M,M,M,M,M
1998-06-06,M,M,M,M,M
1998-06-07,M,M,M,M,M
1998-06-08,M,M,M,M,M
1998-06-09,M,M,M,M,M
1998-06-10,M,M,M,M,M
1998-06-11,M,M,M,M,M
1998-06-12,M,M,M,M,M
1998-06-13,M,M,M,M,M
1998-06-14,M,M,M,M,M
1998-06-15,M,M,M,M,M
1998-06-16,M,M,M,M,M
1998-06-17,M,M,M,M,M
1998-06-18,M,M,M,M,M
1998-06-19,M,M,M,M,M
1998-06-20,M,M,M,M,M
1998-06-21,M,M,M,M,M
1998-06-22,M,M,M,M,M
1998-06-23,M,M,M,M,M
1998-06-24,M,M,M,M,M
1998-06-25,M,M,M,M,M
