date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1999-03-16,46,25,T,M,M
1999-03-17,67,31,0.00,M,M
1999-03-18,65,42,0.00,M,M
1999-03-19,49,34,0.00,M,M
1999-03-20,51,29,T,M,M
1999-03-21,44,33,1.03,M,M
1999-03-22,45,32,0.10,M,M
1999-03-23,53,26,0.00,M,M
1999-03-24,56,40,T,M,M
1999-03-25,49,32,0.00,M,M
1999-03-26,50,26,0.00,M,M
1999-03-27,54,34,0.00,M,M
1999-03-28,57,38,0.12,M,M
1999-03-29,66,37,0.00,M,M
1999-03-30,63,35,0.00,M,M
1999-03-31,72,32,0.00,M,M
1999-04-01,56,44,0.37,M,M
1999-04-02,67,50,0.00,M,M
1999-04-03,67,47,0.00,M,M
1999-04-04,76,46,0.18,M,M
1999-04-05,56,35,0.01,M,M
1999-04-06,62,33,0.01,M,M
1999-04-07,70,40,0.00,M,M
1999-04-08,79,41,0.00,M,M
1999-04-09,58,42,1.21,M,M
1999-04-10,57,38,0.10,M,M
1999-04-11,45,37,0.36,M,M
1999-04-12,58,40,0.05,M,M
1999-04-13,61,35,0.00,M,M
1999-04-14,67,36,0.00,M,M
1999-04-15,63,38,0.10,M,M
1999-04-16,57,46,0.27,M,M
1999-04-17,55,41,T,M,M
1999-04-18,58,37,T,M,M
1999-04-19,57,33,0.01,M,M
1999-04-20,53,37,0.12,M,M
1999-04-21,56,33,0.00,M,M
1999-04-22,67,43,0.37,M,M
1999-04-23,55,43,0.20,M,M
1999-04-24,58,33,0.00,M,M
1999-04-25,60,32,0.00,M,M
1999-04-26,73,36,0.00,M,M
1999-04-27,64,40,0.00,M,M
1999-04-28,63,41,0.00,M,M
1999-04-29,68,39,0.00,M,M
1999-04-30,67,39,0.00,M,M
1999-05-01,69,37,0.00,M,M
1999-05-02,71,41,0.00,M,M
1999-05-03,60,46,0.05,M,M
1999-05-04,66,51,T,M,M
1999-05-05,76,47,0.00,M,M
1999-05-06,64,52,T,M,M
1999-05-07,65,54,0.02,M,M
1999-05-08,72,56,0.27,M,M
1999-05-09,70,52,T,M,M
1999-05-10,72,47,0.00,M,M
1999-05-11,73,45,0.00,M,M
1999-05-12,79,49,0.07,M,M
1999-05-13,60,49,0.25,M,M
1999-05-14,67,45,0.00,M,M
