date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2003-09-18,75,60,0.00,M,M
2003-12-16,M,M,M,4.0,M
2004-02-07,M,M,M,3.5,34
2005-01-02,M,M,M,7.5,11
2005-01-20,M,M,M,6.0,30
2005-01-21,M,M,M,1.5,M
2005-02-26,M,M,M,7.3,37
2005-03-01,28,2,0.11,M,M
2005-03-02,25,-1,0.00,0.0,0
2005-03-03,25,-0,0.00,0.0,0
2005-03-04,30,9,0.07,0.0,0
2005-03-05,33,23,0.00,0.0,0
2005-03-06,43,30,0.00,0.0,0
2005-03-07,46,11,T,0.0,0
2005-03-08,26,-6,0.03,M,0
2005-03-09,23,-5,0.00,0.0,0
2005-03-10,29,-1,0.08,M,0
2005-03-11,34,M,0.20,0.0,0
2005-03-12,27,-6,0.00,0.0,0
2005-03-13,22,-1,0.00,0.0,0
2005-03-14,30,11,0.00,0.0,0
2005-03-15,28,11,T,M,0
2005-03-16,30,8,0.05,0.0,0
2005-03-17,31,12,0.00,0.0,0
2005-03-18,32,4,0.00,0.0,0
2005-03-19,29,16,0.00,0.0,0
2005-03-20,34,16,0.00,0.0,0
2005-03-21,37,13,0.00,0.0,0
2005-03-22,37,13,0.00,0.0,0
2005-03-23,43,17,0.00,0.0,0
2005-03-24,38,28,0.00,0.0,0
2005-03-25,44,18,0.00,0.0,0
2005-03-26,34,18,0.00,0.0,0
2005-03-27,43,23,0.00,0.0,0
2005-03-28,43,31,0.00,0.0,0
2005-03-29,52,31,0.00,0.0,0
2005-03-30,48,31,T,0.0,0
2005-03-31,47,37,0.06,0.0,0
2005-04-01,53,33,0.00,0.0,0
2005-04-02,46,27,0.00,0.0,0
2005-04-03,46,26,0.00,0.0,0
2005-04-04,53,31,0.00,0.0,0
2005-04-05,44,36,0.00,0.0,0
2005-04-06,45,37,T,0.0,0
2005-04-07,42,31,0.34,0.0,0
2005-04-08,60,32,0.00,0.0,0
2005-04-09,51,35,0.00,0.0,0
2005-04-10,50,40,0.00,0.0,0
2005-04-11,50,38,0.15,0.0,0
2005-04-12,44,37,0.00,0.0,0
2005-04-13,45,35,0.00,0.0,0
2005-04-14,52,31,0.00,0.0,0
2005-04-15,45,30,0.00,0.0,0
2005-04-16,50,36,T,0.0,0
2005-04-17,62,35,0.00,0.0,0
2005-04-18,56,37,0.00,0.0,0
2005-04-19,58,42,T,0.0,0
2005-04-20,60,39,0.50,0.0,0
2005-04-21,43,24,0.01,0.0,0
2005-04-22,43,25,T,0.0,0
2005-04-23,43,26,0.05,0.0,0
2005-04-24,47,28,0.00,0.0,0
2005-04-25,58,32,0.00,0.0,0
2005-04-26,51,34,0.03,0.0,0
2005-04-27,43,32,0.01,0.0,0
2005-04-28,40,28,0.00,0.0,0
2005-04-29,46,30,0.00,0.0,0
2005-04-30,48,29,0.00,0.0,0
2005-05-01,46,35,0.00,0.0,0
2005-05-02,46,29,T,0.0,0
2005-05-03,40,27,0.00,0.0,0
2005-05-04,58,29,0.00,0.0,0
2005-05-05,62,36,0.00,0.0,0
2005-05-06,55,39,0.40,0.0,0
2005-05-07,64,41,0.00,0.0,0
2005-05-08,49,41,0.78,0.0,0
2005-05-09,55,43,0.11,0.0,0
2005-05-10,52,34,0.45,0.0,0
2005-05-11,69,37,0.22,0.0,0
2005-05-12,40,29,0.00,0.0,0
2005-05-13,39,34,0.30,0.0,0
2005-05-14,39,34,0.17,0.0,0
2005-05-15,51,37,T,0.0,0
