date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1994-01-01,23,-11,0.02,0.2,8
1994-01-02,-3,-32,0.00,0.0,8
1994-01-03,1,-31,T,0.1,8
1994-01-04,12,-1,0.07,1.5,10
1994-01-05,-1,-35,T,T,10
1994-01-06,-2,-33,0.03,0.5,10
1994-01-07,6,-7,0.06,1.5,9
1994-01-08,1,-25,T,T,9
1994-01-09,1,-31,0.00,0.0,9
1994-01-10,15,-27,T,T,9
1994-01-11,17,-30,0.05,1.5,10
1994-01-12,3,-29,0.09,2.5,12
1994-01-13,1,-27,T,T,12
1994-01-14,-14,-33,0.00,0.0,12
1994-01-15,M,-39,T,T,12
1994-01-16,M,-39,0.03,0.4,12
1994-01-17,-3,-26,0.06,0.6,12
1994-01-18,-20,-37,T,T,12
1994-01-19,-19,-40,0.00,0.0,11
1994-01-20,-8,-39,0.00,0.0,11
1994-01-21,11,-33,T,0.2,11
1994-01-22,22,3,0.00,0.0,11
1994-01-23,19,3,T,T,11
1994-01-24,21,-12,0.00,0.0,10
1994-01-25,9,-13,0.00,0.0,10
1994-01-26,5,-9,0.00,0.0,10
1994-01-27,19,-8,0.00,0.0,10
1994-01-28,19,1,0.01,0.6,11
1994-01-29,20,-29,T,T,11
1994-01-30,-1,-36,0.00,0.0,11
1994-01-31,6,-35,T,T,11
1994-02-01,9,-19,T,T,11
1994-02-02,9,-17,0.01,0.3,11
1994-02-03,3,-17,T,T,11
1994-02-04,4,-24,T,0.1,11
1994-02-05,8,-22,T,0.2,11
1994-02-06,2,-26,T,0.1,11
1994-02-07,-10,-38,0.00,0.0,11
1994-02-08,-10,-34,0.01,0.2,11
1994-02-09,-9,-33,0.04,0.5,12
1994-02-10,5,M,T,0.2,12
1994-02-11,11,-22,0.02,1.0,13
1994-02-12,20,-17,0.22,3.5,16
1994-02-13,24,-12,T,T,16
1994-02-14,22,M,0.00,0.0,15
1994-02-15,40,-2,0.00,0.0,14
1994-02-16,23,2,0.00,0.0,13
1994-02-17,43,10,0.00,0.0,13
1994-02-18,43,12,0.00,0.0,13
