date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1908-01-01,14,-10,M,M,M
1908-01-04,37,5,M,M,M
1908-01-05,30,9,M,M,M
1908-01-06,36,19,M,M,M
1908-01-07,29,13,M,M,M
1908-01-08,18,-5,M,M,M
1908-01-09,25,4,M,M,M
1908-01-10,26,9,M,M,M
1908-01-11,28,6,M,M,M
1908-01-12,18,8,M,M,M
1908-01-13,20,14,M,M,M
1908-01-14,25,5,M,M,M
1908-01-15,23,-4,M,M,M
1908-01-16,22,-12,M,M,M
1908-01-17,21,15,M,M,M
1908-01-18,39,10,M,M,M
1908-01-19,40,32,M,M,M
1908-01-20,52,31,M,M,M
1908-01-21,40,22,M,M,M
1908-01-22,22,1,M,M,M
1908-01-23,22,-18,M,M,M
1908-01-24,33,8,M,M,M
1908-01-25,27,14,M,M,M
1908-01-26,19,1,M,M,M
1908-01-27,3,-18,M,M,M
1908-01-28,8,-20,M,M,M
1908-01-29,-8,-37,M,M,M
1908-01-30,11,-17,M,M,M
1908-01-31,7,2,M,M,M
1908-02-01,1,-22,M,M,M
1908-02-02,16,-13,M,M,M
1908-02-03,12,-6,M,M,M
1908-02-04,16,1,M,M,M
1908-02-05,21,14,M,M,M
1908-02-06,19,3,M,M,M
1908-02-07,14,0,M,M,M
1908-02-08,17,1,M,M,M
1908-02-09,23,14,M,M,M
1908-02-10,37,20,M,M,M
1908-02-11,37,34,M,M,M
1908-02-12,37,32,M,M,M
1908-02-13,34,20,M,M,M
1908-02-14,31,6,M,M,M
1908-02-15,26,7,M,M,M
1908-02-16,17,-4,M,M,M
1908-02-17,19,-6,M,M,M
1908-02-18,19,14,M,M,M
1908-02-19,25,-2,M,M,M
1908-02-20,34,7,M,M,M
1908-02-21,27,-1,M,M,M
1908-02-22,37,14,M,M,M
1908-02-23,34,15,M,M,M
1908-02-24,44,20,M,M,M
1908-02-25,39,20,M,M,M
1908-02-26,20,-2,M,M,M
1908-02-27,13,-14,M,M,M
1908-02-28,27,12,M,M,M
1908-02-29,27,13,M,M,M
1908-03-01,27,12,M,M,M
1908-03-02,29,18,M,M,M
1908-03-03,27,13,M,M,M
1908-03-04,29,17,M,M,M
1908-03-05,29,20,M,M,M
1908-03-06,36,24,M,M,M
1908-03-07,33,5,M,M,M
1908-03-08,23,-17,M,M,M
1908-03-09,22,-3,M,M,M
1908-03-10,48,14,M,M,M
1908-03-11,52,27,M,M,M
1908-03-12,51,M,M,M,M
1908-03-13,36,-2,M,M,M
1908-03-14,35,18,M,M,M
1908-03-15,32,6,M,M,M
1908-03-16,17,M,M,M,M
1908-03-17,20,-6,M,M,M
1908-03-18,25,14,M,M,M
1908-03-19,27,14,M,M,M
1908-03-20,41,17,M,M,M
1908-03-21,48,26,M,M,M
1908-03-22,41,28,M,M,M
1908-03-23,39,25,M,M,M
1908-03-24,26,3,M,M,M
1908-03-25,41,14,M,M,M
1908-03-26,40,7,M,M,M
1908-03-27,23,12,M,M,M
1908-03-28,31,11,M,M,M
1908-03-29,40,15,M,M,M
1908-03-30,53,29,M,M,M
1908-03-31,49,26,M,M,M
1908-04-01,37,16,M,M,M
1908-04-02,29,14,M,M,M
1908-04-03,46,14,M,M,M
1908-04-04,64,30,M,M,M
1908-04-05,60,32,M,M,M
1908-04-06,47,32,M,M,M
1908-04-07,37,21,M,M,M
1908-04-08,50,24,M,M,M
1908-04-09,65,34,M,M,M
1908-04-10,56,36,M,M,M
1908-04-11,52,24,M,M,M
1908-04-12,75,39,M,M,M
1908-04-13,67,32,M,M,M
1908-04-14,82,49,M,M,M
1908-04-15,49,20,M,M,M
1908-04-16,49,29,M,M,M
1908-04-17,46,35,M,M,M
1908-04-18,76,37,M,M,M
1908-04-19,81,39,M,M,M
1908-04-20,70,36,M,M,M
1908-04-21,84,39,M,M,M
1908-04-22,82,47,M,M,M
1908-04-23,71,42,M,M,M
1908-04-24,64,41,M,M,M
1908-04-25,47,41,M,M,M
1908-04-26,45,35,M,M,M
1908-04-27,44,31,M,M,M
1908-04-28,43,35,M,M,M
1908-04-29,40,26,M,M,M
1908-04-30,44,21,M,M,M
1908-05-01,43,26,M,M,M
1908-05-02,40,23,M,M,M
1908-05-03,48,27,M,M,M
1908-05-04,54,29,M,M,M
1908-05-05,57,30,M,M,M
1908-05-06,57,36,M,M,M
1908-05-07,59,31,M,M,M
1908-05-08,71,35,M,M,M
1908-05-09,79,68,M,M,M
1908-05-10,78,48,M,M,M
1908-05-11,63,54,M,M,M
1908-05-12,54,45,M,M,M
1908-05-13,64,36,M,M,M
1908-05-14,60,40,M,M,M
1908-05-15,48,38,M,M,M
1908-05-16,71,47,M,M,M
1908-05-17,82,50,M,M,M
1908-05-18,76,63,M,M,M
