date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1993-06-01,63,39,0.00,0.0,0
1993-06-02,68,37,0.00,0.0,0
1993-06-03,61,37,0.00,0.0,0
1993-06-04,63,45,0.02,0.0,0
1993-06-05,75,41,0.00,0.0,0
1993-06-06,75,48,0.00,0.0,0
1993-06-07,52,43,0.27,0.0,0
1993-06-08,52,45,0.34,0.0,0
1993-06-09,68,46,0.36,0.0,0
1993-06-10,75,46,0.12,0.0,0
1993-06-11,75,52,0.00,0.0,0
1993-06-12,75,50,0.00,0.0,0
1993-06-13,M,54,0.00,0.0,0
1993-06-14,66,52,0.55,0.0,0
1993-06-15,66,43,T,0.0,0
1993-06-16,64,45,T,0.0,0
1993-06-17,57,45,0.47,0.0,0
1993-06-18,64,45,0.08,0.0,0
1993-06-19,63,43,0.04,0.0,0
1993-06-20,66,50,0.39,0.0,0
1993-06-21,86,52,0.16,0.0,0
1993-06-22,88,57,0.00,0.0,0
1993-06-23,70,48,T,0.0,0
1993-06-24,73,55,0.12,0.0,0
1993-06-25,72,50,0.04,0.0,0
1993-06-26,68,50,0.00,0.0,0
1993-06-27,63,48,0.00,0.0,0
1993-06-28,63,43,0.00,0.0,0
1993-06-29,63,45,0.00,0.0,0
1993-06-30,61,46,T,0.0,0
1993-07-01,57,52,T,0.0,0
1993-07-02,61,50,0.62,0.0,0
1993-07-03,75,54,0.00,0.0,0
1993-07-04,66,52,2.89,0.0,0
1993-07-05,73,57,0.78,0.0,0
1993-07-06,75,55,0.00,0.0,0
1993-07-07,72,52,0.00,0.0,0
1993-07-08,70,48,0.39,0.0,0
1993-07-09,75,52,0.04,0.0,0
1993-07-10,81,52,0.35,0.0,0
1993-07-11,77,55,0.12,0.0,0
1993-07-12,73,48,0.00,0.0,0
1993-07-13,72,48,0.00,0.0,0
1993-07-14,64,50,T,0.0,0
1993-07-15,72,52,0.00,0.0,0
1993-07-16,72,50,0.16,0.0,0
1993-07-17,73,52,0.04,0.0,0
1993-07-18,77,55,0.00,0.0,0
1993-07-19,81,59,0.00,0.0,0
1993-07-20,81,52,0.00,0.0,0
1993-07-21,75,48,0.00,0.0,0
1993-07-22,77,48,0.00,0.0,0
1993-07-23,72,M,T,0.0,0
1993-07-24,63,55,0.00,0.0,0
1993-07-25,70,57,1.52,0.0,0
1993-07-26,70,57,0.23,0.0,0
1993-07-27,68,M,0.00,0.0,0
1993-07-28,70,55,0.59,0.0,0
1993-07-29,75,57,0.20,0.0,0
1993-07-30,75,52,0.00,0.0,0
1993-07-31,77,57,0.47,0.0,0
1993-08-01,75,57,0.00,0.0,0
1993-08-02,M,52,0.00,0.0,0
1993-08-03,70,50,0.31,0.0,0
1993-08-04,59,45,0.16,0.0,0
1993-08-05,70,50,T,0.0,0
1993-08-06,63,50,0.20,0.0,0
1993-08-07,M,52,0.00,0.0,0
1993-08-08,70,48,0.04,0.0,0
1993-08-09,70,54,0.39,0.0,0
1993-08-10,82,57,0.00,0.0,0
1993-08-11,82,57,0.00,0.0,0
1993-08-12,84,61,0.00,0.0,0
1993-08-13,82,57,T,0.0,0
1993-08-14,70,50,0.00,0.0,0
1993-08-15,77,52,0.04,0.0,0
1993-08-16,79,57,0.00,0.0,0
1993-08-17,75,54,0.00,0.0,0
1993-08-18,75,54,0.00,0.0,0
1993-08-19,73,57,0.00,0.0,0
1993-08-20,79,55,0.12,0.0,0
1993-08-21,68,46,0.00,0.0,0
1993-08-22,M,46,0.00,0.0,0
1993-08-23,73,48,0.86,0.0,0
1993-08-24,75,63,0.08,0.0,0
1993-08-25,84,66,0.00,0.0,0
1993-08-26,88,64,0.00,0.0,0
1993-08-27,86,59,0.66,0.0,0
1993-08-28,64,50,0.00,0.0,0
1993-08-29,73,54,0.00,0.0,0
1993-08-30,73,59,0.43,0.0,0
1993-08-31,68,46,0.00,0.0,0
1993-09-01,68,46,0.00,0.0,0
1993-09-02,72,54,0.04,0.0,0
1993-09-03,73,46,0.00,0.0,0
1993-09-04,66,48,0.00,0.0,0
1993-09-05,64,34,0.00,0.0,0
1993-09-06,59,34,T,0.0,0
1993-09-07,64,43,0.00,0.0,0
1993-09-08,61,36,0.00,0.0,0
1993-09-09,59,50,0.20,0.0,0
1993-09-10,57,37,0.12,0.0,0
1993-09-11,55,34,0.00,0.0,0
1993-09-12,59,34,0.04,0.0,0
1993-09-13,63,34,0.00,0.0,0
1993-09-14,54,37,0.16,0.0,0
1993-09-15,50,32,0.04,0.0,0
1993-09-16,54,32,0.00,0.0,0
1993-09-17,55,39,0.00,0.0,0
1993-09-18,59,39,0.00,0.0,0
1993-09-19,59,32,0.00,0.0,0
1993-09-20,57,39,0.04,0.0,0
1993-09-21,48,43,0.04,0.0,0
1993-09-22,54,48,0.00,0.0,0
1993-09-23,63,M,0.12,0.0,0
1993-09-24,61,M,0.00,0.0,0
1993-09-25,66,41,0.00,0.0,0
1993-09-26,66,43,T,0.0,0
1993-09-27,55,32,T,0.0,0
1993-09-28,48,32,0.04,0.0,0
1993-09-29,43,30,0.03,0.0,0
1993-09-30,50,30,T,0.0,0
1993-10-01,57,32,0.00,0.0,0
1993-10-02,50,32,T,T,T
1993-10-03,48,28,T,T,T
1993-10-04,64,36,T,0.0,0
1993-10-05,52,M,0.00,0.0,0
1993-10-06,57,34,T,0.0,0
1993-10-07,79,39,T,0.0,0
1993-10-08,41,32,0.08,0.0,0
1993-10-09,45,19,0.00,0.0,0
1993-10-10,43,21,0.00,0.0,0
1993-10-11,55,32,0.00,0.0,0
1993-10-12,59,21,0.00,0.0,0
1993-10-13,45,19,0.00,0.0,0
1993-10-14,48,21,0.00,0.0,0
1993-10-15,57,27,0.00,0.0,0
1993-10-16,45,32,T,0.0,0
1993-10-17,45,28,0.00,0.0,0
1993-10-18,45,32,0.00,0.0,0
1993-10-19,45,32,0.00,0.0,0
