date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-03-30,M,M,0.68,M,M
2004-03-31,M,M,0.18,M,M
2004-04-01,M,M,0.02,0.0,0
2004-04-02,M,M,0.31,0.0,0
2004-04-03,M,M,0.00,0.0,0
2004-04-04,M,M,0.00,0.0,0
2004-04-05,M,M,0.00,0.0,0
2004-04-06,M,M,0.00,0.0,0
2004-04-07,M,M,0.00,0.0,0
2004-04-08,M,M,0.00,0.0,0
2004-04-09,M,M,T,0.0,0
2004-04-10,M,M,M,0.0,0
2004-04-11,M,M,M,0.0,0
2004-04-12,56,33,0.00,0.0,0
2004-04-13,54,31,0.09,0.0,0
2004-04-14,44,37,0.00,0.0,0
2004-04-15,56,31,0.00,0.0,0
2004-04-16,60,42,0.00,0.0,0
2004-04-17,74,44,0.00,0.0,0
2004-04-18,72,52,0.00,0.0,0
2004-04-19,78,56,0.00,0.0,0
2004-04-20,78,40,0.00,0.0,0
2004-04-21,58,40,0.18,0.0,0
2004-04-22,70,48,0.09,0.0,0
2004-04-23,59,38,0.00,0.0,0
2004-04-24,66,37,0.00,0.0,0
2004-04-25,58,36,0.03,0.0,0
2004-04-26,68,45,0.00,0.0,0
2004-04-27,65,40,0.10,0.0,0
2004-04-28,43,28,0.02,0.0,0
2004-04-29,65,38,0.01,0.0,0
2004-04-30,78,55,0.02,0.0,0
2004-05-01,70,58,0.02,0.0,0
2004-05-02,M,36,0.65,0.0,0
2004-05-03,46,35,0.12,0.0,0
2004-05-04,47,29,0.00,0.0,0
2004-05-05,62,M,0.01,0.0,0
2004-05-06,63,40,0.00,0.0,0
2004-05-07,78,45,0.00,0.0,0
2004-05-08,66,42,0.00,0.0,0
2004-05-09,62,46,0.58,0.0,0
2004-05-10,75,50,0.88,0.0,0
2004-05-11,83,52,0.38,0.0,0
2004-05-12,76,52,0.00,0.0,0
2004-05-13,83,61,0.00,0.0,0
2004-05-14,84,65,0.10,0.0,0
2004-05-15,M,49,0.09,0.0,0
2004-05-16,60,38,0.00,0.0,0
2004-05-17,60,M,0.00,0.0,0
2004-05-18,70,M,0.15,0.0,0
2004-05-19,70,45,0.01,0.0,0
2004-05-20,65,45,0.00,0.0,0
2004-05-21,77,52,0.02,0.0,0
2004-05-22,72,51,1.07,0.0,0
2004-05-23,75,53,1.58,0.0,0
2004-05-24,74,M,0.68,0.0,0
2004-05-25,M,48,T,0.0,0
2004-05-26,60,48,0.00,0.0,0
2004-05-27,65,43,0.01,0.0,0
2004-05-28,67,42,0.05,0.0,0
2004-05-29,M,M,0.00,0.0,0
2004-05-30,59,37,0.00,0.0,0
2004-05-31,64,M,0.00,0.0,0
2004-06-01,72,54,0.12,0.0,0
2004-06-02,70,53,0.01,0.0,0
2004-06-03,64,44,0.06,0.0,0
2004-06-04,65,44,0.00,0.0,0
2004-06-05,66,42,0.00,0.0,0
2004-06-06,68,42,0.00,0.0,0
2004-06-07,74,M,0.00,0.0,0
2004-06-08,77,M,0.00,0.0,0
2004-06-09,82,M,0.00,0.0,0
2004-06-10,85,52,1.45,0.0,0
2004-06-11,55,51,0.49,0.0,0
2004-06-12,62,50,0.01,0.0,0
2004-06-13,67,50,0.00,0.0,0
2004-06-14,73,61,T,0.0,0
2004-06-15,M,M,0.38,M,M
2004-06-16,77,57,0.01,0.0,M
2004-06-17,72,M,0.19,0.0,M
2004-06-18,78,M,0.00,0.0,M
2004-06-19,76,54,T,0.0,0
2004-06-20,M,M,0.00,0.0,0
2004-06-21,68,44,0.00,0.0,0
2004-06-22,64,M,0.10,0.0,0
2004-06-23,73,50,0.00,0.0,0
2004-06-24,75,49,0.07,0.0,0
2004-06-25,73,49,0.06,0.0,0
2004-06-26,67,48,0.00,0.0,0
2004-06-27,71,48,0.00,0.0,0
2004-06-28,73,47,0.10,0.0,0
2004-06-29,69,47,0.00,0.0,0
2004-06-30,73,52,0.00,0.0,0
2004-07-01,80,59,0.00,0.0,0
2004-07-02,83,55,0.00,0.0,0
2004-07-03,78,53,0.00,0.0,0
2004-07-04,82,60,0.01,0.0,0
2004-07-05,80,68,0.09,0.0,0
2004-07-06,70,52,0.00,0.0,0
2004-07-07,80,58,0.01,0.0,0
2004-07-08,80,57,0.02,0.0,0
2004-07-09,66,54,0.00,0.0,0
2004-07-10,75,60,0.00,0.0,0
2004-07-11,80,57,0.00,0.0,0
2004-07-12,84,63,0.77,0.0,0
2004-07-13,79,61,0.13,0.0,0
2004-07-14,84,62,0.06,0.0,0
2004-07-15,72,60,0.25,0.0,0
2004-07-16,75,57,0.00,0.0,0
2004-07-17,81,56,0.00,0.0,0
2004-07-18,74,58,0.08,0.0,0
2004-07-19,78,56,0.01,0.0,0
2004-07-20,79,60,0.02,0.0,0
2004-07-21,83,67,0.00,0.0,0
2004-07-22,85,67,0.21,0.0,0
2004-07-23,87,57,0.00,0.0,0
2004-07-24,70,46,0.00,0.0,0
2004-07-25,73,49,0.00,0.0,0
2004-07-26,72,56,0.00,0.0,0
2004-07-27,71,59,0.04,0.0,0
2004-07-28,66,56,0.22,0.0,0
2004-07-29,78,58,0.00,0.0,0
2004-07-30,80,62,0.00,0.0,0
2004-07-31,76,63,0.18,0.0,0
2004-08-01,82,57,0.00,0.0,0
2004-08-02,80,57,0.00,0.0,0
2004-08-03,85,66,0.05,0.0,0
2004-08-04,84,58,0.32,0.0,0
2004-08-05,74,55,0.50,0.0,0
2004-08-06,72,49,0.00,0.0,0
2004-08-07,75,47,0.00,0.0,0
2004-08-08,77,53,0.00,0.0,0
2004-08-09,78,54,0.00,0.0,0
2004-08-10,80,60,0.00,0.0,0
2004-08-11,78,57,0.00,0.0,0
2004-08-12,71,49,0.00,0.0,0
2004-08-13,70,48,0.00,0.0,0
2004-08-14,72,49,0.00,0.0,0
2004-08-15,72,48,0.00,0.0,0
2004-08-16,74,48,0.00,0.0,0
2004-08-17,78,49,0.00,0.0,0
2004-08-18,79,50,0.04,0.0,0
2004-08-19,77,51,0.00,0.0,0
2004-08-20,73,54,T,0.0,0
2004-08-21,M,M,0.00,0.0,0
2004-08-22,M,M,0.00,0.0,0
2004-08-23,77,58,0.00,0.0,0
2004-08-24,73,59,0.00,0.0,0
2004-08-25,81,59,0.00,0.0,0
2004-08-26,87,66,0.67,0.0,0
2004-08-27,83,69,0.03,0.0,0
2004-08-28,87,65,0.16,0.0,0
2004-08-29,74,59,0.53,0.0,0
2004-08-30,67,52,0.68,0.0,0
2004-08-31,75,51,0.00,0.0,0
2004-09-01,79,54,0.00,0.0,0
2004-09-02,79,58,0.00,0.0,0
2004-09-03,80,58,0.00,0.0,0
2004-09-04,85,59,0.00,0.0,0
2004-09-05,82,60,0.11,0.0,0
2004-09-06,84,62,0.00,0.0,0
2004-09-07,85,62,0.87,0.0,0
2004-09-08,76,56,0.00,0.0,0
2004-09-09,74,56,0.14,0.0,0
2004-09-10,73,46,0.00,0.0,0
2004-09-11,75,48,0.00,0.0,0
2004-09-12,M,M,M,0.0,0
2004-09-13,M,M,M,0.0,0
2004-09-14,M,M,M,0.0,0
2004-09-15,M,M,M,0.0,0
2004-09-16,M,M,M,0.0,0
2004-09-17,M,M,M,0.0,0
2004-09-18,M,M,M,0.0,0
2004-09-19,M,M,M,0.0,0
2004-09-20,M,M,M,0.0,0
2004-09-21,M,M,M,0.0,0
2004-09-22,M,M,M,0.0,0
2004-09-23,M,M,M,0.0,0
2004-09-24,M,M,M,0.0,0
2004-09-25,M,M,M,0.0,0
2004-09-26,M,M,M,0.0,0
2004-09-27,M,M,M,0.0,0
2004-09-28,M,M,M,0.0,0
2004-09-29,M,M,M,0.0,0
2004-09-30,M,M,M,0.0,0
2004-10-01,M,M,M,0.0,0
2004-10-02,M,M,M,0.0,0
2004-10-03,M,M,M,0.0,0
2004-10-04,M,M,M,0.0,0
2004-10-05,M,M,M,0.0,0
2004-10-06,M,M,M,0.0,0
2004-10-07,M,M,M,0.0,0
2004-10-08,77,48,0.00,0.0,0
2004-10-09,76,52,0.03,0.0,0
2004-10-10,68,41,0.00,0.0,0
2004-10-11,64,35,0.00,0.0,0
2004-10-12,59,33,0.00,0.0,0
2004-10-13,65,M,0.00,0.0,0
2004-10-14,62,39,0.00,0.0,0
2004-10-15,68,44,0.81,0.0,0
2004-10-16,55,45,0.85,0.0,0
2004-10-17,50,38,0.17,0.0,0
2004-10-18,48,33,0.00,0.0,0
2004-10-19,50,32,0.05,0.0,0
2004-10-20,M,M,M,0.0,0
2004-10-21,56,42,0.00,0.0,0
2004-10-22,57,41,0.00,0.0,0
2004-10-23,M,M,M,0.0,0
2004-10-24,M,M,M,0.0,0
2004-10-25,60,45,0.00,0.0,0
2004-10-26,65,43,0.00,0.0,0
2004-10-27,68,46,0.01,0.0,0
2004-10-28,65,41,0.00,0.0,0
2004-10-29,65,42,0.41,0.0,0
2004-10-30,65,52,0.73,0.0,0
2004-10-31,73,58,0.02,0.0,0
2004-11-01,M,43,0.00,0.0,0
2004-11-02,53,M,0.42,0.0,0
2004-11-03,57,38,0.05,0.0,0
2004-11-04,51,38,0.13,0.0,0
2004-11-05,50,34,0.34,0.0,0
2004-11-06,54,38,0.00,0.0,0
2004-11-07,63,45,0.00,0.0,0
2004-11-08,M,33,0.00,0.0,0
2004-11-09,49,28,0.00,0.0,0
2004-11-10,46,29,0.00,0.0,0
2004-11-11,57,38,0.00,0.0,0
2004-11-12,46,27,0.00,0.0,0
2004-11-13,M,M,0.00,0.0,0
2004-11-14,M,M,0.00,0.0,0
2004-11-15,50,22,0.00,0.0,0
2004-11-16,48,M,0.01,0.0,0
2004-11-17,53,43,0.01,0.0,0
2004-11-18,52,45,0.03,0.0,0
2004-11-19,64,44,0.01,0.0,0
2004-11-20,54,44,0.11,0.0,0
2004-11-21,58,43,T,T,M
2004-11-22,49,32,0.00,0.0,0
2004-11-23,47,35,0.01,0.0,0
2004-11-24,52,38,0.17,0.0,0
2004-11-25,42,28,0.67,0.0,0
2004-11-26,36,28,0.01,0.0,0
2004-11-27,46,30,0.07,0.0,0
2004-11-28,51,38,0.16,0.0,0
2004-11-29,44,26,0.00,0.0,0
2004-11-30,44,29,0.00,0.0,0
2004-12-01,44,31,0.77,T,T
2004-12-02,43,32,0.00,0.0,0
2004-12-03,38,27,T,T,T
2004-12-04,37,23,0.00,0.0,0
2004-12-05,44,27,0.00,0.0,0
2004-12-06,42,30,0.08,T,T
2004-12-07,41,29,0.10,0.0,0
2004-12-08,55,38,1.12,0.0,0
2004-12-09,45,34,0.00,0.0,0
2004-12-10,46,36,0.00,0.0,0
2004-12-11,41,31,0.24,T,T
2004-12-12,35,31,0.01,T,T
2004-12-13,39,28,0.19,0.3,1
2004-12-14,34,18,T,T,0
2004-12-15,27,18,0.00,0.0,0
2004-12-16,34,17,0.00,0.0,0
2004-12-17,38,20,0.00,0.0,0
2004-12-18,34,20,0.00,0.0,0
2004-12-19,36,5,0.07,T,T
2004-12-20,8,-2,0.00,0.0,0
2004-12-21,26,-1,0.03,0.1,T
2004-12-22,40,23,0.00,0.0,0
2004-12-23,28,17,0.68,5.6,6
2004-12-24,28,11,0.55,3.0,8
2004-12-25,20,2,0.00,0.0,6
2004-12-26,16,5,0.10,1.2,8
2004-12-27,24,-2,0.00,0.0,8
2004-12-28,24,-3,0.00,0.0,7
2004-12-29,36,20,0.00,0.0,6
2004-12-30,39,19,0.00,0.0,5
2004-12-31,46,36,0.13,0.0,0
2005-01-01,52,25,0.00,0.0,0
2005-01-02,39,M,0.18,0.0,0
2005-01-03,50,30,0.14,0.0,0
2005-01-04,39,30,0.25,T,T
2005-01-05,36,25,0.18,2.0,2
2005-01-06,30,22,0.28,2.0,3
2005-01-07,30,17,0.10,2.5,4
2005-01-08,28,25,T,0.1,3
2005-01-09,34,24,0.00,0.0,4
2005-01-10,36,27,0.00,0.0,4
2005-01-11,39,29,0.17,2.2,5
2005-01-12,35,30,0.08,0.0,3
2005-01-13,53,32,0.33,0.0,M
2005-01-14,54,13,0.51,0.6,1
2005-01-15,23,7,0.00,0.0,1
2005-01-16,24,M,0.00,0.0,1
2005-01-17,17,2,0.00,0.0,1
2005-01-18,10,-2,0.00,0.0,M
2005-01-19,28,M,0.11,1.5,2
2005-01-20,33,11,0.00,0.0,M
2005-01-21,20,-2,0.00,0.0,M
2005-01-22,11,-2,0.17,3.8,5
2005-01-23,16,4,0.73,14.6,17
2005-01-24,19,-7,T,0.2,14
2005-01-25,27,10,T,0.2,12
2005-01-26,36,24,0.00,0.0,M
2005-01-27,30,-10,0.10,1.0,M
2005-01-28,9,-10,0.00,0.0,M
2005-01-29,23,-8,0.00,0.0,14
2005-01-30,33,8,0.00,0.0,11
2005-01-31,34,6,0.00,0.0,9
2005-02-01,32,6,0.00,0.0,9
2005-02-02,30,7,0.00,0.0,9
2005-02-03,28,8,0.00,0.0,9
2005-02-04,38,10,0.00,0.0,9
2005-02-05,41,17,0.00,0.0,M
2005-02-06,47,18,0.00,0.0,M
2005-02-07,47,30,0.00,0.0,7
2005-02-08,41,32,0.40,0.0,4
2005-02-09,36,26,0.09,0.1,4
2005-02-10,30,11,0.21,1.9,6
2005-02-11,29,10,0.00,0.0,6
2005-02-12,32,16,0.00,0.0,6
2005-02-13,47,20,0.00,0.0,4
2005-02-14,42,20,0.56,0.0,M
2005-02-15,44,33,0.11,0.0,2
2005-02-16,43,30,0.93,1.1,2
2005-02-17,M,18,0.04,0.2,2
2005-02-18,M,10,T,0.1,2
2005-02-19,M,13,0.00,0.0,M
2005-02-20,M,18,0.00,0.0,M
2005-02-21,M,20,0.59,5.8,7
2005-02-22,M,28,0.02,0.2,5
2005-02-23,M,14,0.08,1.2,6
2005-02-24,M,13,0.00,0.0,5
2005-02-25,M,14,0.00,0.0,4
2005-02-26,M,15,0.00,0.0,1
2005-02-27,M,6,0.00,0.0,M
2005-02-28,M,14,M,M,6
2005-03-01,M,24,0.38,3.3,8
2005-03-02,M,14,0.08,3.0,8
2005-03-03,M,7,0.00,0.0,8
2005-03-04,M,10,0.00,0.0,7
2005-03-05,M,10,0.00,0.0,6
2005-03-06,M,14,0.00,0.0,6
2005-03-07,M,32,0.00,0.0,5
2005-03-08,M,15,0.00,0.0,4
2005-03-09,M,11,0.00,0.0,2
2005-03-10,27,14,0.00,0.0,1
2005-03-11,32,15,0.07,0.8,2
2005-03-12,37,13,0.09,0.0,2
2005-03-13,38,14,0.00,0.0,0
2005-03-14,33,16,0.00,0.0,0
2005-03-15,37,16,0.00,0.0,0
2005-03-16,40,17,0.00,0.0,0
2005-03-17,39,20,0.00,0.0,0
2005-03-18,43,28,0.06,0.6,1
2005-03-19,38,28,0.00,0.0,M
2005-03-20,43,32,0.00,0.0,M
2005-03-21,39,30,0.22,0.0,M
2005-03-22,41,23,0.00,0.0,M
2005-03-23,48,22,0.00,0.0,0
2005-03-24,40,20,0.17,1.7,2
2005-03-25,42,31,0.00,0.0,M
2005-03-26,45,23,0.00,0.0,M
2005-03-27,48,20,0.00,0.0,0
2005-03-28,47,33,0.00,0.0,0
2005-03-29,54,28,0.00,0.0,0
2005-03-30,63,M,0.00,0.0,0
2005-03-31,62,M,0.00,0.0,0
2005-04-01,61,31,0.00,0.0,0
2005-04-02,57,36,0.33,0.0,0
2005-04-03,42,36,0.23,0.0,0
2005-04-04,58,36,0.00,0.0,0
2005-04-05,63,38,0.00,0.0,0
2005-04-06,71,44,0.00,0.0,0
2005-04-07,M,M,0.00,0.0,0
2005-04-08,64,31,T,0.0,0
2005-04-09,62,32,0.00,0.0,0
