date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-04,M,M,0.34,M,M
2000-01-07,M,M,0.00,0.0,M
2000-01-09,M,M,0.06,M,M
2000-01-10,M,M,0.25,M,M
2000-01-11,M,M,0.10,M,M
2000-01-13,M,M,0.16,3.5,3
2000-01-18,M,M,0.04,0.1,1
2000-01-19,M,M,0.04,1.6,3
2000-01-20,M,M,0.30,3.0,6
2000-01-23,M,M,0.02,0.6,5
2000-01-24,M,M,0.01,0.2,5
2000-01-26,M,M,0.04,1.0,6
2000-01-30,M,M,0.07,1.2,5
2000-01-31,M,M,0.00,0.2,5
2000-02-03,M,M,0.08,1.3,6
2000-02-14,M,M,0.09,1.1,3
2000-02-19,M,M,0.18,4.3,4
2000-03-13,M,M,0.02,0.6,1
2000-03-15,M,M,0.17,M,M
2000-03-16,M,M,0.29,0.0,M
2000-03-20,M,M,0.23,M,M
2000-03-21,M,M,0.23,M,M
2000-03-25,M,M,0.06,M,M
2000-03-27,M,M,0.18,M,M
2000-03-29,M,M,0.13,T,M
2000-04-03,M,M,0.02,M,M
2000-04-04,M,M,0.06,M,M
2000-04-08,M,M,0.33,0.0,M
2000-04-10,M,M,0.04,0.3,M
2000-04-11,M,M,0.11,0.7,1
2000-04-20,M,M,0.68,M,M
2000-04-21,M,M,1.58,M,M
2000-04-22,M,M,0.20,M,M
2000-05-02,M,M,0.48,M,M
2000-05-09,M,M,0.16,M,M
2000-05-10,M,M,1.76,M,M
2000-05-11,M,M,0.14,M,M
2000-05-17,M,M,0.25,M,M
2000-05-18,M,M,0.05,M,M
2000-05-19,M,M,1.18,M,M
2000-05-20,M,M,0.08,M,M
2000-05-23,M,M,0.10,M,M
2000-05-28,M,M,0.10,M,M
2000-05-29,M,M,0.41,M,M
2000-06-01,M,M,0.06,M,M
2000-06-02,M,M,0.03,M,M
2000-06-06,M,M,0.40,M,M
2000-06-12,M,M,0.56,M,M
2000-06-13,M,M,0.31,M,M
2000-06-14,M,M,0.11,M,M
2000-06-15,M,M,0.24,M,M
2000-06-18,M,M,0.19,M,M
2000-06-21,M,M,0.93,M,M
2000-06-24,M,M,0.10,M,M
2000-06-25,M,M,2.25,M,M
2000-06-27,M,M,0.33,M,M
2000-06-30,M,M,0.16,M,M
2000-07-10,M,M,0.06,M,M
2000-07-11,M,M,0.06,M,M
2000-07-15,M,M,0.12,M,M
2000-07-29,M,M,1.00,M,M
2000-07-30,M,M,0.65,M,M
2000-07-31,M,M,1.14,M,M
2000-08-01,M,M,0.11,M,M
2000-08-02,M,M,0.12,M,M
2000-08-03,M,M,0.62,M,M
2000-08-06,M,M,0.88,M,M
2000-08-07,M,M,0.17,M,M
2000-08-15,M,M,0.20,M,M
2000-08-16,M,M,0.34,M,M
2000-08-17,M,M,0.06,M,M
2000-08-18,M,M,0.40,M,M
2000-08-23,M,M,0.93,M,M
2000-09-09,M,M,0.06,M,M
2000-09-11,M,M,2.77,M,M
2000-09-12,M,M,0.75,M,M
2000-09-15,M,M,0.62,M,M
2000-10-04,M,M,0.80,M,M
2000-10-06,M,M,0.26,M,M
2000-10-16,M,M,0.41,M,M
2000-10-17,M,M,0.02,M,M
2000-10-18,M,M,0.03,M,M
2000-10-24,M,M,0.77,M,M
2000-10-27,M,M,0.05,M,M
2000-11-07,M,M,0.24,M,M
2000-11-09,M,M,0.10,M,M
2000-11-10,M,M,0.50,M,M
2000-11-13,M,M,0.06,M,M
2000-11-14,M,M,0.13,M,M
2000-11-15,M,M,0.14,1.0,1
2000-11-26,M,M,0.16,M,M
2000-11-27,M,M,0.13,M,M
2000-11-29,M,M,0.06,M,M
2000-12-08,M,M,0.10,1.4,1
2000-12-11,M,M,T,T,1
2000-12-12,M,M,1.18,11.5,12
2000-12-14,M,M,0.47,4.0,14
2000-12-17,M,M,0.55,0.4,8
2000-12-18,M,M,0.06,1.1,8
2000-12-19,M,M,0.09,2.3,10
