date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-01,M,M,0.00,0.0,0
2000-01-02,M,M,0.01,0.0,0
2000-01-03,M,M,T,0.0,0
2000-01-04,M,M,0.14,0.0,0
2000-01-05,M,M,0.02,T,T
2000-01-06,M,M,0.00,0.0,0
2000-01-07,M,M,0.01,0.0,0
2000-01-08,M,M,T,T,0
2000-01-09,M,M,0.02,0.0,0
2000-01-10,M,M,0.14,0.0,0
2000-01-11,M,M,0.06,0.0,0
2000-01-12,M,M,0.00,0.0,0
2000-01-13,M,M,0.15,4.0,3
2000-01-14,M,M,0.03,1.0,4
2000-01-15,M,M,T,T,3
2000-01-16,M,M,0.00,0.0,2
2000-01-17,M,M,0.00,0.0,1
2000-01-18,M,M,0.08,2.0,3
2000-01-19,M,M,0.04,1.0,4
2000-01-20,M,M,0.19,3.0,6
2000-01-23,M,M,0.02,0.5,6
2000-01-24,M,M,0.00,0.0,5
2000-01-25,M,M,0.00,0.0,5
2000-01-26,M,M,0.05,1.5,6
2000-01-27,M,M,0.00,0.0,6
2000-01-28,M,M,0.00,0.0,6
2000-01-29,M,M,0.00,0.0,5
2000-01-30,M,M,0.07,1.5,5
2000-01-31,M,M,0.03,0.5,6
2000-02-01,M,M,0.05,1.0,6
2000-02-02,M,M,0.00,0.0,6
2000-02-03,M,M,0.11,2.0,8
2000-02-04,M,M,0.09,1.5,9
2000-02-05,M,M,0.02,T,8
2000-02-06,M,M,T,T,7
2000-02-07,M,M,0.00,0.0,5
2000-02-08,M,M,T,T,4
2000-02-10,M,M,T,T,2
2000-02-11,M,M,0.06,1.0,2
2000-02-12,M,M,T,T,3
2000-02-13,M,M,0.00,0.0,3
2000-02-14,M,M,0.15,2.5,5
2000-02-15,M,M,T,T,4
2000-02-16,M,M,0.02,T,2
2000-02-17,M,M,0.00,0.0,2
2000-02-18,M,M,0.00,0.0,2
2000-02-19,M,M,0.37,7.5,9
2000-02-20,M,M,0.02,0.5,9
2000-02-21,M,M,T,T,8
2000-02-22,M,M,0.00,0.0,6
2000-02-23,M,M,0.00,0.0,1
2000-02-24,M,M,0.00,0.0,0
2000-02-25,M,M,0.26,0.0,0
2000-02-26,M,M,0.00,0.0,0
2000-02-27,M,M,0.35,0.0,0
2000-02-28,M,M,0.00,0.0,0
2000-02-29,M,M,0.00,0.0,0
2000-03-01,M,M,0.03,0.0,0
2000-03-02,M,M,0.02,0.0,0
2000-03-03,M,M,0.00,0.0,0
2000-03-04,M,M,0.00,0.0,0
2000-03-05,M,M,0.00,0.0,0
2000-03-06,M,M,0.00,0.0,0
2000-03-07,M,M,0.00,0.0,0
2000-03-08,M,M,0.00,0.0,0
2000-03-09,M,M,0.00,0.0,0
2000-03-10,M,M,0.04,0.5,0
2000-03-11,M,M,T,T,0
2000-03-12,M,M,T,T,0
2000-03-13,M,M,0.02,0.0,0
2000-03-14,M,M,0.05,0.0,0
2000-03-15,M,M,0.04,0.0,0
2000-03-16,M,M,0.20,0.5,1
2000-03-17,M,M,0.00,0.0,0
2000-03-18,M,M,T,T,0
2000-03-19,M,M,0.00,0.0,0
2000-03-20,M,M,0.17,0.0,0
2000-03-21,M,M,0.02,0.0,0
2000-03-22,M,M,T,0.0,0
2000-03-23,M,M,0.00,0.0,0
2000-03-24,M,M,0.00,0.0,0
2000-03-25,M,M,T,0.0,0
2000-03-26,M,M,0.00,0.0,0
2000-03-27,M,M,0.06,0.0,0
2000-03-28,M,M,0.00,0.0,0
2000-03-29,M,M,T,0.0,0
2000-03-30,M,M,0.00,0.0,0
2000-03-31,M,M,0.00,0.0,0
2000-04-01,M,M,0.00,0.0,0
2000-04-02,M,M,0.03,0.0,0
2000-04-03,M,M,0.04,0.0,0
2000-04-04,M,M,0.04,T,T
2000-04-05,M,M,0.02,T,0
2000-04-06,M,M,0.02,0.0,0
2000-04-07,M,M,0.00,0.0,0
2000-04-08,M,M,0.31,3.5,3
2000-04-09,M,M,0.02,T,1
2000-04-10,M,M,0.10,1.0,0
2000-04-11,M,M,0.05,0.5,1
2000-04-12,M,M,0.11,2.0,0
2000-04-13,M,M,0.00,0.0,0
2000-04-14,M,M,0.00,0.0,0
2000-04-15,M,M,0.00,0.0,0
2000-04-16,M,M,0.00,0.0,0
2000-04-17,M,M,0.03,0.0,0
2000-04-18,M,M,T,0.0,0
2000-04-19,M,M,0.00,0.0,0
2000-04-20,M,M,0.51,0.0,0
2000-04-21,M,M,1.97,0.0,0
2000-04-22,M,M,0.10,0.0,0
2000-04-23,M,M,0.00,0.0,0
2000-04-24,M,M,0.00,0.0,0
2000-04-25,M,M,0.00,0.0,0
2000-04-26,M,M,0.00,0.0,0
2000-04-27,M,M,0.00,0.0,0
2000-04-28,M,M,0.00,0.0,0
2000-04-29,M,M,0.00,0.0,0
2000-04-30,M,M,0.00,0.0,0
2000-05-01,M,M,0.00,0.0,0
2000-05-02,M,M,0.39,0.0,0
2000-05-03,M,M,0.00,M,M
2000-05-04,M,M,0.00,0.0,0
2000-05-05,M,M,0.00,0.0,0
2000-05-06,M,M,0.00,M,M
2000-05-07,M,M,0.00,M,M
2000-05-08,M,M,0.01,M,M
2000-05-09,M,M,0.56,M,M
2000-05-10,M,M,0.76,M,M
2000-05-11,M,M,0.03,M,M
2000-05-12,M,M,0.18,M,M
2000-05-13,M,M,0.04,M,M
2000-05-14,M,M,0.00,M,M
2000-05-15,M,M,0.00,M,M
2000-05-16,M,M,0.00,0.0,0
2000-05-17,M,M,0.47,M,M
2000-05-18,M,M,1.53,M,M
2000-05-19,M,M,0.91,M,M
2000-05-20,M,M,0.18,M,M
2000-05-21,M,M,0.00,M,M
2000-05-22,M,M,0.00,M,M
2000-05-23,M,M,0.12,M,M
2000-05-24,M,M,0.12,M,M
2000-05-25,M,M,T,M,M
2000-05-26,M,M,0.00,M,M
2000-05-28,M,M,0.01,M,M
2000-05-29,M,M,T,M,M
2000-05-30,M,M,0.00,M,M
2000-05-31,M,M,T,M,M
2000-06-01,M,M,0.02,M,M
2000-06-02,M,M,0.26,M,M
2000-06-03,M,M,0.00,M,M
2000-06-04,M,M,0.00,M,M
2000-06-05,M,M,0.02,M,M
2000-06-06,M,M,0.23,M,M
2000-06-07,M,M,0.00,M,M
2000-06-08,M,M,T,M,M
2000-06-09,M,M,0.00,M,M
2000-06-10,M,M,0.00,M,M
2000-06-11,M,M,T,M,M
2000-06-12,M,M,0.25,M,M
2000-06-13,M,M,0.47,M,M
2000-06-14,M,M,0.10,M,M
2000-06-15,M,M,0.12,M,M
2000-06-16,M,M,T,M,M
2000-06-17,M,M,0.00,M,M
2000-06-18,M,M,0.08,M,M
2000-06-19,M,M,0.00,M,M
2000-06-20,M,M,0.00,M,M
2000-06-21,M,M,0.04,M,M
2000-06-22,M,M,T,M,M
2000-06-23,M,M,0.00,M,M
2000-06-24,M,M,0.04,M,M
2000-06-25,M,M,0.38,M,M
2000-06-26,M,M,0.00,M,M
2000-06-27,M,M,0.29,M,M
2000-06-28,M,M,0.00,M,M
2000-06-29,M,M,0.04,M,M
2000-06-30,M,M,0.03,M,M
2000-07-01,M,M,0.00,M,M
2000-07-02,M,M,0.00,M,M
2000-07-03,M,M,1.12,M,M
2000-07-04,M,M,0.04,M,M
2000-07-05,M,M,0.00,M,M
2000-07-06,M,M,0.01,M,M
2000-07-07,M,M,0.10,M,M
2000-07-08,M,M,0.00,M,M
2000-07-09,M,M,0.00,M,M
2000-07-10,M,M,0.17,M,M
2000-07-11,M,M,0.02,M,M
2000-07-12,M,M,0.00,M,M
2000-07-13,M,M,0.00,M,M
2000-07-14,M,M,0.00,M,M
2000-07-15,M,M,0.81,M,M
2000-07-16,M,M,T,M,M
2000-07-17,M,M,T,M,M
2000-07-18,M,M,0.00,M,M
2000-07-19,M,M,0.00,M,M
2000-07-20,M,M,0.00,M,M
2000-07-21,M,M,T,M,M
2000-07-22,M,M,0.07,M,M
2000-07-23,M,M,0.00,M,M
2000-07-24,M,M,0.00,M,M
2000-07-26,M,M,0.00,M,M
2000-07-27,M,M,T,M,M
2000-07-28,M,M,M,0.0,0
2000-07-30,M,M,0.34,M,M
2000-07-31,M,M,0.92,M,M
2000-08-01,M,M,T,M,M
2000-08-02,M,M,0.10,M,M
2000-08-03,M,M,T,M,M
2000-08-04,M,M,0.00,M,M
2000-08-05,M,M,0.00,M,M
2000-08-06,M,M,0.37,M,M
2000-08-08,M,M,0.00,M,M
2000-08-09,M,M,0.00,M,M
2000-08-10,M,M,0.15,M,M
2000-08-11,M,M,0.03,M,M
2000-08-12,M,M,0.00,M,M
2000-08-13,M,M,T,M,M
2000-08-14,M,M,T,M,M
2000-08-15,M,M,0.12,M,M
2000-08-16,M,M,0.00,M,M
2000-08-18,M,M,0.20,M,M
2000-08-19,M,M,T,M,M
2000-08-20,M,M,0.00,M,M
2000-08-21,M,M,0.00,M,M
2000-08-22,M,M,0.00,M,M
2000-08-23,M,M,0.44,M,M
2000-08-24,M,M,T,M,M
2000-08-25,M,M,0.00,M,M
2000-08-26,M,M,0.01,M,M
2000-08-27,M,M,0.00,M,M
2000-08-28,M,M,0.03,M,M
2000-08-29,M,M,0.01,M,M
2000-08-30,M,M,0.00,M,M
2000-08-31,M,M,0.00,M,M
2000-09-01,M,M,0.00,M,M
2000-09-02,M,M,0.00,M,M
2000-09-03,M,M,0.00,M,M
2000-09-04,M,M,0.03,M,M
2000-09-05,M,M,0.00,M,M
2000-09-06,M,M,0.00,M,M
2000-09-07,M,M,0.00,M,M
2000-09-08,M,M,0.00,M,M
2000-09-09,M,M,0.05,M,M
2000-09-10,M,M,0.13,M,M
2000-09-11,M,M,0.63,M,M
2000-09-12,M,M,0.22,M,M
2000-09-13,M,M,0.04,M,M
2000-09-14,M,M,T,M,M
2000-09-15,M,M,0.69,M,M
2000-09-17,M,M,0.00,M,M
2000-09-18,M,M,0.00,M,M
2000-09-19,M,M,0.00,M,M
2000-09-20,M,M,0.00,M,M
2000-09-21,M,M,0.27,M,M
2000-09-22,M,M,0.00,M,M
2000-09-23,M,M,2.45,M,M
2000-09-24,M,M,0.03,M,M
2000-09-25,M,M,0.00,M,M
2000-09-26,M,M,0.00,M,M
2000-09-27,M,M,0.00,M,M
2000-09-28,M,M,0.00,M,M
2000-09-29,M,M,0.00,M,M
2000-09-30,M,M,0.00,M,M
2000-10-01,M,M,0.00,M,M
2000-10-02,M,M,0.00,M,M
2000-10-04,M,M,0.34,M,M
2000-10-05,M,M,T,M,M
2000-10-06,M,M,0.18,M,M
2000-10-07,M,M,0.05,M,M
2000-10-08,M,M,0.06,T,0
2000-10-09,M,M,0.11,T,0
2000-10-10,M,M,T,0.0,0
2000-10-11,M,M,0.00,0.0,0
2000-10-12,M,M,0.00,0.0,0
2000-10-13,M,M,0.00,0.0,0
2000-10-14,M,M,0.00,0.0,0
2000-10-15,M,M,T,0.0,0
2000-10-16,M,M,T,0.0,0
2000-10-17,M,M,T,0.0,0
2000-10-18,M,M,0.00,0.0,0
2000-10-19,M,M,0.00,0.0,0
2000-10-20,M,M,0.00,0.0,0
2000-10-21,M,M,0.00,0.0,0
2000-10-22,M,M,0.00,0.0,0
2000-10-23,M,M,0.00,0.0,0
2000-10-24,M,M,0.78,0.0,0
2000-10-25,M,M,0.02,0.0,0
2000-10-27,M,M,0.35,0.0,0
2000-10-28,M,M,T,0.0,0
2000-10-29,M,M,0.00,0.0,0
2000-10-30,M,M,0.00,0.0,0
2000-10-31,M,M,0.00,M,M
2000-11-01,M,M,0.00,0.0,0
2000-11-02,M,M,0.00,0.0,0
2000-11-03,M,M,0.00,0.0,0
2000-11-04,M,M,0.00,0.0,0
2000-11-05,M,M,0.00,0.0,0
2000-11-06,M,M,0.00,M,M
2000-11-07,M,M,0.15,0.0,0
2000-11-08,M,M,0.08,0.0,0
2000-11-09,M,M,0.10,0.0,0
2000-11-10,M,M,0.25,0.0,0
2000-11-11,M,M,0.00,0.0,0
2000-11-12,M,M,0.00,0.0,0
2000-11-13,M,M,0.11,0.0,0
2000-11-14,M,M,0.19,1.2,1
2000-11-15,M,M,0.06,0.5,1
2000-11-16,M,M,T,T,0
2000-11-17,M,M,0.02,T,0
2000-11-18,M,M,0.02,0.2,T
2000-11-19,M,M,0.03,0.3,1
2000-11-20,M,M,0.02,0.2,1
2000-11-21,M,M,0.02,0.5,1
2000-11-22,M,M,0.02,0.4,1
2000-11-23,M,M,0.05,1.0,1
2000-11-24,M,M,0.00,0.0,1
2000-11-25,M,M,0.00,0.0,0
2000-11-26,M,M,0.30,0.0,0
2000-11-27,M,M,0.11,0.0,0
2000-11-28,M,M,0.03,0.1,0
2000-11-29,M,M,0.02,0.2,0
2000-11-30,M,M,0.02,0.2,0
2000-12-01,M,M,T,T,0
2000-12-02,M,M,T,T,0
2000-12-03,M,M,0.00,0.0,0
2000-12-04,M,M,0.00,0.0,0
2000-12-05,M,M,0.04,1.0,1
2000-12-06,M,M,T,T,1
2000-12-07,M,M,0.02,1.0,1
2000-12-08,M,M,0.03,0.4,3
2000-12-10,M,M,0.00,0.0,2
2000-12-11,M,M,0.00,0.0,1
2000-12-12,M,M,1.28,16.0,17
2000-12-13,M,M,T,T,17
2000-12-14,M,M,0.44,5.3,22
2000-12-15,M,M,0.00,0.0,21
2000-12-16,M,M,0.09,0.0,18
2000-12-17,M,M,0.42,2.7,19
2000-12-18,M,M,0.06,2.0,20
2000-12-19,M,M,0.13,2.0,21
2000-12-20,M,M,0.03,1.0,21
2000-12-21,M,M,0.03,1.0,21
2000-12-22,M,M,0.10,2.0,22
2000-12-23,M,M,T,M,21
2000-12-24,M,M,0.08,2.0,22
2000-12-25,M,M,T,0.2,22
2000-12-26,M,M,T,0.1,22
2000-12-27,M,M,T,T,20
2000-12-28,M,M,0.04,1.0,20
2000-12-29,M,M,T,0.5,18
2000-12-30,M,M,0.16,2.0,20
2000-12-31,M,M,0.03,1.0,20
2001-01-01,M,M,T,T,20
2001-01-02,M,M,T,T,18
2001-01-03,M,M,0.00,0.0,17
2001-01-04,M,M,0.00,1.7,17
2001-01-05,M,M,0.07,1.5,18
2001-01-06,M,M,T,T,16
2001-01-07,M,M,T,T,15
2001-01-08,M,M,0.02,0.3,14
2001-01-09,M,M,T,T,14
2001-01-10,M,M,0.00,0.0,13
2001-01-11,M,M,0.00,0.0,13
2001-01-12,M,M,T,T,12
2001-01-13,M,M,T,T,12
2001-01-14,M,M,T,T,11
2001-01-15,M,M,0.02,0.0,10
2001-01-16,M,M,0.02,T,8
2001-01-17,M,M,T,T,8
2001-01-18,M,M,T,T,8
2001-01-19,M,M,0.00,0.0,8
2001-01-20,M,M,T,T,8
2001-01-21,M,M,T,T,7
2001-01-22,M,M,T,T,7
2001-01-23,M,M,T,T,6
2001-01-24,M,M,0.00,0.0,M
2001-01-25,M,M,0.03,1.0,M
2001-01-26,M,M,T,T,M
2001-01-27,M,M,0.12,2.5,7
2001-01-28,M,M,T,T,6
2001-01-29,M,M,T,T,5
2001-01-30,M,M,0.45,T,3
2001-01-31,M,M,0.22,0.6,2
2001-02-01,M,M,0.05,0.5,2
2001-02-02,M,M,T,T,2
2001-02-03,M,M,T,T,2
2001-02-04,M,M,0.04,1.0,3
2001-02-05,M,M,T,T,3
2001-02-06,M,M,0.05,1.0,3
2001-02-07,M,M,T,T,2
2001-02-08,M,M,0.14,1.0,3
2001-02-09,M,M,0.98,T,2
2001-02-10,M,M,0.76,0.5,1
2001-02-11,M,M,0.00,0.0,1
2001-02-12,M,M,0.00,0.0,1
2001-02-13,M,M,0.00,0.0,1
2001-02-14,M,M,0.01,0.0,1
2001-02-15,M,M,0.19,1.0,2
2001-02-16,M,M,0.00,0.0,1
2001-02-17,M,M,0.02,0.5,2
2001-02-18,M,M,0.00,0.0,2
2001-02-19,M,M,T,T,1
2001-02-20,M,M,0.00,0.0,1
2001-02-21,M,M,0.02,0.4,1
2001-02-22,M,M,0.00,0.0,1
2001-02-23,M,M,0.03,1.0,1
2001-02-24,M,M,T,T,1
2001-02-25,M,M,1.02,1.0,0
2001-02-26,M,M,T,T,0
2001-02-27,M,M,0.00,0.0,0
2001-02-28,M,M,0.00,0.0,0
2001-03-02,M,M,T,T,0
2001-03-03,M,M,0.00,0.0,0
2001-03-04,M,M,0.00,0.0,0
2001-03-05,M,M,T,T,0
2001-03-06,M,M,0.08,2.0,2
2001-03-07,M,M,T,T,2
2001-03-08,M,M,T,T,1
2001-03-09,M,M,0.08,1.0,2
2001-03-11,M,M,T,T,1
2001-03-12,M,M,0.00,0.0,0
2001-03-13,M,M,0.25,0.0,0
2001-03-14,M,M,0.02,T,0
2001-03-15,M,M,T,T,0
2001-03-16,M,M,T,T,0
2001-03-17,M,M,T,T,0
2001-03-18,M,M,T,T,0
2001-03-19,M,M,0.00,0.0,0
2001-03-20,M,M,0.00,0.0,0
2001-03-21,M,M,0.00,0.0,0
2001-03-22,M,M,0.00,0.0,0
2001-03-23,M,M,0.00,0.0,0
2001-03-24,M,M,T,T,0
2001-03-25,M,M,0.03,1.0,1
2001-03-26,M,M,0.02,0.2,1
2001-03-27,M,M,T,T,0
2001-03-28,M,M,T,T,0
2001-03-29,M,M,T,T,0
2001-03-30,M,M,T,T,0
2001-03-31,M,M,0.00,0.0,0
2001-04-01,M,M,T,T,0
2001-04-02,M,M,0.03,T,0
2001-04-03,M,M,0.21,1.0,1
2001-04-04,M,M,T,T,0
2001-04-05,M,M,0.00,0.0,0
2001-04-06,M,M,0.37,0.0,0
2001-04-07,M,M,0.42,0.0,0
2001-04-08,M,M,0.00,0.0,0
2001-04-09,M,M,0.04,0.0,0
2001-04-10,M,M,0.31,0.0,0
2001-04-11,M,M,0.00,0.0,0
2001-04-12,M,M,0.04,0.0,0
2001-04-13,M,M,T,0.0,0
