date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2001-11-28,54,38,0.01,0.0,0
2001-11-29,41,38,0.26,0.0,0
2001-11-30,46,38,0.70,0.0,0
2001-12-01,54,40,0.02,0.0,0
2001-12-02,43,33,0.00,0.0,0
2001-12-03,46,33,0.00,0.0,0
2001-12-04,55,33,0.00,0.0,0
2001-12-05,58,48,0.03,0.0,0
2001-12-06,70,45,0.00,0.0,0
2001-12-07,49,28,0.00,0.0,0
2001-12-08,42,29,0.00,0.0,0
2001-12-09,41,31,0.10,0.0,0
2001-12-10,40,28,0.00,0.0,0
2001-12-11,46,25,0.00,0.0,0
2001-12-12,49,26,0.00,0.0,0
2001-12-13,47,40,0.25,0.0,0
2001-12-15,M,M,0.25,0.0,0
2001-12-16,37,30,0.00,0.0,0
2001-12-18,41,36,0.13,0.0,0
2001-12-19,43,33,0.05,0.0,0
2001-12-20,39,29,0.13,0.0,0
2001-12-21,37,20,0.00,0.0,0
2001-12-22,35,19,0.00,0.0,0
2001-12-23,44,30,0.03,0.0,0
2001-12-24,44,22,0.03,0.3,T
2001-12-25,44,18,0.02,0.2,T
2001-12-26,25,13,0.00,0.0,0
2001-12-27,25,13,0.03,0.3,T
2001-12-28,24,16,0.13,1.0,2
2001-12-29,27,15,0.00,0.0,0
2001-12-30,27,11,0.00,0.0,0
2001-12-31,20,13,0.00,0.0,0
2002-01-01,22,9,0.00,0.0,0
2002-01-02,28,3,0.00,0.0,0
2002-01-03,30,2,0.00,0.0,0
2002-01-04,24,8,0.00,0.0,0
2002-01-05,33,18,0.00,0.0,0
2002-01-06,36,29,0.00,0.0,0
2002-01-07,33,18,0.00,0.0,0
2002-01-08,33,9,0.00,0.0,0
2002-01-09,37,19,0.00,0.0,0
2002-01-10,46,29,0.00,0.0,0
2002-01-11,42,28,0.00,0.0,0
2002-01-12,39,28,0.00,0.0,0
2002-01-13,40,27,0.00,0.0,0
2002-01-14,37,26,0.00,0.0,0
2002-01-15,41,31,0.25,0.0,0
2002-01-16,33,26,0.00,0.0,0
2002-01-17,M,24,0.30,1.5,M
2002-01-18,27,19,0.10,0.5,M
2002-01-19,23,7,0.10,0.0,3
2002-01-20,29,13,0.10,0.0,3
2002-01-21,34,24,0.01,0.1,M
2002-01-22,35,21,0.00,0.0,0
2002-01-23,50,26,0.00,0.0,0
2002-01-24,45,29,0.10,0.0,0
2002-01-25,30,22,0.00,0.0,0
2002-01-26,45,28,0.00,0.0,0
2002-01-27,52,35,0.00,0.0,0
2002-01-28,57,38,0.00,0.0,0
2002-01-29,56,34,0.00,0.0,0
2002-01-30,35,27,0.00,0.0,0
2002-01-31,29,24,0.51,6.0,6
2002-02-01,35,25,0.36,6.0,6
2002-02-02,35,15,0.00,0.5,5
2002-02-03,34,14,0.00,0.3,3
2002-02-04,38,12,0.03,0.4,4
2002-02-05,19,2,0.00,0.0,4
2002-02-06,30,14,0.00,0.0,3
2002-02-07,40,27,0.00,0.0,3
2002-02-08,39,23,0.00,0.0,2
2002-02-09,44,28,0.00,0.0,2
2002-02-10,43,31,0.20,0.2,2
2002-02-11,49,13,0.00,0.0,0
2002-02-12,36,13,0.00,0.0,0
2002-02-13,M,14,0.00,0.0,0
2002-02-14,31,14,0.00,0.0,0
2002-02-15,44,25,0.00,0.0,0
2002-02-16,46,31,0.00,0.0,0
2002-02-17,35,23,0.20,0.5,1
2002-02-18,42,19,0.00,0.0,0
2002-02-19,42,19,0.00,0.0,0
2002-02-20,44,M,0.38,0.0,0
2002-02-21,52,34,0.45,0.0,0
2002-02-22,37,22,0.14,0.0,0
2002-02-23,29,15,0.00,0.0,0
2002-02-24,39,16,0.00,0.0,0
2002-02-25,56,34,0.00,0.0,0
2002-02-26,56,27,0.26,3.0,3
2002-02-27,30,19,0.24,4.0,4
2002-02-28,27,8,0.02,0.3,3
2002-03-01,27,14,0.01,2.5,T
2002-03-02,32,24,0.05,3.0,1
2002-03-03,37,26,0.40,2.0,0
2002-03-04,37,5,0.25,0.0,0
2002-03-05,16,M,0.20,1.0,1
2002-03-06,28,16,0.50,2.0,2
2002-03-07,40,27,0.00,1.0,1
2002-03-08,40,27,0.00,1.0,1
2002-03-09,60,M,0.00,0.0,0
2002-03-10,57,16,0.00,1.0,1
2002-03-11,22,14,0.00,1.0,1
2002-03-12,36,18,0.00,0.0,1
2002-03-13,38,27,0.00,0.0,0
2002-03-14,60,31,0.00,0.0,0
2002-03-15,48,31,0.00,0.0,0
2002-03-16,56,22,0.00,0.0,0
2002-03-17,37,22,0.00,0.0,0
2002-03-18,38,28,0.00,0.0,0
2002-03-19,38,27,0.00,0.0,0
2002-03-20,47,30,0.09,0.0,0
2002-03-21,40,27,0.03,0.0,0
2002-03-22,34,3,0.02,0.0,0
2002-03-23,27,14,0.00,0.0,0
2002-03-24,43,19,0.00,0.0,0
2002-03-25,39,17,0.00,0.0,0
2002-03-26,25,19,0.00,0.0,0
2002-03-27,34,19,0.00,0.0,0
2002-03-28,45,20,0.00,0.0,0
2002-03-29,46,27,0.00,0.0,0
2002-03-30,49,31,0.25,0.0,0
2002-03-31,54,26,0.00,0.0,0
2002-04-01,52,26,0.07,0.0,0
2002-04-02,40,30,0.03,0.0,0
2002-04-03,40,29,0.02,0.0,0
2002-04-04,41,23,0.00,0.0,0
2002-04-05,35,26,0.01,0.0,0
2002-04-06,35,21,0.01,0.0,0
2002-04-07,39,26,0.00,0.0,0
2002-04-08,47,31,0.07,0.0,0
2002-04-09,57,30,0.90,0.0,0
2002-04-10,47,26,0.00,0.0,0
2002-04-11,58,27,0.00,0.0,0
2002-04-12,70,42,0.04,0.0,0
2002-04-13,71,46,0.16,0.0,0
2002-04-14,65,46,0.00,0.0,0
2002-04-15,69,50,0.10,0.0,0
2002-04-16,84,58,0.00,0.0,0
2002-04-17,85,66,0.00,0.0,0
2002-04-18,80,57,0.00,0.0,0
2002-04-19,85,57,0.19,0.0,0
2002-04-20,69,39,0.00,0.0,0
2002-04-21,53,35,0.00,0.0,0
2002-04-22,42,32,0.25,0.0,0
2002-04-23,40,27,0.05,0.0,0
2002-04-24,53,29,0.00,0.0,0
2002-04-25,65,36,0.13,0.0,0
2002-04-26,51,28,0.00,0.0,0
2002-04-27,53,29,0.00,0.0,0
2002-04-28,52,34,0.27,0.0,0
2002-04-29,57,35,0.10,0.0,0
2002-04-30,46,35,0.00,0.0,0
2002-05-01,58,32,0.00,0.0,0
2002-05-02,61,35,0.58,0.0,0
2002-05-03,50,35,0.00,0.0,0
2002-05-04,54,31,0.00,0.0,0
2002-05-05,63,36,0.00,0.0,0
2002-05-06,75,53,0.00,0.0,0
2002-05-07,66,55,0.24,0.0,0
2002-05-08,64,43,0.00,0.0,0
2002-05-09,55,45,0.07,0.0,0
2002-05-10,65,44,0.28,0.0,0
2002-05-11,59,31,0.00,0.0,0
2002-05-12,56,39,0.75,0.0,0
2002-05-13,51,43,0.10,0.0,0
2002-05-14,50,42,0.05,0.0,0
2002-05-15,64,34,0.00,0.0,0
2002-05-16,69,39,0.19,0.0,0
2002-05-17,69,34,0.83,0.0,0
2002-05-18,48,32,0.00,0.0,0
2002-05-19,46,28,0.05,0.0,0
2002-05-20,47,31,0.02,0.0,0
2002-05-21,44,31,0.00,0.0,0
2002-05-22,55,34,0.00,0.0,0
2002-05-23,64,44,0.00,0.0,0
2002-05-24,75,51,0.05,0.0,0
2002-05-25,62,36,0.00,0.0,0
2002-05-26,59,42,0.05,0.0,0
2002-05-27,69,42,0.00,0.0,0
2002-05-28,78,46,0.00,0.0,0
2002-05-29,78,55,0.00,0.0,0
2002-05-30,79,59,0.00,0.0,0
2002-05-31,79,67,0.15,0.0,0
2002-06-01,81,53,0.00,0.0,0
2002-06-02,85,47,0.00,0.0,0
2002-06-03,71,46,0.13,0.0,0
2002-06-04,71,45,1.03,0.0,0
2002-06-05,73,55,0.10,0.0,0
2002-06-06,68,52,0.07,0.0,0
2002-06-07,68,43,0.00,0.0,0
2002-06-08,74,43,0.00,0.0,0
2002-06-09,80,55,0.00,0.0,0
2002-06-10,83,57,0.00,0.0,0
2002-06-11,87,66,0.00,0.0,0
2002-06-12,86,67,0.00,0.0,0
2002-06-13,76,55,0.00,0.0,0
2002-06-14,68,60,0.00,0.0,0
2002-06-15,69,53,0.22,0.0,0
2002-06-16,67,52,0.33,0.0,0
2002-06-17,69,46,0.00,0.0,0
2002-06-18,74,47,0.17,0.0,0
2002-06-19,76,54,0.00,0.0,0
2002-06-20,83,64,0.00,0.0,0
2002-06-21,88,68,0.00,0.0,0
2002-06-22,81,67,0.00,0.0,0
2002-06-23,88,67,0.00,0.0,0
2002-06-24,89,65,0.00,0.0,0
2002-06-25,91,62,0.00,0.0,0
2002-06-26,92,70,0.00,0.0,0
2002-06-27,86,69,0.00,0.0,0
2002-06-28,80,55,0.00,0.0,0
2002-06-29,82,58,0.00,0.0,0
2002-06-30,87,58,0.00,0.0,0
2002-07-01,88,68,0.00,0.0,0
2002-07-02,93,68,0.00,0.0,0
2002-07-03,92,65,0.00,0.0,0
