date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1963-04-01,M,M,0.00,0.0,0
1963-04-02,M,M,T,0.0,0
1963-04-03,M,M,0.00,0.0,0
1963-04-04,M,M,0.00,0.0,0
1963-04-05,M,M,0.00,0.0,0
1963-04-06,M,M,0.00,0.0,0
1963-04-07,M,M,0.00,0.0,0
1963-04-08,M,M,0.00,0.0,0
1963-04-09,M,M,0.00,0.0,0
1963-04-10,M,M,0.00,0.0,0
1963-04-11,M,M,0.00,0.0,0
1963-04-12,M,M,0.00,0.0,0
1963-04-13,M,M,0.00,0.0,0
1963-04-14,M,M,0.00,0.0,0
1963-04-15,M,M,0.00,0.0,0
1963-04-16,M,M,0.00,0.0,0
1963-04-17,M,M,0.30,0.0,0
1963-04-18,M,M,T,0.0,0
1963-04-19,M,M,0.65,0.0,0
1963-04-20,M,M,0.17,0.0,0
1963-04-21,M,M,0.00,0.0,0
1963-04-22,M,M,0.00,0.0,0
1963-04-23,M,M,0.35,0.0,0
1963-04-24,M,M,0.00,0.0,0
1963-04-25,M,M,0.00,0.0,0
1963-04-26,M,M,0.00,0.0,0
1963-04-27,M,M,0.00,0.0,0
1963-04-28,M,M,0.00,0.0,0
1963-04-29,M,M,0.00,0.0,0
1963-04-30,M,M,0.43,0.0,0
1964-02-01,M,M,0.00,0.0,0
1964-02-02,M,M,0.00,0.0,0
1964-02-03,M,M,0.00,0.0,0
1964-02-04,M,M,0.00,0.0,0
1964-02-05,M,M,0.00,0.0,0
1964-02-06,M,M,0.00,T,0
1964-02-07,M,M,0.00,T,T
1964-02-08,M,M,T,0.0,0
1964-02-09,M,M,0.00,0.0,0
1964-02-10,M,M,0.00,0.0,0
1964-02-11,M,M,0.00,0.0,0
1964-02-12,M,M,0.00,0.0,M
1964-02-13,M,M,0.00,M,M
1964-02-14,M,M,0.00,T,2
1964-02-15,M,M,0.00,0.0,2
1964-02-16,M,M,0.00,0.0,2
1964-02-17,M,M,0.00,0.1,2
1964-02-18,M,M,0.00,0.0,2
1964-02-19,M,M,0.00,0.0,1
1964-02-20,M,M,0.00,0.0,1
1964-02-21,M,M,0.00,0.0,0
1964-02-22,M,M,0.00,0.0,0
1964-02-23,M,M,0.00,0.1,1
1964-02-24,M,M,0.00,0.0,1
1964-02-25,M,M,0.00,0.0,0
1964-02-26,M,M,0.00,T,T
1964-03-01,M,M,0.00,0.0,0
1964-03-02,M,M,0.00,0.0,0
1964-03-03,M,M,0.00,0.0,0
1964-03-04,M,M,0.00,0.0,0
1964-03-05,M,M,0.14,T,0
1964-03-06,M,M,0.00,0.0,0
1964-03-07,M,M,0.00,0.0,0
1964-03-08,M,M,T,0.0,0
1964-03-09,M,M,0.27,0.0,M
1964-03-10,M,M,0.00,0.0,0
1964-03-11,M,M,0.00,0.0,0
1964-03-12,M,M,0.00,0.0,0
1964-03-13,M,M,0.00,0.0,0
1964-03-14,M,M,T,0.0,0
1964-03-15,M,M,0.00,0.0,0
1964-03-16,M,M,0.00,0.0,0
1964-03-17,M,M,0.00,0.0,0
1964-03-18,M,M,0.00,0.0,0
1964-03-19,M,M,0.00,0.0,0
1964-03-20,M,M,0.00,0.0,0
1964-03-21,M,M,0.00,0.0,0
1964-03-22,M,M,0.00,0.0,0
1964-03-23,M,M,0.00,0.0,0
1964-03-24,M,M,0.00,0.0,0
1964-03-25,M,M,0.43,0.0,0
1964-03-31,M,M,0.10,M,M
1965-02-01,M,M,0.00,0.0,M
1965-02-02,M,M,0.00,0.0,M
1965-02-03,M,M,0.00,0.0,M
1965-02-04,M,M,0.00,0.0,M
1965-02-05,M,M,0.00,0.0,M
1965-02-06,M,M,0.00,0.0,M
1965-02-07,M,M,0.00,0.0,M
1965-02-08,M,M,0.00,0.0,M
1965-02-09,M,M,0.00,0.0,M
1965-02-10,M,M,0.00,0.0,M
1965-02-11,M,M,0.00,0.0,M
1965-02-12,M,M,0.00,0.0,M
1965-02-13,M,M,0.00,0.0,M
1965-02-14,M,M,0.00,0.0,M
1965-02-15,M,M,0.00,0.0,0
1965-02-16,M,M,0.00,0.0,0
1965-02-17,M,M,0.00,0.0,0
1965-02-18,M,M,0.04,0.5,1
1965-02-19,M,M,T,T,1
1965-02-20,M,M,0.00,0.0,0
1965-02-21,M,M,T,T,0
1965-02-22,M,M,0.00,0.0,0
1965-02-23,M,M,0.16,2.0,2
1965-02-24,M,M,0.66,4.0,6
1965-02-25,M,M,0.06,0.5,5
1965-02-26,M,M,0.00,0.0,5
1965-02-27,M,M,0.00,0.0,5
1965-02-28,M,M,0.00,0.0,4
1965-03-01,M,M,0.00,0.0,4
1965-03-02,M,M,0.06,0.0,2
1965-03-03,M,M,T,0.0,2
1965-03-04,M,M,0.87,1.0,1
1965-03-05,M,M,0.16,0.0,1
1965-03-06,M,M,T,0.0,T
1965-03-07,M,M,0.00,0.0,T
1965-03-08,M,M,0.00,0.0,T
1965-03-09,M,M,0.15,3.0,T
1965-03-10,M,M,T,T,3
1965-03-11,M,M,0.00,0.0,2
1965-03-12,M,M,0.00,0.0,1
1965-03-13,M,M,0.00,0.0,T
1965-03-14,M,M,0.10,1.0,1
1965-03-15,M,M,T,T,T
1965-03-16,M,M,0.00,0.0,T
1965-03-17,M,M,0.25,3.0,3
1965-03-18,M,M,0.00,0.0,2
1965-03-19,M,M,T,T,2
1965-03-20,M,M,T,T,2
1965-03-21,M,M,0.04,2.0,4
1965-03-22,M,M,0.15,2.5,5
1965-03-23,M,M,0.02,T,4
1965-03-24,M,M,0.00,0.0,3
1965-03-25,M,M,0.09,2.0,5
1965-03-26,M,M,0.00,0.0,M
1965-03-27,M,M,0.00,0.0,M
1965-03-28,M,M,0.15,0.0,M
1965-03-29,M,M,0.00,0.0,M
1965-03-30,M,M,0.00,0.0,T
1965-03-31,M,M,0.04,0.5,1
1965-05-01,M,M,0.00,0.0,0
1965-05-02,M,M,0.08,0.0,0
1965-05-03,M,M,T,0.0,0
1965-05-04,M,M,0.00,0.0,0
1965-05-05,M,M,0.55,0.0,0
1965-05-06,M,M,0.51,0.0,0
1965-05-07,M,M,0.00,0.0,0
1965-05-08,M,M,0.05,0.0,0
1965-05-09,M,M,0.23,0.0,0
1965-05-10,M,M,T,0.0,0
1965-05-11,M,M,T,0.0,0
1965-05-12,M,M,0.00,0.0,0
1965-05-13,M,M,0.00,0.0,0
1965-05-14,M,M,0.00,0.0,0
1965-05-15,M,M,0.03,0.0,0
1965-05-16,M,M,0.00,0.0,0
1965-05-17,M,M,0.00,0.0,0
1965-05-18,M,M,0.16,0.0,0
1965-05-19,M,M,0.00,0.0,0
1965-05-20,M,M,0.00,0.0,0
1965-05-21,M,M,0.04,0.0,0
1965-05-22,M,M,0.07,0.0,0
1965-05-23,M,M,0.24,0.0,0
1965-05-24,M,M,0.03,0.0,0
1965-05-25,M,M,0.00,0.0,0
1965-05-26,M,M,0.43,0.0,0
1965-05-27,M,M,0.00,0.0,0
1965-05-28,M,M,0.00,0.0,0
1965-05-29,M,M,0.00,0.0,0
1965-05-30,M,M,0.00,0.0,0
1965-05-31,M,M,0.00,0.0,M
1966-02-01,M,M,0.80,0.0,5
1966-02-02,M,M,0.01,0.6,M
1966-02-03,M,M,0.01,M,M
1966-02-04,M,M,T,0.0,6
1966-02-05,M,M,0.30,0.5,7
1966-02-06,M,M,T,0.0,7
1966-02-07,M,M,0.00,0.0,6
1966-02-08,M,M,0.00,0.0,5
1966-02-09,M,M,0.05,0.0,3
1966-02-10,M,M,0.14,0.0,0
1966-02-11,M,M,0.23,0.0,0
1966-02-12,M,M,0.00,0.0,0
1966-02-13,M,M,0.00,0.0,0
1966-02-14,M,M,0.07,1.0,1
1966-02-15,M,M,0.00,0.0,0
1966-02-16,M,M,0.00,0.0,0
1966-02-17,M,M,T,T,T
1966-02-18,M,M,0.04,3.0,3
1966-02-19,M,M,0.19,1.0,4
1966-02-20,M,M,0.00,0.0,4
1966-02-21,M,M,0.00,0.0,3
1966-02-22,M,M,0.00,0.0,3
1966-02-23,M,M,0.00,0.0,2
1966-02-24,M,M,0.00,0.0,1
1966-02-25,M,M,0.00,0.0,1
1966-02-26,M,M,0.00,1.3,2
1966-02-27,M,M,0.06,0.0,1
1966-02-28,M,M,0.00,0.0,1
1966-03-01,M,M,0.84,3.0,3
1966-03-02,M,M,0.00,0.0,2
1966-03-03,M,M,0.00,0.0,T
1966-03-04,M,M,0.33,0.0,0
1966-03-05,M,M,T,T,T
1966-03-06,M,M,T,T,T
1966-03-07,M,M,0.02,1.0,1
1966-03-08,M,M,0.00,0.0,T
1966-03-09,M,M,0.00,0.0,0
1966-03-10,M,M,0.00,0.0,0
1966-03-11,M,M,0.24,0.0,0
1966-03-12,M,M,0.27,0.0,0
