date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2000-01-29,M,M,M,T,M
2003-01-01,M,34,M,M,M
2003-01-02,M,34,M,M,M
2003-01-03,M,33,M,M,M
2003-01-14,M,42,M,M,M
2003-01-15,M,34,M,M,M
2003-01-23,M,30,M,M,M
2003-01-28,M,48,M,M,M
2003-01-31,M,43,M,M,M
2003-02-03,M,60,M,M,M
2003-02-04,M,33,M,M,M
2003-02-05,M,41,M,M,M
2003-02-06,M,40,M,M,M
2003-02-07,M,34,M,M,M
2003-02-08,M,31,M,0.0,M
2003-02-10,M,40,M,M,M
2003-02-11,M,43,M,M,M
2003-02-12,M,52,M,M,M
2003-02-13,M,62,M,M,M
2003-02-14,M,65,M,M,M
2003-02-17,M,30,M,M,M
2003-02-18,M,47,M,M,M
2003-02-19,M,60,M,M,M
2003-02-20,M,46,M,M,M
2003-02-21,M,49,M,M,M
2003-02-27,M,33,M,M,M
2003-03-01,M,45,M,M,M
2003-03-02,M,47,M,M,M
2003-03-03,M,45,M,M,M
2003-03-04,M,41,M,M,M
2003-03-05,M,50,M,M,M
2003-03-06,M,34,M,M,M
2003-03-07,M,40,M,M,M
2003-03-08,M,48,M,M,M
2003-03-09,M,47,M,M,M
2003-03-10,M,44,M,M,M
2003-03-11,M,49,M,M,M
2003-03-12,M,64,M,M,M
2003-03-13,M,65,M,M,M
2003-03-15,M,53,M,M,M
2003-03-16,M,57,M,M,M
2003-03-17,M,60,M,M,M
2003-03-18,M,55,M,M,M
2003-03-19,M,46,M,M,M
2003-03-20,M,51,M,M,M
2003-03-25,M,64,M,M,M
2003-04-01,M,51,M,M,M
2003-04-02,M,54,M,M,M
2003-04-03,M,64,M,M,M
2003-04-09,M,38,M,M,M
2003-04-10,M,38,M,M,M
2003-04-11,M,52,M,M,M
2003-04-14,M,60,M,M,M
2003-04-15,M,64,M,M,M
2003-04-17,M,57,M,M,M
2003-04-18,M,64,M,M,M
2003-04-20,M,60,M,M,M
2003-04-22,M,58,M,M,M
2003-04-24,M,67,M,M,M
2003-04-28,M,65,M,M,M
2003-04-29,M,65,M,M,M
2003-04-30,M,67,M,M,M
2003-05-01,M,70,M,M,M
2003-05-02,M,71,M,M,M
