date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1978-09-01,M,M,0.20,0.0,0
1978-09-02,M,M,0.00,0.0,0
1978-09-03,M,M,0.00,0.0,0
1978-09-04,M,M,0.00,0.0,0
1978-09-05,M,M,1.10,0.0,0
1978-09-06,M,M,T,0.0,0
1978-09-07,M,M,0.20,0.0,0
1978-09-08,M,M,0.00,0.0,0
1978-09-09,M,M,0.00,0.0,0
1978-09-10,M,M,0.00,0.0,0
1978-09-11,M,M,0.00,0.0,0
1978-09-12,M,M,0.27,0.0,0
1978-09-13,M,M,0.00,0.0,0
1978-09-14,M,M,0.00,0.0,0
1978-09-15,M,M,0.00,0.0,0
1978-09-16,M,M,0.00,0.0,0
1978-09-17,M,M,T,0.0,0
1978-09-18,M,M,0.00,0.0,0
1978-09-19,M,M,0.00,0.0,0
1978-09-20,M,M,0.00,0.0,0
1978-09-21,M,M,0.43,0.0,0
1978-09-22,M,M,0.00,0.0,0
1978-09-23,M,M,0.00,0.0,0
1978-09-24,M,M,0.00,0.0,0
1978-09-25,M,M,0.00,0.0,0
1978-09-26,M,M,0.00,0.0,0
1978-09-27,M,M,0.70,0.0,0
1978-09-28,M,M,0.00,0.0,0
1978-09-29,M,M,0.00,0.0,0
1978-09-30,M,M,0.00,0.0,0
1978-10-01,M,M,0.00,0.0,0
1978-10-02,M,M,0.00,0.0,0
1978-10-03,M,M,0.00,0.0,0
1978-10-04,M,M,0.00,0.0,0
1978-10-05,M,M,0.00,0.0,0
1978-10-06,M,M,0.00,0.0,0
1978-10-07,M,M,0.75,0.0,0
1978-10-08,M,M,0.00,0.0,0
1978-10-09,M,M,0.00,0.0,0
1978-10-10,M,M,0.00,0.0,0
1978-10-11,M,M,0.05,0.0,0
1978-10-12,M,M,0.00,0.0,0
1978-10-13,M,M,0.00,0.0,0
1978-10-14,M,M,0.00,0.0,0
1978-10-15,M,M,0.00,0.0,0
1978-10-16,M,M,0.00,0.0,0
1978-10-17,M,M,0.00,0.0,0
1978-10-18,M,M,0.00,0.0,0
1978-10-19,M,M,0.00,0.0,0
1978-10-20,M,M,0.00,0.0,0
1978-10-21,M,M,0.00,0.0,0
1978-10-22,M,M,0.00,0.0,0
1978-10-23,M,M,T,0.0,0
1978-10-24,M,M,0.00,0.0,0
1978-10-25,M,M,T,0.0,0
1978-10-26,M,M,0.00,0.0,0
1978-10-27,M,M,0.00,0.0,0
1978-10-28,M,M,0.00,0.0,0
1978-10-29,M,M,0.00,0.0,0
1978-10-30,M,M,0.00,0.0,0
1978-10-31,M,M,0.00,0.0,0
1978-11-01,M,M,0.00,0.0,0
1978-11-02,M,M,0.00,0.0,0
1978-11-03,M,M,0.00,0.0,0
1978-11-04,M,M,T,0.0,0
1978-11-05,M,M,3.00,0.0,0
1978-11-06,M,M,0.15,0.0,0
1978-11-07,M,M,0.00,0.0,0
1978-11-08,M,M,0.00,0.0,0
1978-11-09,M,M,0.00,0.0,0
1978-11-10,M,M,0.00,0.0,0
1978-11-11,M,M,0.00,0.0,0
1978-11-12,M,M,0.35,0.0,0
1978-11-13,M,M,T,0.0,0
1978-11-14,M,M,0.00,0.0,0
1978-11-15,M,M,0.00,0.0,0
1978-11-16,M,M,1.70,0.0,0
1978-11-17,M,M,T,0.0,0
1978-11-18,M,M,T,0.0,0
1978-11-19,M,M,0.00,0.0,0
1978-11-20,M,M,T,0.0,0
1978-11-21,M,M,0.00,0.0,0
1978-11-22,M,M,0.00,0.0,0
1978-11-23,M,M,T,0.0,0
1978-11-24,M,M,0.30,0.0,0
1978-11-25,M,M,T,0.0,0
1978-11-26,M,M,T,0.0,0
1978-11-27,M,M,0.40,0.0,0
1978-11-28,M,M,0.00,0.0,0
1978-11-29,M,M,0.00,0.0,0
1978-11-30,M,M,0.00,0.0,0
1978-12-01,M,M,0.00,0.0,0
1978-12-02,M,M,0.00,0.0,0
1978-12-03,M,M,0.00,0.0,0
1978-12-04,M,M,0.00,0.0,0
1978-12-05,M,M,0.00,0.0,0
1978-12-06,M,M,0.00,0.0,0
1978-12-07,M,M,0.00,0.0,0
1978-12-08,M,M,0.00,0.0,0
1978-12-09,M,M,0.00,0.0,0
1978-12-10,M,M,0.00,0.0,0
1978-12-11,M,M,0.00,0.0,0
1978-12-12,M,M,0.00,0.0,0
1978-12-13,M,M,T,0.0,0
1978-12-14,M,M,T,0.0,0
1978-12-15,M,M,0.00,0.0,0
1978-12-16,M,M,0.00,0.0,0
1978-12-17,M,M,0.00,0.0,0
1978-12-18,M,M,0.00,0.0,0
1978-12-19,M,M,0.00,0.0,0
1978-12-20,M,M,0.00,0.0,0
1978-12-21,M,M,0.00,0.0,0
1978-12-22,M,M,0.00,0.0,0
1978-12-23,M,M,0.00,0.0,0
1978-12-24,M,M,0.00,0.0,0
1978-12-25,M,M,0.00,0.0,0
1978-12-26,M,M,0.00,0.0,0
1978-12-27,M,M,0.00,0.0,0
1978-12-28,M,M,0.00,0.0,0
1978-12-29,M,M,T,0.0,0
1978-12-30,M,M,T,0.0,0
1978-12-31,M,M,0.80,0.0,0
1979-01-01,M,M,0.00,0.0,0
1979-01-02,M,M,0.00,0.0,0
1979-01-03,M,M,0.00,0.0,0
1979-01-04,M,M,0.00,0.0,0
1979-01-05,M,M,0.00,0.0,0
1979-01-06,M,M,0.00,0.0,0
1979-01-07,M,M,0.00,0.0,0
1979-01-08,M,M,0.00,0.0,0
1979-01-09,M,M,0.00,0.0,0
1979-01-10,M,M,T,0.0,0
1979-01-11,M,M,0.00,0.0,0
1979-01-12,M,M,0.00,0.0,0
1979-01-13,M,M,0.00,0.0,0
1979-01-14,M,M,T,0.0,0
1979-01-15,M,M,0.00,0.0,0
1979-01-16,M,M,0.00,0.0,0
1979-01-17,M,M,0.00,0.0,0
1979-01-18,M,M,0.17,0.0,0
1979-01-19,M,M,0.00,0.0,0
1979-01-20,M,M,0.00,0.0,0
1979-01-21,M,M,0.00,0.0,0
1979-01-22,M,M,0.00,0.0,0
1979-01-23,M,M,0.00,0.0,0
1979-01-24,M,M,T,0.0,0
1979-01-25,M,M,0.00,0.0,0
