date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-01,101,82,0.00,M,M
2009-08-02,99,80,0.00,M,M
2009-08-03,102,75,0.00,M,M
2009-08-04,102,76,0.00,M,M
2009-08-05,102,76,0.00,M,M
2009-08-06,103,78,0.00,M,M
2009-08-07,102,76,0.00,M,M
2009-08-08,101,76,0.00,M,M
2009-08-09,99,77,0.00,M,M
2009-08-10,102,78,0.00,M,M
2009-08-11,102,75,0.00,M,M
2009-08-12,102,75,0.10,M,M
2009-08-13,99,73,0.00,M,M
2009-08-14,97,76,0.00,M,M
2009-08-15,99,74,0.00,M,M
2009-08-16,100,75,0.00,M,M
2009-08-17,100,76,0.00,M,M
2009-08-18,96,76,0.00,M,M
2009-08-19,96,78,0.09,M,M
2009-08-20,101,78,0.00,M,M
2009-08-21,101,75,0.00,M,M
2009-08-22,100,72,0.00,M,M
2009-08-23,103,76,0.00,M,M
2009-08-24,100,75,0.36,M,M
2009-08-25,99,76,0.00,M,M
2009-08-26,99,75,0.00,M,M
2009-08-27,98,74,0.00,M,M
2009-08-28,97,74,0.21,M,M
2009-08-29,95,75,0.00,M,M
2009-08-30,94,71,0.00,M,M
2009-08-31,89,72,0.00,M,M
2009-09-01,90,71,0.00,M,M
2009-09-02,97,68,0.00,M,M
2009-09-03,99,73,0.39,M,M
2009-09-04,91,73,0.00,M,M
2009-09-05,88,75,0.00,M,M
2009-09-06,94,72,0.00,M,M
2009-09-07,94,72,0.00,M,M
2009-09-08,93,73,0.00,M,M
2009-09-09,82,75,0.02,M,M
2009-09-10,86,74,0.00,M,M
2009-09-11,79,73,0.06,M,M
2009-09-12,82,73,0.01,M,M
2009-09-13,85,73,0.00,M,M
2009-09-14,80,73,0.00,M,M
2009-09-15,83,71,0.00,M,M
2009-09-16,88,68,0.00,M,M
2009-09-17,80,72,0.00,M,M
2009-09-18,85,73,0.00,M,M
2009-09-19,86,71,0.00,M,M
2009-09-20,90,72,0.00,M,M
2009-09-21,94,75,0.00,M,M
2009-09-22,79,65,0.04,M,M
2009-09-23,70,58,0.01,M,M
2009-09-24,70,59,0.03,M,M
2009-09-25,83,62,0.00,M,M
2009-09-26,88,69,0.00,M,M
2009-09-27,91,72,0.00,M,M
2009-09-28,91,73,0.18,M,M
2009-09-29,82,68,0.00,M,M
2009-09-30,87,67,0.00,M,M
2009-10-01,90,76,0.00,M,M
2009-10-02,80,67,0.32,M,M
2009-10-03,75,69,2.07,M,M
2009-10-04,84,74,0.03,M,M
2009-10-05,85,70,0.01,M,M
2009-10-06,92,79,0.00,M,M
2009-10-07,91,71,0.00,M,M
2009-10-08,91,81,0.00,M,M
2009-10-09,83,57,0.17,M,M
2009-10-10,61,56,0.00,M,M
2009-10-11,61,59,0.02,M,M
2009-10-12,74,60,0.00,M,M
2009-10-13,85,72,0.00,M,M
