date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1988-06-01,84,73,0.00,0.0,0
1988-06-02,89,70,0.00,0.0,0
1988-06-03,92,64,1.06,0.0,0
1988-06-04,84,66,0.00,0.0,0
1988-06-05,M,M,0.00,0.0,0
1988-06-06,88,66,0.00,0.0,0
1988-06-07,91,69,0.00,0.0,0
1988-06-08,92,70,0.00,0.0,0
1988-06-09,97,71,0.00,0.0,0
1988-06-10,102,77,0.00,0.0,0
1988-06-11,89,68,0.00,0.0,0
1988-06-12,91,69,0.00,0.0,0
1988-06-13,90,68,0.00,0.0,0
1988-06-14,90,68,0.00,0.0,0
1988-06-15,92,72,0.00,0.0,0
1988-06-16,92,70,0.00,0.0,0
1988-06-17,93,70,0.00,0.0,0
1988-06-18,93,71,0.00,0.0,0
1988-06-19,93,68,0.00,0.0,0
1988-06-20,92,70,0.00,0.0,0
1988-06-21,94,71,0.00,0.0,0
1988-06-22,93,71,0.00,0.0,0
1988-06-23,94,70,0.00,0.0,0
1988-06-24,93,70,0.00,0.0,0
1988-06-25,94,74,0.00,0.0,0
1988-06-26,95,70,0.40,0.0,0
1988-06-27,91,71,0.00,0.0,0
1988-06-28,92,74,0.18,0.0,0
1988-06-29,93,73,0.00,0.0,0
1988-06-30,95,73,0.00,0.0,0
1988-07-01,95,73,0.00,0.0,0
1988-07-02,96,75,0.00,0.0,0
1988-07-03,96,75,0.00,0.0,0
1988-07-04,98,76,0.00,0.0,0
1988-07-05,96,75,0.00,0.0,0
1988-07-06,96,75,0.00,0.0,0
1988-07-07,94,73,0.00,0.0,0
1988-07-08,92,73,0.00,0.0,0
1988-07-09,90,72,0.00,0.0,0
1988-07-10,93,73,0.00,0.0,0
1988-07-11,88,74,0.29,0.0,0
1988-07-12,85,74,0.02,0.0,0
1988-07-13,95,75,0.00,0.0,0
1988-07-14,96,76,0.00,0.0,0
1988-07-15,98,76,0.00,0.0,0
1988-07-16,98,74,0.00,0.0,0
1988-07-17,97,75,0.00,0.0,0
1988-07-18,98,74,0.00,0.0,0
1988-07-19,99,74,0.00,0.0,0
1988-07-20,99,76,0.00,0.0,0
1988-07-21,87,70,1.91,0.0,0
1988-07-22,86,69,0.08,0.0,0
1988-07-23,94,70,0.00,0.0,0
1988-07-24,95,74,0.00,0.0,0
1988-07-25,98,74,0.00,0.0,0
1988-07-26,97,74,0.00,0.0,0
1988-07-27,95,74,0.00,0.0,0
1988-07-28,97,74,0.00,0.0,0
1988-07-29,95,74,0.19,0.0,0
1988-07-30,94,75,0.00,0.0,0
1988-07-31,88,71,0.04,0.0,0
1988-08-01,89,74,0.00,0.0,0
1988-08-02,92,74,0.15,0.0,0
1988-08-03,94,75,0.00,0.0,0
1988-08-04,86,74,0.00,0.0,0
1988-08-05,95,73,0.00,0.0,0
