date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1996-07-01,87,53,M,M,M
1996-07-02,92,45,M,M,M
1996-07-07,87,56,M,M,M
1996-07-08,83,50,M,M,M
1996-07-09,78,54,M,M,M
1996-07-10,84,48,M,M,M
1996-07-11,87,49,M,M,M
1996-07-12,83,56,M,M,M
1996-07-13,81,52,M,M,M
1996-07-14,85,47,M,M,M
1996-07-15,83,56,M,M,M
1996-07-16,73,50,M,M,M
1996-07-17,83,52,M,M,M
1996-07-18,85,47,M,M,M
1996-07-19,89,45,M,M,M
1996-07-20,91,45,M,M,M
1996-07-21,91,46,M,M,M
1996-07-22,94,49,M,M,M
1996-07-23,94,50,M,M,M
1996-07-24,94,50,M,M,M
1996-07-25,90,49,M,M,M
1996-07-26,89,52,M,M,M
1996-07-27,86,52,M,M,M
1996-07-28,79,57,M,M,M
1996-07-29,87,54,M,M,M
1996-07-30,88,52,M,M,M
1996-07-31,88,50,M,M,M
1996-08-01,90,54,M,M,M
1996-08-02,75,59,M,M,M
1996-08-03,83,51,M,M,M
1996-08-04,81,47,M,M,M
1996-08-05,81,38,M,M,M
1996-08-06,82,43,M,M,M
1996-08-07,86,41,M,M,M
1996-08-08,84,44,M,M,M
1996-08-09,86,47,M,M,M
1996-08-10,88,45,M,M,M
1996-08-11,90,44,M,M,M
1996-08-12,90,49,M,M,M
1996-08-13,91,47,M,M,M
1996-08-14,91,52,M,M,M
1996-08-15,89,51,M,M,M
1996-08-16,83,55,M,M,M
1996-08-17,84,49,M,M,M
1996-08-18,80,48,M,M,M
1996-08-19,81,49,M,M,M
1996-08-20,83,50,M,M,M
1996-08-21,82,48,M,M,M
1996-08-22,84,44,M,M,M
1996-08-23,78,53,M,M,M
1996-08-24,78,52,M,M,M
1996-08-25,79,49,M,M,M
1996-08-26,78,48,M,M,M
1996-08-27,84,45,M,M,M
1996-08-28,86,47,M,M,M
1996-08-29,90,49,M,M,M
1996-08-30,89,47,M,M,M
1996-08-31,89,41,M,M,M
1996-09-01,86,46,M,M,M
1996-09-02,84,47,M,M,M
1996-09-03,86,45,M,M,M
1996-09-04,83,46,M,M,M
1996-09-05,74,45,M,M,M
1996-09-06,72,44,M,M,M
1996-09-07,83,41,M,M,M
1996-09-08,81,39,M,M,M
1996-09-09,81,42,M,M,M
1996-09-10,74,49,M,M,M
1996-09-11,71,50,M,M,M
1996-09-12,72,41,M,M,M
1996-09-13,73,40,M,M,M
1996-09-14,63,41,M,M,M
1996-09-15,69,35,M,M,M
1996-09-16,64,40,M,M,M
1996-09-17,61,34,M,M,M
1996-09-18,61,30,M,M,M
1996-09-19,69,30,M,M,M
1996-09-20,72,29,M,M,M
1996-09-21,77,32,M,M,M
1996-09-22,75,37,M,M,M
1996-09-23,76,36,M,M,M
1996-09-24,75,33,M,M,M
1996-09-25,73,37,M,M,M
1996-09-26,69,37,M,M,M
1996-09-27,62,32,M,M,M
1996-09-28,70,30,M,M,M
1996-09-29,74,29,M,M,M
1996-09-30,76,32,M,M,M
1996-10-01,76,33,M,M,M
1996-10-02,65,39,M,M,M
1996-10-03,64,37,M,M,M
1996-10-04,66,49,M,M,M
1996-10-05,73,40,M,M,M
1996-10-06,73,33,M,M,M
1996-10-07,78,34,M,M,M
1996-10-08,82,32,M,M,M
1996-10-09,82,33,M,M,M
1996-10-10,80,33,M,M,M
1996-10-11,77,34,M,M,M
1996-10-12,76,31,M,M,M
1996-10-13,75,30,M,M,M
1996-10-14,71,35,M,M,M
1996-10-15,71,27,M,M,M
1996-10-16,70,32,M,M,M
1996-10-17,63,23,M,M,M
1996-10-18,69,28,M,M,M
1996-10-19,63,33,M,M,M
1996-10-20,46,21,M,M,M
1996-10-21,42,8,M,M,M
1996-10-22,55,6,M,M,M
1996-10-23,56,12,M,M,M
1996-10-24,60,12,M,M,M
1996-10-25,44,20,M,M,M
1996-10-26,37,13,M,M,M
1996-10-27,41,27,M,M,M
1996-10-28,42,27,M,M,M
1996-10-29,44,25,M,M,M
1996-10-30,55,19,M,M,M
1996-10-31,42,23,M,M,M
1996-11-01,46,18,M,M,M
1996-11-02,51,35,M,M,M
1996-11-03,48,31,M,M,M
1996-11-04,57,24,M,M,M
1996-11-05,54,25,M,M,M
1996-11-06,48,16,M,M,M
1996-11-07,55,10,M,M,M
1996-11-08,61,20,M,M,M
1996-11-09,61,19,M,M,M
1996-11-10,69,16,M,M,M
1996-11-11,68,20,M,M,M
1996-11-12,69,20,M,M,M
1996-11-13,65,21,M,M,M
1996-11-14,54,21,M,M,M
1996-11-15,46,30,M,M,M
1996-11-16,39,16,M,M,M
1996-11-17,46,16,M,M,M
1996-11-18,59,28,M,M,M
1996-11-19,65,23,M,M,M
1996-11-20,63,25,M,M,M
1996-11-21,58,26,M,M,M
1996-11-22,50,35,M,M,M
1996-11-23,48,28,M,M,M
1996-11-24,52,21,M,M,M
1996-11-25,54,22,M,M,M
1996-11-26,42,33,M,M,M
1996-11-27,37,29,M,M,M
1996-11-28,49,28,M,M,M
1996-11-29,37,19,M,M,M
1996-11-30,35,-1,M,M,M
1996-12-01,41,3,M,M,M
1996-12-02,37,8,M,M,M
1996-12-03,44,6,M,M,M
1996-12-04,45,9,M,M,M
1996-12-05,41,17,M,M,M
1996-12-06,43,28,M,M,M
1996-12-07,52,27,M,M,M
1996-12-08,59,24,M,M,M
1996-12-09,56,25,M,M,M
1996-12-10,47,37,M,M,M
1996-12-11,48,37,M,M,M
1996-12-12,53,27,M,M,M
1996-12-13,54,21,M,M,M
1996-12-14,44,18,M,M,M
1996-12-15,32,16,M,M,M
1996-12-16,48,14,M,M,M
1996-12-17,30,5,M,M,M
1996-12-18,36,3,M,M,M
1996-12-19,44,8,M,M,M
1996-12-20,46,8,M,M,M
1996-12-21,41,31,M,M,M
1996-12-22,40,32,M,M,M
1996-12-23,39,17,M,M,M
1996-12-24,47,13,M,M,M
1996-12-25,50,13,M,M,M
1996-12-26,47,16,M,M,M
1996-12-27,44,31,M,M,M
1996-12-28,46,22,M,M,M
1996-12-29,51,21,M,M,M
1996-12-30,50,23,M,M,M
1996-12-31,53,27,M,M,M
1997-01-01,56,24,M,M,M
1997-01-02,56,42,M,M,M
1997-01-03,48,29,M,M,M
1997-01-04,37,22,M,M,M
1997-01-05,33,24,M,M,M
1997-01-06,24,18,M,M,M
1997-01-07,34,3,M,M,M
1997-01-08,36,-0,M,M,M
1997-01-09,39,4,M,M,M
1997-01-10,43,12,M,M,M
1997-01-11,41,11,M,M,M
1997-01-12,34,25,M,M,M
1997-01-13,32,25,M,M,M
1997-01-16,34,4,M,M,M
1997-01-17,43,-5,M,M,M
1997-01-18,48,5,M,M,M
1997-01-19,47,15,M,M,M
1997-01-20,42,13,M,M,M
1997-01-21,38,12,M,M,M
1997-01-22,35,17,M,M,M
1997-01-23,37,31,M,M,M
1997-01-24,39,22,M,M,M
1997-01-25,39,22,M,M,M
1997-01-26,39,33,M,M,M
1997-01-27,45,25,M,M,M
1997-01-29,41,25,M,M,M
1997-01-30,51,24,M,M,M
1997-01-31,54,20,M,M,M
1997-02-01,52,24,M,M,M
1997-02-02,47,25,M,M,M
1997-02-03,48,16,M,M,M
1997-02-04,48,18,M,M,M
1997-02-05,44,17,M,M,M
1997-02-06,32,15,M,M,M
1997-02-07,41,8,M,M,M
1997-02-08,41,21,M,M,M
1997-02-09,48,15,M,M,M
1997-02-10,51,17,M,M,M
1997-02-11,50,20,M,M,M
1997-02-12,48,17,M,M,M
1997-02-13,40,11,M,M,M
1997-02-14,52,11,M,M,M
1997-02-15,54,16,M,M,M
1997-02-16,60,26,M,M,M
1997-02-17,59,30,M,M,M
1997-02-18,51,24,M,M,M
1997-02-19,55,12,M,M,M
1997-02-20,48,18,M,M,M
1997-02-21,40,7,M,M,M
1997-02-22,46,8,M,M,M
1997-02-23,39,14,M,M,M
1997-02-24,33,23,M,M,M
1997-02-25,39,17,M,M,M
1997-02-26,44,9,M,M,M
1997-02-27,30,27,M,M,M
1997-02-28,30,-4,M,M,M
1997-03-01,36,-8,M,M,M
1997-03-02,42,6,M,M,M
1997-03-03,45,11,M,M,M
1997-03-04,38,17,M,M,M
1997-03-05,46,13,M,M,M
1997-03-06,56,22,M,M,M
1997-03-07,60,17,M,M,M
1997-03-08,59,19,M,M,M
1997-03-09,59,19,M,M,M
1997-03-10,64,19,M,M,M
1997-03-11,68,20,M,M,M
1997-03-12,67,23,M,M,M
1997-03-13,61,19,M,M,M
1997-03-14,63,19,M,M,M
1997-03-15,66,20,M,M,M
1997-03-16,63,23,M,M,M
1997-03-17,61,26,M,M,M
1997-03-18,63,19,M,M,M
1997-03-19,66,22,M,M,M
1997-03-20,74,22,M,M,M
1997-03-22,69,24,M,M,M
1997-03-23,64,19,M,M,M
1997-03-24,59,19,M,M,M
1997-03-25,52,12,M,M,M
1997-03-26,60,14,M,M,M
1997-03-27,64,18,M,M,M
1997-03-28,64,25,M,M,M
1997-03-29,56,19,M,M,M
1997-03-30,65,18,M,M,M
1997-03-31,59,28,M,M,M
1997-04-01,46,28,M,M,M
1997-04-02,35,28,M,M,M
1997-04-03,39,29,M,M,M
1997-04-04,33,30,M,M,M
1997-04-05,40,22,M,M,M
1997-04-06,49,19,M,M,M
1997-04-07,52,27,M,M,M
1997-04-08,58,23,M,M,M
1997-04-09,53,24,M,M,M
1997-04-10,46,17,M,M,M
1997-04-11,46,17,M,M,M
1997-04-12,41,19,M,M,M
1997-04-13,50,12,M,M,M
1997-04-14,60,18,M,M,M
1997-04-15,64,20,M,M,M
1997-04-16,65,22,M,M,M
1997-04-17,67,24,M,M,M
1997-04-18,69,25,M,M,M
1997-04-19,70,25,M,M,M
1997-04-20,70,30,M,M,M
1997-04-21,69,30,M,M,M
1997-04-22,67,27,M,M,M
1997-04-23,67,29,M,M,M
1997-04-24,49,24,M,M,M
1997-04-25,56,29,M,M,M
1997-04-26,66,22,M,M,M
1997-04-27,72,28,M,M,M
1997-04-28,71,30,M,M,M
1997-04-29,64,37,M,M,M
1997-04-30,68,27,M,M,M
1997-05-01,61,24,M,M,M
1997-05-02,65,18,M,M,M
1997-05-03,72,22,M,M,M
1997-05-04,76,31,M,M,M
1997-05-05,78,38,M,M,M
1997-05-06,77,30,M,M,M
1997-05-07,77,30,M,M,M
1997-05-08,70,32,M,M,M
1997-05-09,72,32,M,M,M
1997-05-10,69,35,M,M,M
1997-05-11,72,30,M,M,M
1997-05-12,76,31,M,M,M
1997-05-13,79,31,M,M,M
1997-05-14,81,35,M,M,M
1997-05-15,81,35,M,M,M
1997-05-16,81,34,M,M,M
1997-05-17,79,37,M,M,M
1997-05-18,77,37,M,M,M
1997-05-19,71,37,M,M,M
1997-05-20,72,37,M,M,M
1997-05-21,66,39,M,M,M
1997-05-22,73,32,M,M,M
1997-05-23,70,34,M,M,M
1997-05-24,66,38,M,M,M
1997-05-25,68,34,M,M,M
1997-05-26,67,21,M,M,M
1997-05-27,73,25,M,M,M
1997-05-28,81,31,M,M,M
1997-05-29,84,36,M,M,M
1997-05-30,87,39,M,M,M
1997-05-31,87,40,M,M,M
1997-06-01,85,32,M,M,M
1997-06-02,82,36,M,M,M
1997-06-03,84,36,M,M,M
1997-06-04,83,32,M,M,M
1997-06-05,75,36,M,M,M
1997-06-06,72,46,M,M,M
1997-06-07,64,44,M,M,M
1997-06-08,63,42,M,M,M
1997-06-09,73,41,M,M,M
1997-06-10,76,40,M,M,M
1997-06-11,77,37,M,M,M
1997-06-12,73,36,M,M,M
1997-06-13,69,38,M,M,M
1997-06-14,67,31,M,M,M
1997-06-15,58,33,M,M,M
1997-06-16,76,29,M,M,M
1997-06-17,83,35,M,M,M
1997-06-18,88,40,M,M,M
1997-06-19,86,40,M,M,M
1997-06-20,85,33,M,M,M
1997-06-21,85,37,M,M,M
1997-06-22,83,38,M,M,M
1997-06-23,82,34,M,M,M
1997-06-24,83,34,M,M,M
1997-06-25,87,35,M,M,M
1997-06-26,85,38,M,M,M
1997-06-27,84,39,M,M,M
1997-06-28,81,35,M,M,M
1997-06-29,81,27,M,M,M
1997-06-30,83,28,M,M,M
1997-07-01,84,29,M,M,M
1997-07-02,89,28,M,M,M
1997-07-03,87,31,M,M,M
