date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1904-07-01,M,M,0.00,M,M
1904-07-02,M,M,0.00,M,M
1904-07-03,M,M,0.00,M,M
1904-07-04,M,M,0.00,M,M
1904-07-05,M,M,0.00,M,M
1904-07-06,M,M,0.00,M,M
1904-07-07,M,M,0.00,M,M
1904-07-08,M,M,0.00,M,M
1904-07-09,M,M,0.00,M,M
1904-07-10,M,M,0.00,M,M
1904-07-11,M,M,0.00,M,M
1904-07-12,M,M,0.00,M,M
1904-07-13,M,M,0.00,M,M
1904-07-14,M,M,0.00,M,M
1904-07-15,M,M,0.00,M,M
1904-07-16,M,M,0.04,M,M
1904-07-17,M,M,0.00,M,M
1904-07-18,M,M,0.04,M,M
1904-07-19,M,M,0.00,M,M
1904-07-20,M,M,0.20,M,M
1904-07-21,M,M,0.06,M,M
1904-07-22,M,M,0.24,M,M
1904-07-23,M,M,0.00,M,M
1904-07-24,M,M,0.29,M,M
1904-07-25,M,M,0.07,M,M
1904-07-26,M,M,0.06,M,M
1904-07-27,M,M,0.00,M,M
1904-07-28,M,M,0.00,M,M
1904-07-29,M,M,0.55,M,M
1904-07-30,M,M,0.69,M,M
1904-07-31,M,M,1.63,M,M
1904-08-01,M,M,0.15,0.0,M
1904-08-02,M,M,0.10,0.0,M
1904-08-03,M,M,T,0.0,M
1904-08-04,M,M,0.60,0.0,M
1904-08-05,M,M,T,0.0,M
1904-08-06,M,M,T,0.0,M
1904-08-07,M,M,0.00,0.0,M
1904-08-08,M,M,0.87,0.0,M
1904-08-09,M,M,0.37,0.0,M
1904-08-10,M,M,0.59,0.0,M
1904-08-11,M,M,0.00,0.0,M
1904-08-12,M,M,0.19,0.0,M
1904-08-13,M,M,0.20,0.0,M
1904-08-14,M,M,0.00,0.0,M
1904-08-15,M,M,T,0.0,M
1904-08-16,M,M,0.64,0.0,M
1904-08-17,M,M,T,0.0,M
1904-08-18,M,M,0.34,0.0,M
1904-08-19,M,M,0.00,0.0,M
1904-08-20,M,M,0.00,0.0,M
1904-08-21,M,M,0.34,0.0,M
1904-08-22,M,M,0.30,0.0,M
1904-08-23,M,M,0.65,0.0,M
1904-08-24,M,M,0.00,0.0,M
1904-08-25,M,M,0.45,0.0,M
1904-08-26,M,M,T,0.0,M
1904-08-27,M,M,T,0.0,M
1904-08-28,M,M,0.30,0.0,M
1904-08-29,M,M,0.43,0.0,M
1904-08-30,M,M,0.00,0.0,M
1904-08-31,M,M,0.00,0.0,M
1904-09-01,M,M,0.00,M,M
1904-09-02,M,M,T,M,M
1904-09-03,M,M,0.00,M,M
1904-09-04,M,M,0.00,M,M
1904-09-05,M,M,0.00,M,M
1904-09-06,M,M,0.00,M,M
1904-09-07,M,M,0.00,M,M
1904-09-08,M,M,0.00,M,M
1904-09-09,M,M,0.00,M,M
1904-09-10,M,M,0.00,M,M
1904-09-11,M,M,0.10,M,M
1904-09-12,M,M,0.00,M,M
1904-09-13,M,M,0.15,M,M
1904-09-14,M,M,T,M,M
1904-09-15,M,M,0.00,M,M
1904-09-16,M,M,0.00,M,M
1904-09-17,M,M,0.00,M,M
1904-09-18,M,M,T,M,M
1904-09-19,M,M,0.00,M,M
1904-09-20,M,M,0.00,M,M
1904-09-21,M,M,0.00,M,M
1904-09-22,M,M,T,M,M
1904-09-23,M,M,0.00,M,M
1904-09-24,M,M,0.00,M,M
1904-09-25,M,M,0.00,M,M
1904-09-26,M,M,0.00,M,M
1904-09-27,M,M,0.00,M,M
1904-09-28,M,M,T,M,M
1904-09-29,M,M,0.00,M,M
1904-09-30,M,M,0.00,M,M
1904-10-01,M,M,0.00,M,M
1904-10-02,M,M,T,M,M
1904-10-03,M,M,0.00,M,M
1904-10-04,M,M,0.45,M,M
1904-10-05,M,M,0.00,M,M
1904-10-06,M,M,1.20,M,M
1904-10-07,M,M,0.16,M,M
1904-10-08,M,M,0.78,M,M
1904-10-09,M,M,0.00,M,M
1904-10-10,M,M,0.00,M,M
1904-10-11,M,M,0.00,M,M
1904-10-12,M,M,0.00,M,M
1904-10-13,M,M,0.00,M,M
1904-10-14,M,M,0.00,M,M
1904-10-15,M,M,0.00,M,M
1904-10-16,M,M,0.00,M,M
1904-10-17,M,M,0.00,M,M
1904-10-18,M,M,0.00,M,M
1904-10-19,M,M,0.00,M,M
1904-10-20,M,M,0.00,M,M
1904-10-21,M,M,0.00,M,M
1904-10-22,M,M,0.00,M,M
1904-10-23,M,M,0.00,M,M
1904-10-24,M,M,0.00,M,M
1904-10-25,M,M,0.00,M,M
