date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1997-06-01,95,66,M,M,M
1997-06-02,93,67,M,M,M
1997-06-03,90,65,M,M,M
1997-06-04,94,62,M,M,M
1997-06-05,89,63,M,M,M
1997-06-06,80,62,M,M,M
1997-06-07,74,57,M,M,M
1997-06-08,75,56,M,M,M
1997-06-09,83,62,M,M,M
1997-06-10,87,61,M,M,M
1997-06-11,89,61,M,M,M
1997-06-12,85,67,M,M,M
1997-06-13,84,61,M,M,M
1997-06-14,79,54,M,M,M
1997-06-15,74,54,M,M,M
1997-06-16,87,54,M,M,M
1997-06-17,91,64,M,M,M
1997-06-18,97,67,M,M,M
1997-06-19,97,70,M,M,M
1997-06-20,96,66,M,M,M
1997-06-21,97,67,M,M,M
1997-06-22,96,69,M,M,M
1997-06-23,92,65,M,M,M
1997-06-24,93,70,M,M,M
1997-06-25,96,66,M,M,M
1997-06-26,97,69,M,M,M
1997-06-27,95,68,M,M,M
1997-06-28,93,70,M,M,M
1997-06-29,93,64,M,M,M
1997-06-30,93,64,M,M,M
1997-07-01,89,66,M,M,M
1997-07-02,97,60,M,M,M
1997-07-03,89,67,M,M,M
1997-07-04,96,62,M,M,M
1997-07-05,99,67,M,M,M
1997-07-06,100,70,M,M,M
1997-07-07,98,71,M,M,M
1997-07-08,98,68,M,M,M
1997-07-09,98,69,M,M,M
1997-07-10,94,69,M,M,M
1997-07-11,92,74,M,M,M
1997-07-12,93,70,M,M,M
1997-07-13,93,66,M,M,M
1997-07-14,101,67,M,M,M
1997-07-15,104,70,M,M,M
1997-07-16,102,76,M,M,M
1997-07-17,100,75,M,M,M
1997-07-18,97,79,M,M,M
1997-07-19,94,71,M,M,M
1997-07-20,93,70,M,M,M
1997-07-21,92,71,M,M,M
1997-07-22,87,67,M,M,M
1997-07-23,90,67,M,M,M
1997-07-24,95,67,M,M,M
1997-07-25,97,68,M,M,M
1997-07-26,92,70,M,M,M
1997-07-27,93,66,M,M,M
1997-07-28,82,61,M,M,M
1997-07-29,85,61,M,M,M
1997-07-30,86,70,M,M,M
1997-07-31,89,65,M,M,M
1997-08-01,95,68,M,M,M
1997-08-02,96,75,M,M,M
1997-08-03,87,70,M,M,M
1997-08-05,92,67,M,M,M
1997-08-06,96,69,M,M,M
1997-08-07,93,69,M,M,M
1997-08-08,99,69,M,M,M
1997-08-09,88,69,M,M,M
1997-08-10,71,60,M,M,M
1997-08-11,80,60,M,M,M
1997-08-12,85,65,M,M,M
1997-08-13,90,65,M,M,M
1997-08-14,93,66,M,M,M
1997-08-15,93,66,M,M,M
1997-08-16,92,69,M,M,M
1997-08-17,92,68,M,M,M
1997-08-18,89,65,M,M,M
1997-08-19,93,68,M,M,M
1997-08-20,99,68,M,M,M
1997-08-21,90,75,M,M,M
1997-08-22,92,69,M,M,M
1997-08-23,95,69,M,M,M
1997-08-24,93,69,M,M,M
1997-08-25,89,69,M,M,M
1997-08-26,87,74,M,M,M
1997-08-27,91,69,M,M,M
1997-08-28,92,69,M,M,M
1997-08-29,90,67,M,M,M
1997-08-30,91,68,M,M,M
1997-08-31,79,61,M,M,M
1997-09-01,84,64,M,M,M
1997-09-02,79,63,M,M,M
1997-09-03,77,65,M,M,M
1997-09-04,80,62,M,M,M
1997-09-05,86,65,M,M,M
1997-09-06,86,67,M,M,M
1997-09-07,86,64,M,M,M
1997-09-08,90,66,M,M,M
1997-09-09,84,65,M,M,M
1997-09-10,89,68,M,M,M
1997-09-11,85,64,M,M,M
1997-09-12,83,60,M,M,M
1997-09-13,82,66,M,M,M
1997-09-14,86,61,M,M,M
1997-09-15,71,62,M,M,M
1997-09-16,78,62,M,M,M
1997-09-17,81,63,M,M,M
1997-09-18,87,62,M,M,M
1997-09-19,86,65,M,M,M
1997-09-20,84,61,M,M,M
1997-09-21,79,56,M,M,M
1997-09-22,78,55,M,M,M
1997-09-23,77,56,M,M,M
1997-09-24,79,56,M,M,M
1997-09-25,76,61,M,M,M
1997-09-26,75,61,M,M,M
1997-09-27,79,58,M,M,M
1997-09-28,78,56,M,M,M
1997-09-29,81,54,M,M,M
1997-10-01,84,59,M,M,M
1997-10-02,87,59,M,M,M
1997-10-03,74,56,M,M,M
1997-10-04,78,56,M,M,M
1997-10-05,80,58,M,M,M
1997-10-06,83,57,M,M,M
1997-10-07,70,52,M,M,M
1997-10-08,64,48,M,M,M
