date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1998-08-14,83,46,0.00,M,M
1998-08-15,82,47,0.02,M,M
1998-08-16,84,50,T,M,M
1998-08-17,86,52,0.00,M,M
1998-08-18,79,54,T,M,M
1998-08-19,83,53,T,M,M
1998-08-20,81,54,T,M,M
1998-08-21,78,59,0.12,M,M
1998-08-22,82,53,0.01,M,M
1998-08-23,85,51,0.06,M,M
1998-08-24,85,53,0.19,M,M
1998-08-25,80,57,0.04,M,M
1998-08-26,83,51,0.01,M,M
1998-08-27,86,51,0.02,M,M
1998-08-28,88,49,0.00,M,M
1998-08-29,87,50,T,M,M
1998-08-30,87,47,0.01,M,M
1998-08-31,81,57,0.00,M,M
1998-09-01,78,54,0.29,M,M
1998-09-02,79,53,T,M,M
1998-09-03,83,47,0.01,M,M
1998-09-04,68,52,0.14,M,M
1998-09-05,75,54,0.15,M,M
1998-09-06,82,47,0.01,M,M
1998-09-07,82,44,0.00,M,M
1998-09-08,83,45,0.00,M,M
1998-09-09,79,46,T,M,M
1998-09-10,79,47,T,M,M
1998-09-11,79,53,T,M,M
1998-09-12,82,55,0.01,M,M
1998-09-13,81,48,0.01,M,M
1998-09-14,82,43,0.00,M,M
1998-09-15,82,42,T,M,M
1998-09-16,79,50,T,M,M
1998-09-17,78,46,0.02,M,M
1998-09-18,82,41,0.00,M,M
1998-09-19,80,43,0.00,M,M
1998-09-20,79,44,0.00,M,M
1998-09-21,76,46,0.00,M,M
1998-09-22,78,38,0.02,M,M
1998-09-23,77,42,0.00,M,M
1998-09-24,83,35,0.00,M,M
1998-09-25,78,36,0.00,M,M
1998-09-26,75,30,0.00,M,M
1998-09-27,80,29,0.00,M,M
1998-09-28,82,39,T,M,M
1998-09-29,81,42,0.02,M,M
1998-09-30,77,43,0.00,M,0
1998-10-01,69,37,0.00,M,M
1998-10-02,72,32,0.00,M,M
1998-10-03,72,34,T,M,M
1998-10-04,62,40,T,M,M
1998-10-05,57,26,0.00,M,M
1998-10-06,67,19,0.00,M,0
1998-10-07,74,25,0.00,M,M
1998-10-08,76,29,0.00,M,M
1998-10-09,75,31,0.00,M,M
1998-10-10,73,24,0.00,M,M
1998-10-11,74,24,0.00,M,M
1998-10-12,77,26,0.00,M,M
1998-10-13,80,30,0.00,M,M
1998-10-14,74,35,0.00,M,M
1998-10-15,68,37,0.00,M,M
1998-10-16,44,28,0.15,M,M
1998-10-17,55,26,0.00,M,M
1998-10-18,62,20,0.00,M,M
1998-10-19,71,25,T,M,M
1998-10-20,58,40,0.19,M,M
1998-10-21,48,42,0.29,M,M
1998-10-22,59,44,0.69,M,M
