date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-11-01,75,43,0.00,0.0,0
2009-11-02,75,43,0.00,0.0,0
2009-11-03,73,47,0.00,0.0,0
2009-11-04,76,46,0.00,0.0,0
2009-11-05,76,47,0.00,0.0,0
2009-11-06,78,49,0.00,0.0,0
2009-11-07,76,48,0.00,0.0,0
2009-11-08,73,53,0.00,0.0,0
2009-11-09,76,55,0.00,0.0,0
2009-11-10,75,53,0.00,0.0,0
2009-11-11,60,49,0.00,0.0,0
2009-11-12,72,46,0.00,0.0,0
2009-11-13,73,55,0.00,0.0,0
2009-11-14,76,56,0.00,0.0,0
2009-11-15,66,54,0.00,0.0,0
2009-11-16,53,39,0.00,0.0,0
2009-11-17,58,37,0.00,0.0,0
2009-11-18,66,32,0.00,0.0,0
2009-11-19,71,42,0.00,0.0,0
2009-11-20,59,46,0.00,0.0,0
2009-11-21,63,48,M,0.0,0
2009-11-22,58,43,0.00,0.0,0
2009-11-23,72,38,M,0.0,0
2009-11-24,60,34,0.00,0.0,0
2009-11-25,65,35,0.00,0.0,0
2009-11-26,63,33,0.00,0.0,0
2009-11-27,75,34,0.00,0.0,0
2009-11-28,69,43,0.00,0.0,0
2009-11-29,60,42,M,0.0,0
2009-11-30,56,34,0.00,0.0,0
2009-12-01,47,31,0.04,M,0
2009-12-02,42,33,0.06,M,M
2009-12-03,40,28,0.00,0.0,0
2009-12-04,40,24,0.00,0.0,0
2009-12-05,48,21,0.00,0.0,0
2009-12-06,44,34,0.00,0.0,0
2009-12-07,44,31,M,0.0,0
2009-12-08,55,33,0.01,0.0,0
2009-12-09,38,19,0.00,0.0,0
2009-12-10,41,17,0.00,0.0,0
2009-12-11,44,25,0.00,0.0,0
2009-12-12,48,41,M,0.0,0
2009-12-13,71,34,0.00,0.0,0
2009-12-14,64,32,0.00,0.0,0
2009-12-15,40,23,0.00,0.0,0
2009-12-16,51,22,0.00,0.0,0
2009-12-17,58,35,0.00,0.0,0
2009-12-18,58,30,0.00,0.0,0
2009-12-19,52,29,0.00,0.0,0
2009-12-20,67,26,0.00,0.0,0
2009-12-21,68,33,0.00,0.0,0
2009-12-22,65,48,0.00,0.0,0
2009-12-23,69,46,M,0.0,0
2009-12-24,46,24,0.12,M,0
2009-12-25,35,19,0.00,0.0,M
2009-12-26,39,19,0.00,0.0,M
2009-12-27,39,24,0.00,0.0,M
2009-12-28,41,20,0.00,0.0,M
2009-12-29,37,25,0.03,M,M
2009-12-30,57,32,0.00,0.0,M
2009-12-31,43,31,0.01,M,M
2010-01-01,50,23,0.00,0.0,M
2010-01-02,49,26,0.00,0.0,0
2010-01-03,39,28,0.00,0.0,0
2010-01-04,37,22,0.00,0.0,0
2010-01-05,40,19,0.00,0.0,0
2010-01-06,49,27,M,0.0,0
2010-01-07,38,19,M,M,M
2010-01-08,27,11,0.00,0.0,0
2010-01-09,35,9,0.00,0.0,0
2010-01-10,44,12,0.00,0.0,0
2010-01-11,56,23,0.00,0.0,0
2010-01-12,55,29,0.00,0.0,0
2010-01-13,60,31,0.00,0.0,0
2010-01-14,56,47,M,0.0,0
2010-01-15,53,46,0.01,0.0,0
2010-01-16,50,42,0.01,0.0,0
2010-01-17,65,32,0.00,0.0,0
2010-01-18,70,41,0.00,0.0,0
2010-01-19,70,46,M,0.0,0
2010-01-20,65,39,M,0.0,0
2010-01-21,60,40,0.00,0.0,0
2010-01-22,73,40,0.00,0.0,0
2010-01-23,63,49,0.09,0.0,0
2010-01-24,52,39,0.00,0.0,0
2010-01-25,56,33,0.00,0.0,0
2010-01-26,57,32,0.00,0.0,0
2010-01-27,62,44,0.00,0.0,0
2010-01-28,58,36,0.27,0.0,0
2010-01-29,36,24,0.02,M,0
2010-01-30,28,23,0.00,0.0,M
2010-01-31,32,25,0.00,0.0,0
2010-02-01,37,28,0.00,0.0,0
2010-02-02,49,32,0.00,0.0,0
2010-02-03,46,32,0.06,0.0,0
2010-02-04,42,38,0.03,0.0,0
2010-02-05,56,39,0.00,0.0,0
2010-02-06,39,32,0.00,0.0,0
2010-02-07,41,36,0.05,0.0,0
2010-02-08,40,33,0.15,0.0,0
2010-02-09,38,23,0.00,0.0,0
2010-02-10,37,27,0.00,0.0,0
2010-02-11,35,31,0.20,M,0
2010-02-12,33,29,M,M,M
2010-02-13,44,30,0.00,0.0,M
2010-02-14,37,29,M,M,M
2010-02-15,45,26,0.00,0.0,M
2010-02-16,46,28,0.00,0.0,0
2010-02-17,52,24,0.00,0.0,0
2010-02-18,63,31,0.00,0.0,0
2010-02-19,55,41,0.00,0.0,0
2010-02-20,60,51,0.00,0.0,0
2010-02-21,56,36,0.03,0.0,0
2010-02-22,37,32,0.00,0.0,0
2010-02-23,40,29,M,M,0
2010-02-24,49,26,0.00,0.0,0
2010-02-25,56,32,M,0.0,0
2010-02-26,46,33,M,0.0,0
2010-02-27,61,29,0.00,0.0,0
2010-02-28,62,36,0.00,0.0,0
2010-03-01,50,37,0.26,0.0,0
2010-03-02,48,31,0.00,0.0,0
2010-03-03,59,30,0.00,0.0,0
2010-03-04,67,37,0.00,0.0,0
2010-03-05,69,47,0.00,0.0,0
2010-03-06,66,47,0.00,0.0,0
2010-03-07,56,49,0.62,0.0,0
2010-03-08,62,49,0.52,0.0,0
2010-03-09,74,46,0.00,0.0,0
2010-03-10,68,44,0.16,0.0,0
2010-03-11,57,34,0.00,0.0,0
2010-03-12,65,40,0.00,0.0,0
2010-03-13,64,40,0.00,0.0,0
2010-03-14,69,40,0.00,0.0,0
2010-03-15,61,46,0.00,0.0,0
2010-03-16,61,43,0.00,0.0,0
2010-03-17,61,38,0.00,0.0,0
2010-03-18,64,32,0.00,0.0,0
2010-03-19,72,40,M,0.0,0
2010-03-20,44,31,0.11,M,0
2010-03-21,47,29,M,M,M
2010-03-22,67,31,0.00,0.0,M
2010-03-23,77,40,0.00,0.0,0
2010-03-24,74,48,M,0.0,0
2010-03-25,64,41,0.00,0.0,0
2010-03-26,67,37,0.00,0.0,0
2010-03-27,65,49,M,0.0,0
2010-03-28,63,40,0.00,0.0,0
2010-03-29,74,38,0.00,0.0,0
2010-03-30,84,49,0.00,0.0,0
2010-03-31,89,54,0.00,0.0,0
2010-04-01,80,60,0.00,0.0,0
2010-04-02,77,55,0.06,0.0,0
2010-04-03,78,44,0.00,0.0,0
2010-04-04,82,55,0.00,0.0,0
2010-04-05,82,67,0.00,0.0,0
2010-04-06,86,62,0.00,0.0,0
2010-04-07,71,44,0.12,0.0,0
2010-04-08,65,38,0.00,0.0,0
2010-04-09,76,39,0.00,0.0,0
2010-04-10,74,51,0.00,0.0,0
2010-04-11,75,58,0.00,0.0,0
2010-04-12,81,56,0.00,0.0,0
2010-04-13,80,54,0.00,0.0,0
2010-04-14,80,56,0.00,0.0,0
2010-04-15,77,55,0.00,0.0,0
2010-04-16,74,61,0.04,0.0,0
2010-04-17,61,56,1.34,0.0,0
2010-04-18,58,49,0.73,0.0,0
2010-04-19,58,49,0.00,0.0,0
2010-04-20,65,47,0.00,0.0,0
2010-04-21,78,52,0.00,0.0,0
2010-04-22,70,60,M,0.0,0
2010-04-23,78,63,0.24,0.0,0
2010-04-24,75,56,M,0.0,0
2010-04-25,74,52,0.00,0.0,0
2010-04-26,67,44,0.00,0.0,0
2010-04-27,68,44,0.00,0.0,0
2010-04-28,78,43,0.00,0.0,0
2010-04-29,83,60,0.00,0.0,0
2010-04-30,80,58,M,0.0,0
2010-05-01,70,55,0.00,0.0,0
2010-05-02,80,53,0.00,0.0,0
2010-05-03,77,44,0.10,0.0,0
2010-05-04,87,45,0.00,0.0,0
2010-05-05,84,57,0.00,0.0,0
2010-05-06,88,56,0.00,0.0,0
2010-05-07,76,58,0.00,0.0,0
2010-05-08,71,49,0.00,0.0,0
2010-05-09,63,54,0.13,0.0,0
2010-05-10,89,58,0.04,0.0,0
2010-05-11,85,70,0.00,0.0,0
2010-05-12,83,72,0.00,0.0,0
2010-05-13,77,57,0.74,0.0,0
2010-05-14,69,58,2.48,0.0,0
2010-05-15,73,58,M,0.0,0
2010-05-16,82,64,0.01,0.0,0
2010-05-17,82,60,M,0.0,0
2010-05-18,80,60,0.00,0.0,0
2010-05-19,86,66,0.00,0.0,0
2010-05-20,83,65,0.00,0.0,0
2010-05-21,M,58,0.00,0.0,0
2010-05-25,83,68,0.00,0.0,0
2010-05-26,89,64,0.00,0.0,0
2010-05-27,90,65,0.00,0.0,0
2010-05-28,91,65,0.00,0.0,0
2010-05-29,92,65,0.00,0.0,0
2010-05-30,93,67,0.00,0.0,0
2010-05-31,91,69,0.00,0.0,0
2010-06-01,92,70,0.00,0.0,0
2010-06-02,92,72,0.00,0.0,0
2010-06-03,90,65,0.00,0.0,0
2010-06-04,92,67,0.00,0.0,0
2010-06-05,96,66,0.00,0.0,0
2010-06-06,96,72,0.00,0.0,0
2010-06-07,94,69,0.00,0.0,0
2010-06-08,92,73,0.00,0.0,0
2010-06-09,89,71,0.00,0.0,0
2010-06-10,92,71,0.00,0.0,0
2010-06-11,92,77,M,0.0,0
2010-06-12,94,76,0.00,0.0,0
2010-06-13,95,77,0.00,0.0,0
2010-06-14,92,69,0.02,0.0,0
2010-06-15,88,67,0.46,0.0,0
2010-06-16,93,73,0.00,0.0,0
2010-06-17,93,74,0.00,0.0,0
2010-06-18,95,76,0.00,0.0,0
2010-06-19,95,76,0.00,0.0,0
2010-06-20,95,74,0.00,0.0,0
2010-06-21,96,75,0.00,0.0,0
2010-06-22,96,74,0.00,0.0,0
2010-06-23,97,72,0.00,0.0,0
2010-06-24,96,71,0.00,0.0,0
2010-06-25,92,72,0.21,0.0,0
2010-06-26,94,73,0.00,0.0,0
2010-06-27,95,76,M,0.0,0
2010-06-28,86,72,0.03,0.0,0
2010-06-29,85,70,0.42,0.0,0
2010-06-30,89,70,M,0.0,0
2010-07-01,86,73,M,0.0,0
2010-07-02,85,73,0.18,0.0,0
2010-07-03,86,74,0.10,0.0,0
2010-07-04,91,75,0.00,0.0,0
2010-07-05,90,74,0.00,0.0,0
2010-07-06,93,74,0.00,0.0,0
2010-07-07,91,71,0.00,0.0,0
2010-07-08,85,71,1.31,0.0,0
2010-07-09,78,71,0.69,0.0,0
2010-07-10,84,71,0.57,0.0,0
2010-07-11,92,74,0.00,0.0,0
2010-07-12,89,75,M,0.0,0
2010-07-13,93,76,0.00,0.0,0
2010-07-14,92,76,0.00,0.0,0
2010-07-15,93,75,0.00,0.0,0
2010-07-16,95,74,0.00,0.0,0
2010-07-17,96,73,0.00,0.0,0
2010-07-18,97,73,0.00,0.0,0
2010-07-19,94,74,0.00,0.0,0
2010-07-20,93,75,0.00,0.0,0
2010-07-21,93,73,0.00,0.0,0
2010-07-22,93,75,0.00,0.0,0
2010-07-23,95,76,0.00,0.0,0
2010-07-24,92,75,0.00,0.0,0
2010-07-25,95,70,M,0.0,0
2010-07-26,96,71,0.02,0.0,0
2010-07-27,86,68,0.13,0.0,0
2010-07-28,92,69,0.01,0.0,0
2010-07-29,92,72,0.00,0.0,0
2010-07-30,94,69,0.00,0.0,0
2010-07-31,100,74,0.00,0.0,0
2010-08-01,101,72,0.00,0.0,0
2010-08-02,100,71,0.00,0.0,0
2010-08-03,99,72,0.00,0.0,0
2010-08-04,99,74,0.00,0.0,0
2010-08-05,101,73,0.00,0.0,0
2010-08-06,101,74,0.76,0.0,0
2010-08-07,96,73,0.00,0.0,0
2010-08-08,97,76,0.00,0.0,0
2010-08-09,97,76,M,0.0,0
2010-08-10,96,74,0.00,0.0,0
2010-08-11,99,73,0.00,0.0,0
2010-08-12,100,75,0.00,0.0,0
2010-08-13,100,76,0.00,0.0,0
2010-08-14,100,77,0.00,0.0,0
2010-08-15,99,77,0.02,0.0,0
2010-08-16,99,75,0.00,0.0,0
2010-08-17,98,76,0.00,0.0,0
2010-08-18,93,74,0.06,0.0,0
2010-08-19,97,72,0.02,0.0,0
2010-08-20,99,78,0.00,0.0,0
2010-08-21,102,79,0.00,0.0,0
2010-08-22,105,73,0.00,0.0,0
2010-08-23,105,74,0.00,0.0,0
2010-08-24,93,74,0.00,0.0,0
2010-08-25,80,69,0.00,0.0,0
2010-08-26,91,65,0.00,0.0,0
2010-08-27,92,64,0.00,0.0,0
2010-08-28,94,63,0.00,0.0,0
2010-08-29,97,69,0.00,0.0,0
2010-08-30,96,76,0.00,0.0,0
2010-08-31,98,77,0.00,0.0,0
2010-09-01,91,72,0.31,0.0,0
2010-09-02,91,71,0.44,0.0,0
2010-09-03,83,64,0.00,0.0,0
2010-09-04,83,56,0.00,0.0,0
2010-09-05,90,59,0.00,0.0,0
2010-09-06,91,71,0.00,0.0,0
2010-09-07,78,71,0.87,0.0,0
2010-09-08,81,72,1.84,0.0,0
2010-09-09,91,72,0.00,0.0,0
2010-09-10,92,75,M,0.0,0
2010-09-11,94,74,0.00,0.0,0
2010-09-12,91,75,0.00,0.0,0
2010-09-13,90,75,0.00,0.0,0
2010-09-14,92,73,0.00,0.0,0
2010-09-15,91,71,0.00,0.0,0
2010-09-16,92,73,0.00,0.0,0
2010-09-17,91,69,0.00,0.0,0
2010-09-18,90,69,0.00,0.0,0
2010-09-19,91,68,0.00,0.0,0
2010-09-20,88,67,0.00,0.0,0
2010-09-21,85,69,M,0.0,0
2010-09-22,87,71,M,0.0,0
2010-09-23,87,73,0.02,0.0,0
2010-09-24,78,71,0.25,0.0,0
2010-09-25,77,65,0.22,0.0,0
2010-09-26,74,54,0.00,0.0,0
2010-09-27,73,49,0.00,0.0,0
2010-09-28,85,51,0.00,0.0,0
2010-09-29,82,55,0.00,0.0,0
2010-09-30,84,55,0.00,0.0,0
2010-10-01,79,57,0.00,0.0,0
2010-10-02,81,55,0.00,0.0,0
2010-10-03,69,48,0.00,0.0,0
2010-10-04,72,48,0.00,0.0,0
2010-10-05,75,47,0.00,0.0,0
2010-10-06,80,47,0.00,0.0,0
2010-10-07,85,50,0.00,0.0,0
2010-10-08,84,48,0.00,0.0,0
2010-10-09,84,50,0.00,0.0,0
2010-10-10,84,53,0.04,0.0,0
2010-10-11,79,57,M,0.0,0
2010-10-12,79,54,0.00,0.0,0
2010-10-13,76,55,0.00,0.0,0
2010-10-14,74,42,0.00,0.0,0
2010-10-15,85,45,0.00,0.0,0
2010-10-16,84,47,0.00,0.0,0
2010-10-17,80,52,0.00,0.0,0
2010-10-18,83,53,0.00,0.0,0
2010-10-19,82,56,0.00,0.0,0
2010-10-20,79,55,0.00,0.0,0
2010-10-21,85,51,0.00,0.0,0
2010-10-22,80,59,0.29,0.0,0
2010-10-23,72,58,0.43,0.0,0
2010-10-24,84,57,0.00,0.0,0
2010-10-25,88,55,0.00,0.0,0
