date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1940-01-05,36,29,T,0.0,M
1940-01-06,33,29,0.41,T,M
1940-01-07,29,20,T,0.0,M
1940-01-08,35,17,0.00,0.0,M
1940-01-09,46,25,0.00,0.0,M
1940-01-10,69,46,T,0.0,M
1940-01-11,72,38,0.00,0.0,M
1940-01-12,53,32,0.00,0.0,M
1940-01-13,74,32,0.00,0.0,M
1940-01-14,49,28,0.00,0.0,M
1940-01-15,53,28,0.00,0.0,M
1940-01-16,60,29,0.00,0.0,M
1940-01-17,61,30,0.00,0.0,M
1940-01-18,30,6,T,T,M
1940-01-19,27,6,0.00,0.0,M
1940-01-20,37,16,0.00,0.0,M
1940-01-21,31,15,0.00,0.0,M
1940-01-22,25,16,0.13,4.0,M
1940-01-23,37,14,0.00,0.0,M
1940-01-24,29,15,T,T,M
1940-01-25,23,12,T,T,M
1940-01-26,31,16,0.00,0.0,M
1940-01-27,40,21,0.00,0.0,M
1940-01-28,60,24,0.00,0.0,M
1940-01-29,61,34,0.00,0.0,M
1940-01-30,54,32,0.00,0.0,M
1940-01-31,61,30,0.00,0.0,M
1940-02-01,60,36,0.10,0.0,M
1940-02-02,48,41,0.19,0.0,M
1940-02-03,46,38,0.57,0.0,M
1940-02-04,68,43,T,0.0,M
1940-02-05,54,38,0.05,0.0,M
1940-02-06,50,34,0.01,0.0,M
1940-02-07,69,36,0.00,0.0,M
1940-02-08,58,36,0.00,0.0,M
1940-02-09,36,28,0.00,0.0,M
1940-02-10,62,27,0.00,0.0,M
1940-02-11,73,41,0.00,0.0,M
1940-02-12,66,41,0.00,0.0,M
1940-02-13,53,34,T,T,M
1940-02-14,58,31,0.00,0.0,M
1940-02-15,57,47,T,0.0,M
1940-02-16,51,47,0.92,0.0,M
1940-02-17,47,36,0.16,0.0,M
1940-02-18,50,35,T,0.0,M
1940-02-19,46,31,0.00,0.0,M
1940-02-20,44,31,0.00,0.0,M
1940-02-21,56,29,0.00,0.0,M
1940-02-22,57,36,0.00,0.0,M
1940-02-23,63,46,T,0.0,M
1940-02-24,57,30,T,0.0,M
1940-02-25,47,26,0.00,0.0,M
1940-02-26,62,39,0.00,0.0,M
1940-02-27,74,53,0.00,0.0,M
1940-02-28,82,54,0.00,0.0,M
1940-02-29,86,47,0.00,0.0,M
1940-03-01,81,59,0.00,0.0,M
1940-03-02,65,46,0.00,0.0,M
1940-03-03,68,41,0.00,0.0,M
1940-03-04,58,35,0.00,0.0,M
1940-03-05,68,37,0.00,0.0,M
1940-03-06,80,47,0.00,0.0,M
1940-03-07,62,44,0.00,0.0,M
1940-03-08,66,37,0.00,0.0,M
1940-03-09,79,45,0.00,0.0,M
1940-03-10,82,56,0.06,0.0,M
1940-03-11,83,53,0.00,0.0,M
1940-03-12,74,36,0.25,0.0,M
1940-03-13,50,31,0.00,0.0,M
1940-03-14,62,31,0.00,0.0,M
1940-03-15,75,43,0.00,0.0,M
1940-03-16,75,43,0.00,0.0,M
1940-03-17,82,54,0.00,0.0,M
1940-03-18,69,52,0.00,0.0,M
1940-03-19,72,46,0.00,0.0,M
1940-03-20,76,51,0.03,0.0,M
1940-03-21,81,53,0.00,0.0,M
1940-03-22,77,54,0.00,0.0,M
1940-03-23,82,50,0.00,0.0,M
1940-03-24,65,39,T,0.0,M
1940-03-25,57,37,0.00,0.0,M
1940-03-26,69,46,T,0.0,M
1940-03-27,75,55,0.06,0.0,M
1940-03-28,87,63,T,0.0,M
1940-03-29,75,56,T,0.0,M
1940-03-30,84,50,0.00,0.0,M
1940-03-31,94,62,0.00,0.0,M
1940-04-01,88,60,0.00,0.0,M
1940-04-02,84,68,0.01,0.0,M
1940-04-03,89,55,0.00,0.0,M
1940-04-04,94,61,0.00,0.0,M
1940-04-05,69,47,1.44,0.0,M
1940-04-06,51,44,1.90,0.0,M
1940-04-07,61,42,0.00,0.0,M
1940-04-08,64,46,0.00,0.0,M
1940-04-09,73,45,0.00,0.0,M
1940-04-10,75,60,T,0.0,M
1940-04-11,70,38,0.35,0.0,M
1940-04-12,48,31,0.00,0.0,M
1940-04-13,74,35,0.00,0.0,M
1940-04-14,84,53,0.00,0.0,M
1940-04-15,93,57,0.00,0.0,M
1940-04-16,84,67,0.00,0.0,M
1940-04-17,78,49,0.23,0.0,M
1940-04-18,60,47,T,0.0,M
1940-04-19,70,43,0.00,0.0,M
1940-04-20,78,50,0.00,0.0,M
1940-04-21,86,56,0.00,0.0,M
1940-04-22,93,60,0.00,0.0,M
1940-04-23,70,54,T,0.0,M
1940-04-24,68,48,0.00,0.0,M
1940-04-25,78,50,0.00,0.0,M
1940-04-26,80,60,0.00,0.0,M
1940-04-27,78,65,T,0.0,M
1940-04-28,70,57,2.04,0.0,M
