date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-02-01,59,36,0.01,0.0,M
2004-02-02,53,30,0.41,0.0,0
2004-02-03,53,24,0.00,0.0,0
2004-02-04,52,M,0.03,0.0,0
2004-02-05,41,37,0.32,0.0,0
2004-02-06,46,30,0.00,0.0,0
2004-02-07,50,21,0.00,0.0,0
2004-02-08,53,M,0.00,0.0,0
2004-02-09,53,M,0.00,0.0,0
2004-02-10,51,40,0.00,0.0,0
2004-02-11,51,39,0.29,0.0,0
2004-02-12,42,33,0.11,0.0,0
2004-02-13,42,24,0.00,0.0,0
2004-02-14,37,26,M,2.0,2
2004-02-15,39,26,0.19,0.0,M
2004-02-16,56,27,0.00,0.0,M
2004-02-17,65,34,0.00,0.0,M
2004-02-18,67,33,0.00,0.0,0
2004-02-19,74,40,0.00,0.0,0
2004-02-20,74,50,0.00,0.0,0
2004-02-21,69,33,0.00,0.0,0
2004-02-22,M,M,0.00,0.0,0
2004-02-23,71,51,0.00,0.0,0
2004-02-24,60,49,0.54,0.0,0
2004-02-25,51,33,2.10,M,M
2004-02-26,45,30,0.02,0.0,0
2004-02-27,M,M,0.00,0.0,0
2004-02-28,65,44,0.00,0.0,0
2004-02-29,59,45,0.55,0.0,0
2004-03-01,71,45,0.14,0.0,0
2004-03-02,74,44,0.00,0.0,0
2004-03-03,66,51,0.04,0.0,0
2004-03-04,71,59,0.06,0.0,0
2004-03-05,70,43,0.71,0.0,0
2004-03-06,M,M,0.00,0.0,0
2004-03-07,76,43,0.00,0.0,0
2004-03-08,70,36,0.00,0.0,0
2004-03-09,74,38,0.00,0.0,0
2004-03-10,73,32,0.00,0.0,0
2004-03-11,73,36,0.00,0.0,0
2004-03-12,68,46,0.00,0.0,0
2004-03-13,55,47,0.10,0.0,0
2004-03-14,58,47,0.21,0.0,0
2004-03-15,62,49,0.03,0.0,0
2004-03-16,71,46,0.00,0.0,0
2004-03-17,73,48,0.00,0.0,0
2004-03-18,86,48,0.00,0.0,0
2004-03-19,86,60,0.00,0.0,0
2004-03-20,M,M,S,0.0,0
2004-03-21,86,57,0.14A,0.0,0
2004-03-22,69,47,0.00,0.0,0
2004-03-23,68,51,0.00,0.0,0
2004-03-24,74,52,0.00,0.0,0
2004-03-25,72,61,0.00,0.0,0
2004-03-26,80,65,0.00,0.0,0
2004-03-27,76,65,0.00,0.0,0
2004-03-28,77,64,0.00,0.0,0
2004-03-29,81,45,0.01,0.0,0
2004-03-30,81,45,0.00,0.0,0
2004-03-31,77,40,0.00,0.0,0
2004-04-01,79,42,0.00,0.0,0
2004-04-02,84,48,0.00,0.0,0
2004-04-03,74,56,0.00,0.0,0
2004-04-04,80,45,0.00,0.0,0
2004-04-05,74,47,0.00,0.0,0
2004-04-06,78,55,0.36,0.0,0
2004-04-07,73,55,0.12,0.0,0
2004-04-08,75,48,0.00,0.0,0
2004-04-09,80,49,0.00,0.0,0
2004-04-10,84,55,0.00,0.0,0
2004-04-11,65,48,0.04,0.0,0
2004-04-12,50,46,0.19,0.0,0
2004-04-13,61,40,0.03,0.0,0
2004-04-14,65,32,0.00,0.0,0
2004-04-15,76,32,0.00,0.0,0
2004-04-16,83,53,0.00,0.0,0
2004-04-17,83,58,0.00,0.0,0
2004-04-18,80,65,0.00,0.0,0
