date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-01,88,72,1.34,0.0,0
2009-08-02,91,70,0.00,0.0,0
2009-08-03,97,73,0.00,0.0,0
2009-08-04,95,73,0.00,0.0,0
2009-08-05,95,72,0.07,0.0,0
2009-08-06,93,72,M,0.0,0
2009-08-07,95,73,0.00,0.0,0
2009-08-08,93,77,0.00,0.0,0
2009-08-09,93,77,0.00,0.0,0
2009-08-10,95,77,0.00,0.0,0
2009-08-11,88,72,0.00,0.0,0
2009-08-12,90,68,0.00,0.0,0
2009-08-13,90,64,0.00,0.0,0
2009-08-14,93,70,M,0.0,0
2009-08-15,95,73,0.00,0.0,0
2009-08-16,95,77,0.00,0.0,0
2009-08-17,95,73,0.00,0.0,0
2009-08-18,95,72,0.66,0.0,0
2009-08-19,95,73,0.00,0.0,0
2009-08-20,93,77,0.00,0.0,0
2009-08-21,90,68,1.11,0.0,0
2009-08-22,90,66,0.00,0.0,0
2009-08-23,88,70,0.00,0.0,0
2009-08-24,93,70,0.00,0.0,0
2009-08-25,95,72,0.00,0.0,0
2009-08-26,93,72,0.00,0.0,0
2009-08-27,90,73,0.00,0.0,0
2009-08-28,90,70,0.00,0.0,0
2009-08-29,88,63,0.00,0.0,0
2009-08-30,86,64,0.00,0.0,0
2009-08-31,82,63,0.00,0.0,0
2009-09-01,86,61,0.00,0.0,0
2009-09-02,88,63,0.00,0.0,0
2009-09-03,82,64,0.00,0.0,0
2009-09-04,88,64,0.00,0.0,0
2009-09-05,90,70,0.00,0.0,0
2009-09-06,93,68,0.00,0.0,0
2009-09-07,93,68,0.00,0.0,0
2009-09-08,95,64,0.00,0.0,0
2009-09-09,95,68,0.00,0.0,0
2009-09-10,91,68,0.00,0.0,0
2009-09-11,86,70,0.13,0.0,0
2009-09-12,72,70,1.43,0.0,0
2009-09-13,72,68,0.51,0.0,0
2009-09-14,73,70,1.35,0.0,0
2009-09-15,M,M,0.01,0.0,0
2009-09-16,M,M,0.54,0.0,0
2009-09-17,M,M,0.34,0.0,0
2009-09-18,M,M,0.01,0.0,0
