date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1915-08-01,M,M,0.00,0.0,0
1915-08-02,M,M,0.00,0.0,0
1915-08-03,M,M,0.00,0.0,0
1915-08-04,M,M,0.00,0.0,0
1915-08-05,M,M,0.00,0.0,0
1915-08-06,M,M,0.00,0.0,0
1915-08-07,M,M,0.00,0.0,0
1915-08-08,M,M,0.00,0.0,0
1915-08-09,M,M,0.00,0.0,0
1915-08-10,M,M,0.00,0.0,0
1915-08-11,M,M,0.00,0.0,0
1915-08-12,M,M,0.00,0.0,0
1915-08-13,M,M,0.00,0.0,0
1915-08-14,M,M,0.00,0.0,0
1915-08-15,M,M,0.00,0.0,0
1915-08-16,M,M,0.00,0.0,0
1915-08-17,M,M,0.00,0.0,0
1915-08-18,M,M,2.47,0.0,0
1915-08-19,M,M,0.35,0.0,0
1915-08-20,M,M,0.05,0.0,0
1915-08-21,M,M,0.00,0.0,0
1915-08-22,M,M,0.00,0.0,0
1915-08-23,M,M,0.00,0.0,0
1915-08-24,M,M,0.00,0.0,0
1915-08-25,M,M,0.34,0.0,0
1915-08-26,M,M,1.67,0.0,0
1915-08-27,M,M,0.20,0.0,0
1915-08-28,M,M,0.11,0.0,0
1915-08-29,M,M,0.00,0.0,0
1915-08-30,M,M,0.00,0.0,0
1915-08-31,M,M,0.00,0.0,0
1915-09-01,M,M,0.00,0.0,0
1915-09-02,M,M,0.00,0.0,0
1915-09-03,M,M,0.00,0.0,0
1915-09-04,M,M,0.00,0.0,0
1915-09-05,M,M,0.00,0.0,0
1915-09-06,M,M,0.00,0.0,0
1915-09-07,M,M,0.00,0.0,0
1915-09-08,M,M,0.00,0.0,0
1915-09-09,M,M,0.00,0.0,0
1915-09-10,M,M,0.00,0.0,0
1915-09-11,M,M,0.00,0.0,0
1915-09-12,M,M,0.00,0.0,0
1915-09-13,M,M,0.00,0.0,0
1915-09-14,M,M,0.00,0.0,0
1915-09-15,M,M,1.08,0.0,0
1915-09-16,M,M,0.57,0.0,0
1915-09-17,M,M,0.00,0.0,0
1915-09-18,M,M,0.00,0.0,0
1915-09-19,M,M,0.00,0.0,0
1915-09-20,M,M,0.00,0.0,0
1915-09-21,M,M,0.00,0.0,0
1915-09-22,M,M,T,0.0,0
1915-09-23,M,M,0.00,0.0,0
1915-09-24,M,M,0.18,0.0,0
1915-09-25,M,M,0.50,0.0,0
1915-09-26,M,M,0.00,0.0,0
1915-09-27,M,M,0.00,0.0,0
1915-09-28,M,M,0.07,0.0,0
1915-09-29,M,M,0.00,0.0,0
1915-09-30,M,M,0.36,0.0,0
1915-10-01,M,M,0.00,0.0,0
1915-10-02,M,M,0.00,0.0,0
1915-10-03,M,M,0.00,0.0,0
1915-10-04,M,M,0.00,0.0,0
1915-10-05,M,M,0.00,0.0,0
1915-10-06,M,M,0.00,0.0,0
1915-10-07,M,M,0.00,0.0,0
1915-10-08,M,M,0.00,0.0,0
1915-10-09,M,M,0.00,0.0,0
1915-10-10,M,M,0.00,0.0,0
1915-10-11,M,M,0.00,0.0,0
1915-10-12,M,M,0.00,0.0,0
1915-10-13,M,M,0.00,0.0,0
1915-10-14,M,M,0.00,0.0,0
1915-10-15,M,M,0.04,0.0,0
1915-10-16,M,M,0.00,0.0,0
