date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2004-08-04,75,M,0.00,M,M
2009-08-01,95,73,0.07,0.0,0
2009-08-02,96,71,0.00,0.0,0
2009-08-03,100,71,0.00,0.0,0
2009-08-04,100,76,0.00,0.0,0
2009-08-05,102,76,0.00,0.0,0
2009-08-06,102,77,0.00,0.0,0
2009-08-07,101,78,0.00,0.0,0
2009-08-08,100,77,0.00,0.0,0
2009-08-09,99,77,0.00,0.0,0
2009-08-10,100,77,0.00,0.0,0
2009-08-11,98,78,0.00,0.0,0
2009-08-12,96,74,0.00,0.0,0
2009-08-13,97,74,0.00,0.0,0
2009-08-14,96,75,0.07,0.0,0
2009-08-15,100,75,0.00,0.0,0
2009-08-16,99,77,0.00,0.0,0
2009-08-17,99,77,0.00,0.0,0
2009-08-18,98,77,0.17,0.0,0
2009-08-19,100,75,0.00,0.0,0
2009-08-20,99,78,0.00,0.0,0
2009-08-21,90,72,0.18,0.0,0
2009-08-22,98,69,0.00,0.0,0
2009-08-23,100,74,0.00,0.0,0
2009-08-24,101,75,0.00,0.0,0
2009-08-25,102,77,0.11,0.0,0
2009-08-26,102,74,0.00,0.0,0
2009-08-27,95,74,0.01,0.0,0
2009-08-28,92,69,0.00,0.0,0
2009-08-29,91,62,0.00,0.0,0
2009-08-30,89,67,0.00,0.0,0
2009-08-31,89,67,0.00,0.0,0
2009-09-01,92,68,0.00,0.0,0
2009-09-02,96,70,0.00,0.0,0
2009-09-03,100,70,0.53,0.0,0
2009-09-04,88,68,0.82,0.0,0
2009-09-05,91,70,0.01,0.0,0
2009-09-06,93,69,0.02,0.0,0
2009-09-07,95,70,0.00,0.0,0
2009-09-08,94,72,0.00,0.0,0
2009-09-09,96,73,0.00,0.0,0
2009-09-10,92,69,0.08,0.0,0
2009-09-11,81,70,1.53,0.0,0
2009-09-12,73,70,0.99,0.0,0
2009-09-13,75,70,0.86,0.0,0
2009-09-14,75,69,0.11,0.0,0
2009-09-15,81,69,0.00,0.0,0
2009-09-16,78,67,0.09,0.0,0
2009-09-17,80,67,0.13,0.0,0
2009-09-18,80,69,0.00,0.0,0
2009-09-19,85,68,0.00,0.0,0
2009-09-20,89,66,0.00,0.0,0
2009-09-21,92,66,1.08,0.0,0
2009-09-22,69,60,0.03,0.0,0
2009-09-23,67,58,0.02,0.0,0
2009-09-24,75,55,0.00,0.0,0
2009-09-25,81,53,0.00,0.0,0
2009-09-26,88,61,0.00,0.0,0
2009-09-27,92,69,0.00,0.0,0
2009-09-28,83,63,0.00,0.0,0
2009-09-29,80,62,0.00,0.0,0
2009-09-30,86,64,0.00,0.0,0
2009-10-01,85,64,0.56,0.0,0
2009-10-02,76,50,0.00,0.0,0
2009-10-03,77,59,0.19,0.0,0
2009-10-04,71,59,0.74,0.0,0
2009-10-05,71,59,0.00,0.0,0
2009-10-06,85,64,0.00,0.0,0
2009-10-07,71,59,0.00,0.0,0
2009-10-08,90,71,0.02,0.0,0
2009-10-09,81,53,1.25,0.0,0
2009-10-10,56,51,0.00,0.0,0
2009-10-11,58,53,0.43,0.0,0
2009-10-12,66,55,0.02,0.0,0
2009-10-13,72,64,2.66,0.0,0
2009-10-14,87,70,0.00,0.0,0
2009-10-15,77,55,0.00,0.0,0
2009-10-16,71,52,0.00,0.0,0
2009-10-17,74,49,0.00,0.0,0
2009-10-18,69,49,0.00,0.0,0
2009-10-19,76,53,0.00,0.0,0
2009-10-20,80,57,0.00,0.0,0
2009-10-21,69,61,0.72,0.0,0
2009-10-22,63,49,1.08,0.0,0
2009-10-23,67,45,0.00,0.0,0
2009-10-24,74,44,0.00,0.0,0
2009-10-25,80,56,0.77,0.0,0
2009-10-26,61,51,0.78,0.0,0
2009-10-27,66,47,0.01,0.0,0
2009-10-28,76,50,0.00,0.0,0
2009-10-29,81,54,0.00,0.0,0
2009-10-30,66,45,0.01,0.0,0
2009-10-31,73,40,0.00,0.0,0
2009-11-01,74,46,0.00,0.0,0
2009-11-02,74,47,0.00,0.0,0
2009-11-03,75,49,0.00,0.0,0
2009-11-04,76,50,0.00,0.0,0
2009-11-05,76,51,0.00,0.0,0
2009-11-06,77,52,0.00,0.0,0
2009-11-07,73,55,0.00,0.0,0
2009-11-08,73,58,M,0.0,0
2009-11-09,77,63,0.00,0.0,0
2009-11-10,77,56,0.00,0.0,0
2009-11-11,74,54,0.00,0.0,0
2009-11-12,73,50,0.00,0.0,0
2009-11-13,74,55,0.00,0.0,0
2009-11-14,78,59,0.00,0.0,0
2009-11-15,78,60,0.00,0.0,0
2009-11-16,60,38,0.01,0.0,0
2009-11-17,63,35,0.00,0.0,0
2009-11-18,69,33,0.00,0.0,0
2009-11-19,72,46,0.00,0.0,0
2009-11-20,63,54,1.33,0.0,0
2009-11-21,59,51,0.03,0.0,0
2009-11-22,61,46,0.00,0.0,0
2009-11-23,69,45,M,0.0,0
2009-11-24,62,39,0.00,0.0,0
2009-11-25,66,35,0.00,0.0,0
2009-11-26,62,34,0.00,0.0,0
2009-11-27,71,40,0.00,0.0,0
2009-11-28,70,49,0.00,0.0,0
2009-11-29,70,46,0.02,0.0,0
2009-11-30,58,43,0.00,0.0,0
2009-12-01,50,42,0.54,M,0
2009-12-02,49,34,0.06,0.0,0
2009-12-03,45,32,0.00,0.0,0
2009-12-04,41,27,0.00,0.0,0
2009-12-05,46,25,0.00,0.0,0
2009-12-06,48,34,0.01,0.0,0
2009-12-07,47,40,0.01,0.0,0
2009-12-08,54,40,0.01,0.0,0
2009-12-09,47,26,0.00,0.0,0
2009-12-10,43,26,0.00,0.0,0
2009-12-11,48,35,M,0.0,0
2009-12-12,48,41,0.10,0.0,0
2009-12-13,66,47,0.00,0.0,0
2009-12-14,74,43,0.00,0.0,0
2009-12-15,44,31,0.00,0.0,0
2009-12-16,48,32,0.00,0.0,0
2009-12-17,55,39,0.00,0.0,0
2009-12-18,62,34,0.00,0.0,0
2009-12-19,58,31,0.00,0.0,0
2009-12-20,63,27,0.00,0.0,0
2009-12-21,66,39,0.00,0.0,0
2009-12-22,69,50,0.00,0.0,0
2009-12-23,74,63,0.00,0.0,0
2009-12-24,63,30,0.10,M,0
2009-12-25,43,19,0.00,0.0,M
2009-12-26,49,22,0.00,0.0,0
2009-12-27,50,24,0.00,0.0,0
2009-12-28,50,24,0.00,0.0,0
2009-12-29,40,28,0.18,0.0,0
2009-12-30,58,38,0.01,0.0,0
2009-12-31,47,34,0.04,0.0,0
2010-01-01,52,25,0.00,0.0,0
2010-01-02,53,30,0.00,0.0,0
2010-01-03,48,33,M,0.0,0
2010-01-04,41,22,0.00,0.0,0
2010-01-05,44,21,0.00,0.0,0
2010-01-06,50,32,0.01,0.0,0
2010-01-07,47,25,M,M,M
2010-01-08,30,17,0.00,0.0,0
2010-01-09,38,11,0.00,0.0,0
2010-01-10,45,14,0.00,0.0,0
2010-01-11,57,22,0.00,0.0,0
2010-01-12,59,26,0.00,0.0,0
2010-01-13,61,35,M,0.0,0
2010-01-14,54,49,M,0.0,0
2010-01-15,52,45,0.23,0.0,0
2010-01-16,58,41,0.01,0.0,0
2010-01-17,64,33,0.00,0.0,0
2010-01-18,68,44,0.00,0.0,0
2010-01-19,71,56,0.00,0.0,0
2010-01-20,69,55,M,0.0,0
2010-01-21,69,43,0.00,0.0,0
2010-01-22,75,47,0.00,0.0,0
2010-01-23,64,48,M,0.0,0
2010-01-24,61,36,0.00,0.0,0
2010-01-25,60,31,0.00,0.0,0
2010-01-26,63,32,0.00,0.0,0
2010-01-27,67,46,0.00,0.0,0
2010-01-28,59,46,1.59,0.0,0
2010-01-29,46,31,0.77,M,0
2010-01-30,33,27,0.00,0.0,0
2010-01-31,36,30,0.00,0.0,0
2010-02-01,45,29,0.00,0.0,0
2010-02-02,53,40,0.00,0.0,0
2010-02-03,46,39,0.06,0.0,0
2010-02-04,45,42,0.48,0.0,0
2010-02-05,57,39,0.00,0.0,0
2010-02-06,50,33,0.00,0.0,0
2010-02-07,46,35,M,0.0,0
2010-02-08,46,39,0.67,0.0,0
2010-02-09,43,29,0.00,0.0,0
2010-02-10,39,30,0.00,0.0,0
2010-02-11,38,33,0.23,M,0
2010-02-12,36,32,0.01,M,M
2010-02-13,51,32,0.00,0.0,M
2010-02-14,47,31,0.00,0.0,M
2010-02-15,47,28,0.00,0.0,0
2010-02-16,51,26,0.00,0.0,0
2010-02-17,55,26,0.00,0.0,0
2010-02-18,61,33,0.00,0.0,0
2010-02-19,58,43,0.00,0.0,0
2010-02-20,64,52,0.00,0.0,0
2010-02-21,74,43,M,0.0,0
2010-02-22,43,36,0.00,0.0,0
2010-02-23,39,32,M,M,0
2010-02-24,49,28,0.00,0.0,M
2010-02-25,58,33,0.00,0.0,0
2010-02-26,49,36,M,0.0,0
2010-02-27,65,30,0.00,0.0,0
2010-02-28,64,40,0.00,0.0,0
2010-03-01,52,42,0.43,0.0,0
2010-03-02,54,33,0.00,0.0,0
2010-03-03,60,32,0.00,0.0,0
2010-03-04,66,42,0.00,0.0,0
2010-03-05,68,47,0.00,0.0,0
2010-03-06,69,48,0.00,0.0,0
2010-03-07,58,51,0.27,0.0,0
2010-03-08,61,54,0.70,0.0,0
2010-03-09,74,49,0.00,0.0,0
2010-03-10,75,46,0.00,0.0,0
2010-03-11,64,38,M,0.0,0
2010-03-12,68,40,0.00,0.0,0
2010-03-13,69,37,0.00,0.0,0
2010-03-14,73,49,0.00,0.0,0
2010-03-15,65,48,M,0.0,0
2010-03-16,57,43,0.13,0.0,0
2010-03-17,65,39,0.00,0.0,0
2010-03-18,64,37,0.00,0.0,0
2010-03-19,73,48,0.00,0.0,0
2010-03-20,60,34,0.61,M,0
2010-03-21,51,33,M,M,M
2010-03-22,67,31,0.00,0.0,0
2010-03-23,74,43,0.00,0.0,0
2010-03-24,68,56,0.77,0.0,0
2010-03-25,63,44,0.00,0.0,0
2010-03-26,67,42,0.00,0.0,0
2010-03-27,75,48,0.00,0.0,0
2010-03-28,65,43,0.00,0.0,0
2010-03-29,72,37,0.00,0.0,0
2010-03-30,79,50,0.00,0.0,0
2010-03-31,83,55,0.00,0.0,0
2010-04-01,80,63,0.00,0.0,0
2010-04-02,74,55,0.18,0.0,0
2010-04-03,78,43,0.00,0.0,0
2010-04-04,81,61,0.00,0.0,0
2010-04-05,82,67,0.00,0.0,0
2010-04-06,82,65,0.00,0.0,0
2010-04-07,75,50,0.00,0.0,0
2010-04-08,67,39,0.00,0.0,0
2010-04-09,75,44,0.00,0.0,0
2010-04-10,76,53,0.00,0.0,0
2010-04-11,72,58,0.00,0.0,0
2010-04-12,81,58,0.00,0.0,0
2010-04-13,81,56,0.00,0.0,0
2010-04-14,81,57,0.00,0.0,0
2010-04-15,80,62,0.01,0.0,0
2010-04-16,78,61,0.02,0.0,0
2010-04-17,74,60,0.73,0.0,0
2010-04-18,64,52,0.03,0.0,0
2010-04-19,66,51,0.00,0.0,0
2010-04-20,71,52,0.00,0.0,0
2010-04-21,79,57,0.00,0.0,0
2010-04-22,72,60,0.00,0.0,0
2010-04-23,82,66,1.09,0.0,0
2010-04-24,78,56,0.13,0.0,0
2010-04-25,76,53,0.00,0.0,0
2010-04-26,77,54,0.00,0.0,0
2010-04-27,72,45,0.00,0.0,0
2010-04-28,78,50,0.00,0.0,0
2010-04-29,83,62,0.00,0.0,0
2010-04-30,83,69,M,0.0,0
2010-05-01,75,59,0.32,0.0,0
2010-05-02,81,58,M,0.0,0
2010-05-03,81,55,0.01,0.0,0
2010-05-04,86,49,0.00,0.0,0
2010-05-05,90,62,0.00,0.0,0
2010-05-06,88,65,0.00,0.0,0
2010-05-07,81,65,0.00,0.0,0
2010-05-08,73,59,0.00,0.0,0
2010-05-09,70,62,0.00,0.0,0
2010-05-10,86,63,0.00,0.0,0
2010-05-11,91,69,0.00,0.0,0
2010-05-12,86,72,0.00,0.0,0
2010-05-13,85,72,0.00,0.0,0
2010-05-14,80,62,0.49,0.0,0
