date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1950-09-26,78,62,0.00,0.0,0
1950-09-27,84,65,T,0.0,0
1950-09-28,87,66,0.00,0.0,0
1950-09-29,88,70,0.00,0.0,0
1950-09-30,87,73,T,0.0,0
1950-10-01,87,69,0.00,0.0,0
1950-10-02,87,69,0.00,0.0,0
1950-10-03,85,66,0.00,0.0,0
1950-10-04,76,60,0.00,0.0,0
1950-10-05,78,57,0.00,0.0,0
1950-10-06,85,64,0.00,0.0,0
1950-10-07,89,69,T,0.0,0
1950-10-08,82,62,0.00,0.0,0
1950-10-09,80,56,0.00,0.0,0
1950-10-10,85,59,0.00,0.0,0
1950-10-11,89,62,0.00,0.0,0
1950-10-12,90,64,0.00,0.0,0
1950-10-13,85,64,0.00,0.0,0
1950-10-14,87,62,0.00,0.0,0
1950-10-15,86,62,0.00,0.0,0
1950-10-16,85,58,0.00,0.0,0
1950-10-17,87,62,0.00,0.0,0
1950-10-18,80,60,T,0.0,0
1950-10-19,70,62,1.92,0.0,0
1950-10-20,77,63,T,0.0,0
1950-10-21,81,60,0.00,0.0,0
1950-10-22,82,55,0.00,0.0,0
1950-10-23,80,58,0.00,0.0,0
1950-10-24,89,62,0.00,0.0,0
1950-10-25,89,61,0.00,0.0,0
1950-10-26,88,64,0.00,0.0,0
1950-10-27,84,63,0.00,0.0,0
1950-10-28,86,65,0.00,0.0,0
1950-10-29,84,63,0.00,0.0,0
1950-10-30,85,65,0.00,0.0,0
1950-10-31,84,65,0.00,0.0,0
1950-11-01,85,65,0.00,0.0,0
1950-11-02,79,58,T,0.0,0
1950-11-03,59,40,T,0.0,0
1950-11-04,56,34,0.00,0.0,0
1950-11-05,76,40,0.00,0.0,0
1950-11-06,78,53,0.00,0.0,0
1950-11-07,82,60,0.00,0.0,0
1950-11-08,85,M,0.00,0.0,0
1950-11-09,M,39,0.00,0.0,0
1950-11-10,43,31,0.00,0.0,0
1950-11-11,51,25,0.00,0.0,0
1950-11-12,60,35,0.00,0.0,0
1950-11-13,64,46,T,0.0,0
1950-11-14,76,58,0.02,0.0,0
1950-11-15,85,69,0.00,0.0,0
1950-11-16,72,52,0.00,0.0,0
1950-11-17,57,47,0.12,0.0,0
1950-11-18,76,55,T,0.0,0
1950-11-19,86,68,0.00,0.0,0
1950-11-20,73,42,0.00,0.0,0
1950-11-21,67,38,0.00,0.0,0
1950-11-22,73,55,0.00,0.0,0
1950-11-23,79,37,0.00,0.0,0
1950-11-24,42,25,0.00,0.0,0
1950-11-25,62,29,0.00,0.0,0
1950-11-26,64,43,0.00,0.0,0
1950-11-27,79,44,0.00,0.0,0
1950-11-28,81,44,0.00,0.0,0
1950-11-29,79,46,0.00,0.0,0
1950-11-30,81,59,0.00,0.0,0
1950-12-01,76,61,0.00,0.0,0
1950-12-02,79,51,0.00,0.0,0
1950-12-03,56,37,0.00,0.0,0
1950-12-04,71,42,0.00,0.0,0
1950-12-05,61,20,0.00,0.0,0
1950-12-06,32,14,0.00,0.0,0
1950-12-07,55,18,0.00,0.0,0
1950-12-08,59,29,0.00,0.0,0
1950-12-09,67,34,0.00,0.0,0
