date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
1978-10-01,92,64,0.00,0.0,0
1978-10-02,91,65,0.00,0.0,0
1978-10-03,90,71,0.00,0.0,0
1978-10-04,87,61,0.00,0.0,0
1978-10-05,88,68,0.00,0.0,0
1978-10-06,81,63,0.00,0.0,0
1978-10-07,81,60,0.00,0.0,0
1978-10-08,79,57,0.00,0.0,0
1978-10-09,80,60,0.07,0.0,0
1978-10-10,85,63,0.00,0.0,0
1978-10-11,89,64,0.00,0.0,0
1978-10-12,90,70,0.00,0.0,0
1978-10-13,79,63,0.00,0.0,0
1978-10-14,76,48,0.00,0.0,0
1978-10-15,83,49,0.00,0.0,0
1978-10-16,87,51,0.00,0.0,0
1978-10-17,82,53,0.00,0.0,0
1978-10-18,84,50,0.00,0.0,0
1978-10-19,88,51,0.00,0.0,0
1978-10-20,89,56,0.00,0.0,0
1978-10-21,88,55,0.00,0.0,0
1978-10-22,85,57,0.00,0.0,0
1978-10-23,75,59,0.00,0.0,0
1978-10-24,78,53,0.00,0.0,0
1978-10-25,78,61,0.00,0.0,0
1978-10-26,69,53,1.28,0.0,0
1978-10-27,73,48,0.00,0.0,0
1978-10-28,78,50,0.00,0.0,0
1978-10-29,77,50,0.00,0.0,0
1978-10-30,84,50,0.00,0.0,0
1978-10-31,M,M,0.00,0.0,0
1978-11-01,84,52,0.00,0.0,0
1978-11-02,86,57,0.00,0.0,0
1978-11-03,83,57,0.00,0.0,0
1978-11-04,81,56,0.00,0.0,0
1978-11-05,75,57,0.00,0.0,0
1978-11-06,66,50,2.16,0.0,0
1978-11-07,61,42,0.02,0.0,0
1978-11-08,68,37,0.00,0.0,0
1978-11-09,67,41,0.00,0.0,0
1978-11-10,83,41,0.00,0.0,0
1978-11-11,M,M,0.00,0.0,0
1978-11-12,76,53,0.07,0.0,0
1978-11-13,81,66,0.01,0.0,0
1978-11-14,81,63,0.01,0.0,0
1978-11-15,75,45,0.07,0.0,0
1978-11-16,46,42,0.30,0.0,0
1978-11-17,66,34,0.59,0.0,0
1978-11-18,68,42,0.00,0.0,0
1978-11-19,M,43,0.23,0.0,0
1978-11-20,51,46,0.24,0.0,0
1978-11-21,53,44,0.33,0.0,0
1978-11-22,56,41,0.07,0.0,0
1978-11-23,M,43,0.00,0.0,0
1978-11-24,65,44,0.00,0.0,0
1978-11-25,76,M,0.00,0.0,0
1978-11-26,74,66,0.46,0.0,0
1978-11-27,66,42,0.34,0.0,0
1978-11-28,58,35,0.00,0.0,0
1978-11-29,70,39,0.00,0.0,0
1978-11-30,73,41,0.00,0.0,0
1979-01-01,33,22,0.00,0.0,0
1979-01-02,31,11,0.00,0.0,0
1979-01-03,32,15,0.00,0.0,0
1979-01-04,39,24,0.04,0.0,0
1979-01-05,37,31,0.02,0.0,0
1979-01-06,37,28,0.00,0.0,0
1979-01-07,32,27,0.00,0.0,0
1979-01-08,38,17,0.00,0.0,0
1979-01-09,44,20,0.00,0.0,0
1979-01-10,38,34,0.00,0.0,0
1979-01-11,46,32,1.90,0.0,0
1979-01-12,62,30,0.00,0.0,0
1979-01-13,53,26,0.00,0.0,0
1979-01-14,38,17,0.00,0.0,0
1979-01-15,41,23,0.00,0.0,0
1979-01-16,62,38,0.00,0.0,0
1979-01-17,64,51,0.00,0.0,0
1979-01-18,69,55,0.13,0.0,0
1979-01-19,69,62,0.07,0.0,0
1979-01-20,67,41,0.05,0.0,0
1979-01-21,53,36,0.00,0.0,0
1979-01-22,61,31,0.00,0.0,0
1979-01-23,63,33,0.00,0.0,0
1979-01-24,54,24,0.00,0.0,0
1979-01-25,47,38,0.00,0.0,0
1979-01-26,48,40,0.14,0.0,0
1979-01-27,46,32,0.06,0.0,0
1979-01-28,44,28,0.00,0.0,0
1979-01-29,39,31,0.03,0.0,0
1979-01-30,34,34,0.00,0.0,0
1979-01-31,M,M,0.00,0.0,0
1979-02-01,45,25,0.05,0.0,0
1979-02-02,44,37,0.07,0.0,0
1979-02-03,47,39,0.00,0.0,0
1979-02-04,45,36,0.11,0.0,0
1979-02-05,40,34,1.28,0.0,0
1979-02-06,M,M,0.67,0.0,0
1979-02-07,62,32,0.00,0.0,0
1979-02-08,53,36,0.00,0.0,0
1979-02-09,51,19,0.00,0.0,0
1979-02-10,60,30,0.00,0.0,0
1979-02-11,64,37,0.06,0.0,0
1979-02-12,67,38,0.00,0.0,0
1979-02-13,76,42,0.00,0.0,0
1979-02-14,79,43,0.00,0.0,0
1979-02-15,85,52,0.00,0.0,0
1979-02-16,53,26,0.00,0.0,0
1979-02-17,29,22,0.00,0.0,0
1979-02-18,43,26,0.00,0.0,0
1979-02-19,38,24,0.06,0.0,0
1979-02-20,45,38,0.02,0.0,0
1979-02-21,66,36,0.03,0.0,0
1979-02-22,75,60,0.00,0.0,0
1979-02-23,63,42,0.01,0.0,0
1979-02-24,72,38,0.45,0.0,0
1979-02-25,70,41,0.30,0.0,0
1979-02-26,74,45,0.00,0.0,0
1979-02-27,63,47,0.00,0.0,0
1979-02-28,70,42,0.08,0.0,0
1979-06-01,88,70,0.00,0.0,0
1979-06-02,86,65,0.31,0.0,0
1979-06-03,82,67,0.20,0.0,0
1979-06-04,86,71,0.00,0.0,0
1979-06-05,88,72,0.30,0.0,0
1979-06-06,89,71,1.65,0.0,0
1979-06-07,91,69,0.00,0.0,0
1979-06-08,95,74,0.00,0.0,0
1979-06-09,90,72,0.12,0.0,0
1979-06-10,82,63,0.02,0.0,0
1979-06-11,86,55,0.00,0.0,0
1979-06-12,88,63,0.00,0.0,0
1979-06-13,89,61,0.00,0.0,0
1979-06-14,92,66,0.00,0.0,0
1979-06-15,91,65,0.00,0.0,0
1979-06-16,88,64,0.00,0.0,0
1979-06-17,89,66,0.00,0.0,0
1979-06-18,92,70,0.00,0.0,0
1979-06-19,94,73,0.00,0.0,0
1979-06-20,95,76,0.00,0.0,0
1979-06-21,94,74,0.00,0.0,0
1979-06-22,93,74,0.00,0.0,0
1979-06-23,93,74,0.00,0.0,0
1979-06-24,97,72,0.00,0.0,0
1979-06-25,98,73,0.00,0.0,0
1979-06-26,95,69,0.14,0.0,0
1979-06-27,96,72,0.00,0.0,0
1979-06-28,98,75,0.00,0.0,0
1979-06-29,97,72,0.00,0.0,0
1979-06-30,97,74,0.00,0.0,0
1979-07-01,96,74,0.00,0.0,0
1979-07-02,95,73,0.00,0.0,0
1979-07-03,98,76,0.00,0.0,0
1979-07-04,97,75,0.00,0.0,0
1979-07-05,95,73,0.00,0.0,0
1979-07-06,96,72,0.44,0.0,0
1979-07-07,98,74,0.40,0.0,0
1979-07-08,97,72,0.00,0.0,0
1979-07-09,97,73,0.00,0.0,0
1979-07-10,94,75,0.07,0.0,0
1979-07-11,98,73,0.00,0.0,0
1979-07-12,98,73,0.00,0.0,0
1979-07-13,97,71,0.00,0.0,0
1979-07-14,96,70,0.00,0.0,0
1979-07-15,98,72,0.00,0.0,0
1979-07-16,99,73,0.00,0.0,0
1979-07-17,88,73,0.00,0.0,0
1979-07-18,92,74,0.00,0.0,0
1979-07-19,95,M,0.00,0.0,0
1979-07-20,94,M,0.48,0.0,0
1979-07-21,95,M,0.17,0.0,0
1979-07-22,95,73,0.00,0.0,0
1979-07-23,96,73,0.00,0.0,0
1979-07-24,93,72,0.00,0.0,0
1979-07-25,93,72,0.00,0.0,0
1979-07-26,91,70,0.00,0.0,0
1979-07-27,87,70,0.15,0.0,0
1979-07-28,94,73,0.02,0.0,0
1979-07-29,93,73,0.00,0.0,0
1979-07-30,94,73,0.00,0.0,0
1979-07-31,M,M,0.00,0.0,0
1979-08-01,92,72,0.00,0.0,0
1979-08-02,90,68,0.27,0.0,0
1979-08-03,93,75,0.00,0.0,0
1979-08-04,95,71,0.00,0.0,0
1979-08-05,98,76,0.00,0.0,0
1979-08-06,98,73,0.00,0.0,0
1979-08-07,98,74,0.00,0.0,0
1979-08-08,95,70,0.00,0.0,0
1979-08-09,95,77,0.27,0.0,0
1979-08-10,98,62,0.00,0.0,0
1979-08-11,88,66,0.00,0.0,0
1979-08-12,94,72,1.40,0.0,0
1979-08-13,97,71,0.00,0.0,0
1979-08-14,98,74,0.00,0.0,0
1979-08-15,93,68,0.00,0.0,0
1979-08-16,97,76,0.00,0.0,0
1979-08-17,93,72,0.00,0.0,0
1979-08-18,95,72,0.00,0.0,0
1979-08-19,97,72,0.00,0.0,0
1979-08-20,96,73,0.00,0.0,0
1979-08-21,96,71,0.00,0.0,0
1979-08-22,94,74,0.00,0.0,0
1979-08-23,94,70,0.09,0.0,0
1979-08-24,97,71,0.00,0.0,0
1979-08-25,92,73,0.00,0.0,0
1979-08-26,97,69,0.00,0.0,0
1979-08-27,98,67,0.00,0.0,0
1979-08-28,96,70,0.00,0.0,0
1979-08-29,96,71,0.00,0.0,0
1979-08-30,98,72,0.00,0.0,0
1979-08-31,98,M,0.00,0.0,0
1979-09-01,M,M,0.00,0.0,0
1979-09-02,97,72,0.00,0.0,0
1979-09-03,97,70,0.00,0.0,0
1979-09-04,94,70,0.00,0.0,0
1979-09-05,95,68,0.00,0.0,0
1979-09-06,96,72,0.00,0.0,0
1979-09-07,96,69,0.00,0.0,0
1979-09-08,94,67,0.00,0.0,0
1979-09-09,93,65,0.00,0.0,0
1979-09-10,88,61,0.00,0.0,0
1979-09-11,95,58,0.00,0.0,0
1979-09-12,89,65,0.00,0.0,0
1979-09-13,89,69,0.00,0.0,0
1979-09-14,86,66,0.00,0.0,0
1979-09-15,85,60,0.00,0.0,0
1979-09-16,85,55,0.00,0.0,0
1979-09-17,86,52,0.00,0.0,0
1979-09-18,86,62,0.20,0.0,0
1979-09-19,81,62,0.99,0.0,0
1979-09-20,81,65,0.76,0.0,0
1979-09-21,84,60,0.01,0.0,0
1979-09-22,88,61,0.00,0.0,0
1979-09-23,90,62,0.00,0.0,0
1979-09-24,90,62,0.00,0.0,0
1979-09-25,88,57,0.00,0.0,0
1979-09-26,89,52,0.00,0.0,0
1979-09-27,91,67,0.00,0.0,0
1979-09-28,98,63,0.00,0.0,0
1979-09-29,97,62,0.00,0.0,0
1979-09-30,97,63,0.00,0.0,0
1979-10-01,97,64,0.00,0.0,0
1979-10-02,95,60,0.00,0.0,0
1979-10-03,102,58,0.00,0.0,0
1979-10-04,92,53,0.00,0.0,0
1979-10-05,90,55,0.00,0.0,0
1979-10-06,86,50,0.00,0.0,0
1979-10-07,92,64,0.00,0.0,0
1979-10-08,91,62,0.00,0.0,0
1979-10-09,81,54,0.00,0.0,0
1979-10-10,75,45,0.00,0.0,0
1979-10-11,94,52,0.00,0.0,0
1979-10-12,93,50,0.00,0.0,0
1979-10-13,84,70,0.00,0.0,0
1979-10-14,83,60,0.00,0.0,0
1979-10-15,91,64,0.00,0.0,0
1979-10-16,88,67,0.47,0.0,0
1979-10-17,87,65,0.00,0.0,0
1979-10-18,88,67,0.00,0.0,0
1979-10-19,91,70,0.00,0.0,0
1979-10-20,90,68,0.00,0.0,0
1979-10-21,90,67,0.00,0.0,0
1979-10-22,90,52,0.72,0.0,0
1979-10-23,73,43,0.00,0.0,0
1979-10-24,77,42,0.00,0.0,0
1979-10-25,83,44,0.00,0.0,0
1979-10-26,81,50,0.00,0.0,0
1979-10-27,83,56,0.00,0.0,0
1979-10-28,79,54,0.00,0.0,0
1979-10-29,81,57,0.00,0.0,0
1979-10-30,79,51,0.00,0.0,0
1979-10-31,74,42,0.00,0.0,0
1979-12-01,62,25,0.00,0.0,0
1979-12-02,63,27,0.00,0.0,0
1979-12-03,62,24,0.00,0.0,0
1979-12-04,73,33,0.00,0.0,0
1979-12-05,70,34,0.00,0.0,0
1979-12-06,68,28,0.00,0.0,0
1979-12-07,74,30,0.00,0.0,0
1979-12-08,69,31,0.00,0.0,0
1979-12-09,69,36,0.00,0.0,0
1979-12-10,69,35,0.04,0.0,0
1979-12-11,72,44,0.00,0.0,0
1979-12-12,44,28,0.00,0.0,0
1979-12-13,41,28,0.04,0.0,0
1979-12-14,51,26,0.00,0.0,0
1979-12-15,48,26,0.00,0.0,0
1979-12-16,52,28,0.00,0.0,0
1979-12-17,50,20,0.00,0.0,0
1979-12-18,58,22,0.00,0.0,0
1979-12-19,61,30,0.00,0.0,0
1979-12-20,74,38,0.00,0.0,0
1979-12-21,61,37,0.11,0.0,0
1979-12-22,72,43,0.00,0.0,0
1979-12-23,M,33,0.08,0.0,0
1979-12-24,M,40,1.31,0.0,0
1979-12-25,64,38,0.00,0.0,0
1979-12-26,74,34,0.00,0.0,0
1979-12-27,63,35,0.00,0.0,0
1979-12-28,52,41,1.40,0.0,0
1979-12-29,M,35,0.21,0.0,0
1979-12-30,M,34,0.00,0.0,0
1979-12-31,M,M,0.00,0.0,0
1980-01-01,M,M,M,0.0,0
1980-01-02,M,M,M,0.0,0
1980-01-03,M,30,M,0.0,0
1980-01-04,M,27,M,0.0,0
1980-01-05,M,33,M,0.0,0
1980-01-06,M,33,M,0.0,0
1980-01-07,70,35,M,0.0,0
1980-01-08,53,32,M,0.0,0
1980-01-09,51,36,M,0.0,0
1980-01-10,57,34,M,0.0,0
1980-01-11,58,38,M,0.0,0
1980-01-12,58,30,M,0.0,0
1980-01-13,74,39,M,0.0,0
1980-01-14,79,43,M,0.0,0
1980-01-15,75,58,M,0.0,0
1980-01-16,72,42,M,0.0,0
1980-01-17,71,45,M,0.0,0
1980-01-18,75,41,M,0.0,0
1980-01-19,60,40,M,0.0,0
1980-01-20,58,41,M,0.0,0
1980-01-21,57,43,M,0.0,0
1980-01-22,56,38,M,0.0,0
1980-01-23,59,31,M,0.0,0
1980-01-24,67,32,M,0.0,0
1980-01-25,60,47,M,0.0,0
1980-01-26,M,42,M,0.0,0
1980-01-27,M,40,M,0.0,0
1980-01-28,M,31,M,0.0,0
1980-01-29,36,31,M,0.0,0
1980-01-30,34,30,M,0.0,0
1980-01-31,31,17,M,0.0,0
1980-02-01,44,22,M,0.0,0
1980-02-02,53,33,M,0.0,0
1980-02-03,57,34,M,0.0,0
1980-02-04,60,38,M,0.0,0
1980-02-05,66,46,M,0.0,0
1980-02-06,56,M,M,0.0,0
1980-02-07,55,36,M,0.0,0
1980-02-08,45,25,M,0.0,0
1980-02-09,32,24,M,0.0,0
1980-02-10,38,29,M,0.0,0
1980-02-11,41,30,M,0.0,0
1980-02-12,48,36,M,0.0,0
1980-02-13,53,37,M,0.0,0
1980-02-14,64,43,M,0.0,0
1980-02-15,85,59,M,0.0,0
1980-02-16,59,29,M,0.0,0
1980-02-17,41,22,M,0.0,0
1980-02-18,59,36,M,0.0,0
1980-02-19,M,43,M,0.0,0
1980-02-20,89,39,M,0.0,0
1980-02-21,79,52,M,0.0,0
1980-02-22,85,48,M,0.0,0
1980-02-23,M,44,M,0.0,0
1980-02-24,65,41,M,0.0,0
1980-02-25,63,38,M,0.0,0
1980-02-26,68,M,M,0.0,0
1980-02-27,84,M,M,0.0,0
1980-02-28,82,42,M,0.0,0
1980-02-29,79,61,M,0.0,0
1980-04-01,66,42,0.03,0.0,0
1980-04-02,69,55,0.64,0.0,0
1980-04-03,74,55,0.85,0.0,0
1980-04-04,76,47,0.00,0.0,0
1980-04-05,76,48,0.00,0.0,0
1980-04-06,76,47,0.00,0.0,0
1980-04-07,M,49,0.00,0.0,0
1980-04-08,M,46,0.00,0.0,0
1980-04-09,73,49,0.00,0.0,0
1980-04-10,76,50,0.00,0.0,0
1980-04-11,81,55,0.00,0.0,0
1980-04-12,M,34,1.07,0.0,0
1980-04-13,51,35,0.40,0.0,0
1980-04-14,60,33,0.00,0.0,0
1980-04-15,72,41,0.00,0.0,0
1980-04-16,83,53,0.00,0.0,0
1980-04-17,84,54,0.00,0.0,0
1980-04-18,72,50,0.00,0.0,0
1980-04-19,80,M,0.00,0.0,0
1980-04-20,85,46,0.00,0.0,0
1980-04-21,85,55,0.00,0.0,0
1980-04-22,79,57,0.00,0.0,0
1980-04-23,83,60,0.00,0.0,0
1980-04-24,81,66,0.00,0.0,0
1980-04-25,M,51,1.37,0.0,0
1980-04-26,74,M,0.00,0.0,0
1980-04-27,80,M,0.00,0.0,0
1980-04-28,83,51,0.00,0.0,0
1980-04-29,87,46,0.00,0.0,0
1980-04-30,83,70,0.00,0.0,0
1980-05-01,80,M,1.30,0.0,0
1980-05-02,82,56,0.00,0.0,0
1980-05-03,75,58,0.10,0.0,0
1980-05-04,79,59,0.60,0.0,0
1980-05-05,81,61,0.55,0.0,0
1980-05-06,87,62,0.05,0.0,0
1980-05-07,88,60,1.25,0.0,0
1980-05-08,M,62,0.40,0.0,0
1980-05-09,76,50,0.29,0.0,0
1980-05-10,80,M,0.00,0.0,0
1980-05-11,81,61,0.00,0.0,0
1980-05-12,88,62,0.02,0.0,0
1980-05-13,M,61,0.49,0.0,0
1980-05-14,M,60,1.74,0.0,0
1980-05-15,M,61,0.47,0.0,0
1980-05-16,82,59,0.76,0.0,0
1980-05-17,89,63,0.00,0.0,0
1980-05-18,89,61,0.00,0.0,0
1980-05-19,88,62,0.34,0.0,0
1980-05-20,86,59,0.19,0.0,0
1980-05-21,86,62,0.00,0.0,0
1980-05-22,M,M,0.00,0.0,0
1980-05-23,89,M,0.00,0.0,0
1980-05-24,95,M,0.00,0.0,0
1980-05-25,94,69,0.00,0.0,0
1980-05-26,95,70,0.00,0.0,0
1980-05-27,93,75,0.00,0.0,0
1980-05-28,94,71,0.00,0.0,0
1980-05-29,91,72,0.00,0.0,0
1980-05-30,87,70,0.00,0.0,0
1980-05-31,88,68,0.00,0.0,0
1980-06-01,89,73,0.00,0.0,0
1980-06-02,90,74,0.00,0.0,0
1980-06-03,92,76,0.00,0.0,0
1980-06-04,93,72,0.00,0.0,0
1980-06-05,90,72,0.00,0.0,0
1980-06-06,91,74,0.00,0.0,0
1980-06-07,95,71,0.00,0.0,0
1980-06-08,93,70,0.00,0.0,0
1980-06-09,96,73,0.06,0.0,0
1980-06-10,95,70,0.00,0.0,0
1980-06-11,96,71,0.00,0.0,0
1980-06-12,94,72,0.00,0.0,0
1980-06-13,96,72,0.00,0.0,0
1980-06-14,93,75,0.00,0.0,0
1980-06-15,94,77,0.00,0.0,0
1980-06-16,95,78,0.00,0.0,0
1980-06-17,96,77,0.00,0.0,0
1980-06-18,98,77,0.00,0.0,0
1980-06-19,101,83,0.00,0.0,0
1980-06-20,101,79,0.00,0.0,0
1980-06-21,95,66,1.20,0.0,0
1980-06-22,95,72,0.00,0.0,0
1980-06-23,101,75,0.00,0.0,0
1980-06-24,102,77,0.00,0.0,0
1980-06-25,103,79,0.00,0.0,0
1980-06-26,107,75,0.00,0.0,0
1980-06-27,104,74,0.00,0.0,0
1980-06-28,105,75,0.00,0.0,0
1980-06-29,103,76,0.00,0.0,0
1980-06-30,103,75,0.00,0.0,0
1980-07-01,104,74,0.00,0.0,0
1980-07-02,108,81,0.00,0.0,0
1980-07-03,105,78,0.00,0.0,0
1980-07-04,104,73,0.00,0.0,0
1980-07-05,103,74,0.00,0.0,0
1980-07-06,105,75,0.00,0.0,0
1980-07-07,99,75,0.00,0.0,0
1980-07-08,101,76,0.00,0.0,0
1980-07-09,102,78,0.00,0.0,0
1980-07-10,102,76,0.00,0.0,0
1980-07-11,103,76,0.00,0.0,0
1980-07-12,103,75,0.00,0.0,0
1980-07-13,100,72,0.00,0.0,0
1980-07-14,101,73,0.00,0.0,0
1980-07-15,100,75,0.00,0.0,0
1980-07-16,101,76,0.00,0.0,0
1980-07-17,102,78,0.00,0.0,0
1980-07-18,106,77,0.00,0.0,0
1980-07-19,103,76,0.00,0.0,0
1980-07-20,101,76,0.00,0.0,0
1980-07-21,102,76,0.00,0.0,0
1980-07-22,98,75,0.13,0.0,0
1980-07-23,103,78,0.00,0.0,0
1980-07-24,104,76,0.00,0.0,0
1980-07-25,102,75,0.00,0.0,0
1980-07-26,104,73,0.00,0.0,0
1980-07-27,101,74,0.00,0.0,0
1980-07-28,103,75,0.12,0.0,0
1980-07-29,103,69,0.00,0.0,0
1980-07-30,104,74,0.00,0.0,0
1980-07-31,M,M,0.00,0.0,0
1980-08-01,103,75,0.00,0.0,0
1980-08-02,102,76,0.00,0.0,0
1980-08-03,101,75,0.00,0.0,0
1980-08-04,91,74,0.08,0.0,0
1980-08-05,96,76,0.00,0.0,0
1980-08-06,101,78,0.00,0.0,0
1980-08-07,101,77,0.00,0.0,0
1980-08-08,101,74,0.07,0.0,0
1980-08-09,100,75,0.05,0.0,0
1980-08-10,98,76,0.01,0.0,0
1980-08-11,96,75,0.00,0.0,0
1980-08-12,95,74,0.00,0.0,0
1980-08-13,98,74,0.00,0.0,0
1980-08-14,97,73,0.00,0.0,0
1980-08-15,96,73,0.00,0.0,0
1980-08-16,97,72,0.00,0.0,0
1980-08-17,98,74,0.00,0.0,0
1980-08-18,96,73,0.00,0.0,0
1980-08-19,97,74,0.00,0.0,0
1980-08-20,100,74,0.00,0.0,0
1980-08-21,102,74,0.00,0.0,0
1980-08-22,106,71,0.00,0.0,0
1980-08-23,104,74,0.00,0.0,0
1980-08-24,105,73,0.00,0.0,0
1980-08-25,102,71,0.00,0.0,0
1980-08-26,99,80,0.00,0.0,0
1980-08-27,102,73,0.00,0.0,0
1980-08-28,99,75,0.00,0.0,0
1980-08-29,98,73,0.00,0.0,0
1980-08-30,97,73,0.00,0.0,0
1980-08-31,98,72,0.00,0.0,0
1980-09-01,100,73,0.00,0.0,0
1980-09-02,100,74,0.00,0.0,0
1980-09-03,97,74,0.00,0.0,0
1980-09-04,95,73,0.00,0.0,0
1980-09-05,94,70,0.00,0.0,0
1980-09-06,95,70,0.00,0.0,0
1980-09-07,98,70,1.98,0.0,0
1980-09-08,86,72,0.50,0.0,0
1980-09-09,82,70,0.39,0.0,0
1980-09-10,98,73,1.76,0.0,0
1980-09-11,94,70,0.00,0.0,0
1980-09-12,94,72,0.00,0.0,0
1980-09-13,91,70,0.00,0.0,0
1980-09-14,95,71,0.00,0.0,0
1980-09-15,97,70,0.00,0.0,0
1980-09-16,96,71,0.00,0.0,0
1980-09-17,96,70,0.00,0.0,0
1980-09-18,96,73,0.00,0.0,0
1980-09-19,M,M,0.02,0.0,0
1980-09-20,92,68,0.00,0.0,0
1980-09-21,94,76,0.00,0.0,0
1980-09-22,93,75,0.00,0.0,0
1980-09-23,94,72,0.00,0.0,0
1980-09-24,92,68,0.00,0.0,0
1980-09-25,85,69,0.00,0.0,0
1980-09-26,78,63,0.00,0.0,0
1980-09-27,M,M,0.40,0.0,0
1980-09-28,M,62,0.69,0.0,0
1980-09-29,72,60,0.10,0.0,0
1980-09-30,70,61,0.55,0.0,0
1980-10-01,82,56,0.00,0.0,0
1980-10-02,85,57,0.00,0.0,0
1980-10-03,83,52,0.00,0.0,0
1980-10-04,91,54,0.00,0.0,0
1980-10-05,90,51,0.00,0.0,0
1980-10-06,88,59,0.00,0.0,0
1980-10-07,M,M,0.00,0.0,0
1980-10-08,87,57,0.00,0.0,0
1980-10-09,88,58,0.00,0.0,0
1980-10-10,91,61,0.00,0.0,0
1980-10-11,88,57,0.00,0.0,0
1980-10-12,84,55,0.00,0.0,0
1980-10-13,85,51,0.00,0.0,0
1980-10-14,86,66,0.00,0.0,0
1980-10-15,84,68,0.00,0.0,0
1980-10-16,85,70,0.12,0.0,0
1980-10-17,83,72,0.00,0.0,0
1980-10-18,81,57,0.00,0.0,0
1980-10-19,72,54,0.01,0.0,0
1980-10-20,78,51,0.21,0.0,0
1980-10-21,81,53,0.00,0.0,0
1980-10-22,83,54,0.00,0.0,0
1980-10-23,82,52,0.00,0.0,0
1980-10-24,81,46,0.01,0.0,0
1980-10-25,81,37,0.00,0.0,0
1980-10-26,70,56,0.00,0.0,0
1980-10-27,86,62,0.00,0.0,0
1980-10-28,76,42,0.08,0.0,0
1980-10-29,57,39,0.00,0.0,0
1980-10-30,72,32,0.00,0.0,0
1980-10-31,79,38,0.00,0.0,0
1980-11-01,85,45,0.00,0.0,0
1980-11-02,80,50,0.00,0.0,0
1980-11-03,82,52,0.00,0.0,0
