date,max_temp_f,min_temp_f,precip_in,snow_in,snow_depth_in
2009-08-01,93,71,M,0.0,0
2009-08-02,92,70,0.00,0.0,0
2009-08-03,96,72,0.00,0.0,0
2009-08-04,95,75,0.00,0.0,0
2009-08-05,97,75,0.00,0.0,0
2009-08-06,95,76,0.00,0.0,0
2009-08-07,97,76,0.00,0.0,0
2009-08-08,96,75,0.00,0.0,0
2009-08-09,94,75,0.00,0.0,0
2009-08-10,96,76,0.05,0.0,0
2009-08-11,92,76,0.00,0.0,0
2009-08-12,93,74,0.03,0.0,0
2009-08-13,94,72,0.00,0.0,0
2009-08-14,95,73,0.00,0.0,0
2009-08-15,97,72,0.00,0.0,0
2009-08-16,99,74,0.00,0.0,0
2009-08-17,98,75,0.56,0.0,0
2009-08-18,94,75,0.71,0.0,0
2009-08-19,96,74,0.00,0.0,0
2009-08-20,96,76,0.00,0.0,0
2009-08-21,89,73,M,0.0,0
2009-08-22,93,64,0.00,0.0,0
2009-08-23,94,74,0.00,0.0,0
2009-08-24,96,75,0.00,0.0,0
2009-08-25,96,74,0.00,0.0,0
2009-08-26,92,73,0.00,0.0,0
2009-08-27,89,73,M,0.0,0
2009-08-28,89,71,0.42,0.0,0
2009-08-29,87,69,0.00,0.0,0
2009-08-30,88,67,0.00,0.0,0
2009-08-31,86,68,0.00,0.0,0
2009-09-01,88,68,0.00,0.0,0
2009-09-02,90,66,0.00,0.0,0
2009-09-03,95,71,0.03,0.0,0
2009-09-04,83,69,0.09,0.0,0
2009-09-05,92,65,0.00,0.0,0
2009-09-06,95,68,0.00,0.0,0
2009-09-07,96,68,0.00,0.0,0
2009-09-08,95,70,0.00,0.0,0
2009-09-09,94,70,0.00,0.0,0
2009-09-10,94,68,0.19,0.0,0
2009-09-11,86,72,0.00,0.0,0
2009-09-12,74,70,0.20,0.0,0
2009-09-13,82,71,1.29,0.0,0
2009-09-14,82,71,0.14,0.0,0
2009-09-15,80,72,0.00,0.0,0
2009-09-16,78,69,0.27,0.0,0
2009-09-17,80,68,0.45,0.0,0
2009-09-18,83,70,0.24,0.0,0
2009-09-19,83,69,0.00,0.0,0
2009-09-20,88,66,0.00,0.0,0
2009-09-21,92,67,0.25,0.0,0
2009-09-22,73,64,0.15,0.0,0
2009-09-23,69,61,0.06,0.0,0
2009-09-24,68,59,0.06,0.0,0
2009-09-25,82,59,0.00,0.0,0
2009-09-26,87,64,0.00,0.0,0
2009-09-27,92,66,0.00,0.0,0
2009-09-28,87,68,0.00,0.0,0
2009-09-29,79,62,0.00,0.0,0
2009-09-30,84,61,0.00,0.0,0
2009-10-01,87,70,0.00,0.0,0
2009-10-02,79,57,0.00,0.0,0
2009-10-03,80,61,0.22,0.0,0
2009-10-04,74,60,0.15,0.0,0
2009-10-05,71,59,0.00,0.0,0
2009-10-06,91,71,0.00,0.0,0
2009-10-07,78,65,0.00,0.0,0
2009-10-08,91,74,0.00,0.0,0
2009-10-09,82,54,1.20,0.0,0
2009-10-10,59,52,0.00,0.0,0
2009-10-11,58,54,0.56,0.0,0
2009-10-12,69,58,0.12,0.0,0
2009-10-13,74,67,1.98,0.0,0
2009-10-14,85,71,0.10,0.0,0
2009-10-15,82,60,0.00,0.0,0
2009-10-16,70,52,0.00,0.0,0
2009-10-17,73,47,0.00,0.0,0
2009-10-18,68,47,0.00,0.0,0
2009-10-19,74,48,0.00,0.0,0
2009-10-20,80,57,0.00,0.0,0
2009-10-21,73,63,2.14,0.0,0
2009-10-22,71,53,0.67,0.0,0
2009-10-23,63,45,0.00,0.0,0
2009-10-24,72,42,0.00,0.0,0
2009-10-25,78,56,0.00,0.0,0
2009-10-26,69,53,1.27,0.0,0
2009-10-27,65,51,0.06,0.0,0
2009-10-28,76,51,0.00,0.0,0
2009-10-29,84,59,0.24,0.0,0
2009-10-30,65,45,0.00,0.0,0
2009-10-31,71,40,0.00,0.0,0
2009-11-01,74,44,0.00,0.0,0
2009-11-02,75,47,0.00,0.0,0
2009-11-03,76,47,0.00,0.0,0
2009-11-04,76,48,0.00,0.0,0
2009-11-05,77,50,0.00,0.0,0
2009-11-06,76,54,0.00,0.0,0
2009-11-07,75,57,0.00,0.0,0
2009-11-08,78,59,M,0.0,0
2009-11-09,75,62,M,0.0,0
2009-11-10,77,56,0.00,0.0,0
2009-11-11,75,53,0.00,0.0,0
2009-11-12,73,48,0.00,0.0,0
2009-11-13,74,51,0.00,0.0,0
2009-11-14,78,58,0.00,0.0,0
2009-11-15,78,63,0.27,0.0,0
2009-11-16,68,40,0.01,0.0,0
2009-11-17,60,38,0.00,0.0,0
2009-11-18,67,36,0.00,0.0,0
2009-11-19,70,47,0.00,0.0,0
2009-11-20,62,56,0.03,0.0,0
2009-11-21,60,45,M,0.0,0
2009-11-22,68,42,0.00,0.0,0
2009-11-23,71,45,0.00,0.0,0
2009-11-24,63,40,0.02,0.0,0
2009-11-25,65,33,0.00,0.0,0
2009-11-26,63,34,0.00,0.0,0
2009-11-27,71,37,0.00,0.0,0
2009-11-28,70,48,0.00,0.0,0
2009-11-29,74,49,0.25,0.0,0
2009-11-30,56,40,0.01,0.0,0
2009-12-01,52,40,0.54,M,0
2009-12-02,47,40,0.04,0.0,0
2009-12-03,48,31,0.00,0.0,0
2009-12-04,39,24,M,M,0
2009-12-05,46,20,0.00,0.0,0
2009-12-06,49,35,M,0.0,0
2009-12-07,51,47,0.05,0.0,0
2009-12-08,58,47,M,0.0,0
2009-12-09,51,28,0.00,0.0,0
2009-12-10,47,28,0.00,0.0,0
2009-12-11,52,39,0.00,0.0,0
2009-12-12,47,42,0.19,0.0,0
2009-12-13,55,46,0.00,0.0,0
2009-12-14,67,49,0.00,0.0,0
2009-12-15,55,36,0.04,0.0,0
2009-12-16,56,37,0.00,0.0,0
2009-12-17,52,36,M,0.0,0
2009-12-18,62,32,0.00,0.0,0
2009-12-19,57,32,0.00,0.0,0
2009-12-20,57,26,0.00,0.0,0
2009-12-21,66,39,0.00,0.0,0
2009-12-22,70,51,0.05,0.0,0
2009-12-23,71,62,0.52,0.0,0
2009-12-24,64,32,0.03,M,0
2009-12-25,45,27,0.00,0.0,M
2009-12-26,53,25,0.00,0.0,0
2009-12-27,50,25,0.00,0.0,0
2009-12-28,48,26,0.00,0.0,0
2009-12-29,44,29,0.04,0.0,0
2009-12-30,53,39,0.04,0.0,0
2009-12-31,48,40,0.04,0.0,0
2010-01-01,53,29,0.00,0.0,0
2010-01-02,55,29,0.00,0.0,0
2010-01-03,50,33,0.00,0.0,0
2010-01-04,41,25,0.00,0.0,0
2010-01-05,44,20,0.00,0.0,0
2010-01-06,48,27,M,0.0,0
2010-01-07,45,24,M,0.0,0
2010-01-08,30,16,0.00,0.0,0
2010-01-09,38,11,0.00,0.0,0
2010-01-10,43,15,0.00,0.0,0
2010-01-11,55,21,0.00,0.0,0
2010-01-12,61,28,0.00,0.0,0
2010-01-13,60,38,M,0.0,0
2010-01-14,55,46,0.11,0.0,0
2010-01-15,55,46,0.01,0.0,0
2010-01-16,51,43,0.81,0.0,0
2010-01-17,61,35,0.00,0.0,0
